000400 许继电气 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	13.31	13.88	13.17	13.79	4433500	59722008.00
2009/01/06	13.70	14.35	13.45	14.01	5949600	83162840.00
2009/01/07	13.90	14.33	13.77	14.08	5245600	74059936.00
2009/01/08	13.79	13.95	12.95	13.00	7684600	102978832.00
2009/01/09	12.94	13.50	12.86	13.45	5470600	71976392.00
2009/01/12	13.30	13.49	13.01	13.22	3332300	44071964.00
2009/01/13	13.00	13.00	12.47	12.57	4293100	54703536.00
2009/01/14	12.50	13.40	12.50	13.22	5289800	69128048.00
2009/01/15	13.00	13.68	12.90	13.19	5861000	78535208.00
2009/01/16	13.28	13.59	12.00	12.58	15267600	194299664.00
2009/01/19	12.21	12.50	11.41	11.99	28164400	336998720.00
2009/01/20	11.80	12.41	11.80	12.39	11997700	146102960.00
2009/01/21	12.16	12.52	11.86	12.18	7947500	97132832.00
2009/01/22	12.19	12.67	12.05	12.67	9950400	124605488.00
2009/01/23	12.67	13.03	12.50	12.92	7045200	90256424.00
2009/02/02	13.05	13.20	12.76	12.90	3741800	48372552.00
2009/02/03	12.90	13.42	12.63	13.40	7644300	100259080.00
2009/02/04	13.38	13.66	13.30	13.46	8904800	119888864.00
2009/02/05	13.52	13.76	12.61	12.83	9857000	130357784.00
2009/02/06	12.80	13.20	12.72	12.98	8622900	111868040.00
2009/02/09	13.15	14.28	12.86	14.28	18540200	253419088.00
2009/02/10	14.50	14.98	13.98	14.35	20723200	299633344.00
2009/02/11	14.14	15.79	13.90	15.59	27325600	418039232.00
2009/02/12	15.54	16.68	15.03	16.37	13016100	204476800.00
2009/02/13	16.10	16.70	15.80	16.22	14314900	230510352.00
2009/02/16	16.23	16.35	15.78	16.13	12839800	205568864.00
2009/02/17	15.92	16.05	14.88	15.12	15869100	243636128.00
2009/02/18	14.81	15.50	14.45	14.48	11088100	166141360.00
2009/02/19	14.66	15.66	14.63	15.30	13429000	204907072.00
2009/02/20	15.30	16.06	15.25	15.51	9375300	147283232.00
2009/02/23	15.50	15.80	15.20	15.68	6319200	98245600.00
2009/02/24	15.51	15.95	14.78	14.80	7295500	111164472.00
2009/02/25	14.91	15.18	14.20	14.71	5522900	80943000.00
2009/02/26	14.71	15.35	13.89	14.20	8870200	131810808.00
2009/02/27	14.31	14.48	13.46	13.53	5373400	74474656.00
2009/03/02	13.50	14.50	13.50	14.46	5233700	73722608.00
2009/03/03	14.10	15.21	13.85	15.01	9576200	142078976.00
2009/03/04	15.03	15.99	14.90	15.85	10747100	166486560.00
2009/03/05	15.60	15.99	15.20	15.71	12984000	203409504.00
2009/03/06	15.44	15.73	14.81	14.89	7759200	118459560.00
2009/03/09	14.78	15.37	14.05	14.41	7439900	109881488.00
2009/03/10	14.21	14.68	14.02	14.57	3156800	45343920.00
2009/03/11	14.75	15.36	14.60	14.65	6047000	90616728.00
2009/03/12	14.76	14.84	14.13	14.38	4689800	67225544.00
2009/03/13	14.86	14.86	14.10	14.18	3819800	54908508.00
2009/03/16	14.18	14.23	13.60	14.00	6600700	91666968.00
2009/03/17	14.16	14.50	13.88	14.44	5692600	80978128.00
2009/03/18	14.39	15.88	14.39	15.75	23769700	370460416.00
2009/03/19	15.51	15.99	15.32	15.58	10810200	168732608.00
2009/03/20	15.58	15.74	15.08	15.51	8355300	128713344.00
2009/03/23	15.60	15.96	15.41	15.77	10096600	158913680.00
2009/03/24	15.87	15.95	15.10	15.37	12975000	199184320.00
2009/03/25	15.10	15.28	14.67	14.67	9431300	140197104.00
2009/03/26	14.65	15.19	14.63	14.88	7604700	113456656.00
2009/03/27	14.92	15.60	14.90	14.97	9272800	141466896.00
2009/03/30	15.00	15.00	14.49	14.61	8188800	119782144.00
2009/03/31	14.35	14.98	14.15	14.98	7119200	102911880.00
2009/04/01	15.13	15.19	14.70	14.80	8251500	123314256.00
2009/04/02	14.92	15.00	14.40	14.70	11925700	174843600.00
2009/04/03	14.75	15.03	14.45	14.70	8576700	126616400.00
2009/04/07	14.71	15.30	14.70	15.09	8294800	124648768.00
2009/04/08	15.10	15.48	14.65	14.75	9109200	137437072.00
2009/04/09	14.75	14.87	14.50	14.85	4699000	68800560.00
2009/04/10	14.95	16.15	14.85	15.61	17236300	268342160.00
2009/04/13	15.50	16.11	15.49	15.71	13790400	217582096.00
2009/04/14	15.63	15.94	15.10	15.47	11533500	178691600.00
2009/04/15	15.47	15.65	15.20	15.62	9067100	139745552.00
2009/04/16	15.54	15.60	15.15	15.33	8087600	123786272.00
2009/04/17	15.21	15.97	14.80	15.50	14660200	224255600.00
2009/04/20	15.40	15.80	15.05	15.60	9761600	150610768.00
2009/04/21	15.56	16.80	15.47	16.45	20697000	337404768.00
2009/04/22	16.40	16.48	15.01	15.28	18280100	288632384.00
2009/04/23	14.60	15.25	14.58	14.91	8371200	124202528.00
2009/04/24	14.89	15.18	14.31	14.43	6922400	102115528.00
2009/04/27	14.28	14.41	13.68	13.70	6793300	94586560.00
2009/04/28	13.68	14.05	13.56	13.82	4224200	58250788.00
2009/04/29	13.82	14.51	13.68	14.20	6891700	97304056.00
2009/04/30	14.30	14.38	13.96	14.10	6340100	89600392.00
2009/05/04	14.10	14.60	13.88	14.39	7064200	100582824.00
2009/05/05	14.57	14.78	14.30	14.52	7567900	110093968.00
2009/05/06	14.53	14.69	14.38	14.50	8560000	124257072.00
2009/05/07	14.65	14.75	14.25	14.41	8005300	115977776.00
2009/05/08	14.45	14.48	13.59	13.86	16795500	232759472.00
2009/05/11	13.90	13.98	13.20	13.20	11653900	157873408.00
2009/05/12	13.20	13.50	13.10	13.48	6164800	82148376.00
2009/05/13	13.49	13.55	13.23	13.30	8368900	111324808.00
2009/05/14	13.30	13.96	13.20	13.95	12988600	178062288.00
2009/05/15	13.95	14.04	13.74	13.83	5812600	80374928.00
2009/05/18	13.86	13.96	13.55	13.70	5948800	81535416.00
2009/05/19	13.78	14.20	13.77	14.02	11857300	165772352.00
2009/05/20	14.05	14.21	13.89	13.95	6592900	92607632.00
2009/05/21	13.89	13.89	13.34	13.41	7061100	95538584.00
2009/05/22	13.27	14.33	13.27	14.00	11837514	165947712.00
2009/05/26	14.95	15.40	14.91	15.40	34886246	535215360.00
2009/05/27	15.59	16.14	15.30	15.71	35766561	560617664.00
2009/06/01	15.81	16.85	15.81	16.42	26287718	429508064.00
