000503 国新健康 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	4.31	4.41	4.31	4.41	8274900	36199552.00
2009/01/06	4.41	4.58	4.37	4.58	11157100	50230768.00
2009/01/07	4.55	4.67	4.52	4.59	11211600	51488904.00
2009/01/08	4.53	4.55	4.36	4.40	9282800	41325692.00
2009/01/09	4.43	4.55	4.40	4.51	7525700	33670324.00
2009/01/12	4.50	4.66	4.46	4.60	11525300	52890884.00
2009/01/13	4.55	4.57	4.42	4.45	8770900	39479672.00
2009/01/14	4.47	4.75	4.43	4.71	16267800	75254984.00
2009/01/15	4.64	5.09	4.62	4.91	27334300	132694360.00
2009/01/16	4.86	4.99	4.77	4.83	21291300	104271488.00
2009/01/19	4.85	4.94	4.77	4.84	9443600	45838560.00
2009/01/20	4.80	4.85	4.69	4.82	7720600	36914640.00
2009/01/21	4.76	4.90	4.73	4.83	7840500	37876244.00
2009/01/22	4.86	5.04	4.84	4.98	14692600	72782824.00
2009/01/23	4.99	5.04	4.85	4.93	12244200	60552340.00
2009/02/02	5.01	5.13	5.00	5.09	20986200	106451880.00
2009/02/03	5.06	5.24	5.05	5.20	21893900	113303656.00
2009/02/04	5.18	5.34	5.15	5.31	20135200	105693648.00
2009/02/05	5.26	5.34	5.07	5.15	22412400	117298336.00
2009/02/06	5.21	5.67	5.18	5.67	25410100	140041152.00
2009/02/09	5.85	6.09	5.74	5.82	54621700	321102560.00
2009/02/10	5.85	6.31	5.83	6.15	47944300	289411968.00
2009/02/11	5.99	6.15	5.86	5.92	35462100	212614032.00
2009/02/12	5.95	6.14	5.77	6.02	26499400	158394208.00
2009/02/13	6.04	6.28	6.03	6.18	32082300	197712672.00
2009/02/16	6.25	6.56	6.11	6.45	36454600	230503808.00
2009/02/17	6.33	6.38	6.00	6.03	28968200	178323664.00
2009/02/18	6.00	6.16	5.73	5.75	23526600	140881072.00
2009/02/19	5.95	5.99	5.69	5.85	14888900	87037016.00
2009/02/20	5.82	5.96	5.70	5.95	14321600	83815008.00
2009/02/23	5.90	6.24	5.80	6.14	20373700	124069248.00
2009/02/24	6.02	6.38	5.97	6.04	39338300	242346672.00
2009/02/25	6.15	6.17	5.75	6.02	22505500	134694672.00
2009/02/26	6.01	6.62	5.87	6.10	59486700	375149824.00
2009/02/27	5.85	5.93	5.49	5.49	32540200	180927216.00
2009/03/02	5.21	5.55	5.15	5.40	17415800	93642552.00
2009/03/03	5.22	5.61	5.16	5.43	18599900	100934712.00
2009/03/04	5.45	5.75	5.40	5.69	23895300	134290816.00
2009/03/05	5.73	5.85	5.38	5.63	24140800	136632032.00
2009/03/06	5.45	5.89	5.43	5.84	25697300	146711360.00
2009/03/09	5.81	6.06	5.65	5.66	35751500	209971984.00
2009/03/10	5.60	5.84	5.55	5.84	16800300	96174848.00
2009/03/11	5.95	5.99	5.68	5.70	17795700	104040104.00
2009/03/12	5.69	5.76	5.41	5.58	15909200	88702336.00
2009/03/13	5.60	5.65	5.42	5.44	12086600	66864256.00
2009/03/16	5.49	5.55	5.34	5.51	9010000	49139224.00
2009/03/17	5.50	5.76	5.48	5.71	15908700	89675520.00
2009/03/18	5.76	6.02	5.70	5.83	24311300	142498624.00
2009/03/19	5.82	6.00	5.80	5.95	22121800	131166712.00
2009/03/20	5.99	6.00	5.75	5.82	17073100	99992080.00
2009/03/23	5.86	6.06	5.82	5.93	19761000	117755656.00
2009/03/24	5.99	6.20	5.91	6.06	25864500	156537424.00
2009/03/25	6.03	6.03	5.78	5.79	19069100	113044624.00
2009/03/26	5.80	6.15	5.78	6.11	23910800	143021888.00
2009/03/27	6.16	6.33	6.13	6.18	39161500	243242880.00
2009/03/30	6.19	6.30	6.05	6.21	21132200	130088320.00
2009/03/31	6.10	6.51	6.05	6.43	31756400	199302896.00
2009/04/01	6.54	6.85	6.42	6.55	49244300	324754848.00
2009/04/02	6.52	6.63	6.37	6.38	24877900	160840080.00
2009/04/03	6.45	6.65	6.22	6.41	27204200	175411584.00
2009/04/07	6.42	6.72	6.40	6.53	19083200	124718056.00
2009/04/08	6.49	7.00	6.35	6.46	49582400	332458048.00
2009/04/09	6.45	6.67	6.35	6.67	35518800	232202640.00
2009/04/10	6.74	6.88	6.60	6.74	36074000	244021104.00
2009/04/13	6.78	6.99	6.72	6.83	30336400	208181984.00
2009/04/14	6.83	7.05	6.60	6.92	36103700	245400272.00
2009/04/15	6.84	7.55	6.78	7.38	49252300	350251968.00
2009/04/16	7.32	7.44	7.01	7.37	36369600	262404336.00
2009/04/17	7.38	7.45	7.02	7.11	32293000	232943760.00
2009/04/20	7.18	7.78	7.14	7.38	39238000	293655104.00
2009/04/21	7.28	7.35	7.05	7.22	28729800	206755296.00
2009/04/22	7.28	7.28	6.50	6.50	42660400	292021376.00
2009/04/23	6.47	6.74	6.41	6.63	20167000	132297040.00
2009/04/24	6.60	6.70	6.37	6.38	16689400	109088144.00
2009/04/27	6.40	6.55	6.25	6.30	13190000	84348760.00
2009/04/28	6.30	6.63	6.29	6.57	17468800	112888144.00
2009/04/29	6.58	6.68	6.48	6.61	18462900	121915584.00
2009/04/30	6.64	6.79	6.55	6.67	19858000	132904656.00
2009/05/04	6.67	6.93	6.66	6.84	15898500	108312072.00
2009/05/05	6.80	7.07	6.80	6.87	18657600	129553472.00
2009/05/06	6.89	7.28	6.79	7.18	29188700	204746656.00
2009/05/07	7.11	7.18	6.87	7.00	23891400	167625568.00
2009/05/08	6.98	6.98	6.71	6.91	16807300	115888680.00
2009/05/11	6.95	7.28	6.81	6.93	34123100	240377008.00
2009/05/12	6.90	7.27	6.80	7.21	32570700	231293888.00
2009/05/13	7.11	7.33	7.07	7.20	24346200	175341904.00
2009/05/14	7.15	7.17	6.98	7.07	18126000	128330568.00
2009/05/15	7.07	7.43	7.07	7.33	35263500	256488848.00
2009/05/18	7.32	7.33	7.06	7.22	22681600	162795424.00
2009/05/20	7.17	7.27	6.91	6.93	24796200	175696064.00
2009/05/21	6.90	7.00	6.50	6.67	24054200	161822624.00
2009/05/22	6.73	6.80	6.64	6.77	10304167	69331184.00
2009/05/25	6.65	6.83	6.47	6.73	11560897	76770088.00
2009/05/26	6.70	6.99	6.70	6.83	18201028	125279840.00
2009/05/27	6.86	7.03	6.81	6.84	12335228	85318000.00
2009/06/01	6.88	7.04	6.81	6.95	13018792	90384352.00
2009/06/02	6.98	7.05	6.90	6.97	12449261	86726824.00
2009/06/03	7.00	7.10	6.95	7.02	18362614	128963336.00
2009/06/04	7.02	7.09	6.73	6.82	18753923	128746520.00
2009/06/05	6.83	6.86	6.60	6.69	18212444	122573416.00
2009/06/08	6.73	6.86	6.59	6.70	12035042	81194152.00
2009/06/09	6.70	6.84	6.57	6.81	14917900	99551864.00
2009/06/10	6.80	7.22	6.75	7.04	34792933	243945856.00
2009/06/11	6.97	7.05	6.83	6.86	18775968	130371696.00
2009/06/12	6.87	6.95	6.58	6.65	15650239	105717824.00
2009/06/15	6.65	6.82	6.62	6.79	8903107	59872568.00
2009/06/16	6.75	6.93	6.71	6.85	11870573	81325208.00
2009/06/17	6.85	6.89	6.70	6.89	11288984	76964416.00
2009/06/18	6.90	7.16	6.85	7.05	30160874	212440512.00
2009/06/19	7.03	7.40	6.99	7.16	47487508	344304320.00
2009/06/22	7.17	7.24	7.00	7.02	21755142	154697264.00
2009/06/23	6.97	7.03	6.82	6.92	17357836	120144168.00
2009/06/24	6.93	7.12	6.91	7.11	14364526	101009128.00
2009/06/25	7.13	7.14	6.92	6.95	11533008	80738032.00
2009/06/26	6.95	7.04	6.92	6.95	10231774	71311936.00
2009/06/29	6.95	6.97	6.78	6.89	16621260	113704544.00
2009/06/30	6.89	7.15	6.82	6.91	18711307	131055160.00
2009/07/01	6.85	6.93	6.80	6.87	12841123	88081512.00
2009/07/02	6.87	7.02	6.82	6.94	14421350	99813944.00
2009/07/03	6.92	6.93	6.80	6.91	14638957	100508760.00
2009/07/06	6.97	6.97	6.80	6.96	17452421	120189064.00
2009/07/07	6.94	7.24	6.91	7.04	30300122	214587072.00
2009/07/08	6.99	7.15	6.95	7.08	18139566	128058936.00
2009/07/09	7.10	7.35	7.04	7.29	34991325	253065776.00
2009/07/10	7.32	7.44	7.16	7.23	28735063	209975648.00
2009/07/13	7.20	7.44	7.18	7.32	22526686	165202720.00
2009/07/14	7.35	7.54	7.31	7.41	20967712	156049264.00
2009/07/15	7.39	7.44	7.30	7.34	19139695	140514480.00
2009/07/16	7.37	7.55	7.26	7.39	29893188	222303968.00
2009/07/17	7.38	7.76	7.34	7.63	36893196	280595584.00
2009/07/20	7.65	7.75	7.53	7.66	23836644	182079360.00
2009/07/21	7.70	7.84	7.32	7.39	31166224	235617904.00
2009/07/22	7.41	7.62	7.37	7.49	20504029	153172336.00
2009/07/23	7.59	7.73	7.51	7.63	26771863	204047488.00
2009/07/24	7.66	7.66	7.27	7.39	24117374	179379568.00
2009/07/27	7.39	7.47	7.35	7.41	18885752	140035088.00
2009/07/28	7.40	7.86	7.39	7.69	39048838	298871328.00
2009/07/29	7.70	7.70	6.98	7.15	33492756	248322032.00
2009/07/30	7.19	7.40	7.14	7.31	20159059	146483840.00
2009/07/31	7.31	7.56	7.30	7.51	21462241	159636848.00
2009/08/03	7.57	7.96	7.50	7.82	40028042	309767968.00
2009/08/04	7.80	7.93	7.58	7.86	28563501	220951280.00
2009/08/05	7.85	8.20	7.79	7.91	36251361	290731616.00
2009/08/06	7.81	7.84	7.53	7.63	22129938	170056912.00
2009/08/07	7.64	7.87	7.35	7.44	22262633	169981760.00
2009/08/10	7.49	7.66	7.37	7.59	15878822	119320592.00
2009/08/11	7.59	7.66	7.39	7.52	12702389	95995896.00
2009/08/12	7.50	7.55	7.05	7.13	16465098	119879568.00
2009/08/13	7.13	7.39	7.02	7.37	16831551	121635632.00
2009/08/14	7.40	7.43	6.80	6.82	22759707	160571632.00
2009/08/17	6.69	6.78	6.28	6.28	15350901	100288808.00
2009/08/18	6.27	6.47	6.24	6.40	9493069	60386812.00
2009/08/19	6.40	6.44	5.90	5.97	11398806	70513392.00
2009/08/20	5.99	6.17	5.98	6.16	9330652	56781344.00
2009/08/21	6.12	6.28	6.10	6.27	10734746	66468428.00
2009/08/24	6.28	6.37	6.11	6.33	10226297	64457104.00
2009/08/25	6.32	6.33	5.95	6.14	14611288	89011608.00
2009/08/26	6.10	6.60	6.08	6.46	15614587	99102448.00
2009/08/27	6.35	6.70	6.32	6.55	20937074	136444464.00
2009/08/28	6.47	6.53	6.23	6.29	12542766	79386552.00
2009/08/31	6.15	6.26	5.96	5.96	12477565	76010872.00
2009/09/01	5.94	6.20	5.94	6.07	11147552	67904368.00
2009/09/02	6.08	6.13	5.85	5.96	9448940	56524732.00
2009/09/03	5.97	6.24	5.96	6.20	11483145	70223440.00
2009/09/04	6.17	6.44	6.14	6.32	14988818	94364456.00
2009/09/07	6.34	6.50	6.26	6.33	14134733	90327448.00
2009/09/08	6.35	6.52	6.26	6.46	12106008	77894360.00
2009/09/09	6.40	7.11	6.37	7.11	56217004	391655424.00
2009/09/10	7.02	7.82	6.90	7.82	76443043	568185920.00
2009/09/11	7.90	8.24	7.71	8.09	81126350	648512384.00
2009/09/14	8.11	8.90	8.11	8.90	63750239	544626176.00
2009/09/15	9.14	9.50	8.90	9.05	105676014	967707712.00
2009/09/16	9.10	9.96	8.95	9.96	114401920	1097268736.00
2009/09/21	9.31	10.44	8.96	9.57	120211752	1147713408.00
2009/09/22	9.29	9.79	8.95	9.18	64752691	604563584.00
2009/09/23	9.08	9.75	9.01	9.19	63308062	595345024.00
2009/09/24	8.88	8.98	8.32	8.56	67507651	586172864.00
2009/09/25	8.52	8.82	8.19	8.44	50660073	431770176.00
2009/09/28	8.55	8.74	8.11	8.26	42181514	354854176.00
2009/09/29	8.23	8.31	7.65	8.07	48008401	382973248.00
2009/09/30	8.17	8.45	7.96	8.10	51716227	425658464.00
2009/10/09	8.20	8.91	8.11	8.91	79325716	695522048.00
2009/10/12	8.94	9.80	8.89	9.54	121996657	1146399360.00
2009/10/13	9.30	9.50	9.01	9.28	67537353	624405568.00
2009/10/14	9.40	10.18	9.36	9.67	72296287	702887296.00
2009/10/15	9.89	10.09	9.71	9.89	61010231	602412096.00
2009/10/16	9.70	10.29	9.43	10.08	79435195	783144192.00
2009/10/19	9.88	10.09	9.71	9.90	48378042	477216672.00
2009/10/20	9.90	10.48	9.78	9.87	66853100	673012352.00
2009/10/21	9.70	9.89	9.51	9.54	50170363	484196704.00
2009/10/22	9.54	9.68	9.30	9.45	37891454	359410432.00
2009/10/23	9.46	9.60	9.31	9.44	31243679	295296000.00
2009/10/26	9.49	10.02	9.48	10.02	52929710	516478240.00
2009/10/27	10.10	10.51	10.08	10.08	87632512	901137344.00
2009/10/28	9.83	9.98	9.51	9.80	43677233	425071264.00
2009/10/29	9.56	9.88	9.40	9.51	24519377	235818672.00
2009/10/30	9.65	9.98	9.51	9.71	28725471	280362592.00
2009/11/02	9.55	9.91	9.42	9.85	24743715	238919184.00
2009/11/03	10.01	10.48	9.93	10.01	42425460	431054016.00
2009/11/04	10.13	11.01	10.10	11.01	94075840	995177600.00
2009/11/11	10.50	11.93	10.03	11.19	108247568	1212618240.00
2009/11/12	10.98	11.18	10.70	10.80	47614786	520420352.00
2009/11/13	10.70	11.19	10.68	10.92	32571033	356720448.00
2009/11/16	11.00	11.28	10.81	11.13	43892475	482846368.00
2009/11/17	11.15	11.56	10.90	11.19	44414545	497826112.00
2009/11/18	11.14	11.86	11.07	11.54	47313572	543888128.00
2009/11/19	11.55	11.70	11.24	11.59	37564102	430480832.00
2009/11/20	11.44	11.68	11.29	11.40	34550341	395125984.00
2009/11/23	11.41	11.60	11.32	11.41	30080954	343589568.00
2009/11/24	11.46	11.54	10.61	10.65	50848368	570465088.00
2009/11/25	10.60	10.99	10.44	10.98	33873911	362386464.00
2009/11/26	10.88	11.17	10.31	10.58	41209410	445436384.00
2009/11/27	10.38	10.50	9.63	9.80	30860719	312495488.00
2009/11/30	9.96	10.56	9.86	10.52	30717599	313358176.00
2009/12/01	10.46	10.82	10.33	10.67	46307306	490576448.00
2009/12/02	10.58	10.84	10.50	10.62	30874469	328815680.00
2009/12/03	10.58	10.58	10.20	10.32	27814395	288604736.00
2009/12/04	10.38	10.44	9.72	10.07	29806301	300871136.00
2009/12/07	10.10	10.54	9.93	10.40	25813212	266303616.00
2009/12/08	10.35	10.44	10.11	10.21	17261215	177293072.00
2009/12/09	10.18	10.45	10.09	10.34	14708048	151347680.00
2009/12/10	10.41	10.45	10.16	10.33	12213263	125852344.00
2009/12/11	10.35	10.64	10.28	10.52	25420586	266976784.00
2009/12/14	10.55	10.63	10.30	10.48	16771161	175138848.00
2009/12/15	10.53	11.10	10.48	10.94	41919533	456054720.00
2009/12/16	10.86	11.08	10.79	10.92	26350136	288674048.00
2009/12/17	10.93	11.37	10.83	11.01	37813654	420923488.00
2009/12/18	10.82	11.07	10.42	11.00	32881881	354652768.00
2009/12/21	11.00	11.90	10.90	11.68	70445525	808897088.00
2009/12/22	11.52	11.75	11.33	11.44	44665424	514598368.00
2009/12/23	11.35	11.86	11.24	11.50	50710451	586548992.00
2009/12/24	11.40	11.68	11.25	11.55	42173378	483557344.00
2009/12/25	11.45	12.35	11.35	11.84	66352914	793026112.00
2009/12/28	11.76	11.97	11.70	11.85	34519366	408458880.00
2009/12/29	11.95	12.28	11.36	11.41	57644911	676068032.00
2009/12/30	11.42	11.48	10.90	11.12	43113471	478474464.00
2009/12/31	11.12	11.25	11.00	11.18	21664218	241713968.00
2010/01/04	11.20	11.63	11.10	11.42	31731109	362394720.00
2010/01/05	11.50	11.84	11.43	11.65	37450032	437272896.00
2010/01/06	11.70	11.83	11.45	11.66	31766864	368381632.00
2010/01/07	11.62	12.20	11.52	11.89	62288828	742360192.00
2010/01/08	11.85	12.18	11.65	11.91	42698168	509743360.00
2010/01/11	11.96	12.10	11.61	11.92	36847596	438210336.00
2010/01/12	11.85	12.19	11.68	12.12	36708968	440694208.00
2010/01/13	11.85	12.52	11.75	12.06	50896047	621578432.00
2010/01/14	12.15	12.59	12.07	12.12	46670187	573453824.00
2010/01/15	12.15	12.28	11.60	11.81	45739704	542046784.00
2010/01/18	11.71	12.17	11.64	12.12	30587008	364073664.00
2010/01/19	12.15	12.29	11.91	11.91	28790788	347514560.00
2010/01/20	11.83	11.90	11.08	11.11	40740477	468746688.00
2010/01/21	11.11	11.30	11.03	11.14	16884597	188801136.00
2010/01/22	11.10	11.10	10.49	10.66	24817238	264918256.00
2010/01/25	10.54	10.70	10.41	10.42	11270688	118731936.00
2010/01/26	10.44	10.55	9.87	9.91	16645900	168327120.00
2010/01/27	9.95	10.22	9.78	9.94	15216671	152681456.00
2010/01/28	9.94	10.32	9.87	10.32	14579397	147564320.00
2010/01/29	10.20	10.70	10.15	10.41	20392934	213184208.00
2010/02/01	10.38	10.38	9.89	10.13	17369568	175974784.00
2010/02/02	10.22	10.47	10.08	10.26	18450694	189298832.00
2010/02/03	10.27	10.87	9.95	10.81	37041555	391219232.00
2010/02/04	10.70	11.77	10.55	11.54	59058338	672316992.00
2010/02/05	11.30	11.89	10.79	10.89	50215463	568270016.00
2010/02/08	10.72	11.16	10.46	10.94	25530948	275181376.00
2010/02/09	10.70	10.89	10.51	10.54	13099408	139702592.00
2010/02/10	10.60	10.73	10.42	10.54	8956343	94368136.00
2010/02/11	10.60	10.73	10.48	10.50	7777515	82334024.00
2010/02/12	10.58	10.79	10.51	10.69	9036758	96535672.00
2010/02/22	10.70	10.93	10.50	10.78	12805133	137685584.00
2010/02/23	10.77	11.07	10.68	11.07	19459645	213059808.00
2010/02/24	11.04	11.26	10.90	11.04	18963759	209556848.00
2010/02/25	11.04	11.34	11.04	11.28	23630750	264448416.00
2010/02/26	11.25	11.39	11.15	11.30	20492224	230943152.00
2010/03/01	11.33	11.69	11.26	11.51	25063032	289022432.00
2010/03/02	11.59	11.95	11.31	11.65	44583558	520159904.00
2010/03/03	11.56	11.78	11.50	11.62	29180854	339287648.00
2010/03/04	11.67	11.67	10.85	10.96	30627572	344960224.00
2010/03/05	10.97	11.21	10.69	11.00	19511749	214901920.00
2010/03/08	10.98	11.11	10.92	11.05	12460591	137298176.00
2010/03/09	11.04	11.04	10.80	10.93	14233114	154762992.00
2010/03/10	10.93	11.40	10.88	11.35	28273892	315547744.00
2010/03/11	11.30	11.31	10.96	11.02	15456667	171676304.00
2010/03/12	10.97	10.97	10.50	10.51	16305279	174980000.00
2010/03/15	10.54	10.63	10.41	10.50	9446278	99424152.00
2010/03/16	10.52	10.79	10.50	10.68	8445126	89943240.00
2010/03/17	10.70	11.38	10.65	11.23	31162455	346275232.00
2010/03/18	11.24	11.37	11.09	11.17	22552443	253257360.00
2010/03/19	11.19	11.59	11.13	11.30	31685763	359810240.00
2010/03/22	11.28	11.70	11.25	11.49	31379442	360021792.00
2010/03/23	11.51	11.54	11.11	11.21	22252851	251005136.00
2010/03/24	11.22	11.28	11.08	11.16	14943178	167029904.00
