000507 珠海港 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.90	3.95	3.81	3.94	2264800	8790061.00
2009/01/06	3.94	4.08	3.90	4.04	3364300	13469854.00
2009/01/07	4.03	4.09	3.99	4.05	3722100	15026538.00
2009/01/08	4.00	4.02	3.90	3.92	3191400	12616914.00
2009/01/09	3.94	4.04	3.90	4.04	2834000	11303282.00
2009/01/12	4.02	4.17	3.97	4.10	3970800	16137319.00
2009/01/13	4.06	4.14	3.97	4.00	3303700	13402893.00
2009/01/14	4.15	4.40	4.15	4.40	9596900	41279760.00
2009/01/16	4.59	4.79	4.41	4.46	15561600	71092584.00
2009/01/19	4.52	4.65	4.35	4.41	6375200	28584040.00
2009/01/20	4.45	4.51	4.35	4.51	4368500	19339966.00
2009/01/21	4.46	4.59	4.42	4.52	4797200	21633622.00
2009/01/22	4.55	4.79	4.46	4.74	9539100	44149108.00
2009/01/23	4.69	4.72	4.50	4.55	5897600	27211354.00
2009/02/02	4.55	4.64	4.49	4.59	4773200	21769104.00
2009/02/03	4.59	4.71	4.58	4.69	5599200	26120530.00
2009/02/04	4.78	4.90	4.67	4.90	9756200	46583408.00
2009/02/05	4.96	5.09	4.78	4.86	13419700	66731428.00
2009/02/06	4.86	5.11	4.86	5.07	9623500	48320584.00
2009/02/09	5.08	5.29	4.98	5.25	13553700	69528184.00
2009/02/10	5.20	5.47	5.13	5.45	11896500	63606424.00
2009/02/11	5.33	5.58	5.15	5.29	12982000	69943992.00
2009/02/12	5.39	5.54	5.15	5.52	13647200	73635408.00
2009/02/13	5.54	5.75	5.43	5.70	12089600	68171904.00
2009/02/16	6.13	6.27	5.73	6.27	25674700	156027808.00
2009/02/17	6.50	6.90	6.31	6.51	43017400	286044000.00
2009/02/18	6.20	6.70	6.11	6.42	24724700	157378144.00
2009/02/19	6.50	6.55	5.97	6.14	17272600	107371808.00
2009/02/20	6.14	6.41	5.86	6.29	14628500	89676384.00
2009/02/23	6.19	6.60	6.18	6.60	13889100	89270216.00
2009/02/24	6.49	6.63	6.10	6.11	15090100	95522192.00
2009/02/25	6.18	6.25	5.70	5.94	11471200	68449704.00
2009/02/26	5.90	6.08	5.35	5.37	10014300	56886160.00
2009/02/27	5.22	5.37	4.92	5.02	8692800	44453332.00
2009/03/02	4.92	5.31	4.92	5.23	6189600	31963734.00
2009/03/03	5.07	5.42	5.02	5.30	6880400	36417544.00
2009/03/04	5.29	5.60	5.26	5.60	8956600	49116232.00
2009/03/05	5.65	5.71	5.44	5.56	8956700	50020552.00
2009/03/06	5.45	5.65	5.40	5.59	6157700	34044808.00
2009/03/09	5.59	5.70	5.30	5.38	7012000	38220860.00
2009/03/10	5.32	5.55	5.30	5.53	4326800	23532030.00
2009/03/11	5.64	5.73	5.47	5.73	8144200	45571300.00
2009/03/12	5.78	6.07	5.65	6.07	17380100	101171448.00
2009/03/13	6.06	6.55	5.89	6.11	18204000	113651232.00
2009/03/16	6.15	6.40	5.99	6.32	13166500	82293176.00
2009/03/17	6.35	6.50	6.20	6.40	15641300	99442968.00
2009/03/18	6.40	6.44	6.30	6.30	12168500	77391504.00
2009/03/19	6.30	6.50	6.25	6.36	11012400	70236104.00
2009/03/20	6.36	6.36	6.07	6.13	10549100	65157592.00
2009/03/23	6.15	6.28	6.10	6.20	7434200	46215564.00
2009/03/24	6.27	6.47	6.19	6.41	12001100	76467368.00
2009/03/25	6.39	6.70	6.39	6.39	14042300	92126288.00
2009/03/26	6.39	6.63	6.16	6.58	11753200	75499992.00
2009/03/27	6.65	7.08	6.55	6.99	22508800	153389008.00
2009/03/30	6.99	7.23	6.90	6.93	16782300	118499128.00
2009/03/31	6.65	6.80	6.44	6.79	15682800	103851152.00
2009/04/01	6.80	6.97	6.71	6.82	13182400	89999032.00
2009/04/02	6.83	7.40	6.83	7.23	27094900	195631712.00
2009/04/03	7.24	7.28	6.92	6.97	16174500	114788152.00
2009/04/07	7.02	7.18	6.89	7.01	8007200	56331300.00
2009/04/08	7.05	7.16	6.68	6.68	10808800	75131024.00
2009/04/09	6.66	6.84	6.53	6.79	7567800	50735244.00
2009/04/10	6.82	7.16	6.81	7.04	10968300	76973496.00
2009/04/13	7.07	7.16	6.86	6.94	12928500	90672824.00
2009/04/14	6.91	7.17	6.80	7.12	20531200	143201744.00
2009/04/15	6.99	7.04	6.85	7.01	12588100	87410000.00
2009/04/16	7.02	7.20	6.91	7.13	14814100	105166888.00
2009/04/17	7.15	7.26	7.02	7.07	12939100	92551056.00
2009/04/20	7.05	7.35	7.02	7.27	14669000	105656408.00
2009/04/21	7.22	7.25	6.92	7.12	12463400	88387912.00
2009/04/22	7.14	7.17	6.50	6.57	13534300	92797008.00
2009/04/24	6.70	6.82	6.53	6.54	6652700	44378796.00
2009/04/27	6.34	6.34	5.89	5.89	14428900	85929824.00
2009/04/28	5.79	5.87	5.68	5.87	6610600	38148260.00
2009/04/29	5.80	6.03	5.79	6.03	8116000	48099996.00
2009/04/30	6.07	6.07	5.88	6.02	9559200	57128860.00
2009/05/04	6.06	6.40	6.05	6.36	11244800	70796920.00
2009/05/05	6.42	6.48	6.32	6.44	9059100	58011724.00
2009/05/06	6.44	6.56	6.34	6.56	10075800	65142096.00
2009/05/07	6.65	6.67	6.30	6.40	11706700	75363776.00
2009/05/08	6.35	6.54	6.18	6.43	10605100	67266032.00
2009/05/11	6.44	6.47	5.96	5.97	9629200	59719744.00
2009/05/12	5.91	6.12	5.87	6.11	4810800	28975068.00
2009/05/13	6.10	6.21	6.07	6.20	5906300	36172628.00
2009/05/14	6.16	6.21	6.07	6.15	4822200	29501050.00
2009/05/15	6.18	6.26	6.08	6.25	6773400	41672428.00
2009/05/18	6.19	6.37	6.14	6.30	7408100	46409440.00
2009/05/19	6.37	6.37	6.26	6.27	6623600	41757756.00
2009/05/20	6.32	6.47	6.18	6.39	10052600	63884348.00
2009/05/21	6.37	6.48	6.25	6.27	8636500	54858916.00
2009/05/22	6.26	6.30	6.10	6.16	4491433	27791792.00
2009/05/25	6.00	6.22	5.90	6.16	4278796	25874758.00
2009/05/26	6.13	6.78	6.12	6.77	35217458	235644256.00
2009/05/27	6.88	6.88	6.51	6.57	23985676	159919424.00
2009/06/01	6.68	6.85	6.59	6.72	15871369	106937768.00
2009/06/02	6.71	6.72	6.57	6.63	11223566	74320648.00
2009/06/03	6.58	6.74	6.57	6.61	10221444	67920112.00
2009/06/04	6.56	6.67	6.41	6.52	8479161	55163956.00
2009/06/05	6.50	6.73	6.50	6.52	9060875	60067780.00
