000531 穗恒运Ａ 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	5.31	5.59	5.30	5.58	1531800	8309636.50
2009/01/06	5.41	5.79	5.40	5.73	3497200	19726486.00
2009/01/07	5.76	5.76	5.60	5.65	1657100	9411160.00
2009/01/08	5.50	5.52	5.29	5.33	1263100	6803706.00
2009/01/09	5.31	5.65	5.31	5.52	1013900	5534243.50
2009/01/12	5.50	5.55	5.37	5.45	2821900	15318430.00
2009/01/13	5.30	5.63	5.30	5.44	1650400	8995135.00
2009/01/14	5.44	5.65	5.38	5.55	2406600	13210689.00
2009/01/15	5.46	5.59	5.35	5.47	1749900	9598651.00
2009/01/16	5.55	5.84	5.48	5.67	4703600	26960552.00
2009/01/19	5.67	5.83	5.61	5.75	1857800	10656666.00
2009/01/20	5.66	5.77	5.50	5.62	2019400	11310816.00
2009/01/21	5.53	5.56	5.40	5.49	2640500	14459488.00
2009/01/22	5.53	5.60	5.45	5.52	1343700	7419018.50
2009/01/23	5.51	5.56	5.45	5.53	1056200	5797531.00
2009/02/02	5.55	5.58	5.45	5.52	2326900	12822343.00
2009/02/03	5.52	6.07	5.52	6.07	5567700	32839052.00
2009/02/04	6.20	6.23	6.04	6.12	4000900	24494818.00
2009/02/05	5.99	6.10	5.80	5.84	5806100	34458540.00
2009/02/06	5.80	6.14	5.80	6.10	6981700	42047160.00
2009/02/09	6.25	6.45	6.16	6.39	5674000	35757620.00
2009/02/10	6.30	6.40	6.11	6.40	4036400	25228746.00
2009/02/11	6.30	6.98	6.20	6.96	6980800	46389908.00
2009/02/12	6.90	6.95	6.49	6.80	4501200	30112822.00
2009/02/13	6.75	7.15	6.60	7.05	4676900	32239056.00
2009/02/16	7.06	7.12	6.85	7.05	3848500	26834976.00
2009/02/17	7.00	7.30	6.68	6.84	5026700	34946792.00
2009/02/18	6.65	7.06	6.63	6.90	4379300	30230192.00
2009/02/19	6.90	7.05	6.75	7.00	2775500	19199308.00
2009/02/20	7.00	7.62	7.00	7.38	4982200	36833308.00
2009/02/23	7.28	7.63	7.15	7.63	4572400	33740316.00
2009/02/24	7.55	7.69	7.20	7.35	3872200	28733478.00
2009/02/25	7.41	7.45	6.62	6.96	3965000	27539320.00
2009/02/26	6.97	7.05	6.30	6.40	2779900	18693364.00
2009/02/27	6.38	6.49	5.93	6.12	2435900	15007009.00
2009/03/02	6.10	6.25	6.03	6.22	1565500	9648599.00
2009/03/03	6.04	6.29	6.01	6.28	1623500	10064048.00
2009/03/04	6.35	6.72	6.26	6.63	2734400	17866910.00
2009/03/05	6.69	6.92	6.55	6.77	3326300	22406612.00
2009/03/06	6.76	7.10	6.64	6.93	3112600	21355934.00
2009/03/09	6.95	7.00	6.39	6.53	1878500	12479009.00
2009/03/10	6.49	6.64	6.35	6.61	1040800	6715010.00
2009/03/11	6.71	6.77	6.49	6.59	1401700	9271681.00
2009/03/12	6.57	6.75	6.36	6.72	926700	6077181.00
2009/03/13	6.62	6.89	6.62	6.72	1177100	7946286.00
2009/03/16	6.72	7.00	6.65	6.98	3134500	21572098.00
2009/03/17	6.98	7.10	6.88	7.10	2963500	20835146.00
2009/03/18	7.10	7.20	7.04	7.15	3841700	27328294.00
2009/03/19	7.14	7.20	7.11	7.18	2066300	14785029.00
2009/03/20	7.20	7.20	6.85	6.97	2228000	15520769.00
2009/03/23	6.97	7.54	6.79	7.25	5267600	38163888.00
2009/03/24	7.30	7.98	7.26	7.98	7971100	61563408.00
2009/03/25	8.00	8.08	7.66	7.68	5575800	43947752.00
2009/03/26	7.60	7.98	7.60	7.98	2853500	22277060.00
2009/03/27	8.05	8.30	7.88	8.06	2434400	19593104.00
2009/03/30	8.04	8.67	7.88	8.47	3428300	28404310.00
2009/03/31	8.20	8.50	8.10	8.45	2361800	19629710.00
2009/04/01	8.49	8.50	8.25	8.45	1981100	16607600.00
2009/04/02	8.45	8.48	8.20	8.23	2253100	18671808.00
2009/04/03	8.03	8.67	8.03	8.24	1947900	16136729.00
2009/04/07	8.10	8.28	7.95	8.28	2344000	19101492.00
2009/04/08	8.28	8.45	8.10	8.30	2861700	23718378.00
2009/04/09	8.31	8.31	7.96	8.19	2960000	23978288.00
2009/04/10	8.10	8.48	7.97	8.39	4977200	40985000.00
2009/04/13	8.40	8.46	8.16	8.36	3291100	27366228.00
2009/04/14	8.28	8.37	8.19	8.32	2171300	17911356.00
2009/04/15	8.32	8.65	8.20	8.57	2515600	21223030.00
2009/04/16	8.53	8.57	8.13	8.20	3695700	30503030.00
2009/04/17	8.38	8.95	8.34	8.68	6420600	55644860.00
2009/04/20	8.70	9.11	8.60	9.07	4495100	39918844.00
2009/04/21	9.00	9.27	8.71	8.98	4873500	43815508.00
2009/04/22	9.02	9.15	8.31	8.48	4270500	37380680.00
2009/04/23	8.38	8.69	8.16	8.69	2325800	19626722.00
2009/04/24	9.54	9.56	9.45	9.56	10948600	104635512.00
2009/04/27	9.55	9.69	8.99	9.17	8733700	81426952.00
2009/04/28	9.09	9.27	8.95	9.18	4127300	37641136.00
