000541 佛山照明 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	6.00	6.05	5.92	6.05	2968800	17749882.00
2009/01/06	6.05	6.34	5.98	6.27	5544000	34449948.00
2009/01/07	6.28	6.32	6.16	6.26	5299100	33192836.00
2009/01/08	6.20	6.20	6.00	6.03	3694900	22458130.00
2009/01/09	6.10	6.18	6.04	6.15	2554200	15651048.00
2009/01/12	6.15	6.43	6.11	6.32	7444700	47106816.00
2009/01/13	6.28	6.35	6.12	6.16	3624400	22591942.00
2009/01/14	6.19	6.39	6.17	6.38	4824300	30501518.00
2009/01/15	6.33	6.58	6.26	6.48	7712200	49505504.00
2009/01/16	6.48	6.63	6.43	6.46	7602300	49748520.00
2009/01/19	6.50	6.59	6.40	6.47	5289800	34262416.00
2009/01/20	6.45	7.12	6.34	6.95	17427600	119485192.00
2009/01/21	6.85	6.96	6.70	6.83	10431500	71073936.00
2009/01/22	6.82	6.92	6.76	6.84	5839400	39939716.00
2009/01/23	6.85	7.11	6.76	6.91	11065900	77262744.00
2009/02/02	6.91	7.08	6.83	6.98	7294500	50707776.00
2009/02/03	6.96	7.07	6.89	7.07	9198800	64556680.00
2009/02/04	7.08	7.52	7.01	7.35	15521800	112263600.00
2009/02/05	7.34	7.56	7.11	7.18	15200200	111667864.00
2009/02/06	7.21	7.46	7.20	7.46	12120600	89295216.00
2009/02/09	7.61	7.65	7.39	7.64	15586300	117374920.00
2009/02/10	7.68	8.25	7.55	8.18	25858600	206881008.00
2009/02/11	8.03	8.19	7.88	7.99	19860200	159635968.00
2009/02/12	8.01	8.11	7.68	8.00	13482700	106451560.00
2009/02/13	8.00	8.38	7.98	8.30	20454700	167206192.00
2009/02/16	8.43	8.57	8.25	8.45	19122200	160945664.00
2009/02/17	8.47	8.49	8.01	8.02	14421100	118039144.00
2009/02/18	7.90	7.99	7.50	7.52	12346800	95671912.00
2009/02/19	7.66	7.90	7.57	7.68	9721900	74806176.00
2009/02/20	7.79	8.45	7.78	8.45	26766200	220836656.00
2009/02/23	8.49	8.65	8.23	8.61	29765400	252008960.00
2009/02/24	8.59	9.30	8.46	8.77	32414200	289066656.00
2009/02/25	9.00	9.35	8.90	9.08	32693000	297690112.00
2009/02/26	9.10	9.17	8.17	8.26	21219100	182867632.00
2009/02/27	8.01	8.20	7.60	7.70	13712400	106721536.00
2009/03/02	7.62	7.91	7.50	7.84	7517700	58328696.00
2009/03/03	7.60	8.15	7.50	7.94	8899400	69902856.00
2009/03/04	7.94	8.69	7.93	8.58	16094600	134344672.00
2009/03/05	8.68	9.08	8.53	8.77	22983300	202523600.00
2009/03/06	8.62	8.74	8.41	8.47	10797000	92319592.00
2009/03/09	8.51	8.68	7.91	8.01	10179600	83966480.00
2009/03/10	7.93	8.20	7.85	8.20	6203500	49959400.00
2009/03/11	8.39	8.50	8.15	8.49	9659300	80233512.00
2009/03/12	8.43	8.43	8.00	8.30	8645900	71095176.00
2009/03/13	8.30	8.40	8.12	8.16	6093300	50400316.00
2009/03/16	8.24	8.38	8.10	8.29	4997900	41146608.00
2009/03/17	8.28	8.58	8.20	8.52	10525400	88929960.00
2009/03/18	8.54	8.70	8.42	8.50	11513700	98818384.00
2009/03/19	8.51	8.68	8.41	8.68	13997100	120090960.00
2009/03/20	8.76	8.85	8.53	8.69	13648100	118518344.00
2009/03/23	8.70	9.07	8.60	8.92	15184900	135207376.00
2009/03/24	8.99	9.04	8.80	8.95	13391900	119496000.00
2009/03/25	8.89	9.26	8.82	8.96	23157300	210926144.00
2009/03/26	8.95	9.26	8.90	9.19	16239900	148723296.00
2009/03/27	9.26	9.75	9.26	9.39	19857600	188301808.00
2009/03/30	9.80	10.13	9.62	9.66	24033400	237283328.00
2009/03/31	9.30	9.85	9.20	9.84	14981600	142412464.00
2009/04/01	9.83	10.12	9.71	9.81	15315100	151923888.00
2009/04/02	9.82	9.88	9.63	9.66	12958700	125970832.00
2009/04/03	9.71	9.85	9.41	9.42	12452400	118556264.00
2009/04/07	9.50	9.88	9.42	9.86	10804800	103974120.00
2009/04/08	9.83	10.08	9.63	9.77	15092600	148673040.00
2009/04/09	9.95	10.75	9.80	10.63	29353700	298457920.00
2009/04/10	10.62	10.89	10.38	10.74	25459700	271728992.00
2009/04/13	10.82	11.14	10.45	10.70	21589800	233088272.00
2009/04/14	10.85	11.30	10.85	11.24	23722300	263478976.00
2009/04/15	11.16	11.34	10.99	11.24	16645600	185653568.00
2009/04/16	11.24	11.33	11.00	11.06	13945000	154833376.00
2009/04/17	11.00	11.00	10.68	10.75	14366100	154967888.00
2009/04/20	10.76	11.23	10.76	11.12	13032100	144458640.00
2009/04/21	11.00	11.18	10.80	11.05	13444700	147883040.00
2009/04/22	11.08	11.14	10.41	10.57	13004400	140981200.00
2009/04/23	10.57	10.73	10.37	10.62	12673100	133116912.00
2009/04/24	10.90	11.00	10.62	10.65	17261600	186414848.00
2009/04/27	10.49	10.60	10.00	10.02	11921900	121482440.00
2009/04/28	9.95	10.17	9.90	10.12	8048700	80925344.00
2009/04/29	10.16	10.43	10.03	10.40	7753600	79733672.00
2009/04/30	10.45	10.50	10.32	10.41	7127600	74166832.00
2009/05/04	10.41	10.75	10.41	10.72	9567600	101829144.00
2009/05/05	10.78	10.88	10.70	10.78	9344600	100787688.00
2009/05/06	10.79	10.98	10.75	10.88	12201700	132374592.00
2009/05/07	10.94	11.06	10.66	10.79	11498200	124800320.00
2009/05/08	10.68	10.72	10.50	10.69	9077400	96551824.00
2009/05/11	10.72	10.87	10.40	10.40	8635800	91990856.00
2009/05/12	10.36	10.59	10.32	10.59	5190300	54292232.00
2009/05/13	10.54	11.08	10.54	10.97	15949200	173801568.00
2009/05/14	10.85	11.04	10.80	10.89	8466700	92421024.00
2009/05/15	10.89	11.28	10.88	11.15	17740000	197319216.00
2009/05/18	11.05	11.12	10.70	11.04	8694100	94962608.00
2009/05/19	11.15	11.19	10.94	10.99	8898700	98099848.00
2009/05/20	11.00	11.08	10.88	10.88	7523000	82445048.00
2009/05/21	10.85	10.97	10.60	10.70	8004000	86027584.00
2009/05/22	10.69	10.98	10.66	10.90	6469643	70252312.00
2009/05/25	10.69	10.93	10.60	10.81	6705792	72319728.00
2009/05/27	11.00	11.05	10.68	10.78	7325253	79095424.00
2009/06/01	10.85	10.99	10.72	10.93	9271971	100652888.00
2009/06/02	10.95	11.07	10.88	10.94	9890426	108621384.00
2009/06/03	10.88	10.98	10.75	10.90	10676048	115869816.00
2009/06/04	10.89	11.40	10.83	11.40	25126383	280927072.00
2009/06/05	11.46	11.76	11.23	11.48	21483271	247003712.00
2009/06/08	11.51	11.79	11.36	11.41	14738514	170972496.00
2009/06/09	11.43	11.49	11.02	11.23	9202235	103182704.00
2009/06/10	11.30	11.77	11.18	11.58	12726054	146294592.00
2009/06/11	11.68	11.68	11.26	11.33	10878519	125364008.00
2009/06/12	11.43	11.46	11.08	11.16	9217482	103472320.00
2009/06/15	11.18	11.27	11.11	11.27	5609225	62878604.00
2009/06/16	11.21	11.38	11.15	11.28	6814270	76889632.00
2009/06/17	11.24	11.35	11.17	11.30	5119520	57623920.00
2009/06/18	11.31	11.69	11.30	11.65	14422239	166094016.00
2009/06/19	11.80	11.87	11.58	11.68	14682807	171823504.00
2009/06/22	11.82	12.27	11.70	12.11	17387768	209028048.00
2009/06/23	11.99	12.18	11.85	12.04	10264809	123247488.00
2009/06/24	12.05	12.19	12.00	12.07	11600549	139920304.00
2009/06/25	12.15	12.19	11.85	11.90	17999045	215788592.00
2009/06/26	8.18	8.34	8.07	8.14	14718681	120019760.00
2009/06/29	8.13	8.13	7.91	8.04	14156130	113009584.00
2009/06/30	8.06	8.08	7.94	7.99	8955116	71537632.00
2009/07/01	8.00	8.05	7.96	8.02	9188964	73467816.00
2009/07/02	8.05	8.05	7.95	7.97	11501725	91743416.00
2009/07/03	7.96	8.10	7.92	8.04	10985854	88130232.00
2009/07/06	8.04	8.09	7.95	8.01	10550656	84262832.00
2009/07/07	8.02	8.27	7.98	8.17	19679746	160007152.00
2009/07/08	8.13	8.25	8.09	8.19	11445289	93514760.00
2009/07/09	8.20	8.28	8.16	8.27	16302552	134028200.00
2009/07/10	8.28	8.35	8.25	8.32	14577785	121028944.00
2009/07/13	8.33	8.57	8.20	8.48	25357383	212395184.00
2009/07/14	8.49	8.50	8.38	8.50	18754555	158661280.00
2009/07/15	8.50	8.69	8.46	8.64	26196395	225457520.00
2009/07/16	8.66	8.73	8.41	8.46	21789973	186813264.00
2009/07/17	8.49	8.55	8.38	8.43	13691723	115418528.00
2009/07/20	8.45	8.64	8.45	8.61	20824498	179004768.00
2009/07/21	8.65	8.67	8.36	8.38	18230529	154522912.00
2009/07/22	8.35	8.43	8.31	8.38	16341882	136557584.00
2009/07/23	8.38	8.40	8.27	8.35	12305879	102322792.00
2009/07/24	8.37	8.50	8.30	8.49	20605882	173252640.00
2009/07/27	8.54	8.64	8.53	8.60	21047655	180571104.00
2009/07/28	8.62	9.10	8.43	9.00	40993000	360653280.00
2009/07/29	8.90	8.99	8.10	8.40	30497792	264955376.00
2009/07/30	8.37	8.80	8.36	8.73	22797745	195062080.00
2009/07/31	8.70	9.30	8.63	9.13	41973449	376815936.00
2009/08/03	9.13	9.29	9.05	9.16	25517978	234211168.00
2009/08/04	9.16	9.19	8.80	8.99	20396888	183025088.00
2009/08/05	9.00	9.21	8.85	9.01	15927568	144057424.00
2009/08/06	9.02	9.03	8.65	8.79	16582750	145949264.00
2009/08/07	8.75	9.00	8.55	8.59	13738813	120403568.00
2009/08/10	8.71	8.80	8.35	8.50	12027040	102516400.00
2009/08/11	8.52	8.64	8.50	8.59	7010217	60019380.00
2009/08/12	8.60	8.61	8.10	8.13	10639305	88619016.00
