000544 中原环保 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	6.04	6.19	5.96	6.17	2631200	16020863.00
2009/01/06	6.16	6.39	6.08	6.35	5960000	37479828.00
2009/01/07	6.38	6.50	6.25	6.39	5921200	37705716.00
2009/01/08	6.27	6.57	6.22	6.31	6469700	41374104.00
2009/01/09	6.35	6.60	6.33	6.56	8430500	54662804.00
2009/01/12	6.50	6.70	6.46	6.57	6634500	43779140.00
2009/01/13	6.53	6.53	6.18	6.27	5296100	33610388.00
2009/01/14	6.22	6.50	6.22	6.50	4948300	31658116.00
2009/01/15	6.42	6.76	6.38	6.68	9366900	62109148.00
2009/01/16	6.75	6.95	6.62	6.79	10929200	74230120.00
2009/01/19	6.85	6.98	6.75	6.87	8828600	60543816.00
2009/01/20	6.91	7.17	6.80	7.13	14675900	103061968.00
2009/01/21	7.00	7.38	6.85	7.21	16314200	116244320.00
2009/01/22	7.14	7.45	7.03	7.06	16982200	122304752.00
2009/01/23	7.02	7.02	6.76	6.78	8808800	60420856.00
2009/02/02	6.85	7.04	6.81	6.98	5459400	37876644.00
2009/02/03	6.99	7.29	6.95	7.20	9868700	70434200.00
2009/02/04	7.23	7.45	7.14	7.39	13668800	99784752.00
2009/02/05	7.44	7.56	7.22	7.52	16760100	123694088.00
2009/02/06	7.50	7.80	7.42	7.71	17783900	136057072.00
2009/02/09	7.78	7.80	7.53	7.69	15969700	122478448.00
2009/02/10	7.68	8.04	7.50	8.01	16245900	125564592.00
2009/02/11	7.80	8.36	7.74	7.85	18750300	150523072.00
2009/02/12	7.82	7.95	7.51	7.77	9865500	76006312.00
2009/02/13	7.81	8.29	7.77	8.10	13327200	107535184.00
2009/02/16	8.17	8.19	7.95	8.16	11416900	92485360.00
2009/02/17	8.18	8.45	8.03	8.03	15450200	127658728.00
2009/02/18	7.84	8.23	7.72	7.87	10003800	79905848.00
2009/02/19	7.95	8.28	7.93	8.25	10554200	85769656.00
2009/02/20	8.20	8.70	8.15	8.66	14181400	120792872.00
2009/02/23	8.66	8.93	8.47	8.76	12638200	109947808.00
2009/02/24	8.58	8.72	8.03	8.08	13634400	114116000.00
2009/02/25	8.23	8.33	7.91	8.33	9462800	77304880.00
2009/02/26	8.30	8.43	7.50	7.62	10382300	82771808.00
2009/02/27	7.60	7.66	7.05	7.19	7895000	57528620.00
2009/03/02	7.19	7.53	7.19	7.45	7362800	54703800.00
2009/03/03	7.21	7.57	7.10	7.53	6345300	46964920.00
2009/03/04	7.60	8.00	7.56	7.97	9635800	75377640.00
2009/03/05	8.06	8.08	7.70	7.92	9661700	76389944.00
2009/03/06	7.75	7.80	7.55	7.72	6101200	46921992.00
2009/03/09	7.73	7.80	7.26	7.36	5719700	43154972.00
2009/03/10	7.32	7.48	7.20	7.46	2965200	21879960.00
2009/03/11	7.65	7.66	7.20	7.32	3989400	29756110.00
2009/03/12	7.26	7.43	7.15	7.40	3640500	26616936.00
2009/03/13	7.45	7.65	7.22	7.52	6597900	49198100.00
2009/03/16	7.43	7.58	7.29	7.47	3745600	27941360.00
2009/03/17	7.50	7.73	7.42	7.68	5078100	38664604.00
2009/03/18	7.67	7.85	7.66	7.74	6695600	52040676.00
2009/03/19	7.88	8.00	7.69	7.96	7145900	56057472.00
2009/03/20	7.95	7.95	7.66	7.76	5784300	45007768.00
2009/03/23	7.74	7.95	7.72	7.93	6284000	49535456.00
2009/03/24	8.00	8.07	7.86	7.97	7090200	56499288.00
2009/03/25	7.94	8.18	7.75	7.91	10607800	84632408.00
2009/03/26	7.86	8.19	7.67	8.15	11908100	95370480.00
2009/03/27	8.17	8.49	8.02	8.36	15061400	124180248.00
2009/03/30	8.29	8.30	8.10	8.11	8005200	65431992.00
2009/03/31	7.90	8.05	7.84	8.00	5823600	46181900.00
2009/04/01	8.08	8.19	8.02	8.12	6678300	54143388.00
2009/04/02	8.12	8.28	8.05	8.10	7774100	63493668.00
2009/04/03	8.12	8.17	7.83	7.97	7644100	61203732.00
2009/04/07	7.95	8.35	7.92	8.32	11919900	97720112.00
2009/04/08	8.33	8.33	7.90	7.91	12433700	101069960.00
2009/04/09	7.94	7.99	7.71	7.95	5527600	43448940.00
2009/04/10	7.96	8.29	7.90	8.19	9363500	76124208.00
2009/04/13	8.20	8.30	8.12	8.19	7762600	63583260.00
2009/04/14	8.20	8.49	8.15	8.44	12167900	100939832.00
2009/04/15	8.38	8.42	8.15	8.29	10730900	88910624.00
2009/04/17	8.36	8.66	8.12	8.50	17420000	146730592.00
2009/04/20	8.46	9.19	8.45	8.90	23735500	210054000.00
2009/04/21	8.73	9.07	8.58	8.99	16787000	148528512.00
2009/04/22	9.02	9.15	8.21	8.29	12713400	110730712.00
2009/04/23	8.22	8.43	8.11	8.31	6567600	54368892.00
2009/04/24	8.33	8.44	8.09	8.15	5261900	43602408.00
2009/04/27	8.15	8.19	7.58	7.64	6684500	52617648.00
2009/04/28	7.61	7.81	7.58	7.78	3899400	30103290.00
2009/04/29	7.79	8.17	7.76	8.07	5316800	42413192.00
2009/04/30	8.18	8.18	8.00	8.05	4881900	39362196.00
2009/05/04	8.08	8.54	8.03	8.52	9573800	79567384.00
2009/05/05	8.52	8.67	8.38	8.65	8732600	74681600.00
2009/05/06	8.60	8.85	8.38	8.75	9757000	83847216.00
2009/05/07	8.76	9.61	8.60	9.40	28909600	263091440.00
2009/05/08	9.25	9.47	9.01	9.23	19630500	181158944.00
2009/05/11	9.15	9.30	8.55	8.55	11235700	100308544.00
2009/05/12	8.45	8.99	8.41	8.99	10158600	88991888.00
2009/05/13	9.26	9.26	8.96	8.98	8448300	76573344.00
