000581 威孚高科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	5.13	5.30	5.06	5.30	6125200	31749178.00
2009/01/06	5.27	5.53	5.22	5.48	9253900	50070892.00
2009/01/07	5.48	5.66	5.38	5.56	10011800	55378404.00
2009/01/08	5.43	5.50	5.25	5.30	6043700	32497882.00
2009/01/09	5.32	5.47	5.31	5.40	6507500	35128744.00
2009/01/12	5.38	5.65	5.36	5.58	7522800	41818384.00
2009/01/13	5.51	5.74	5.48	5.56	13859100	78486232.00
2009/01/14	5.49	5.85	5.49	5.84	11622900	66456780.00
2009/01/15	5.80	5.94	5.71	5.82	9221800	53852504.00
2009/01/16	5.85	6.10	5.80	5.82	10818200	64513876.00
2009/01/19	5.86	6.01	5.67	5.74	9231800	53528284.00
2009/01/20	5.73	5.94	5.62	5.91	11703500	67365000.00
2009/01/21	5.80	6.22	5.77	6.07	15549000	94034472.00
2009/01/22	6.15	6.26	6.04	6.24	12985300	79660992.00
2009/01/23	6.18	6.66	6.06	6.52	19937700	127045136.00
2009/02/02	6.58	6.84	6.50	6.57	15018800	99884224.00
2009/02/03	6.59	6.96	6.49	6.93	16680800	113100704.00
2009/02/04	6.88	7.07	6.84	6.94	16092000	111874552.00
2009/02/05	6.90	7.14	6.48	6.60	16503200	112592232.00
2009/02/06	6.66	7.26	6.66	7.26	33428100	238730656.00
2009/02/09	7.35	7.38	7.18	7.30	24518800	178398688.00
2009/02/10	7.31	7.63	7.20	7.61	20467100	152183408.00
2009/02/11	7.40	7.62	7.22	7.34	24461400	180716576.00
2009/02/12	7.36	7.44	7.02	7.35	13755200	99306608.00
2009/02/13	7.33	8.05	7.29	8.00	29893800	232043328.00
2009/02/16	8.03	8.17	7.74	8.10	20844700	165850000.00
2009/02/17	8.05	8.05	7.50	7.50	22348800	172898832.00
2009/02/18	7.30	7.73	7.20	7.53	26645000	199031776.00
2009/02/19	7.54	8.04	7.49	7.98	21574900	167795456.00
2009/02/20	8.00	8.59	7.80	8.44	28923900	238342928.00
2009/02/23	8.43	8.85	8.15	8.77	23608600	202743376.00
2009/02/24	8.67	8.83	8.09	8.55	32347800	271621504.00
2009/02/25	8.55	8.70	8.01	8.36	22431400	187187616.00
2009/02/26	8.28	8.45	7.52	7.54	25399300	201564576.00
2009/02/27	7.35	7.50	6.79	7.02	22818200	159991728.00
2009/03/02	6.88	7.26	6.80	7.15	11310200	80150744.00
2009/03/03	6.99	7.28	6.91	7.16	8804100	62553292.00
2009/03/04	7.29	7.87	7.26	7.82	17632800	134278384.00
2009/03/05	7.88	7.97	7.50	7.76	19385100	150896528.00
2009/03/06	7.56	7.73	7.52	7.60	8194400	62518444.00
2009/03/09	7.68	7.86	7.35	7.40	10518500	80488896.00
2009/03/10	7.40	7.58	7.33	7.57	5561900	41581916.00
2009/03/11	7.75	7.93	7.59	7.67	9822700	76161432.00
2009/03/12	7.65	7.74	7.40	7.65	7144800	54088080.00
2009/03/13	7.74	7.91	7.64	7.82	9965300	77780496.00
2009/03/16	7.94	8.09	7.70	8.08	9942700	79009784.00
2009/03/17	8.11	8.60	7.95	8.47	17488900	144821760.00
2009/03/18	8.47	8.86	8.38	8.58	15760900	135565248.00
2009/03/19	8.57	8.82	8.50	8.70	11085300	96647096.00
2009/03/20	8.73	8.78	8.40	8.48	10192300	86994136.00
2009/03/23	8.57	9.13	8.52	9.00	14005200	124127312.00
2009/03/24	9.19	9.59	9.05	9.25	15648900	146062688.00
2009/03/25	9.21	9.48	8.97	9.00	15970500	146734752.00
2009/03/26	8.92	9.26	8.61	9.16	18416500	164836656.00
2009/03/27	9.10	9.97	9.05	9.78	23336900	219811376.00
2009/03/30	9.85	10.10	9.60	9.94	26328300	260780112.00
2009/03/31	9.80	10.41	9.60	10.28	25779800	259332368.00
2009/04/01	10.33	10.84	10.11	10.13	40461300	424310528.00
2009/04/02	10.12	10.34	9.90	10.06	31999300	323313472.00
2009/04/03	10.07	10.30	9.65	10.08	35505900	352771712.00
2009/04/07	10.00	10.24	9.82	9.96	14073000	140458800.00
2009/04/08	9.95	10.16	9.89	10.06	20528500	205814768.00
2009/04/09	10.06	10.08	9.28	9.70	20690200	200200560.00
2009/04/10	9.70	10.08	9.47	10.00	21987300	216327808.00
2009/04/13	10.00	10.56	9.95	10.39	28115900	287821952.00
2009/04/14	10.33	11.17	10.31	11.00	34060200	370537408.00
2009/04/15	11.09	12.10	11.09	12.10	46184300	533594720.00
2009/04/16	12.15	12.20	11.51	11.70	29896500	352097376.00
2009/04/17	11.74	12.20	11.56	12.00	30783400	366508640.00
2009/04/20	11.50	11.71	10.90	11.30	45048400	509712320.00
2009/04/21	11.15	11.29	10.63	10.88	25705600	281258624.00
2009/04/22	10.90	11.32	10.18	10.41	20280400	219253328.00
2009/04/23	10.30	10.90	10.09	10.78	19159900	200150704.00
2009/04/24	10.62	10.87	10.45	10.48	10694900	113635272.00
2009/04/27	10.23	10.35	9.80	9.90	23381600	233838656.00
2009/04/28	9.85	10.12	9.82	10.02	7312100	73045784.00
2009/04/29	10.02	10.64	10.00	10.50	12394300	128964776.00
2009/04/30	10.60	10.92	10.42	10.85	11782500	126455304.00
2009/05/04	10.91	11.45	10.91	11.35	21463700	242662320.00
2009/05/05	11.46	11.67	11.28	11.50	19199200	220002320.00
2009/05/06	11.50	11.97	11.39	11.74	17960100	211079488.00
2009/05/07	11.99	12.00	11.38	11.75	16248900	189427808.00
2009/05/08	11.70	12.39	11.57	12.13	23560700	285654080.00
2009/05/11	12.21	12.50	11.80	11.86	20513900	247384208.00
2009/05/13	12.20	12.47	11.88	12.05	15960200	194201504.00
2009/05/14	11.84	12.15	11.84	12.07	8890100	106712416.00
2009/05/15	12.10	12.85	12.10	12.60	18893300	237523312.00
2009/05/18	12.48	13.54	12.48	13.50	26927000	351743040.00
2009/05/19	13.61	13.83	13.15	13.30	21567000	288425184.00
2009/05/20	13.35	13.50	13.11	13.30	13468000	179238832.00
2009/05/21	13.31	13.47	12.53	12.62	19035500	243989152.00
