000610 西安旅游 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.31	3.39	3.30	3.38	1409700	4726948.00
2009/01/06	3.36	3.55	3.25	3.52	2592500	9009819.00
2009/01/07	3.48	3.71	3.48	3.70	4336600	15600039.00
2009/01/08	3.60	3.72	3.56	3.66	3719800	13532180.00
2009/01/09	3.68	3.75	3.67	3.73	2585100	9587410.00
2009/01/12	3.73	3.78	3.68	3.70	2838500	10587440.00
2009/01/13	3.70	3.80	3.56	3.56	4463800	16489537.00
2009/01/14	3.54	3.72	3.53	3.71	2501600	9095605.00
2009/01/15	3.68	3.84	3.66	3.75	4300200	16220772.00
2009/01/16	3.97	4.13	3.90	4.13	12727500	52423960.00
2009/01/19	4.16	4.17	3.90	3.99	8458400	33957024.00
2009/01/20	3.93	3.97	3.84	3.92	3648400	14205534.00
2009/01/21	3.85	3.93	3.80	3.86	3194400	12389086.00
2009/01/22	3.91	3.93	3.84	3.91	2800100	10884503.00
2009/01/23	3.93	3.93	3.85	3.86	2284900	8885876.00
2009/02/02	3.90	3.99	3.82	3.97	3344900	13117464.00
2009/02/03	3.96	4.25	3.91	4.17	7017800	28728346.00
2009/02/04	4.15	4.35	4.12	4.33	8600100	36348864.00
2009/02/05	4.27	4.45	4.20	4.27	9074100	39211032.00
2009/02/06	4.26	4.57	4.21	4.49	12951400	56949396.00
2009/02/09	4.50	4.87	4.37	4.73	12481800	57664860.00
2009/02/10	4.69	5.15	4.59	5.02	9572900	46666196.00
2009/02/11	4.90	5.20	4.80	4.89	9867000	49513184.00
2009/02/12	4.89	4.98	4.72	4.86	4575800	22051084.00
2009/02/13	4.92	5.10	4.83	5.09	5509800	27518216.00
2009/02/16	5.16	5.23	4.95	5.23	6917200	35234892.00
2009/02/17	5.75	5.75	5.62	5.71	14561000	83616760.00
2009/02/18	5.45	5.71	5.21	5.23	11920800	64974276.00
2009/02/19	5.34	5.47	4.97	5.14	7715900	39412084.00
2009/02/20	5.08	5.20	5.02	5.20	6266500	32178072.00
2009/02/23	5.20	5.37	5.05	5.34	5977000	31237782.00
2009/02/24	5.23	5.30	4.95	4.99	7264800	37153660.00
2009/02/25	5.02	5.09	4.80	4.94	4412200	21632540.00
2009/02/26	4.93	5.09	4.47	4.53	4256000	20638890.00
2009/02/27	4.53	4.54	4.10	4.21	3466800	14681228.00
2009/03/02	4.18	4.34	4.12	4.29	2387900	10166586.00
2009/03/03	4.18	4.67	4.09	4.51	4484000	19980656.00
2009/03/04	4.54	4.96	4.52	4.96	9194200	44627164.00
2009/03/05	5.14	5.14	4.75	4.92	10151900	49862836.00
2009/03/06	4.80	5.10	4.71	4.98	7273100	36065500.00
2009/03/09	5.01	5.03	4.77	4.88	4625500	22465098.00
2009/03/10	4.84	5.36	4.76	5.31	11593300	59512200.00
2009/03/11	5.45	5.45	5.07	5.12	9842900	50955996.00
2009/03/12	5.08	5.19	4.96	5.12	6261100	31737658.00
2009/03/13	5.10	5.16	5.01	5.09	5176000	26304706.00
2009/03/16	5.04	5.12	4.84	5.06	4799300	23900950.00
2009/03/17	5.06	5.15	4.88	5.11	7278100	36783796.00
2009/03/18	5.16	5.29	5.10	5.17	9669000	50360224.00
2009/03/19	5.16	5.32	5.15	5.27	6753000	35466372.00
2009/03/20	5.25	5.58	5.21	5.44	14141800	76961664.00
2009/03/23	5.53	5.70	5.38	5.54	14310300	79359432.00
2009/03/24	5.54	5.56	5.40	5.48	6861500	37582952.00
2009/03/25	5.44	5.69	5.41	5.43	7210200	40207632.00
2009/03/26	5.36	5.51	5.22	5.51	5486100	29605352.00
2009/03/27	5.48	5.50	5.30	5.45	5296700	28619346.00
2009/03/30	5.44	5.44	5.31	5.35	3959100	21198336.00
2009/03/31	5.20	5.33	5.15	5.33	3093600	16230652.00
2009/04/01	5.34	5.44	5.33	5.39	4218000	22747464.00
2009/04/02	5.35	5.44	5.28	5.40	5657300	30404934.00
2009/04/03	5.41	5.43	5.20	5.24	3801000	20114580.00
2009/04/07	5.22	5.37	5.19	5.37	2947700	15666708.00
2009/04/08	5.40	5.66	5.40	5.46	13269200	73510992.00
2009/04/09	5.40	5.85	5.21	5.83	16796700	94879632.00
2009/04/10	5.83	5.87	5.60	5.86	15206500	87615000.00
2009/04/13	5.85	5.85	5.70	5.75	8757600	50431140.00
2009/04/14	5.75	5.75	5.56	5.66	6966900	39315556.00
2009/04/15	5.63	5.70	5.51	5.70	5906900	33185474.00
2009/04/16	5.65	5.75	5.55	5.71	6965700	39630368.00
2009/04/17	5.69	5.80	5.61	5.77	6688100	38198176.00
2009/04/20	5.78	6.06	5.66	5.95	12712700	74806312.00
2009/04/21	5.84	6.15	5.80	6.00	10787700	64681636.00
2009/04/22	5.95	6.14	5.50	5.58	11562500	68390072.00
2009/04/23	5.57	5.57	5.22	5.43	5594300	30011200.00
2009/04/24	5.42	5.49	5.31	5.42	4135800	22353042.00
2009/04/27	5.37	5.40	5.08	5.08	3952300	20651408.00
2009/04/28	5.01	5.09	4.80	5.00	4959100	24513098.00
2009/04/29	4.99	5.21	4.93	5.17	4294800	21857856.00
2009/04/30	5.19	5.27	5.11	5.25	4717000	24504132.00
2009/05/04	5.22	5.40	5.16	5.36	5360900	28455618.00
2009/05/05	5.35	5.56	5.28	5.51	6786000	36772264.00
2009/05/06	5.45	6.04	5.42	5.98	13369300	76986848.00
2009/05/07	6.13	6.13	5.74	6.09	23584700	141326160.00
2009/05/08	6.08	6.48	5.90	6.37	22341800	137224096.00
2009/05/11	6.40	6.47	6.15	6.26	22316400	140155248.00
2009/05/12	6.28	6.43	5.92	6.20	19862100	121960272.00
2009/05/13	6.05	6.24	5.92	6.07	14669800	89165992.00
2009/05/14	6.10	6.10	5.90	6.00	7640600	45578332.00
2009/05/18	5.94	6.15	5.83	6.04	7628600	45545668.00
2009/05/19	6.05	6.18	5.92	6.14	16215400	98428616.00
2009/05/20	6.10	6.10	5.92	5.92	9128100	54679608.00
