000616 *ST海投 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.18	4.26	4.10	4.17	8224000	34456312.00
2009/01/09	4.16	4.28	4.14	4.24	4888400	20597718.00
2009/01/12	4.20	4.37	4.20	4.25	4123300	17659722.00
2009/01/13	4.24	4.34	4.19	4.26	4871700	20803430.00
2009/01/14	4.26	4.42	4.26	4.41	4334400	18902998.00
2009/01/15	4.36	4.49	4.31	4.41	4791400	21078126.00
2009/01/16	4.40	4.53	4.40	4.41	5611700	25056344.00
2009/01/19	4.43	4.62	4.43	4.62	8998200	40786836.00
2009/01/20	4.62	4.62	4.48	4.55	3768300	17071514.00
2009/01/21	4.48	4.59	4.43	4.51	3506100	15804668.00
2009/01/22	4.55	4.59	4.48	4.56	3842100	17399866.00
2009/01/23	4.55	4.64	4.50	4.57	7081900	32333258.00
2009/02/02	4.56	4.62	4.48	4.53	5453200	24729870.00
2009/02/03	4.53	4.86	4.44	4.74	15652400	72153160.00
2009/02/04	4.76	4.80	4.65	4.79	9904200	46942104.00
2009/02/05	4.80	4.95	4.75	4.80	13632700	66343608.00
2009/02/09	5.10	5.28	5.05	5.28	26796000	138858528.00
2009/02/10	5.25	5.63	5.20	5.53	30575000	166605920.00
2009/02/11	5.46	5.78	5.39	5.59	20843800	117222400.00
2009/02/12	5.58	6.15	5.28	6.10	22518200	127617056.00
2009/02/13	6.21	6.37	5.87	6.28	26051200	160508208.00
2009/02/16	6.35	6.35	5.97	6.14	18550800	112938576.00
2009/02/17	6.14	6.14	5.63	5.64	23108200	134072160.00
2009/02/18	5.50	5.71	5.44	5.70	21602600	119665064.00
2009/02/19	5.70	5.87	5.63	5.85	11383400	65402984.00
2009/02/20	5.86	6.08	5.70	5.92	20424800	121401344.00
2009/02/23	5.99	6.33	5.96	6.25	31165000	192149936.00
2009/02/24	6.15	6.50	6.08	6.08	25618200	160501136.00
2009/02/25	6.20	6.30	5.82	5.90	16017200	98162888.00
2009/02/26	5.90	5.90	5.31	5.36	8352800	47848552.00
2009/02/27	5.30	5.58	5.15	5.36	8668900	46195328.00
2009/03/02	5.30	5.71	5.30	5.57	4965300	27624122.00
2009/03/03	5.50	5.58	5.36	5.45	5885400	32266162.00
2009/03/04	5.53	5.92	5.40	5.92	11690800	66894732.00
2009/03/05	5.98	6.25	5.85	6.05	12998200	78740080.00
2009/03/06	5.95	6.36	5.87	6.18	12966100	80643728.00
2009/03/09	6.21	6.48	5.97	6.09	14049600	88268256.00
2009/03/10	6.00	6.12	5.69	6.11	10042300	59004860.00
2009/03/11	6.22	6.35	6.02	6.08	8741000	53832844.00
2009/03/12	6.60	6.60	6.12	6.45	54546500	345978944.00
2009/03/13	6.52	6.79	6.35	6.58	32781200	216025072.00
2009/03/16	6.49	6.71	6.37	6.66	24752100	162196192.00
2009/03/17	6.61	7.32	6.56	7.19	37328400	261490640.00
2009/03/18	7.18	7.53	7.15	7.27	31978700	234231008.00
2009/03/19	7.33	7.58	7.32	7.39	22669300	168329376.00
2009/03/20	7.40	7.42	7.11	7.29	22105200	161066656.00
2009/03/23	7.27	7.69	7.25	7.45	24489600	184576528.00
2009/03/24	7.62	7.68	7.43	7.49	19660700	148302496.00
2009/03/25	7.50	7.55	7.23	7.24	14175300	105149312.00
2009/03/26	7.30	7.55	7.20	7.54	15230100	112317432.00
2009/03/27	7.56	7.59	7.41	7.59	14110500	106181808.00
2009/03/30	7.60	7.78	7.52	7.65	12957200	99690544.00
2009/03/31	7.38	7.69	7.31	7.68	10952700	82049120.00
2009/04/01	7.69	7.95	7.67	7.75	16904200	131918448.00
2009/04/03	7.93	8.15	7.80	7.94	20717200	165542224.00
2009/04/07	7.90	8.01	7.71	7.86	11049600	86703872.00
2009/04/08	7.84	7.86	7.36	7.40	13653900	103779608.00
2009/04/09	7.43	7.68	7.41	7.66	11813800	89195152.00
2009/04/10	7.70	8.07	7.65	8.03	18023300	142523152.00
2009/04/13	8.08	8.23	8.04	8.20	16582700	134752576.00
2009/04/14	8.22	8.80	8.11	8.68	18254500	155291264.00
2009/04/15	8.57	8.98	8.45	8.85	21386600	186593184.00
2009/04/16	8.86	8.88	8.58	8.75	13308700	116325920.00
2009/04/17	9.11	9.55	8.98	9.15	28976100	267065936.00
2009/04/20	9.05	9.34	9.01	9.16	20789800	190407536.00
2009/04/21	9.08	9.14	8.78	8.99	19164000	171546960.00
2009/04/22	9.10	9.13	8.20	8.32	26301600	226219136.00
2009/04/23	5.38	5.66	5.10	5.51	24146200	130030928.00
2009/04/24	5.50	5.71	5.46	5.51	12467800	69746224.00
2009/04/27	5.46	5.46	4.98	5.00	17935900	92924272.00
2009/04/28	5.00	5.07	4.86	4.94	12499400	61944284.00
2009/04/29	4.98	5.43	4.98	5.31	19366100	101186912.00
2009/04/30	5.35	5.53	5.31	5.34	16659600	90006696.00
2009/05/04	5.35	5.82	5.35	5.71	23293200	131198088.00
2009/05/05	5.71	6.04	5.70	5.87	29475200	173375584.00
2009/05/06	5.88	6.02	5.78	5.90	21835000	128340072.00
2009/05/07	5.90	5.94	5.55	5.70	23368700	134068232.00
2009/05/08	5.72	6.20	5.66	6.04	36253800	216122736.00
2009/05/11	6.06	6.15	5.74	5.74	27691800	165448544.00
2009/05/12	5.61	6.01	5.61	5.97	14821600	85897432.00
2009/05/13	5.98	6.06	5.88	5.92	13510800	80480176.00
2009/05/14	5.88	6.00	5.77	5.90	10322500	60488148.00
2009/05/15	5.91	6.16	5.91	6.00	19168900	116089656.00
2009/05/18	5.98	5.99	5.78	5.91	10988100	64671404.00
2009/05/19	5.96	6.12	5.88	5.92	15812300	94738264.00
2009/05/20	5.90	5.95	5.79	5.82	14520800	84881320.00
2009/05/21	5.79	5.98	5.76	5.87	15795200	92546744.00
2009/05/22	5.81	5.90	5.74	5.77	14342344	83525272.00
2009/05/25	5.55	5.82	5.45	5.80	16367868	92342952.00
2009/05/26	5.76	5.89	5.64	5.66	15202190	87565256.00
2009/05/27	5.70	5.74	5.60	5.65	7867556	44649360.00
2009/06/01	5.78	5.89	5.74	5.79	12315879	71691080.00
2009/06/02	5.85	6.02	5.81	5.98	22435606	133500848.00
2009/06/03	5.98	6.58	5.98	6.58	65841138	423894016.00
2009/06/04	6.73	6.92	6.55	6.92	66099212	443257824.00
2009/06/05	6.83	6.92	6.67	6.68	29747590	201451424.00
2009/06/08	6.64	7.26	6.60	7.00	45681189	317888096.00
2009/06/09	7.00	7.17	6.80	7.06	21993944	153155184.00
2009/06/10	7.03	7.14	6.80	6.91	20581592	142682752.00
2009/06/11	6.91	6.94	6.69	6.79	14106457	95950112.00
2009/06/12	6.73	6.97	6.66	6.91	16739535	114220248.00
2009/06/15	6.90	7.04	6.74	6.96	12185404	83902744.00
2009/06/16	6.85	6.88	6.65	6.72	15501425	104582080.00
2009/06/17	6.68	7.23	6.58	7.10	24229073	168035968.00
2009/06/18	7.06	7.17	6.96	7.00	21503542	151633520.00
2009/06/19	6.99	7.19	6.95	6.98	17241437	121743760.00
2009/06/22	7.02	7.14	6.69	6.76	23842179	163717152.00
2009/06/23	6.66	6.87	6.62	6.72	10912457	73788480.00
2009/06/25	6.82	7.01	6.82	6.85	16738294	115947800.00
2009/06/26	6.85	7.38	6.85	7.25	38837841	278375808.00
2009/06/29	7.27	7.80	7.18	7.51	40326003	304120704.00
2009/06/30	7.55	7.74	7.42	7.59	28440862	216734144.00
2009/07/01	7.60	8.09	7.53	7.99	30871623	244492384.00
2009/07/02	8.00	8.18	7.80	7.98	23424567	185594592.00
2009/07/03	7.88	8.37	7.81	8.35	35125150	285097600.00
2009/07/06	8.37	8.49	8.00	8.05	30346508	247743104.00
2009/07/07	8.05	8.05	7.73	7.81	18845981	148007584.00
2009/07/08	7.71	8.12	7.65	8.05	19882987	156744400.00
2009/07/09	8.05	8.05	7.79	7.89	14619574	115443784.00
2009/07/10	7.89	8.09	7.67	7.92	33089657	259858336.00
2009/07/13	7.88	8.00	7.78	7.82	17357439	136817264.00
2009/07/14	7.85	7.95	7.75	7.93	29482201	231662352.00
2009/07/15	7.94	8.11	7.80	7.97	44826857	355716608.00
2009/07/16	8.01	8.16	7.80	7.93	47389490	378493472.00
2009/07/17	7.91	7.93	7.60	7.82	34286064	267788096.00
2009/07/20	7.84	7.84	7.58	7.70	50737560	388650240.00
2009/07/21	7.71	7.78	7.53	7.60	37077283	284500800.00
2009/07/22	7.58	7.68	7.49	7.62	32494770	246401760.00
2009/07/23	7.65	7.89	7.60	7.88	52352677	409083040.00
2009/07/24	7.94	7.99	7.48	7.58	43277009	332838432.00
2009/07/27	7.60	7.66	7.54	7.64	23794606	180746752.00
2009/07/28	7.67	7.76	7.50	7.70	35136361	267793280.00
2009/07/29	7.72	7.72	6.93	6.97	46762719	340731712.00
2009/07/30	6.97	7.20	6.51	6.85	31151764	211619840.00
2009/07/31	6.92	7.15	6.72	7.11	31799911	220267040.00
2009/08/03	7.10	7.27	6.93	7.18	30811320	218681600.00
2009/08/04	7.18	7.31	7.06	7.14	25316378	181884048.00
2009/08/05	7.15	7.18	6.91	7.02	20834335	146559664.00
2009/08/06	7.00	7.24	6.67	7.07	33632026	235084096.00
2009/08/07	7.05	7.08	6.75	6.76	18922578	130647456.00
2009/08/10	6.84	6.88	6.62	6.72	12290958	82936480.00
2009/08/11	6.77	6.89	6.72	6.80	9420117	64142672.00
