000810 创维数字 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.61	4.61	4.40	4.43	1943600	8672565.00
2009/01/09	4.41	4.59	4.41	4.59	1381800	6254508.00
2009/01/12	4.58	4.72	4.55	4.65	1729300	8057100.00
2009/01/13	4.55	4.66	4.46	4.52	904200	4119276.50
2009/01/14	4.53	4.71	4.52	4.70	1367400	6344057.00
2009/01/15	4.65	4.83	4.60	4.74	1998500	9453110.00
2009/01/16	4.75	4.87	4.69	4.70	2255100	10803339.00
2009/01/19	4.73	4.78	4.56	4.65	1323100	6184955.50
2009/01/20	4.65	4.70	4.58	4.70	829300	3856767.00
2009/01/21	4.65	4.85	4.63	4.79	2031800	9730571.00
2009/01/22	4.79	4.81	4.71	4.80	980200	4674246.50
2009/01/23	4.81	4.83	4.70	4.74	958400	4562692.00
2009/02/02	4.81	4.90	4.73	4.87	1293700	6269813.00
2009/02/03	4.87	5.15	4.87	5.13	2747800	13882319.00
2009/02/04	5.15	5.20	5.00	5.10	2234500	11346154.00
2009/02/05	5.15	5.19	4.93	4.99	2517800	12802154.00
2009/02/06	4.99	5.20	4.99	5.19	2532400	13004012.00
2009/02/09	5.27	5.34	5.17	5.27	2218400	11641950.00
2009/02/10	5.25	5.48	5.20	5.47	2232200	11991612.00
2009/02/11	5.40	5.61	5.33	5.42	2467200	13503385.00
2009/02/12	5.52	5.54	5.26	5.52	1789600	9701879.00
2009/02/13	5.51	5.79	5.50	5.77	2498700	14218967.00
2009/02/16	5.80	6.06	5.76	5.93	2369900	14013294.00
2009/02/17	5.87	6.33	5.83	5.95	2963300	18016398.00
2009/02/18	5.85	5.89	5.38	5.42	2106900	11899960.00
2009/02/19	5.51	5.61	5.41	5.55	1076000	5913606.00
2009/02/20	5.58	5.81	5.55	5.80	1489200	8433215.00
2009/02/23	5.81	6.19	5.74	6.05	2508400	15006155.00
2009/02/24	6.08	6.09	5.51	5.51	2771400	15973657.00
2009/02/25	5.59	5.75	5.40	5.68	1727600	9678425.00
2009/02/26	5.68	5.82	5.15	5.65	2200100	12232860.00
2009/02/27	5.44	5.44	5.15	5.35	2112800	11134917.00
2009/03/02	5.25	5.41	5.15	5.38	1423400	7564766.50
2009/03/03	5.27	5.63	5.17	5.57	3108800	17105268.00
2009/03/04	5.55	5.91	5.55	5.85	3992200	23065994.00
2009/03/05	5.83	5.90	5.65	5.83	2526200	14608454.00
2009/03/06	5.69	6.00	5.69	5.76	2821500	16602265.00
2009/03/09	5.73	5.87	5.28	5.37	1894100	10548572.00
2009/03/10	5.30	5.46	5.20	5.43	1441900	7648820.00
2009/03/11	5.54	5.76	5.44	5.71	2747800	15370314.00
2009/03/12	5.72	5.79	5.50	5.69	2116800	11973571.00
2009/03/13	5.73	5.85	5.56	5.56	1554900	8901458.00
2009/03/16	5.53	5.72	5.37	5.69	1129000	6266520.50
2009/03/17	5.65	5.86	5.59	5.79	2168500	12511327.00
2009/03/18	5.81	6.02	5.81	5.83	3112400	18454762.00
2009/03/19	5.85	6.03	5.82	6.00	2328000	13855438.00
2009/03/20	6.02	6.02	5.75	5.88	1862500	10914253.00
2009/03/23	5.93	6.21	5.80	6.07	2617000	15713825.00
2009/03/24	6.07	6.10	5.93	5.96	2508400	15041104.00
2009/03/25	5.96	5.96	5.74	5.74	1869100	10954793.00
2009/03/26	5.77	5.89	5.62	5.86	1241800	7182030.50
2009/03/27	5.85	5.94	5.81	5.89	1469100	8657706.00
2009/03/30	5.90	6.03	5.85	6.01	1540700	9191547.00
2009/03/31	5.91	6.20	5.88	6.20	2617000	15835790.00
2009/04/01	6.40	6.40	6.10	6.18	3374500	21127704.00
2009/04/02	6.20	6.31	6.10	6.23	2342900	14518490.00
2009/04/03	6.25	6.30	6.01	6.08	1758900	10821994.00
