000935 四川双马 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	7.18	7.48	6.93	7.05	9650200	69275152.00
2009/01/09	7.19	7.40	7.01	7.40	8561300	62135136.00
2009/01/12	7.37	7.60	7.35	7.36	5657400	42062640.00
2009/01/13	7.25	7.34	6.99	7.00	7100500	50440232.00
2009/01/14	7.00	7.29	6.95	7.25	4207900	30096860.00
2009/01/15	7.10	7.45	7.10	7.26	5137400	37682944.00
2009/01/16	7.30	7.40	7.09	7.11	6539800	46986684.00
2009/01/19	7.17	7.25	6.98	7.09	4020900	28462946.00
2009/01/20	7.06	7.29	7.03	7.29	3471700	24846824.00
2009/01/21	7.30	7.47	7.21	7.37	3806700	28081036.00
2009/01/22	7.29	7.43	7.29	7.30	4015100	29536652.00
2009/02/02	7.45	7.67	7.36	7.67	2733400	20674132.00
2009/02/03	8.00	8.05	7.86	8.05	10264100	82124104.00
2009/02/04	8.20	8.45	8.19	8.35	12868300	107842384.00
2009/02/05	8.34	8.37	8.04	8.09	9649600	79036328.00
2009/02/06	8.11	8.43	8.11	8.28	5532700	45899688.00
2009/02/09	8.59	8.63	8.35	8.46	6387800	54123504.00
2009/02/10	8.50	8.50	8.26	8.44	6561500	54900088.00
2009/02/11	8.39	8.86	8.26	8.70	9387900	81139400.00
2009/02/12	8.65	8.84	8.30	8.61	4747800	40460052.00
2009/02/13	8.63	8.76	8.49	8.73	5581000	48293636.00
2009/02/16	8.73	9.17	8.64	9.15	8006600	72344088.00
2009/02/17	9.10	9.29	8.88	8.88	5322200	48122308.00
2009/02/18	8.75	8.77	8.48	8.62	6999200	60266180.00
2009/02/19	8.70	9.05	8.66	8.97	8694500	77711840.00
2009/02/20	9.05	9.28	8.90	9.25	5386600	49207064.00
2009/02/23	9.15	9.71	9.15	9.70	6330700	60700968.00
2009/02/24	9.59	10.14	9.50	9.68	8821300	86432816.00
2009/02/25	9.85	9.91	9.21	9.46	6271700	59474020.00
2009/02/26	9.40	9.61	8.99	8.99	4910500	45457624.00
2009/02/27	8.55	8.72	8.54	8.54	6230400	53293872.00
2009/03/02	8.21	8.88	8.11	8.80	5719200	49219344.00
2009/03/03	8.60	9.05	8.36	8.64	6179500	53942668.00
2009/03/04	8.72	9.07	8.67	9.07	5768900	51555812.00
2009/03/05	9.25	9.27	8.80	8.90	5993700	53899900.00
2009/03/06	8.80	8.99	8.60	8.66	4682400	40926396.00
2009/03/09	8.80	8.88	8.23	8.23	4086900	34561728.00
2009/03/10	8.18	8.44	8.12	8.44	2478100	20523908.00
2009/03/11	8.56	8.63	8.30	8.34	2498100	21164112.00
