001278 一彬科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/08	20.40	24.48	20.40	24.48	758759	18493782.00
2023/03/09	26.93	26.93	26.93	26.93	156375	4211179.00
2023/03/10	29.62	29.62	29.62	29.62	1084306	32117144.00
2023/03/13	30.50	32.52	27.82	30.58	21617801	646763840.00
2023/03/14	28.00	28.79	27.52	27.52	13748128	384294848.00
2023/03/15	26.05	27.05	25.43	25.51	12849064	333545088.00
2023/03/16	25.00	26.65	24.81	25.65	9900960	255763072.00
2023/03/17	25.22	25.22	24.21	24.30	10267492	253254560.00
2023/03/20	24.03	24.33	23.38	23.41	7423486	175741504.00
2023/03/21	23.20	23.65	23.12	23.64	4837368	113423320.00
2023/03/22	23.60	23.90	23.23	23.25	5266950	123779216.00
2023/03/23	23.04	23.11	22.71	22.87	4798630	109866448.00
2023/03/24	22.96	23.38	22.90	23.15	4484922	104084736.00
2023/03/27	23.03	23.45	22.76	23.30	3776324	87759760.00
2023/03/28	23.45	25.63	23.22	25.63	11989399	295675360.00
2023/03/29	26.00	26.00	24.51	24.72	10315783	257611136.00
2023/03/30	24.28	27.19	23.60	26.86	12340628	307279744.00
2023/03/31	26.00	26.68	25.55	25.82	10066269	262417440.00
2023/04/03	25.36	26.97	24.80	26.01	8535941	220723296.00
2023/04/04	25.77	25.98	24.93	25.16	7439816	189205008.00
2023/04/06	24.80	25.10	24.00	24.00	6102472	149339568.00
2023/04/07	23.84	24.44	23.71	23.96	3456668	83259144.00
2023/04/10	24.08	24.25	23.27	23.33	4045114	95548560.00
2023/04/11	23.18	23.62	23.08	23.46	2921254	68193168.00
2023/04/12	23.41	23.46	22.83	23.02	2976353	68591144.00
2023/04/13	23.00	23.33	22.74	23.11	3096500	71398080.00
2023/04/14	23.16	23.99	23.03	23.84	4953470	117219648.00
2023/04/17	23.51	23.79	23.21	23.49	2887135	67756176.00
2023/04/18	23.49	23.53	22.62	22.71	3712794	85136960.00
2023/04/19	22.54	22.56	22.03	22.20	3064216	68025384.00
2023/04/20	22.04	22.23	21.65	21.66	2454832	53615292.00
2023/04/21	21.64	21.86	20.94	20.99	2450037	52473208.00
2023/04/24	20.82	21.50	20.55	21.26	2193459	46284844.00
2023/04/25	21.17	21.26	19.94	20.12	2546210	52109104.00
2023/04/26	20.05	20.74	19.95	20.58	1978015	40634236.00
2023/04/27	20.32	20.99	20.32	20.55	1673369	34715524.00
2023/04/28	20.57	21.09	20.57	21.03	1526756	31861096.00
2023/05/05	20.99	20.99	20.99	20.99	0	0.00
数据来源:通达信
