001308 康冠科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/03/18	58.61	70.33	58.61	62.39	19778151	1287617920.00
2022/03/21	56.15	60.00	56.15	56.15	15551821	887648064.00
2022/03/22	54.01	54.36	51.06	51.25	13886124	728492800.00
2022/03/23	50.23	52.85	49.26	50.80	9536298	484992768.00
2022/03/24	49.88	50.67	49.00	49.80	8360431	413629984.00
2022/03/25	49.89	50.38	48.51	48.52	6542427	323038304.00
2022/03/28	47.38	47.82	45.34	45.40	7263614	335590528.00
2022/03/29	44.70	45.77	43.00	43.10	6943663	306456992.00
2022/03/30	43.20	44.51	42.60	43.83	5750419	249545520.00
2022/03/31	43.30	43.45	41.91	41.92	5786243	246578160.00
2022/04/01	41.37	42.32	41.04	41.51	3551872	148006960.00
2022/04/06	41.51	42.20	41.08	41.93	3105150	129539408.00
2022/04/07	41.59	43.92	41.36	43.19	6673872	286765216.00
2022/04/08	42.80	42.80	41.22	41.23	4831031	201441664.00
2022/04/11	40.27	40.36	37.90	37.95	4814499	187550144.00
2022/04/12	37.14	37.83	36.75	37.64	3302646	123263976.00
2022/04/13	38.30	39.50	37.89	38.10	3937827	151963504.00
2022/04/14	37.80	38.57	37.31	37.94	3027635	114566672.00
2022/04/15	37.39	37.58	36.86	36.98	2494335	92530792.00
2022/04/18	36.50	37.47	36.13	37.30	2066663	76310232.00
2022/04/19	37.18	37.63	37.10	37.42	1923339	71831168.00
2022/04/20	37.51	38.13	37.43	38.06	2891297	109229984.00
2022/04/21	37.80	39.88	37.53	38.59	4907796	190343024.00
2022/04/22	38.40	41.69	36.80	40.92	7342046	293124288.00
2022/04/25	40.97	42.19	39.20	39.82	5998966	244808976.00
2022/04/26	39.51	39.60	35.84	35.84	5515055	204716112.00
2022/04/27	34.47	35.30	32.50	35.07	5643110	190815200.00
2022/04/28	34.42	34.86	32.92	33.12	3783999	127813152.00
2022/04/29	33.75	35.09	33.30	34.78	4223690	145507664.00
2022/05/05	35.17	35.90	34.89	35.56	3216949	114062888.00
2022/05/06	34.52	36.45	34.50	35.66	3075296	109697448.00
2022/05/09	35.64	36.36	35.52	35.88	2240220	80580400.00
2022/05/10	35.04	36.49	35.04	36.36	2394866	86455856.00
2022/05/11	36.49	37.49	36.23	36.24	3692638	136395536.00
2022/05/12	35.88	36.68	35.88	36.54	2525310	91696448.00
2022/05/13	36.71	37.58	36.65	36.85	3099853	114916480.00
2022/05/16	37.02	37.26	36.18	36.19	2114628	77319408.00
2022/05/17	36.37	36.49	35.63	36.00	1633126	58769224.00
2022/05/18	36.20	37.07	36.00	36.70	2500130	91847176.00
2022/05/19	36.20	36.47	35.95	36.46	1978254	71609056.00
2022/05/20	36.59	36.98	36.49	36.87	1920851	70648640.00
2022/05/23	36.99	37.75	36.75	37.59	2419061	90174696.00
2022/05/24	38.09	38.35	35.10	35.15	3985979	145143760.00
2022/05/25	35.10	36.02	34.94	35.95	1794539	63947444.00
2022/05/26	36.55	36.55	35.41	36.51	1719092	62173248.00
2022/05/27	36.54	37.40	36.54	37.23	2363502	87600896.00
2022/05/30	37.41	37.45	36.85	37.38	1541976	57276360.00
2022/05/31	37.19	38.65	37.02	38.37	2988556	113504312.00
2022/06/01	29.00	29.00	28.33	28.51	3836691	109496008.00
2022/06/02	28.30	29.15	28.28	29.03	3521021	101141136.00
2022/06/06	29.10	29.85	29.03	29.26	3621692	106608784.00
2022/06/07	29.45	29.47	28.78	28.93	2826335	81961792.00
2022/06/08	28.92	29.08	27.91	28.58	3165025	90184888.00
2022/06/09	28.48	28.48	27.53	27.73	2837963	79424800.00
2022/06/10	27.55	28.10	27.52	28.03	1678563	46910700.00
2022/06/13	27.84	28.31	27.77	28.08	1745198	48949856.00
2022/06/14	28.00	28.00	26.84	27.65	2921302	79951272.00
2022/06/15	27.60	28.66	27.59	28.38	3640014	102534720.00
2022/06/16	28.38	28.85	28.11	28.35	2575710	73274512.00
2022/06/17	28.08	28.48	27.79	28.21	2225971	62597312.00
2022/06/20	28.42	29.23	28.42	29.00	3906313	112800352.00
2022/06/21	29.02	29.11	28.49	28.76	2857972	82316648.00
2022/06/22	28.71	28.92	28.08	28.17	2111556	59933408.00
2022/06/23	28.10	28.53	28.01	28.53	1907854	54121104.00
2022/06/24	28.53	29.23	28.37	29.04	3668237	106193024.00
2022/06/27	29.40	29.45	28.90	29.04	2568645	74760040.00
2022/06/28	29.15	29.77	28.71	29.74	4335613	127596344.00
2022/06/29	29.59	29.98	29.02	29.08	3649447	107716832.00
2022/06/30	28.99	29.45	28.99	29.17	2333060	68241928.00
2022/07/01	29.17	29.79	29.10	29.19	2360382	69344728.00
2022/07/04	29.20	29.75	28.38	29.68	3158740	92803672.00
2022/07/05	29.50	31.25	29.28	29.98	5436649	163652416.00
2022/07/06	29.98	31.07	29.74	30.71	7336671	224111536.00
2022/07/07	30.50	30.50	29.39	29.46	5846956	173614720.00
2022/07/08	29.37	29.72	29.12	29.15	3070351	90273768.00
2022/07/11	32.07	32.07	31.35	32.07	6058946	194186064.00
2022/07/12	32.40	34.20	31.70	32.53	16278033	532685216.00
2022/07/13	32.04	32.20	31.23	31.29	8489949	268065536.00
2022/07/14	31.04	32.32	30.88	31.93	7656722	242798848.00
2022/07/15	31.92	33.70	31.58	32.98	9092813	297267232.00
2022/07/18	33.50	35.92	32.73	34.95	10212972	352815552.00
2022/07/19	34.48	38.45	34.45	37.50	13189226	487452096.00
2022/07/20	36.99	41.25	36.99	41.25	14865040	588059072.00
2022/07/21	41.81	45.30	40.91	41.02	19846845	841029952.00
2022/07/22	41.86	43.20	39.35	40.92	14011809	576620224.00
2022/07/25	40.50	41.19	38.48	38.61	10185466	401681472.00
2022/07/26	38.79	39.58	37.81	38.81	6601032	255637488.00
2022/07/27	38.80	39.28	38.20	38.96	5535050	214758960.00
2022/07/28	39.15	39.38	37.51	37.82	7942101	304217792.00
2022/07/29	37.78	38.05	37.00	37.25	4803619	179805456.00
2022/08/01	37.06	37.24	36.26	36.51	4787410	175130560.00
2022/08/02	36.40	38.07	35.81	36.71	7983486	296118272.00
2022/08/03	36.60	38.04	35.53	35.80	6362904	235433280.00
2022/08/04	36.00	36.44	34.84	35.50	4757631	168897920.00
2022/08/05	36.00	37.29	35.23	37.13	5703296	208204768.00
2022/08/08	37.32	37.35	36.25	36.72	4475560	163954256.00
2022/08/09	36.38	36.72	35.64	36.08	4190949	151318608.00
2022/08/10	35.70	36.31	35.62	35.73	2807955	100714136.00
2022/08/11	35.96	37.60	35.88	36.80	5027288	184447584.00
2022/08/12	36.80	36.95	35.94	35.98	4124537	149715488.00
2022/08/15	36.15	36.15	35.35	35.89	3205802	114415784.00
2022/08/16	36.01	36.75	35.75	36.29	3677568	133648136.00
2022/08/17	36.25	38.30	36.10	38.22	7997838	298597600.00
2022/08/18	37.97	39.36	37.62	38.81	6695041	257917472.00
2022/08/19	38.81	41.67	38.76	39.65	9474449	379478688.00
2022/08/22	41.00	43.62	40.89	43.62	8535276	364169280.00
2022/08/23	44.99	45.40	41.50	41.63	14509308	627017664.00
2022/08/24	41.99	42.19	37.47	37.47	13058507	504572992.00
2022/08/25	37.15	37.95	36.50	37.47	6676952	248617184.00
2022/08/26	37.81	41.22	37.81	39.88	13240628	534467168.00
2022/08/29	39.46	40.22	38.80	39.40	7199994	283618336.00
2022/08/30	39.47	39.88	38.30	38.42	4805300	186940272.00
2022/08/31	38.30	38.54	36.66	36.74	4520526	168231808.00
2022/09/01	36.74	39.21	36.72	37.90	4959792	189586928.00
2022/09/02	38.14	38.70	37.51	37.97	3183430	121291344.00
2022/09/05	37.76	38.18	37.02	37.33	2831011	105864800.00
2022/09/06	37.33	37.95	36.70	37.95	3260139	121391184.00
2022/09/07	37.84	38.58	36.53	36.69	6172330	231796832.00
2022/09/08	36.33	36.57	35.00	35.21	5163434	183736448.00
2022/09/09	35.80	35.80	34.23	34.38	3575433	123953432.00
2022/09/13	34.52	34.73	34.00	34.15	2230058	76387088.00
2022/09/14	33.78	33.78	32.88	33.39	3856215	128376456.00
2022/09/15	33.59	33.59	31.77	32.45	3603185	116918328.00
2022/09/16	32.45	32.67	31.53	31.71	2218449	71347672.00
2022/09/19	31.72	33.83	31.50	33.33	5930430	197244944.00
2022/09/20	33.82	36.00	32.79	34.99	7486220	258447040.00
2022/09/21	34.52	35.34	34.34	35.03	2957677	102801136.00
2022/09/22	34.86	36.94	34.51	36.56	6492926	233873536.00
2022/09/23	36.41	37.25	35.86	36.59	4497091	163672720.00
2022/09/26	36.01	37.50	35.96	36.69	4960601	183300032.00
2022/09/27	36.65	38.28	36.55	37.92	4584652	172021984.00
2022/09/28	37.90	39.52	37.78	38.99	6161897	239704000.00
2022/09/29	39.18	39.18	37.31	38.10	5496383	209676064.00
2022/09/30	38.00	39.80	37.45	38.82	5155336	199373040.00
2022/10/10	38.70	39.45	36.18	39.14	6224807	234141584.00
2022/10/11	37.50	37.59	35.28	36.35	7463743	271568800.00
2022/10/12	36.90	38.78	36.64	38.69	6353604	240530496.00
2022/10/13	37.78	38.50	37.43	37.45	4056913	153432704.00
2022/10/14	37.86	38.08	37.20	37.93	3298571	124305200.00
2022/10/17	37.30	39.48	37.30	38.52	3473802	133252048.00
2022/10/18	38.50	39.20	37.71	38.33	3584683	137820112.00
2022/10/19	38.69	38.69	37.45	37.60	2590640	97976576.00
2022/10/20	37.31	38.15	36.73	37.63	3074439	115589304.00
2022/10/21	37.40	37.68	35.11	36.51	4073245	147876880.00
2022/10/24	36.51	39.31	36.51	36.98	5856313	223486768.00
2022/10/25	37.04	37.04	34.98	35.50	4671696	166384256.00
2022/10/26	35.98	36.10	34.89	35.36	3620914	128313784.00
2022/10/27	35.18	35.72	34.20	34.20	3228149	112877848.00
2022/10/28	34.20	34.20	32.51	32.70	2834323	94302280.00
2022/10/31	32.85	34.79	32.66	34.51	3763537	128664608.00
2022/11/01	34.64	36.13	34.42	35.88	3526634	125064872.00
2022/11/02	35.88	37.77	35.58	37.44	4565359	168793056.00
2022/11/03	37.00	38.10	36.88	37.95	3245997	121603152.00
2022/11/04	37.50	40.10	37.47	40.10	5892193	229984064.00
2022/11/07	40.10	40.10	38.46	38.69	4716140	184079296.00
2022/11/08	38.57	38.91	37.60	37.71	2968936	112643616.00
2022/11/09	37.79	38.40	37.33	37.89	2506945	95042024.00
2022/11/10	37.94	38.22	36.36	36.45	3382549	125724784.00
2022/11/11	37.30	37.56	36.00	36.04	3053573	111738464.00
2022/11/14	36.00	36.30	35.40	35.75	2115514	75688544.00
2022/11/15	35.78	38.30	35.62	38.22	4842093	180405664.00
2022/11/16	38.30	38.92	37.24	37.30	3413376	129400152.00
2022/11/17	37.00	38.15	36.67	38.02	3473161	130173552.00
2022/11/18	38.06	38.06	36.20	36.60	4496224	166204016.00
2022/11/21	36.35	36.81	36.00	36.78	1826891	66572968.00
2022/11/22	36.76	36.76	35.50	35.78	2655845	95654840.00
2022/11/23	35.66	35.96	34.98	35.96	2325310	82368880.00
2022/11/24	35.75	36.07	35.37	35.47	1596764	56926360.00
2022/11/25	35.45	35.45	34.81	34.83	1556977	54481120.00
2022/11/28	34.48	35.12	34.30	34.97	1179291	41027840.00
2022/11/29	34.97	36.63	34.90	36.58	3199453	115336168.00
2022/11/30	36.70	36.70	35.40	35.56	2374149	85108600.00
2022/12/01	35.85	36.14	35.37	35.48	2040990	72807792.00
2022/12/02	35.49	35.99	35.37	35.54	1364721	48586704.00
2022/12/05	35.68	35.84	34.85	35.29	1743941	61373740.00
2022/12/06	35.19	35.55	34.95	35.15	1477386	52057540.00
2022/12/07	35.16	35.28	34.55	34.70	2261840	78886464.00
2022/12/08	34.72	35.22	34.54	34.97	1283774	44709684.00
2022/12/09	35.04	36.10	34.99	36.08	3211004	114838944.00
2022/12/12	36.02	36.02	34.94	35.05	2321607	81646592.00
2022/12/13	35.02	35.24	34.73	34.95	1014845	35470232.00
