001367 海森药业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/04/10	65.00	84.50	60.19	74.88	11963987	864163584.00
2023/04/11	68.50	88.83	66.81	82.00	11260481	885228800.00
2023/04/12	76.00	76.49	67.00	73.00	8669078	617388736.00
2023/04/13	70.68	72.20	67.79	70.50	6181224	431316640.00
2023/04/14	70.55	72.50	63.53	63.70	6827376	470725056.00
2023/04/17	63.00	63.00	57.33	57.33	5992922	350281952.00
2023/04/18	57.02	57.40	54.61	54.73	4410397	244681264.00
2023/04/19	54.54	55.12	53.66	54.02	3326079	180145312.00
2023/04/20	53.99	53.99	51.46	51.60	3793355	198391792.00
2023/04/21	51.53	52.70	49.51	49.71	4039015	207367568.00
2023/04/24	49.70	50.72	49.30	50.45	2956775	148027376.00
2023/04/25	49.83	55.50	49.83	55.50	5763923	304274976.00
2023/04/26	56.70	60.98	54.00	54.81	6167918	352795296.00
2023/04/27	53.47	58.50	53.47	55.64	4166463	233729696.00
2023/04/28	54.78	57.74	54.60	57.40	3378628	190455216.00
2023/05/05	58.68	58.68	58.68	58.68	0	0.00
数据来源:通达信
