001965 招商公路 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/25	11.00	13.15	10.60	11.44	60349457	744676096.00
2017/12/26	10.65	12.58	10.30	12.58	63465985	730996480.00
2017/12/27	13.84	13.84	13.84	13.84	33856906	468579584.00
2017/12/28	14.44	15.22	14.21	15.22	118409009	1779132800.00
2017/12/29	15.35	15.38	13.70	13.85	106328857	1511730688.00
2018/01/02	13.60	14.36	13.34	13.68	71839030	995518464.00
2018/01/03	13.36	14.38	12.68	13.76	83948873	1141984768.00
2018/01/04	13.16	13.60	13.05	13.20	57790152	766787008.00
2018/01/05	13.02	13.40	13.01	13.07	36627080	481320064.00
2018/01/08	12.90	13.29	12.73	12.99	33101357	430647488.00
2018/01/09	12.95	13.08	12.76	12.83	30573160	394014944.00
2018/01/10	12.68	12.83	11.91	12.20	47731339	590912128.00
2018/01/11	12.14	12.16	11.82	12.11	27968676	336279808.00
2018/01/12	12.14	12.28	11.85	11.91	26500586	319330848.00
2018/01/15	11.76	11.81	11.15	11.27	29854816	340729088.00
2018/01/16	11.15	12.40	11.05	12.40	58049770	699097920.00
2018/01/17	12.40	12.98	12.10	12.18	59102556	739798080.00
2018/01/18	11.97	12.68	11.51	12.42	43226601	520899968.00
2018/01/19	12.21	12.60	12.12	12.15	29237643	360249760.00
2018/01/22	11.88	12.04	11.67	11.82	21070470	249495360.00
2018/01/23	11.81	12.01	11.71	11.74	16512877	195221552.00
2018/01/24	11.76	12.50	11.76	12.03	28009214	340186240.00
2018/01/25	11.80	12.58	11.72	12.13	33100300	403016224.00
2018/01/26	11.97	12.42	11.85	12.11	22547008	274199648.00
2018/01/29	12.15	12.29	11.81	11.86	19006860	227174672.00
2018/01/30	11.80	11.94	11.71	11.84	13487861	159212208.00
2018/01/31	11.80	11.80	11.30	11.32	18146861	208472288.00
2018/02/01	11.36	11.65	10.96	11.10	16810517	189948848.00
2018/02/02	11.05	11.25	10.78	11.19	13789491	152803728.00
2018/02/05	11.00	11.26	10.88	11.20	11014624	121726296.00
2018/02/06	10.96	11.18	10.42	10.46	14945865	162214416.00
2018/02/07	10.70	10.80	10.14	10.48	15722322	165352848.00
2018/02/08	10.47	10.61	10.38	10.48	11984761	125657800.00
2018/02/09	10.10	10.17	9.44	9.68	18608232	183909392.00
2018/02/12	9.78	9.96	9.62	9.85	12039236	117900936.00
2018/02/13	9.88	9.94	9.58	9.62	12752313	125095192.00
2018/02/14	9.60	9.69	9.49	9.54	7946781	75977576.00
2018/02/22	9.60	9.82	9.57	9.75	9701248	94240608.00
2018/02/23	9.77	10.73	9.69	10.54	31304327	329437216.00
2018/02/26	10.30	10.69	10.23	10.60	27486798	288354304.00
2018/02/27	10.58	10.58	10.35	10.45	16139361	168654864.00
2018/02/28	10.31	10.37	10.20	10.28	12197185	125562160.00
2018/03/01	10.17	10.43	10.15	10.29	11093694	114076192.00
2018/03/02	10.17	10.35	10.15	10.19	10165839	103976080.00
2018/03/05	10.21	10.36	10.20	10.28	7710425	79108552.00
2018/03/06	10.30	10.92	10.21	10.62	20627713	216399360.00
2018/03/07	10.52	10.59	10.40	10.43	12362695	129618112.00
2018/03/08	10.40	10.80	10.38	10.59	17516290	185523568.00
2018/03/09	10.56	10.69	10.50	10.62	15225959	161343216.00
2018/03/12	10.67	10.83	10.61	10.73	16375572	175489296.00
2018/03/13	10.71	10.71	10.34	10.38	15788567	166294080.00
2018/03/14	10.32	10.44	10.21	10.22	10524404	108716456.00
2018/03/15	10.18	10.21	9.76	9.98	15205075	152019536.00
2018/03/16	10.00	10.09	9.83	9.87	9710773	96697832.00
2018/03/19	9.86	10.06	9.82	10.01	7715774	76884880.00
2018/03/20	9.90	10.23	9.86	10.12	9804230	98468680.00
2018/03/21	10.11	10.69	10.05	10.28	20178501	208579312.00
2018/03/22	10.18	10.26	10.08	10.08	10763223	109253560.00
2018/03/23	9.77	9.79	9.21	9.25	16913443	160552752.00
2018/03/26	9.17	9.24	8.71	9.22	12448870	112215560.00
2018/03/27	9.30	9.47	9.30	9.35	9785116	91722632.00
2018/03/28	9.12	9.55	9.12	9.26	10613250	98966272.00
2018/03/29	9.39	9.45	9.26	9.39	9372115	87597360.00
2018/03/30	9.40	9.45	9.34	9.37	8515622	79845704.00
2018/04/02	9.36	9.43	9.23	9.26	9563628	89217672.00
2018/04/03	9.04	9.13	8.96	9.01	9376873	84735984.00
2018/04/04	9.11	9.13	9.00	9.02	7836959	70975408.00
2018/04/09	9.00	9.21	8.82	9.18	10292486	93090872.00
2018/04/10	9.20	9.38	9.10	9.26	11516286	106436256.00
2018/04/11	9.26	9.35	9.17	9.18	10168928	94101968.00
2018/04/12	9.18	9.39	9.12	9.30	12038260	111930464.00
2018/04/13	9.30	9.37	9.14	9.15	8152651	75298800.00
2018/04/16	9.12	9.19	8.96	9.02	7834508	70786200.00
2018/04/17	9.09	9.09	8.84	8.84	7264547	64800092.00
2018/04/18	8.90	8.95	8.69	8.86	7093307	62513652.00
2018/04/19	8.82	9.03	8.78	8.92	7655329	68137576.00
2018/04/20	8.90	8.90	8.70	8.71	8031618	70441112.00
2018/04/23	8.81	8.90	8.69	8.78	6467486	56918448.00
2018/04/24	8.75	8.97	8.71	8.94	9112711	81005424.00
2018/04/25	8.90	9.00	8.84	8.92	6213397	55467688.00
2018/04/26	8.98	8.98	8.59	8.61	7053371	61995780.00
2018/04/27	8.66	8.73	8.60	8.71	5099211	44238232.00
2018/05/02	8.71	8.80	8.62	8.66	4222648	36637984.00
2018/05/03	8.65	8.67	8.43	8.64	7111041	60964668.00
2018/05/04	8.65	8.65	8.54	8.54	4635287	39785836.00
2018/05/07	8.55	8.66	8.53	8.62	5793794	49804460.00
2018/05/08	8.66	8.75	8.60	8.71	7104982	61742224.00
2018/05/09	8.71	8.71	8.61	8.62	5432487	46940988.00
2018/05/10	8.62	8.69	8.58	8.59	6645772	57249700.00
2018/05/11	8.63	8.65	8.45	8.47	8120312	69201648.00
2018/05/14	8.42	8.52	8.42	8.46	5518648	46756116.00
2018/05/15	8.45	9.09	8.38	8.76	14219484	123430768.00
2018/05/16	8.56	8.75	8.56	8.65	8732835	75565792.00
2018/05/17	8.60	8.67	8.56	8.56	4939467	42538848.00
2018/05/18	8.53	8.64	8.52	8.60	5183124	44473932.00
2018/05/21	8.62	8.96	8.62	8.94	16188653	143201952.00
2018/05/22	8.93	8.94	8.83	8.92	8654330	76847344.00
2018/05/23	8.90	9.03	8.84	8.91	9655711	86155624.00
2018/05/24	8.91	9.25	8.87	9.14	20254793	185006864.00
2018/05/25	9.20	9.20	9.03	9.07	9884491	89824392.00
2018/05/28	9.06	9.10	8.86	8.89	7979822	71208848.00
2018/05/29	8.88	8.95	8.77	8.82	5925764	52526768.00
2018/05/30	8.72	8.73	8.21	8.32	10956330	93108976.00
2018/05/31	8.40	8.46	8.32	8.42	6773605	56882064.00
2018/06/01	8.35	8.43	8.29	8.32	5293644	44220756.00
2018/06/04	8.36	8.41	8.34	8.35	3861631	32340094.00
2018/06/05	8.35	8.47	8.35	8.47	4521043	38068500.00
2018/06/06	8.47	8.55	8.43	8.49	4554000	38602444.00
2018/06/07	8.49	8.55	8.46	8.46	4686620	39836008.00
2018/06/08	8.46	8.49	8.25	8.33	7322814	61155952.00
2018/06/11	8.31	8.53	8.26	8.41	5294358	44468432.00
2018/06/12	8.43	8.47	8.31	8.42	3986206	33446538.00
2018/06/13	8.43	8.44	8.28	8.28	3522089	29427402.00
