002037 保利联合 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	9.18	9.55	9.18	9.37	1347100	12683537.00
2009/01/09	9.36	9.78	9.36	9.57	1861800	17921054.00
2009/01/12	9.70	10.19	9.45	9.75	2257500	22402634.00
2009/01/13	9.69	10.07	9.40	9.60	1700000	16614991.00
2009/01/14	9.79	10.28	9.61	10.15	2197900	22154412.00
2009/01/15	10.00	10.56	9.80	10.36	1864400	19023378.00
2009/01/16	10.35	10.46	9.95	9.99	1131400	11532392.00
2009/01/19	9.98	10.05	9.36	9.76	1908600	18247910.00
2009/01/20	9.75	10.15	9.61	10.00	706200	6968643.00
2009/01/21	9.80	10.15	9.75	10.03	793600	7945632.50
2009/01/22	10.03	10.18	9.90	10.04	776900	7775740.50
2009/01/23	9.91	10.13	9.90	9.96	435600	4342402.50
2009/02/02	10.14	10.15	9.96	10.10	448100	4528173.00
2009/02/03	10.14	10.38	10.10	10.29	1327100	13581058.00
2009/02/04	10.29	11.26	10.29	10.57	2143700	22785228.00
2009/02/05	10.55	10.55	10.04	10.25	6404900	65132628.00
2009/02/06	10.21	10.50	10.11	10.38	5354200	55274908.00
2009/02/09	10.28	10.85	10.28	10.58	5546400	58395380.00
2009/02/10	10.60	10.63	10.00	10.46	7574500	77786840.00
2009/02/11	10.27	10.75	10.11	10.60	6591800	68621440.00
2009/02/12	10.63	11.20	10.53	11.09	7012600	76129208.00
2009/02/13	11.15	11.59	10.90	11.09	6176800	68966104.00
2009/02/16	11.13	11.28	10.95	10.97	3679900	40730956.00
2009/02/17	10.98	11.00	10.20	10.20	4421200	46433208.00
2009/02/18	10.08	10.17	9.90	9.97	2626700	26307832.00
2009/02/19	10.04	10.29	9.99	10.19	1485100	15032408.00
2009/02/20	10.20	10.41	9.90	10.37	2604900	26516008.00
2009/02/23	10.21	10.78	10.15	10.65	2802800	29447202.00
2009/02/24	10.58	11.25	10.48	10.78	6071100	66681512.00
2009/02/25	10.93	11.14	10.08	10.70	4121000	43789016.00
2009/02/26	10.65	11.05	9.85	9.86	3199000	33842544.00
2009/02/27	9.96	9.96	8.95	9.51	2514200	23925708.00
2009/03/02	9.40	10.39	9.30	10.18	3606900	36184216.00
2009/03/03	10.00	10.46	9.65	10.33	2759700	28192998.00
2009/03/04	10.28	11.12	10.28	11.06	4209600	45495124.00
2009/03/05	11.22	11.24	10.70	11.00	3241600	35637644.00
2009/03/06	10.79	11.87	10.73	11.49	5115800	58877912.00
2009/03/09	11.57	11.97	11.40	11.59	5440900	63743752.00
2009/03/10	11.51	11.96	11.40	11.89	4015700	47104352.00
2009/03/11	12.13	12.13	11.41	11.49	4558900	53981936.00
2009/03/12	11.45	11.60	10.74	11.31	3120500	34808788.00
2009/03/13	11.35	11.39	10.90	11.05	1873000	20974144.00
2009/03/16	11.05	11.17	10.80	11.17	1540800	16972862.00
2009/03/17	11.17	11.58	11.11	11.56	1381900	15705367.00
2009/03/18	11.61	11.98	11.51	11.63	2299700	27106912.00
2009/03/19	11.64	12.19	11.55	11.99	4353500	51751376.00
2009/03/20	11.92	12.00	11.40	11.68	3280300	38173244.00
2009/03/23	11.58	11.85	11.51	11.68	2351400	27515674.00
2009/03/24	11.85	11.99	11.65	11.73	2443900	28822544.00
2009/03/25	11.67	11.84	11.40	11.43	2073600	24079086.00
2009/03/26	11.49	11.86	11.40	11.78	2582400	30144744.00
2009/03/27	11.80	12.80	11.76	12.65	5615700	70079472.00
2009/03/30	12.65	12.86	12.38	12.62	3468000	43708772.00
2009/03/31	12.36	12.84	11.92	12.78	4221600	52628556.00
2009/04/01	12.76	12.95	12.58	12.79	3107300	39506596.00
2009/04/02	12.85	13.29	12.55	12.72	3804700	48953892.00
2009/04/03	12.74	13.54	12.61	13.07	6549000	85963576.00
2009/04/07	13.03	13.49	12.95	13.36	4304400	56931928.00
2009/04/08	13.25	13.54	12.61	12.64	3401300	44467724.00
2009/04/09	12.61	12.83	12.40	12.80	2379900	30076656.00
2009/04/10	12.97	13.30	12.60	13.15	3532400	45879640.00
2009/04/13	13.39	13.88	13.00	13.86	6599200	89131496.00
2009/04/14	13.80	14.60	13.50	14.15	5854500	82654792.00
2009/04/15	13.86	14.80	13.85	14.52	5928800	85562848.00
2009/04/16	14.75	14.75	13.90	13.98	5054500	71333976.00
2009/04/17	13.82	13.90	13.00	13.43	3961000	53081180.00
2009/04/21	13.61	13.79	13.15	13.56	3722500	50363120.00
2009/04/22	13.61	13.75	12.90	12.97	3156500	41972844.00
2009/04/23	13.00	13.30	12.75	13.18	1667200	21850158.00
2009/04/24	13.31	13.73	13.31	13.45	2533700	34294128.00
2009/04/27	13.60	13.60	12.80	13.15	1658200	21595072.00
2009/04/28	12.87	13.15	12.11	12.99	4830900	60316728.00
2009/04/29	12.78	13.07	12.70	12.95	2482400	32004528.00
2009/04/30	12.98	13.29	12.88	13.20	2611900	34282692.00
2009/05/04	13.40	13.65	13.24	13.50	2904100	39007808.00
2009/05/05	13.65	13.65	13.14	13.37	3157600	42042052.00
2009/05/06	13.35	13.59	13.20	13.54	3488600	47084304.00
2009/05/07	13.60	13.77	12.80	12.98	4447300	58889924.00
2009/05/08	12.98	12.99	12.50	12.75	2528500	32155668.00
2009/05/11	12.77	12.82	12.11	12.11	3409400	42539972.00
2009/05/12	12.14	12.57	12.13	12.49	2129700	26313992.00
2009/05/13	12.75	13.21	12.70	13.10	5312400	69136704.00
2009/05/14	13.00	13.00	12.68	12.78	2641500	33792972.00
2009/05/15	12.79	12.81	12.37	12.59	3264900	40942200.00
2009/05/18	12.48	12.97	12.45	12.89	3213700	40980220.00
2009/05/19	12.96	12.99	12.72	12.86	2591900	33336788.00
2009/05/20	12.92	13.20	12.76	13.05	3321600	43199916.00
2009/05/21	12.98	13.00	12.40	12.46	2982600	37736296.00
2009/05/22	12.41	12.62	12.41	12.61	1272531	15935790.00
2009/05/25	12.25	12.61	12.12	12.52	1886792	23233074.00
2009/05/26	12.48	12.98	12.48	12.72	2968577	38036256.00
2009/05/27	11.77	11.77	11.18	11.24	1628347	18368322.00
2009/06/01	11.22	11.45	11.22	11.29	1758746	19882816.00
2009/06/02	11.29	11.59	11.13	11.41	2617914	29718364.00
2009/06/03	11.38	11.48	11.25	11.30	2650490	30005372.00
2009/06/04	11.26	11.34	11.03	11.15	2494911	27843066.00
2009/06/05	11.18	11.35	11.16	11.22	2019424	22698284.00
2009/06/08	11.23	11.34	11.10	11.15	1678122	18750226.00
2009/06/09	11.20	11.25	10.70	10.83	3195032	34630076.00
2009/06/10	10.91	11.10	10.84	11.10	2235769	24470036.00
2009/06/11	11.11	11.17	10.92	10.98	1843949	20341556.00
2009/06/12	10.91	11.01	10.51	10.58	2222389	23812424.00
2009/06/15	10.54	10.68	10.48	10.68	1391994	14732102.00
2009/06/16	10.60	10.70	10.48	10.67	1839737	19496362.00
2009/06/17	10.70	11.29	10.62	11.24	4527988	50084784.00
2009/06/18	11.27	11.30	10.96	11.14	3257558	36216492.00
2009/06/19	11.07	11.28	11.02	11.26	2926330	32659106.00
2009/06/22	11.27	11.65	11.13	11.30	4827540	55110248.00
2009/06/23	11.12	11.48	11.01	11.32	2786223	31639698.00
2009/06/24	11.60	12.09	11.52	11.69	6652202	78529848.00
2009/06/25	11.79	12.36	11.69	12.13	11564965	139649376.00
2009/06/26	12.09	12.11	11.68	11.86	5040941	60156724.00
