002107 沃华医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	27.18	27.45	26.71	26.86	695000	18768644.00
2009/01/09	26.90	28.29	26.90	28.21	1264900	35302488.00
2009/01/12	28.24	29.20	28.24	28.56	818600	23512540.00
2009/01/13	27.91	28.37	26.88	27.36	426900	11708349.00
2009/01/14	27.10	27.88	27.08	27.88	303700	8383974.00
2009/01/15	27.70	29.50	27.50	29.47	869700	25154706.00
2009/01/16	29.30	29.59	28.30	28.37	589600	17034056.00
2009/01/19	28.38	28.96	26.80	27.21	761200	20788894.00
2009/01/20	26.95	27.80	26.95	27.69	544400	14855602.00
2009/01/21	27.69	27.98	27.00	27.20	303300	8317481.00
2009/01/22	27.88	28.30	27.21	27.31	426000	11766821.00
2009/01/23	27.31	27.80	27.03	27.33	149600	4090079.50
2009/02/02	27.48	28.68	27.30	28.46	475800	13389736.00
2009/02/03	28.60	28.60	28.00	28.43	321200	9100983.00
2009/02/04	28.51	29.10	28.02	29.10	477000	13612499.00
2009/02/05	28.96	30.24	28.51	29.01	526600	15503783.00
2009/02/06	29.05	29.83	29.05	29.28	449600	13198563.00
2009/02/09	29.31	32.21	29.31	32.21	1253500	39644460.00
2009/02/10	32.50	32.56	31.50	32.25	764200	24414544.00
2009/02/11	31.60	32.70	31.30	31.71	573400	18381414.00
2009/02/12	31.66	32.50	31.15	32.10	520300	16608164.00
2009/02/13	32.30	34.20	32.02	33.20	927100	31152894.00
2009/02/16	33.00	33.85	32.20	32.79	562500	18437556.00
2009/02/17	32.41	32.85	31.05	31.71	437500	13912008.00
2009/02/18	31.69	32.75	31.12	31.70	403500	12979293.00
2009/02/19	31.71	32.05	31.20	31.90	285400	9012178.00
2009/02/20	31.55	33.15	31.34	32.82	375700	12217737.00
2009/02/23	32.75	33.58	31.98	33.30	416500	13653127.00
2009/02/24	33.01	33.28	31.33	31.60	515100	16521308.00
2009/02/25	32.17	33.50	31.60	32.99	734700	23882928.00
2009/02/26	32.93	35.80	32.20	32.85	1289000	44020756.00
2009/02/27	31.50	31.99	29.57	29.57	1376400	41452004.00
2009/03/02	29.03	30.75	28.26	30.40	358000	10776037.00
2009/03/03	29.50	31.68	29.30	30.65	534300	16486671.00
2009/03/04	30.66	32.18	30.50	32.05	656300	20528450.00
2009/03/05	32.10	32.80	31.10	32.18	502300	16046986.00
2009/03/06	31.84	32.14	31.22	31.48	252300	7979157.00
2009/03/09	31.46	31.67	29.51	29.90	354300	10750163.00
2009/03/10	29.33	30.50	29.14	30.27	160700	4807579.00
