002158 汉钟精机 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.58	11.03	10.50	10.81	3013800	32714864.00
2009/01/09	10.72	11.00	10.71	10.91	3185200	34723440.00
2009/01/12	11.00	11.30	10.74	10.80	2827100	31162950.00
2009/01/13	10.68	10.68	10.05	10.27	1738100	18072778.00
2009/01/14	10.26	10.60	10.20	10.56	1162800	12151569.00
2009/01/15	10.47	10.62	10.25	10.41	1586400	16542260.00
2009/01/16	10.42	10.78	10.42	10.49	1473800	15617440.00
2009/01/19	10.55	10.60	10.09	10.13	1283700	13148979.00
2009/01/20	10.13	10.34	10.13	10.29	775100	7952478.50
2009/01/21	10.25	10.50	10.20	10.39	853300	8861095.00
2009/01/22	10.45	10.54	10.16	10.32	887100	9139895.00
2009/01/23	10.28	10.40	10.15	10.18	565500	5809825.00
2009/02/02	10.26	10.76	10.26	10.71	1517800	16046318.00
2009/02/03	10.70	10.85	10.58	10.80	1613600	17319944.00
2009/02/04	10.81	10.93	10.62	10.85	1723000	18534756.00
2009/02/05	10.82	11.11	10.66	10.79	2646700	28899306.00
2009/02/06	10.75	11.70	10.75	11.59	3923900	43958892.00
2009/02/09	11.60	11.80	11.21	11.50	3334600	38260636.00
2009/02/10	11.42	11.63	11.28	11.56	2191100	25092906.00
2009/02/11	11.39	11.79	11.24	11.38	2384200	27539002.00
2009/02/12	11.33	11.68	11.04	11.45	1743300	19766456.00
2009/02/13	11.58	11.88	11.38	11.79	3303500	38572628.00
2009/02/16	11.83	12.20	11.56	11.99	3332800	39699692.00
2009/02/17	12.06	12.32	11.59	11.62	2855300	34148420.00
2009/02/18	11.50	11.57	10.97	10.98	1855600	20806034.00
2009/02/19	11.06	11.26	10.91	11.12	920900	10205326.00
2009/02/20	11.13	11.54	11.00	11.54	1330400	15062409.00
2009/02/23	11.54	11.90	11.45	11.79	1620900	19033116.00
2009/02/24	11.78	12.00	11.38	11.44	2038100	23807122.00
2009/02/25	11.53	12.28	11.43	12.13	2733000	32266470.00
2009/02/26	12.19	12.29	10.92	10.92	2870900	33501916.00
2009/02/27	10.88	10.88	9.89	9.90	2199900	22393068.00
2009/03/02	9.82	10.18	9.80	10.12	865900	8708303.00
2009/03/03	10.00	10.45	9.89	10.36	1487700	15289250.00
2009/03/04	10.40	10.93	10.30	10.89	1772600	18982970.00
2009/03/05	10.89	11.04	10.55	10.85	1940400	21011228.00
2009/03/06	10.66	10.75	10.50	10.66	1021500	10853920.00
2009/03/09	10.70	10.88	10.12	10.15	956900	10016358.00
2009/03/10	10.01	10.52	9.96	10.47	540200	5547602.50
2009/03/11	10.58	10.75	10.50	10.65	1169800	12420439.00
2009/03/12	10.65	10.98	10.51	10.95	1677600	18035468.00
2009/03/13	11.18	12.05	11.18	11.25	4126300	47846748.00
2009/03/16	11.31	11.48	11.00	11.35	1354200	15189817.00
2009/03/17	11.35	11.65	11.15	11.56	2022100	23214694.00
2009/03/18	11.61	11.72	11.50	11.51	2067400	23959344.00
2009/03/19	11.44	11.70	11.25	11.62	1690600	19421238.00
