002246 北化股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	5.50	5.88	5.40	5.75	6046500	33978888.00
2009/01/09	5.69	6.09	5.65	5.99	7955400	47144140.00
2009/01/12	5.97	6.24	5.83	5.84	7721300	46766100.00
2009/01/13	5.70	5.84	5.60	5.62	3788700	21637292.00
2009/01/14	5.55	5.95	5.55	5.92	3125400	18145624.00
2009/01/15	5.85	6.05	5.84	5.92	3626200	21650244.00
2009/01/16	5.90	6.06	5.78	5.82	4180400	24712496.00
2009/01/19	5.85	5.92	5.66	5.78	2447500	14046939.00
2009/01/20	5.74	5.85	5.72	5.85	1538700	8921567.00
2009/01/21	5.80	5.98	5.75	5.84	2269800	13362565.00
2009/01/22	5.87	6.09	5.85	6.02	3296700	19791232.00
2009/01/23	6.08	6.08	5.90	5.90	1950800	11604728.00
2009/02/02	5.90	6.03	5.86	6.02	2263800	13529479.00
2009/02/03	6.07	6.27	6.02	6.22	3946500	24387112.00
2009/02/04	6.24	6.39	6.19	6.32	3991200	25098458.00
2009/02/05	6.32	6.45	6.08	6.13	4041200	25306734.00
2009/02/06	6.12	6.46	6.12	6.43	4419300	28068378.00
2009/02/09	6.48	6.66	6.37	6.56	5021900	32819854.00
2009/02/10	6.50	7.09	6.40	7.09	5687100	38373068.00
2009/02/11	7.35	7.75	7.11	7.27	11734600	87262208.00
2009/02/12	7.30	7.40	6.90	7.35	5271200	37864056.00
2009/02/13	7.26	7.55	7.26	7.40	5427200	40085968.00
2009/02/16	7.48	7.74	7.40	7.70	6072400	45955352.00
2009/02/17	7.74	8.11	7.63	7.75	8266400	65338488.00
2009/02/18	7.60	8.03	7.52	7.79	6568400	51090628.00
2009/02/19	7.80	8.47	7.56	8.27	10182300	81506968.00
2009/02/20	8.30	8.45	8.06	8.24	7398600	61074716.00
2009/02/23	8.17	8.36	7.99	8.28	5257100	43114832.00
2009/02/24	8.20	8.35	7.47	7.47	6374500	50745072.00
2009/02/25	7.66	7.73	7.16	7.47	5548900	41281452.00
2009/02/26	7.43	7.64	6.72	6.76	4595800	33225356.00
2009/02/27	6.63	6.87	6.17	6.25	5388900	34896172.00
2009/03/02	6.24	6.48	6.10	6.43	2935800	18716002.00
2009/03/03	6.28	6.60	6.20	6.54	2950300	18989496.00
2009/03/04	6.42	7.09	6.42	6.93	4168800	28377816.00
2009/03/05	6.98	7.22	6.78	7.01	4542100	31864714.00
2009/03/06	6.87	6.98	6.78	6.89	2533200	17419134.00
2009/03/09	6.95	7.04	6.40	6.40	2983000	19956868.00
2009/03/10	6.29	6.66	6.25	6.64	1826800	11893664.00
2009/03/11	6.80	6.96	6.66	6.79	2781900	18976584.00
2009/03/12	6.79	7.20	6.76	7.15	5134400	35717028.00
2009/03/13	7.19	7.59	7.12	7.33	9167500	67412528.00
2009/03/16	7.28	7.41	6.92	7.40	4023200	28800790.00
2009/03/17	7.32	7.65	7.25	7.50	4545600	34002476.00
2009/03/18	7.55	7.69	7.40	7.49	4788300	35977860.00
2009/03/19	7.49	7.57	7.37	7.51	3381400	25303122.00
2009/03/20	7.48	7.64	7.33	7.39	3408900	25494796.00
2009/03/23	7.39	7.47	7.30	7.43	3492900	25846386.00
2009/03/24	7.45	7.76	7.36	7.67	4791600	36175892.00
2009/03/25	7.58	7.66	7.31	7.32	3100900	23285728.00
2009/03/26	7.30	7.42	7.11	7.38	2467200	18028058.00
2009/03/27	7.44	7.51	7.38	7.45	2656100	19774738.00
2009/03/30	7.52	7.75	7.45	7.75	4441800	33858412.00
2009/03/31	7.60	7.75	7.50	7.68	2969100	22638144.00
2009/04/01	7.71	7.97	7.70	7.80	4152300	32400682.00
2009/04/02	7.80	8.29	7.71	7.97	5280900	42257856.00
2009/04/03	8.01	8.10	7.64	8.00	4375400	34528904.00
2009/04/07	8.08	8.69	8.01	8.60	9861900	82432272.00
2009/04/08	8.51	8.55	8.02	8.10	6999100	57915832.00
2009/04/09	8.00	8.45	7.91	8.38	5055200	41432124.00
2009/04/10	8.39	9.09	8.39	8.86	8310500	73356776.00
