002258 利尔化学 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	15.66	17.26	15.56	16.32	3798600	62957452.00
2009/01/09	16.05	17.00	15.95	16.78	2752700	45470388.00
2009/01/12	16.83	17.12	16.58	16.66	1979000	33223960.00
2009/01/13	16.46	16.46	15.27	15.70	1897900	30199798.00
2009/01/14	15.42	16.60	15.42	16.52	1637800	26577790.00
2009/01/15	16.35	17.68	16.00	17.30	3370500	58059952.00
2009/01/16	17.32	17.50	16.60	16.76	2058200	34981444.00
2009/01/19	16.70	17.09	16.11	16.70	1317200	21843080.00
2009/01/20	16.79	16.92	16.41	16.82	554200	9259872.00
2009/01/21	16.90	18.50	16.90	18.50	3283300	59190960.00
2009/01/22	18.76	18.94	18.18	18.42	2039200	37684800.00
2009/01/23	18.42	18.56	17.70	18.11	1424300	25734470.00
2009/02/02	18.18	19.28	18.11	18.75	2072800	38963424.00
2009/02/03	18.75	19.03	18.36	18.86	1816000	33880192.00
2009/02/04	19.00	19.00	18.51	18.69	1565500	29230858.00
2009/02/05	18.65	18.97	18.15	18.89	1727000	32037170.00
2009/02/06	18.88	19.50	18.73	19.23	1962900	37790640.00
2009/02/09	19.24	19.50	18.80	19.50	2006900	38293504.00
2009/02/10	19.54	19.54	18.80	19.34	2105200	40298708.00
2009/02/11	19.01	19.78	18.75	19.05	2365400	45347956.00
2009/02/12	19.02	19.30	18.01	18.55	1530500	28357532.00
2009/02/13	18.50	18.90	18.30	18.77	1706700	31740918.00
2009/02/16	18.79	19.98	18.79	19.76	2891100	56561884.00
2009/02/17	19.62	21.35	18.80	20.60	2701400	53561000.00
2009/02/18	20.31	21.49	20.25	21.05	3562300	75118264.00
2009/02/19	21.66	23.16	21.30	23.16	6441900	147304592.00
2009/02/20	23.24	23.45	22.30	22.84	3960200	89995576.00
2009/02/23	23.00	24.38	22.81	23.40	3729500	87151080.00
2009/02/24	23.13	23.81	21.11	21.95	3581400	80545816.00
2009/02/25	21.60	22.55	20.30	20.88	4037800	85148912.00
2009/02/26	19.80	20.43	18.79	18.79	7074600	137728576.00
2009/02/27	18.50	18.50	16.96	17.65	4033400	70680472.00
2009/03/02	17.48	18.18	17.20	17.96	2068200	36814568.00
2009/03/03	17.02	18.73	16.86	18.52	3280200	58317692.00
2009/03/04	18.15	19.60	18.15	19.35	2856300	54820276.00
2009/03/05	19.54	19.93	18.61	18.91	2550400	48970960.00
2009/03/06	18.60	18.77	17.94	18.08	1936800	35247676.00
2009/03/09	18.18	18.60	17.41	17.41	1345400	24315382.00
2009/03/10	17.29	18.17	17.00	18.17	1083200	19127084.00
2009/03/11	18.50	18.59	17.95	18.01	1201000	21867124.00
2009/03/12	17.97	18.04	17.15	17.79	867700	15238168.00
2009/03/13	17.75	18.17	17.60	17.66	807300	14449146.00
2009/03/16	17.67	18.96	17.22	18.88	1949900	35958620.00
2009/03/17	18.83	19.27	18.35	19.14	2143400	40635292.00
2009/03/19	19.16	19.37	18.77	19.31	2334500	44405276.00
2009/03/20	19.50	19.51	18.80	18.92	1474400	28128690.00
2009/03/23	18.94	19.36	18.94	19.21	1800200	34470816.00
2009/03/24	19.42	20.46	19.18	20.06	2526100	50167328.00
2009/03/25	19.98	20.10	19.21	19.21	1576100	30957450.00
2009/03/26	19.17	19.45	18.62	19.27	1441100	27418364.00
2009/03/27	19.40	19.68	19.25	19.47	1386100	26908424.00
2009/03/30	19.56	20.35	19.56	19.89	2245300	44968772.00
2009/03/31	19.49	19.94	19.00	19.70	1498000	29215262.00
2009/04/01	20.00	20.30	19.88	20.27	2359600	47496964.00
2009/04/02	20.60	21.47	20.43	21.02	4100200	86287208.00
2009/04/03	20.99	20.99	19.80	20.12	2642300	53542464.00
2009/04/07	20.12	20.18	19.60	19.99	1843700	36662544.00
2009/04/08	19.90	20.57	19.40	19.48	1627100	32609020.00
2009/04/09	19.68	19.88	19.22	19.67	1251000	24369060.00
2009/04/10	19.99	20.68	19.75	20.59	2599700	53170216.00
2009/04/13	20.88	20.96	20.40	20.64	2162100	44538572.00
2009/04/14	20.64	22.49	20.22	21.91	3393700	72603272.00
2009/04/15	21.68	22.49	21.50	22.07	2979000	65698032.00
2009/04/16	22.11	22.27	21.57	21.65	2003000	43833316.00
2009/04/17	21.66	21.99	20.51	20.60	1844200	38631140.00
2009/04/20	21.30	22.66	21.30	22.66	4207300	94404880.00
2009/04/21	22.90	24.35	22.20	23.90	4997000	117257344.00
2009/04/22	23.90	24.09	22.00	22.65	3642700	84261976.00
2009/04/23	22.20	23.56	22.20	23.55	2948100	68134872.00
2009/04/24	23.80	25.90	23.01	24.94	4123300	100720816.00
2009/04/27	24.92	27.20	24.01	25.49	4974900	128759592.00
2009/04/28	24.99	26.00	24.40	25.50	2592400	65628184.00
2009/04/29	25.49	26.50	25.00	25.72	2312000	59363760.00
2009/04/30	25.76	27.95	25.60	27.55	3430800	92750992.00
2009/05/04	28.08	28.30	27.13	27.98	2730300	75593608.00
2009/05/05	27.60	29.40	27.02	28.90	3288300	91327576.00
2009/05/06	28.60	30.28	28.30	28.98	2895800	84812416.00
2009/05/07	28.99	29.20	27.50	27.60	3428800	96142008.00
2009/05/08	27.30	27.80	25.62	26.03	3702500	98202288.00
2009/05/11	26.05	26.96	25.28	25.35	2229300	58455824.00
