002305 南国置业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/11/06	25.00	25.00	21.11	21.16	28903061	659103936.00
2009/11/09	19.55	20.48	19.55	20.19	11439416	228990656.00
2009/11/10	20.00	20.15	19.67	19.69	7651277	151574912.00
2009/11/11	19.56	20.03	19.20	19.83	6368478	125510384.00
2009/11/12	19.77	20.45	19.61	20.00	5671308	114176848.00
2009/11/13	19.84	20.90	19.72	20.69	6824572	138781792.00
2009/11/16	20.62	21.60	20.50	21.57	8204887	172134048.00
2009/11/17	21.42	22.30	21.20	21.49	7606471	165158720.00
2009/11/18	21.55	21.57	20.80	21.10	5841736	123295496.00
2009/11/19	20.80	21.88	20.80	21.53	5387401	115246776.00
2009/11/20	21.54	22.46	21.29	22.26	7841023	173122992.00
2009/11/23	22.24	23.20	22.15	22.86	7616764	172716224.00
2009/11/24	22.89	22.89	20.82	21.23	7572397	167725856.00
2009/11/25	21.15	23.00	20.80	22.67	7201171	158424096.00
2009/11/26	22.72	24.15	22.31	23.10	11926138	277954048.00
2009/11/27	22.35	22.85	21.58	21.71	5537894	122549376.00
2009/11/30	21.68	22.42	21.33	22.41	4574526	100535824.00
2009/12/01	22.38	22.69	21.91	22.42	4369151	97444544.00
2009/12/02	22.45	23.68	22.31	22.89	7499447	172300304.00
2009/12/03	22.70	23.20	22.35	22.90	5356300	122030296.00
2009/12/04	22.85	23.50	21.61	22.10	6670322	150582784.00
2009/12/07	21.80	22.40	21.71	22.29	3282929	72388912.00
2009/12/08	22.56	23.06	22.29	22.44	3796709	85914640.00
2009/12/09	22.00	22.34	21.40	21.65	3404505	74152960.00
2009/12/10	21.70	21.99	21.54	21.84	1793637	39054264.00
2009/12/11	21.84	22.39	21.63	22.34	4232624	93721712.00
2009/12/14	22.15	22.18	21.10	21.45	3005739	64648968.00
2009/12/15	21.30	21.30	20.58	20.64	3436688	71378976.00
2009/12/16	20.63	20.98	20.50	20.53	2104360	43562300.00
2009/12/17	20.62	20.71	19.72	19.75	2223587	44552080.00
2009/12/18	19.36	19.75	18.01	18.25	2857936	53491472.00
2009/12/21	18.10	19.18	18.10	19.11	2249956	42154988.00
2009/12/22	19.12	19.28	18.00	18.14	1837456	33831252.00
2009/12/23	18.14	18.74	18.13	18.52	1439259	26611478.00
2009/12/24	18.50	19.22	18.41	19.11	2120387	40139976.00
2009/12/25	19.11	19.26	18.83	18.88	1597843	30349844.00
2009/12/28	18.98	19.21	18.78	19.09	1551068	29484930.00
2009/12/29	19.20	19.65	18.93	19.55	2067742	39653104.00
2009/12/30	19.54	19.54	19.05	19.18	1838670	35400304.00
2009/12/31	19.25	19.88	19.20	19.57	2484784	48669108.00
2010/01/04	19.67	19.68	19.18	19.28	1672730	32368556.00
2010/01/05	19.18	19.30	18.50	18.67	2852178	53269080.00
2010/01/06	18.68	18.96	18.65	18.67	1943991	36554208.00
2010/01/07	18.57	18.80	18.28	18.36	1998880	36855264.00
2010/01/08	18.30	18.65	18.05	18.59	1317320	24304192.00
2010/01/11	18.68	18.90	18.20	18.33	1730458	31859982.00
2010/01/12	18.11	19.98	18.11	19.50	4552129	87248344.00
2010/01/13	18.88	19.18	18.68	18.77	2481948	46819556.00
2010/01/14	18.74	19.37	18.65	19.24	2172620	41567732.00
2010/01/15	19.29	19.78	19.18	19.41	2535696	49426320.00
2010/01/18	19.39	19.40	18.95	19.36	1963986	37568712.00
2010/01/19	19.30	19.46	19.15	19.39	1810799	34929764.00
2010/01/20	19.40	19.49	18.38	18.38	1850066	34995020.00
2010/01/21	18.38	18.72	18.20	18.55	1056380	19535868.00
2010/01/22	18.48	18.50	17.51	17.83	1669220	30001348.00
2010/01/25	17.63	17.91	17.40	17.46	857216	15129762.00
2010/01/26	17.48	17.55	16.40	16.58	1488200	24892818.00
2010/01/27	16.59	16.99	16.45	16.68	902499	15071834.00
2010/01/28	16.70	16.80	16.50	16.69	654170	10910550.00
2010/01/29	16.72	16.84	16.48	16.59	724736	12071694.00
2010/02/01	16.55	16.68	15.70	16.06	1197789	19115170.00
2010/02/02	16.20	16.36	15.68	15.70	1002731	16033356.00
2010/02/03	15.72	15.97	14.76	15.54	1657321	25171778.00
2010/02/04	15.45	16.58	15.05	16.05	2142679	34097412.00
2010/02/05	15.69	15.80	14.90	15.11	1204259	18528534.00
