002313 *ST日海 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/12/03	46.00	55.00	45.50	53.30	16603825	802948992.00
2009/12/04	49.90	53.28	47.97	47.97	10164427	504789824.00
2009/12/07	46.96	51.09	46.60	49.88	6044483	300474752.00
2009/12/08	49.83	49.85	47.10	48.41	4099767	198973552.00
2009/12/09	47.93	49.57	47.12	47.87	3007095	145331552.00
2009/12/10	47.61	49.58	47.61	48.68	3200206	156303760.00
2009/12/11	48.50	48.60	46.70	47.17	3360261	159239008.00
2009/12/14	47.00	47.60	44.00	45.29	2470072	112337488.00
2009/12/15	45.00	45.25	43.90	44.87	2128465	94529528.00
2009/12/16	44.48	44.48	41.90	41.94	2802625	120398064.00
2009/12/17	41.90	42.98	41.44	42.37	1907628	80685952.00
2009/12/18	42.00	42.00	38.31	39.03	1925187	76289872.00
2009/12/21	38.60	39.60	38.28	39.39	1228201	47984648.00
2009/12/22	39.39	39.50	36.92	37.00	1512600	57353352.00
2009/12/23	37.20	40.70	36.70	40.70	2887450	113753712.00
2009/12/24	41.60	43.90	40.75	42.50	4337604	182824944.00
2009/12/25	42.16	43.40	41.35	42.89	2613132	110345240.00
2009/12/28	42.56	43.33	42.39	43.05	2036410	87317032.00
2009/12/29	43.20	43.38	41.40	42.44	2025447	85925872.00
2009/12/30	42.21	42.30	40.45	40.48	2404531	98724984.00
2009/12/31	40.56	41.48	40.40	40.82	1098910	44814564.00
2010/01/04	40.90	41.80	40.82	41.21	1292204	53481312.00
2010/01/05	41.22	41.30	39.80	40.75	1385347	56255348.00
2010/01/06	40.39	41.41	40.36	40.72	1247218	51160852.00
2010/01/07	40.56	40.88	39.32	39.74	1387104	55474400.00
2010/01/08	39.54	39.97	39.17	39.83	953741	37698952.00
2010/01/12	40.60	43.81	40.60	43.81	2312368	99060976.00
2010/01/13	44.70	46.41	44.01	45.30	6474159	292183744.00
2010/01/14	45.45	47.74	44.60	46.35	4259231	197308672.00
2010/01/15	45.90	47.60	45.28	45.90	2482724	114436096.00
2010/01/18	45.35	46.35	45.25	45.83	1612861	73642768.00
2010/01/19	45.95	46.15	43.90	44.37	1797562	79951944.00
2010/01/20	44.37	44.65	40.00	40.56	2958093	125600536.00
2010/01/21	40.11	42.07	40.11	41.27	1438119	59426388.00
2010/01/22	40.58	40.96	38.45	39.64	1380639	54980772.00
2010/01/25	39.11	39.99	39.00	39.16	714040	28245062.00
2010/01/26	39.20	39.87	38.40	38.80	916200	35683668.00
2010/01/27	39.80	42.39	39.70	40.42	2074059	84976912.00
2010/01/29	40.35	41.75	39.00	40.20	1576696	63718416.00
2010/02/01	39.40	39.91	37.61	38.05	1338338	51205700.00
2010/02/02	37.80	39.11	37.71	37.79	836031	32059956.00
2010/02/03	37.84	38.78	36.80	38.70	1019216	38636764.00
2010/02/04	38.57	39.01	38.06	38.46	895113	34561080.00
2010/02/05	37.20	37.80	36.80	37.23	1064545	39612076.00
2010/02/08	37.01	37.80	36.85	37.47	501149	18815650.00
2010/02/09	37.30	37.71	37.16	37.67	344399	12912784.00
2010/02/10	37.97	38.88	37.58	38.88	748051	28808346.00
2010/02/11	38.90	39.50	38.60	39.01	781276	30574854.00
2010/02/12	39.30	39.80	38.66	39.59	729637	28627910.00
2010/02/22	39.59	39.59	38.42	38.50	683564	26531360.00
2010/02/23	38.50	38.50	37.50	38.30	612951	23236730.00
2010/02/24	39.01	42.13	39.01	42.13	2259364	93973248.00
2010/02/25	43.29	43.29	42.08	42.29	3083983	131394320.00
2010/02/26	41.50	41.96	41.01	41.40	1800311	74749688.00
2010/03/01	41.15	42.47	41.15	41.88	1608399	67551968.00
2010/03/02	41.95	42.83	41.58	42.53	1487130	62749836.00
2010/03/03	42.30	44.60	42.01	43.63	5465581	237858704.00
2010/03/04	43.10	44.18	41.41	41.85	3076029	132400568.00
2010/03/05	41.85	43.28	41.85	42.36	2072638	88353120.00
2010/03/08	42.33	42.88	41.80	42.48	1444905	61176700.00
2010/03/09	42.35	42.95	42.10	42.10	1320656	56173756.00
2010/03/10	41.82	42.18	40.61	41.59	1832056	75802816.00
2010/03/11	41.20	41.67	40.66	41.55	1709827	70334968.00
2010/03/12	41.25	43.38	41.25	42.20	2829296	120406560.00
2010/03/15	42.00	43.25	41.85	42.99	2054639	87880720.00
2010/03/16	43.01	43.28	42.22	42.97	1421707	60745640.00
2010/03/17	42.82	43.99	42.67	43.90	2319154	100579584.00
2010/03/18	43.90	44.35	43.31	43.50	1647430	72135992.00
2010/03/19	43.50	43.94	43.18	43.54	1095249	47642288.00
2010/03/22	43.62	44.65	43.53	44.44	1622431	71947904.00
2010/03/23	44.20	44.44	43.08	43.55	1559733	67869240.00
2010/03/24	43.60	45.37	43.21	44.90	2725323	121284680.00
2010/03/25	45.00	46.80	44.70	44.91	3184190	144570720.00
2010/03/26	44.60	44.99	43.52	44.19	1785274	79011736.00
2010/03/29	42.79	43.50	42.07	43.16	4442965	189626944.00
2010/03/30	42.99	44.18	42.81	43.80	2613367	113836320.00
2010/03/31	43.80	45.12	43.43	44.36	2749869	122145296.00
2010/04/01	44.80	45.69	44.40	44.88	2875343	130228224.00
2010/04/02	44.45	45.16	44.26	44.75	2064091	92249128.00
2010/04/06	44.94	45.94	44.78	45.81	2117703	96421672.00
2010/04/07	45.81	47.18	45.25	46.80	2810334	130602264.00
2010/04/08	46.79	49.30	46.78	46.83	4476751	214905520.00
2010/04/09	46.66	48.30	46.66	47.55	3068487	146544528.00
2010/04/12	47.49	50.88	47.31	49.84	3822261	188404576.00
2010/04/13	49.99	50.20	45.02	46.76	3943938	187006160.00
2010/04/14	46.82	47.08	45.30	46.04	2266824	104455240.00
2010/04/15	46.51	47.08	45.00	46.36	2282179	105135944.00
2010/04/16	46.20	47.03	45.55	46.44	1279342	59396176.00
2010/04/19	45.18	46.44	43.61	43.89	1618615	73381536.00
2010/04/21	44.98	46.63	44.51	46.35	1674573	76764032.00
2010/04/22	46.10	48.20	45.00	47.54	2868807	133749064.00
2010/04/23	47.40	47.99	45.80	45.90	1949711	91153104.00
2010/04/26	45.69	45.82	44.40	44.56	1289337	58033776.00
2010/04/27	44.10	44.50	40.40	41.30	2196328	92854800.00
2010/04/28	40.39	41.88	39.90	40.81	1447005	58901344.00
2010/04/29	40.88	41.50	40.30	40.75	973811	39959388.00
2010/04/30	40.82	40.88	38.60	39.90	1145936	45145816.00
2010/05/04	39.00	40.17	38.68	39.16	663943	26129232.00
2010/05/05	38.80	40.50	38.80	40.49	979482	39130688.00
2010/05/06	40.45	40.79	39.25	39.25	1157079	46528500.00
2010/05/07	38.70	39.44	38.00	38.88	1150177	44492564.00
2010/05/10	38.98	39.29	36.31	36.90	1218992	45600556.00
2010/05/12	35.10	35.86	34.85	35.20	1235392	43459832.00
2010/05/13	35.22	36.25	34.90	36.15	787732	28036158.00
2010/05/14	36.15	36.58	35.22	36.19	657187	23697790.00
2010/05/17	35.89	36.80	35.40	35.60	1208413	43555156.00
2010/05/18	35.17	35.55	33.90	35.22	1595718	55255076.00
2010/05/19	34.89	36.29	34.00	35.72	1214074	43063400.00
2010/05/20	35.50	35.99	34.52	34.72	893277	31413640.00
2010/05/21	33.50	35.49	33.35	35.48	974216	33732492.00
2010/05/24	35.60	37.68	35.58	37.21	1621949	59836668.00
2010/05/25	36.90	37.95	36.81	37.51	1375066	51462988.00
2010/05/26	37.48	37.80	36.88	37.40	742908	27751604.00
2010/05/27	37.40	38.04	36.71	37.86	769299	28864366.00
2010/05/28	38.38	38.87	37.77	37.90	868659	33110340.00
2010/05/31	37.78	37.78	36.30	36.36	771938	28665606.00
2010/06/01	36.25	36.25	34.40	35.00	864574	30557864.00
2010/06/02	34.88	36.09	34.88	36.06	553039	19665394.00
2010/06/03	36.11	36.80	35.50	35.75	652705	23717696.00
2010/06/04	35.45	37.20	35.45	37.01	755583	27695222.00
2010/06/07	36.28	38.49	36.11	37.99	1202184	45121456.00
2010/06/08	38.45	39.20	37.71	38.40	1637983	63252320.00
2010/06/09	38.35	39.46	38.35	39.08	1452017	56578440.00
2010/06/10	39.20	39.35	38.81	39.09	973630	38044560.00
2010/06/11	39.29	39.30	38.38	38.71	1225092	47589016.00
2010/06/17	38.95	39.25	37.19	37.20	768151	29437946.00
2010/06/18	37.13	37.49	35.60	35.65	960661	35105596.00
2010/06/21	35.96	37.40	35.33	37.10	892631	32305650.00
2010/06/22	37.10	37.50	36.79	37.38	545416	20349706.00
2010/06/23	37.38	38.40	37.05	38.09	485063	18346638.00
2010/06/24	38.20	38.81	38.10	38.35	724148	27874278.00
2010/06/25	38.22	38.80	37.50	37.71	829220	31652488.00
2010/06/28	37.71	37.80	36.61	36.80	454806	16916166.00
2010/06/29	37.25	37.25	34.75	34.75	969531	34284108.00
2010/06/30	34.00	34.74	33.88	34.36	520716	17799294.00
2010/07/01	34.25	35.20	34.25	34.50	440820	15274610.00
2010/07/02	34.50	34.87	32.53	34.22	915702	30874324.00
2010/07/05	33.80	35.00	33.80	34.90	509185	17659292.00
2010/07/06	34.85	35.63	34.52	35.48	583565	20579952.00
2010/07/07	35.26	35.80	35.01	35.60	426218	15093802.00
2010/07/08	35.66	35.77	34.55	34.90	506570	17778738.00
2010/07/09	34.70	35.98	34.70	35.80	616674	21861908.00
2010/07/12	35.59	36.00	35.59	35.89	532830	19114020.00
2010/07/13	35.71	35.71	34.81	34.96	771045	27067352.00
2010/07/14	35.16	35.90	34.96	35.33	666815	23592692.00
2010/07/15	34.98	35.62	34.00	34.41	426453	14924440.00
2010/07/16	34.50	34.50	33.70	34.10	506200	17252628.00
2010/07/19	33.79	34.90	33.73	34.88	407291	14091471.00
2010/07/20	34.91	36.25	34.88	35.96	736117	26260032.00
2010/07/21	36.11	36.62	35.88	36.10	671736	24350466.00
2010/07/22	36.10	36.48	35.88	36.47	538896	19532528.00
2010/07/23	36.58	37.15	36.21	37.06	792838	29117800.00
2010/07/26	37.09	37.88	36.92	37.22	817102	30468120.00
2010/07/27	37.09	37.15	36.30	36.47	1013361	37122680.00
2010/07/28	36.41	38.19	36.34	38.11	1241267	46565208.00
2010/07/29	38.08	38.10	37.43	37.80	943222	35550768.00
2010/07/30	37.84	37.84	36.92	37.28	1234924	46022788.00
2010/08/02	37.60	38.70	37.35	38.52	1434082	54806216.00
2010/08/03	38.86	39.97	38.59	39.17	2364500	92706232.00
2010/08/04	38.85	39.40	38.50	39.40	1004301	39115332.00
2010/08/05	39.41	40.36	39.39	39.56	1391746	55472012.00
2010/08/06	39.54	40.10	39.21	40.10	1537787	61180024.00
2010/08/09	40.52	41.68	40.52	41.13	1859883	76511576.00
2010/08/10	42.00	42.00	39.26	39.29	1755838	70558368.00
2010/08/11	38.95	39.78	38.95	39.75	975582	38460420.00
2010/08/12	39.17	39.75	38.59	38.65	1209787	47208372.00
2010/08/13	38.60	39.38	38.44	39.38	757877	29482042.00
2010/08/16	39.27	40.55	39.12	40.43	1045068	41761948.00
2010/08/17	40.50	40.63	40.00	40.30	726047	29250942.00
2010/08/18	40.30	41.18	40.15	40.35	884817	35936356.00
2010/08/19	40.40	41.12	40.00	40.75	1159942	47172292.00
2010/08/20	40.50	40.75	39.00	39.34	979365	38976156.00
2010/08/23	38.89	39.55	38.60	38.90	702085	27410912.00
2010/08/24	38.89	39.67	38.70	39.16	607177	23874814.00
2010/08/25	38.87	39.16	37.88	37.93	888748	34225044.00
2010/08/26	37.92	38.70	37.89	38.15	538847	20587528.00
2010/08/27	38.09	39.36	38.05	39.30	738995	28764522.00
2010/08/30	39.50	40.55	39.50	40.38	921904	37089732.00
2010/08/31	40.20	42.55	40.11	42.18	2384918	99522992.00
2010/09/01	42.20	42.68	40.66	41.07	1886549	78442720.00
2010/09/02	41.58	43.70	41.30	43.52	2032315	86154024.00
2010/09/03	43.53	43.69	42.50	42.96	1461435	62879604.00
2010/09/06	43.40	43.56	41.24	41.28	1227793	51760380.00
2010/09/07	41.32	41.76	40.80	41.59	596267	24648762.00
2010/09/08	41.58	41.94	41.16	41.80	651465	27078588.00
2010/09/09	41.95	42.00	40.41	40.50	938576	38572172.00
2010/09/10	40.80	41.14	39.93	41.08	849577	34424784.00
2010/09/13	41.08	41.89	40.82	41.70	732661	30342868.00
2010/09/14	41.70	43.45	41.12	43.11	2018774	86051416.00
2010/09/15	43.26	44.12	42.71	43.01	2353753	102524896.00
2010/09/16	43.01	43.97	42.01	43.88	1352431	57693304.00
2010/09/17	43.89	44.17	43.05	43.35	752568	32747978.00
2010/09/20	43.55	43.63	41.80	41.81	713888	30245110.00
2010/09/21	41.80	42.19	40.72	41.37	1052524	43510292.00
