002347 泰尔股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/28	26.88	30.43	26.10	28.00	15139216	424923104.00
2010/01/29	26.88	27.50	25.41	26.75	7679416	204055168.00
2010/02/01	26.00	26.40	24.50	24.58	4806995	121701664.00
2010/02/02	24.50	25.20	24.19	24.31	3297572	81654280.00
2010/02/03	24.06	24.45	22.82	24.00	3418244	80587008.00
2010/02/04	23.68	24.64	23.12	24.45	2655013	63932264.00
2010/02/05	23.80	23.85	23.26	23.47	2017618	47542940.00
2010/02/08	23.50	24.05	23.42	23.78	1286296	30545902.00
2010/02/09	23.69	23.84	23.40	23.73	1133260	26711664.00
2010/02/10	23.73	24.30	23.62	24.26	1696490	40664900.00
2010/02/11	24.18	24.32	23.91	24.01	1169461	28152896.00
2010/02/12	24.08	24.46	24.06	24.42	1227749	29820856.00
2010/02/22	24.38	24.78	24.10	24.10	1092447	26612650.00
2010/02/23	24.02	24.10	23.30	23.83	1234638	29179660.00
2010/02/24	23.73	24.97	23.60	24.81	2378105	58332064.00
2010/02/25	24.96	26.26	24.93	25.63	3765652	96843256.00
2010/03/01	25.28	25.98	25.28	25.75	1987935	51138988.00
2010/03/02	25.75	26.40	25.48	26.40	2141864	55601744.00
2010/03/03	26.25	26.66	26.05	26.08	2054513	54163668.00
2010/03/04	25.90	26.29	24.99	25.04	2059494	52534256.00
2010/03/05	25.11	25.40	25.00	25.30	1100286	27744072.00
2010/03/08	25.34	25.68	25.10	25.43	1146866	29194378.00
2010/03/09	25.43	25.52	25.11	25.27	1026294	25924822.00
2010/03/10	25.23	25.40	24.65	24.75	892427	22276464.00
2010/03/11	24.83	25.08	24.25	25.02	1108466	27395310.00
2010/03/12	25.00	25.65	24.51	25.00	1842000	46642536.00
2010/03/15	25.05	25.18	24.56	24.80	888366	21974262.00
2010/03/16	24.76	25.20	24.67	24.80	853490	21269144.00
2010/03/17	24.78	25.78	24.75	25.77	1665012	42382808.00
2010/03/18	25.80	25.90	25.30	25.50	1157792	29647340.00
2010/03/19	25.61	25.75	25.30	25.60	853202	21778726.00
2010/03/22	25.58	26.19	25.58	26.00	1441214	37409604.00
