002375 亚厦股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/23	38.02	39.40	38.01	39.35	30349029	1164193792.00
2010/03/24	39.25	42.33	39.17	41.96	22525673	911791744.00
2010/03/25	41.79	42.15	40.38	40.74	15064198	620559296.00
2010/03/26	40.10	42.33	39.20	41.98	12755273	518268640.00
2010/03/29	44.10	45.00	42.80	43.20	15286130	667369664.00
2010/03/30	42.90	45.34	42.46	44.07	10955909	482485344.00
2010/03/31	43.60	45.60	43.60	45.26	7748348	345047136.00
2010/04/01	45.00	46.60	44.47	44.47	8660151	392741632.00
2010/04/02	43.80	45.68	43.40	45.17	5560276	248469424.00
2010/04/06	45.47	45.68	44.52	45.48	4187572	189213024.00
2010/04/07	45.85	48.98	45.85	47.54	7184899	340500800.00
2010/04/08	47.59	49.40	46.00	46.05	6870688	327616768.00
2010/04/09	46.33	47.08	45.49	46.93	4330040	200844112.00
2010/04/12	47.05	50.55	47.01	49.93	6747684	329863200.00
2010/04/13	49.87	49.87	45.20	45.60	7394451	347946240.00
2010/04/14	45.18	46.95	44.98	46.05	4327201	200270736.00
2010/04/15	45.85	46.78	42.38	43.35	5409926	238545280.00
2010/04/16	42.78	44.08	42.20	43.40	2158164	93012624.00
2010/04/19	43.20	43.80	42.00	42.13	2383138	102061544.00
2010/04/20	42.18	42.68	40.98	42.46	2319310	97141632.00
2010/04/21	42.31	44.10	42.11	43.70	2612961	112560824.00
2010/04/22	43.50	44.58	43.20	43.61	2706024	118833744.00
2010/04/23	43.28	44.10	42.38	42.40	2227541	95730264.00
2010/04/26	42.79	42.86	40.80	40.99	2555197	106714872.00
2010/04/27	40.51	40.69	38.52	39.36	1854467	73130432.00
2010/04/28	39.77	42.58	39.64	42.10	3403628	140700320.00
2010/04/30	40.33	40.90	38.50	40.22	1960488	78339408.00
2010/05/04	39.41	41.37	38.98	40.78	1041149	42294712.00
2010/05/05	40.40	42.50	40.00	42.49	1350322	56239824.00
2010/05/06	42.49	42.85	38.52	39.40	1892130	77783840.00
2010/05/07	38.20	40.14	38.04	39.57	1757262	68979840.00
2010/05/10	39.40	39.80	37.21	38.35	1338824	51679080.00
2010/05/11	39.28	39.51	35.60	35.84	2376241	88750152.00
2010/05/12	35.45	36.69	35.00	35.48	886612	31695440.00
2010/05/13	35.75	36.48	34.88	36.35	1005529	35888964.00
2010/05/14	36.20	36.80	35.81	36.55	1107293	40301072.00
2010/05/17	35.99	36.04	33.81	33.93	1136482	39681032.00
2010/05/19	34.39	36.00	34.30	35.21	1480442	52060144.00
2010/05/20	35.09	36.70	34.80	35.92	1412069	50925792.00
2010/05/21	35.00	37.60	34.64	37.55	1570390	57608680.00
2010/05/24	38.05	39.81	37.80	39.20	2121799	82499288.00
2010/05/25	38.74	39.50	38.55	39.23	1623465	63386144.00
2010/05/26	39.00	39.57	38.45	38.77	811757	31575504.00
2010/05/27	38.90	39.97	38.23	39.42	1025188	40321480.00
2010/05/28	39.68	41.66	39.68	41.01	2244279	90985544.00
2010/05/31	40.61	41.29	39.50	39.50	1443653	58284616.00
2010/06/01	38.50	40.16	38.30	38.56	1368220	53206832.00
2010/06/02	38.50	39.30	37.42	39.30	1134417	43782176.00
2010/06/03	39.30	40.76	39.21	39.80	1451923	58429964.00
2010/06/04	39.50	41.50	38.71	41.38	1695720	68973352.00
2010/06/07	40.98	43.88	40.80	43.04	2869588	122817256.00
2010/06/08	43.10	45.24	43.10	44.17	2819668	125742944.00
2010/06/09	44.05	44.62	43.48	44.17	1655801	72981320.00
2010/06/10	44.12	46.56	43.97	46.47	1858526	84873536.00
2010/06/11	46.00	46.58	45.34	46.09	1292692	59449808.00
2010/06/17	46.00	46.29	42.88	43.09	1372429	60403332.00
2010/06/18	42.88	44.14	41.00	41.55	1449139	61819748.00
2010/06/21	41.02	43.63	40.50	43.52	794246	33800204.00
2010/06/22	43.03	43.92	42.53	43.15	648947	28033492.00
2010/06/23	42.90	45.25	41.70	44.99	5424945	233269936.00
2010/06/24	44.58	45.20	44.01	44.72	2593554	115600608.00
2010/06/25	44.55	44.80	42.60	42.90	2168908	93526808.00
2010/06/28	42.70	43.20	41.50	41.85	1563819	65969764.00
