002428 云南锗业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/06/08	56.11	60.88	56.11	60.60	22912399	1318753792.00
2010/06/09	58.11	59.18	54.54	55.30	15148222	855064000.00
2010/06/10	53.00	53.88	51.80	52.30	8764983	462231520.00
2010/06/11	53.21	57.53	52.54	57.53	12807834	722380544.00
2010/06/17	58.60	58.75	53.89	54.90	7704144	434581056.00
2010/06/18	54.00	54.40	49.41	49.41	7087181	364014144.00
2010/06/21	48.48	50.34	47.07	49.98	3710674	180852160.00
2010/06/22	48.99	51.19	48.88	49.59	2855860	142667296.00
2010/06/23	48.50	49.88	48.05	48.89	2179450	106419416.00
2010/06/24	48.95	51.18	48.65	49.98	2675611	134199896.00
2010/06/25	49.96	50.86	48.80	49.10	2187744	108613224.00
2010/06/28	48.78	49.41	45.58	45.89	3500946	164343712.00
2010/06/29	45.40	46.78	41.30	41.35	4006923	174354928.00
2010/06/30	40.20	41.80	39.78	41.54	2216477	90257360.00
2010/07/01	41.02	41.65	40.18	40.60	2043129	83772056.00
2010/07/02	40.60	40.87	36.72	38.67	2942791	113688952.00
2010/07/05	37.70	38.47	37.14	37.86	1632240	61587380.00
2010/07/06	37.60	39.90	37.00	39.60	2690089	105089608.00
2010/07/07	39.12	39.70	38.68	39.36	2268946	88682272.00
2010/07/08	40.88	42.60	40.30	40.35	3857401	159066976.00
2010/07/09	40.03	44.39	40.00	44.19	5509471	236749872.00
2010/07/12	43.79	44.62	43.11	44.14	3115051	137127536.00
2010/07/13	43.52	43.70	41.95	42.85	2877682	123083592.00
2010/07/14	42.93	45.20	42.93	43.47	2910973	128617968.00
2010/07/15	42.99	43.49	41.70	41.76	2023590	86069816.00
2010/07/16	41.47	45.38	41.23	44.18	3417839	149665216.00
2010/07/19	43.70	46.08	43.44	44.86	3212127	145079024.00
2010/07/20	43.89	46.09	43.48	45.50	4602944	205922336.00
2010/07/21	45.45	46.43	44.81	44.98	3516708	159780864.00
2010/07/22	44.90	46.50	44.51	45.59	3401740	155204160.00
2010/07/23	45.58	46.10	44.80	45.31	2453045	111320480.00
2010/07/26	45.70	46.22	45.25	45.92	2681755	122714008.00
2010/07/27	45.95	45.97	44.95	45.03	2267460	102654832.00
2010/07/28	44.75	45.65	44.30	45.51	2654959	119908528.00
2010/07/29	45.57	46.15	45.06	46.06	2821842	129170224.00
2010/07/30	45.98	48.49	45.98	47.60	4319928	205404560.00
2010/08/02	47.50	48.35	47.14	47.64	2941386	140346496.00
2010/08/03	47.82	49.19	47.12	47.12	2874890	139186880.00
2010/08/04	46.97	48.00	46.16	47.99	2670820	125339544.00
2010/08/05	47.66	48.48	47.20	47.58	2141048	102600880.00
2010/08/06	47.88	49.19	47.31	48.76	2282179	110452960.00
2010/08/09	49.10	50.86	48.76	49.90	2437400	121774352.00
2010/08/10	49.99	50.57	48.00	48.00	2694827	132694296.00
2010/08/11	47.67	48.42	47.30	47.90	2128740	101748432.00
2010/08/12	47.16	47.95	46.88	46.96	1826822	86427048.00
2010/08/13	47.02	48.02	46.82	47.97	1621072	77113920.00
2010/08/16	47.88	49.34	47.50	49.07	2022418	98311000.00
2010/08/17	49.10	50.85	48.80	50.17	2613564	130382944.00
2010/08/18	50.18	50.77	49.02	49.61	2274564	113172568.00
2010/08/19	49.68	50.72	48.60	49.88	2538277	127078488.00
2010/08/20	49.48	52.45	49.20	50.35	3642425	186497504.00
2010/08/23	50.60	52.98	50.60	52.22	3037225	158567424.00
2010/08/24	51.80	52.49	51.06	51.89	2168137	112257280.00
2010/08/25	51.74	52.40	49.68	49.80	2198449	112100272.00
2010/08/26	50.11	50.40	49.11	50.15	1459995	72661344.00
2010/08/27	50.03	50.93	49.50	50.70	1370832	69181120.00
2010/08/30	51.10	54.08	50.88	53.41	2937958	153822768.00
2010/08/31	52.90	54.50	52.51	53.21	2621482	140115248.00
2010/09/01	53.21	53.30	50.75	51.45	2481321	128910256.00
2010/09/02	52.20	54.47	52.18	53.60	2513040	134014784.00
2010/09/03	53.45	54.88	52.50	54.62	2809142	151495168.00
2010/09/06	54.88	57.40	53.30	54.39	4185894	233424944.00
2010/09/08	53.30	59.83	53.13	59.83	6830543	389665504.00
2010/09/09	59.95	65.50	58.88	62.72	7384492	458201952.00
2010/09/10	61.12	67.60	61.10	64.01	5036382	324989792.00
2010/09/13	63.71	66.00	62.50	64.38	3187553	204536400.00
2010/09/14	64.00	64.95	61.70	62.05	3251543	205395552.00
2010/09/15	62.23	62.60	58.51	59.11	3213055	194265600.00
2010/09/16	58.80	59.90	55.16	56.91	3945313	226385488.00
2010/09/17	56.90	58.99	56.50	58.37	3477056	201897280.00
2010/09/20	58.50	58.68	56.01	56.22	1928897	109945848.00
2010/09/21	56.60	57.50	54.00	54.45	2282254	127011560.00
2010/09/27	55.00	59.85	54.90	58.96	2897526	167282960.00
2010/09/28	58.30	62.25	58.28	59.81	3291074	199249536.00
2010/09/29	59.83	61.56	59.60	59.81	2324023	140341952.00
2010/09/30	59.70	61.68	58.95	61.60	2974685	179497888.00
2010/10/08	62.95	67.76	62.88	66.40	5011429	333152000.00
2010/10/11	66.45	68.00	63.11	64.05	4610904	304632192.00
2010/10/12	63.05	68.70	62.51	66.30	3150887	207697712.00
2010/10/13	66.80	66.80	63.00	64.85	2293040	148147376.00
2010/10/14	64.50	65.99	63.00	63.92	2407188	155435040.00
2010/10/15	62.97	66.49	61.26	64.23	2983203	190720192.00
2010/10/18	65.01	65.15	59.51	60.40	3143958	194169360.00
2010/10/20	60.60	66.44	60.55	66.44	2475568	158198176.00
2010/10/21	68.92	71.60	67.33	68.61	2812351	194522736.00
2010/10/22	68.00	74.38	67.38	73.51	3204374	231141488.00
2010/10/25	73.00	79.40	71.50	75.50	3230278	244364976.00
2010/10/26	75.29	76.99	72.95	73.04	2471357	183262752.00
2010/10/27	71.80	74.48	71.40	71.90	1968370	143729328.00
