002478 常宝股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/21	19.81	20.58	17.65	17.77	34530577	650301952.00
2010/09/27	17.06	17.18	16.18	16.66	14554576	242572896.00
2010/09/28	16.40	16.57	16.12	16.26	9512692	155087760.00
2010/09/29	16.21	16.37	15.80	16.26	6296272	101289912.00
2010/09/30	16.06	16.42	16.05	16.32	5386423	87659000.00
2010/10/08	16.38	16.63	16.18	16.47	6407751	105381616.00
2010/10/11	16.48	16.49	16.28	16.40	5479688	89706544.00
2010/10/12	16.34	16.64	16.29	16.34	4979776	81742256.00
2010/10/13	16.30	16.47	16.16	16.33	4507503	73365664.00
2010/10/14	16.39	17.32	16.30	16.84	10418976	174964592.00
2010/10/15	16.59	16.80	16.30	16.43	5329868	88152312.00
2010/10/18	16.30	17.10	16.11	16.77	9241568	155109840.00
2010/10/19	16.77	18.00	16.55	17.70	12946435	223500864.00
2010/10/20	17.30	17.85	17.04	17.27	10856543	189169296.00
2010/10/21	17.20	17.20	16.68	16.87	5893009	99444496.00
2010/10/22	16.86	17.15	16.76	16.97	3976889	67373880.00
2010/10/25	16.98	17.49	16.81	17.35	7222409	123775632.00
2010/10/26	17.33	17.78	17.10	17.67	11842827	207651296.00
2010/10/27	17.60	18.13	17.25	17.69	10661220	187980608.00
2010/10/28	17.53	18.05	17.50	17.86	7402549	131750720.00
2010/10/29	17.78	18.39	17.60	18.38	9594795	173458480.00
2010/11/01	18.42	19.34	18.21	18.65	13405329	251364288.00
2010/11/02	18.85	18.90	17.80	17.88	10220946	187237632.00
2010/11/03	17.71	18.17	17.50	17.54	4692217	83354720.00
2010/11/04	17.68	18.07	17.52	17.96	4618187	82266488.00
2010/11/05	17.96	18.10	17.59	17.96	5279516	93768176.00
2010/11/08	17.95	18.48	17.75	18.40	6962593	126075096.00
2010/11/09	18.35	18.90	18.09	18.88	9652800	178271632.00
2010/11/10	18.80	19.30	18.61	18.85	7797107	147551968.00
2010/11/11	18.60	19.16	18.31	18.42	6344175	119156096.00
2010/11/12	18.26	18.49	17.10	17.10	6099529	107913816.00
2010/11/15	17.20	17.78	17.01	17.60	3550551	61609460.00
2010/11/16	17.60	17.89	16.84	16.84	3948924	68430064.00
