002558 巨人网络 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/02	38.47	40.80	38.02	38.13	9432453	369605600.00
2011/03/03	37.45	40.98	37.01	39.71	6382202	251208640.00
2011/03/04	38.00	38.31	36.88	37.65	3801463	142969872.00
2011/03/07	37.03	38.17	37.03	37.35	2753678	103227904.00
2011/03/08	37.10	37.38	36.01	36.31	2791537	101731800.00
2011/03/09	36.40	36.87	36.15	36.51	1510928	55230552.00
2011/03/10	36.55	36.89	36.19	36.60	1522724	55663532.00
2011/03/11	36.55	36.85	36.07	36.22	1436260	52249056.00
2011/03/14	36.00	36.52	35.10	36.50	1905759	68047720.00
2011/03/15	36.15	39.50	36.13	38.04	4263794	161405584.00
2011/03/16	37.55	38.86	37.02	37.73	1899259	71506752.00
2011/03/17	37.53	37.53	36.14	36.27	1301983	47811052.00
2011/03/18	36.41	36.88	36.25	36.37	658886	24046520.00
2011/03/21	36.31	36.98	36.10	36.60	602517	21975908.00
2011/03/22	36.79	37.65	36.21	37.23	1369796	50812304.00
2011/03/23	37.01	37.24	36.63	36.90	906594	33412078.00
2011/03/24	36.90	37.75	36.90	37.45	1321108	49492160.00
2011/03/25	37.25	37.25	36.48	36.68	1264179	46356192.00
2011/03/28	36.68	37.29	36.38	36.63	1058628	38979608.00
2011/03/29	36.35	36.88	35.15	35.19	1259535	44917196.00
2011/03/30	35.20	35.33	34.03	34.10	793933	27384486.00
2011/03/31	34.19	34.58	34.15	34.44	475832	16331327.00
2011/04/01	34.45	34.99	34.30	34.69	481869	16698518.00
2011/04/06	34.58	34.99	34.25	34.38	443989	15315528.00
2011/04/07	34.39	34.60	34.19	34.49	413824	14212876.00
2011/04/08	34.59	34.77	34.30	34.66	433977	14991697.00
2011/04/11	34.67	34.80	33.75	33.80	627671	21478246.00
2011/04/12	33.50	33.77	33.40	33.45	541890	18174656.00
2011/04/13	33.47	35.69	33.47	35.16	1345248	46767224.00
2011/04/14	35.00	35.00	34.35	34.42	586333	20285586.00
2011/04/15	34.40	34.42	33.81	34.00	354951	12084278.00
2011/04/18	34.10	34.95	34.02	34.35	429211	14792547.00
2011/04/19	34.20	34.30	33.80	33.95	344765	11713269.00
2011/04/20	33.96	34.47	33.96	34.31	269735	9242756.00
2011/04/21	34.45	34.54	34.25	34.32	307396	10575388.00
2011/04/25	33.98	33.98	32.01	32.02	950843	31195956.00
2011/04/26	32.07	32.44	31.06	31.23	492435	15435527.00
2011/04/27	31.32	31.35	30.17	30.48	447213	13681259.00
2011/04/28	30.46	30.77	29.70	29.71	372489	11292183.00
2011/04/29	29.83	29.96	29.12	29.94	225108	6666546.50
2011/05/03	29.77	30.30	29.66	30.30	297046	8943583.00
2011/05/04	30.08	30.20	29.13	29.16	305318	9019103.00
2011/05/05	28.99	29.17	28.73	29.16	261189	7557648.00
2011/05/06	29.05	29.07	28.62	28.87	219149	6320826.50
2011/05/09	28.91	29.48	28.91	29.01	270584	7873084.00
2011/05/10	29.20	29.20	28.82	29.02	158974	4599967.50
2011/05/11	29.11	31.90	29.00	30.06	517364	15625926.00
2011/05/12	29.88	30.22	29.40	29.41	299425	8867446.00
2011/05/13	29.31	30.89	29.00	30.82	494440	14819445.00
2011/05/16	30.90	30.95	29.96	30.80	423593	12963763.00
2011/05/17	30.80	30.80	30.20	30.30	298827	9091111.00
2011/05/18	30.30	30.40	30.00	30.12	163765	4930168.50
