002670 国盛金控 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/04/16	9.55	9.77	8.71	8.92	24729528	228396576.00
2012/04/17	9.30	9.81	9.29	9.63	28774856	274596576.00
2012/04/18	9.30	9.54	9.10	9.39	21609879	200902144.00
2012/04/19	9.28	9.48	9.16	9.40	11857142	110605328.00
2012/04/20	9.39	9.52	9.19	9.42	14104379	131997744.00
2012/04/23	9.29	9.31	8.70	8.88	11630856	104517592.00
2012/04/24	8.74	8.90	8.23	8.50	8689126	74271856.00
2012/04/25	8.38	8.56	8.34	8.50	6564781	55571524.00
2012/04/26	8.55	8.72	8.48	8.66	7271695	62766228.00
2012/04/27	8.65	8.73	8.42	8.53	3706172	31661996.00
2012/05/02	8.59	8.81	8.52	8.81	6154511	53505644.00
2012/05/03	8.75	8.83	8.67	8.75	4130903	36189216.00
2012/05/04	8.78	8.80	8.70	8.78	3520912	30806176.00
2012/05/07	8.78	8.78	8.58	8.71	3701932	32051468.00
2012/05/08	8.69	9.09	8.64	8.89	6920338	61300880.00
2012/05/09	8.75	8.78	8.65	8.66	4144867	36092028.00
2012/05/10	8.65	8.72	8.63	8.68	2326260	20200526.00
2012/05/11	8.65	8.71	8.51	8.51	2701991	23226418.00
2012/05/14	8.59	8.64	8.47	8.47	2251683	19279914.00
2012/05/15	8.41	8.56	8.35	8.56	2528674	21359208.00
2012/05/16	8.56	8.68	8.48	8.48	2208363	18959698.00
2012/05/17	8.58	8.69	8.52	8.63	2545024	21937518.00
2012/05/18	8.54	8.68	8.50	8.50	2102080	18022670.00
2012/05/21	8.52	8.63	8.42	8.50	2009109	17124070.00
2012/05/22	8.54	8.61	8.52	8.61	1748127	14988564.00
2012/05/23	8.59	8.68	8.51	8.60	2664689	22916638.00
2012/05/24	8.59	8.61	8.43	8.45	2310288	19643952.00
2012/05/25	8.46	8.49	8.11	8.13	2833634	23463092.00
2012/05/28	8.10	8.12	7.82	8.10	3031721	24101756.00
2012/05/29	8.08	8.25	8.03	8.19	2700162	22050428.00
2012/05/30	8.19	8.25	8.14	8.18	1528772	12504618.00
2012/05/31	8.11	8.35	8.08	8.24	2460596	20241978.00
2012/06/01	8.21	8.31	8.20	8.26	1868325	15411275.00
2012/06/04	8.14	8.14	7.80	7.88	1966990	15752836.00
2012/06/05	7.88	7.97	7.86	7.91	1244919	9843512.00
2012/06/06	7.94	7.96	7.82	7.86	776650	6144524.50
2012/06/07	7.91	7.97	7.78	7.82	1312911	10354865.00
2012/06/08	7.91	7.92	7.82	7.85	1188390	9360548.00
2012/06/11	7.85	7.99	7.84	7.98	1277244	10131692.00
2012/06/12	7.94	7.96	7.90	7.91	838492	6650656.50
2012/06/13	7.92	8.10	7.92	8.08	1591431	12795677.00
2012/06/14	8.05	8.16	8.02	8.02	1590666	12867579.00
2012/06/15	8.02	8.10	7.92	8.04	1183868	9498940.00
2012/06/18	8.08	8.16	8.04	8.13	1592320	12922568.00
2012/06/19	8.13	8.14	8.04	8.06	1019565	8249482.50
2012/06/20	8.07	8.12	8.03	8.06	946505	7641951.50
2012/06/25	7.90	7.95	7.76	7.77	1167384	9190900.00
2012/06/26	7.65	7.85	7.65	7.80	861463	6674851.50
2012/06/27	7.84	7.94	7.78	7.86	1380971	10883106.00
2012/06/28	7.86	7.93	7.72	7.74	1324910	10351344.00
2012/06/29	7.70	7.90	7.68	7.90	1148025	8940016.00
2012/07/02	7.90	7.98	7.86	7.91	1286340	10178569.00
2012/07/03	7.93	8.08	7.88	8.07	2274026	18241948.00
2012/07/04	8.04	8.12	7.97	8.05	1761243	14188007.00
2012/07/05	8.05	8.05	7.83	7.85	1234265	9752924.00
2012/07/06	7.92	8.06	7.82	8.03	1882118	14973541.00
2012/07/09	7.96	8.08	7.81	7.83	1676204	13377474.00
2012/07/10	7.82	7.89	7.65	7.74	1313029	10162673.00
2012/07/11	7.74	7.78	7.69	7.78	768408	5956848.50
2012/07/12	7.61	7.62	7.46	7.55	1357308	10248254.00
2012/07/13	7.50	7.57	7.32	7.34	1542921	11477614.00
2012/07/16	7.31	7.31	6.61	6.69	5026240	34548608.00
2012/07/17	6.64	6.76	6.63	6.74	1870630	12536222.00
2012/07/18	6.72	6.85	6.65	6.83	1339787	9045101.00
2012/07/19	6.77	6.95	6.77	6.89	2702751	18610840.00
