002687 乔治白 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/07/13	24.50	26.60	24.50	25.38	19172471	489330048.00
2012/07/16	24.05	24.19	22.84	22.84	4196544	98062368.00
2012/07/17	20.72	21.99	20.56	21.64	9201972	193733600.00
2012/07/18	21.00	21.58	20.22	20.70	5702366	118545072.00
2012/07/19	20.50	21.43	20.31	20.90	5056746	106123792.00
2012/07/20	20.66	21.35	20.25	21.19	5902185	122683448.00
2012/07/23	20.90	21.82	20.34	21.72	5186819	109864392.00
2012/07/24	21.36	21.87	21.30	21.53	4109895	88577272.00
2012/07/25	21.52	22.45	20.90	21.70	5431745	118375320.00
2012/07/26	21.63	22.10	21.27	21.27	3867102	83652760.00
2012/07/27	21.28	21.78	20.96	21.37	2699209	57800520.00
2012/07/30	21.47	21.86	20.90	21.28	2220286	47230388.00
2012/07/31	21.38	21.38	19.15	19.15	4693916	92113416.00
2012/08/01	19.60	20.88	19.59	20.13	3824428	76815896.00
2012/08/02	19.69	19.94	19.43	19.50	2542847	49863924.00
2012/08/03	19.60	19.91	19.30	19.90	2462239	48498176.00
2012/08/06	19.59	20.25	19.53	20.18	2454590	48927400.00
2012/08/07	20.18	20.67	20.12	20.20	2632158	53542652.00
2012/08/08	20.08	20.28	19.59	19.88	2244036	44479036.00
2012/08/09	19.80	20.65	19.63	20.47	3055636	62023508.00
2012/08/10	20.33	20.55	19.96	20.11	2027976	40918900.00
2012/08/13	20.01	20.37	19.81	19.85	1500463	30154962.00
2012/08/14	19.76	20.10	19.50	20.01	1421254	28113688.00
2012/08/15	19.90	19.99	19.35	19.38	1643603	32207432.00
2012/08/16	19.38	19.49	19.01	19.05	1369928	26309482.00
2012/08/17	19.06	19.20	18.80	19.02	681616	12954600.00
2012/08/20	18.88	19.15	18.68	19.08	761059	14441653.00
2012/08/21	19.00	19.60	19.00	19.37	1193833	23126660.00
2012/08/22	19.37	19.44	19.10	19.25	1084783	20903458.00
2012/08/23	19.01	19.10	18.50	18.93	3036034	56999124.00
2012/08/24	18.77	18.94	17.62	18.43	1616584	30076942.00
2012/08/27	18.12	18.43	17.68	17.77	1354183	24350232.00
2012/08/28	17.74	18.16	17.69	18.05	1007635	18078264.00
2012/08/29	18.00	18.21	17.65	17.98	1070919	19228588.00
2012/08/30	17.91	18.12	16.90	17.55	1591740	28005404.00
2012/08/31	17.55	17.65	17.25	17.48	878954	15291657.00
2012/09/03	17.56	17.89	17.40	17.79	922261	16343732.00
2012/09/04	17.80	18.13	17.73	18.00	1355044	24332804.00
2012/09/05	18.00	18.00	17.54	17.80	815491	14516278.00
2012/09/06	17.92	18.32	17.88	18.19	1256269	22820862.00
2012/09/07	18.31	18.88	18.22	18.77	2378636	44172860.00
2012/09/10	18.79	18.85	18.60	18.75	1593768	29811404.00
2012/09/11	18.74	18.74	18.43	18.50	1229326	22823752.00
2012/09/12	18.52	18.73	18.28	18.48	1155534	21330958.00
2012/09/13	18.48	18.67	18.30	18.30	1058070	19564766.00
2012/09/14	18.40	18.50	17.92	18.11	1077506	19633462.00
2012/09/17	18.24	18.24	17.35	17.35	1121998	19840748.00
2012/09/18	17.28	17.44	17.17	17.32	647680	11219606.00
2012/09/19	17.34	17.50	17.23	17.35	302509	5260105.50
2012/09/20	17.35	17.45	16.70	16.71	773791	13195905.00
2012/09/21	16.73	16.80	16.52	16.58	893748	14892701.00
2012/09/24	16.50	16.57	16.10	16.35	481300	7853539.00
