002697 红旗连锁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/09/05	19.19	19.80	18.70	19.52	37621658	721371136.00
2012/09/06	20.30	21.47	20.17	20.90	29813619	620614976.00
2012/09/07	20.45	21.42	20.08	20.69	25200008	520298560.00
2012/09/10	21.20	22.00	20.91	21.05	22447706	480220096.00
2012/09/11	20.50	21.18	20.29	20.42	13774452	284372640.00
2012/09/12	20.40	20.63	19.81	20.17	11706548	236620192.00
2012/09/13	20.08	20.36	19.19	19.22	10352051	204855888.00
2012/09/14	19.33	19.70	18.86	19.49	9106930	175647312.00
2012/09/17	19.24	19.36	18.08	18.30	8091010	151610320.00
2012/09/18	18.09	18.53	17.90	18.12	4564464	83140760.00
2012/09/19	18.22	18.45	18.00	18.30	3324374	60567156.00
2012/09/20	18.20	18.20	17.00	17.05	6569627	114656960.00
2012/09/21	16.98	17.12	16.45	16.48	4893554	82185952.00
2012/09/24	16.31	16.94	16.10	16.79	4081659	67954432.00
2012/09/25	16.68	16.84	16.14	16.21	3826724	62811540.00
2012/09/26	16.10	16.35	15.97	16.07	3077806	49606712.00
2012/09/27	16.10	16.55	15.68	16.42	6639302	107280800.00
2012/09/28	16.24	16.56	16.14	16.44	4627434	75816320.00
2012/10/08	16.60	16.95	16.42	16.45	4114902	68382224.00
2012/10/09	16.30	16.94	16.29	16.85	5517758	92363624.00
2012/10/10	16.71	17.08	16.58	17.02	4945261	83124968.00
2012/10/11	16.98	17.14	16.40	16.40	3999189	67112224.00
2012/10/12	16.38	16.59	16.14	16.38	2432791	39899828.00
2012/10/15	16.21	16.36	14.94	15.23	5630212	86739024.00
2012/10/16	15.26	15.40	15.01	15.18	2588093	39438084.00
2012/10/17	15.23	15.37	15.05	15.25	1785404	27218470.00
2012/10/18	15.25	15.57	15.23	15.45	3214451	49586392.00
2012/10/19	15.49	15.57	15.23	15.31	2366544	36336896.00
2012/10/22	15.20	15.50	15.11	15.46	1913173	29338140.00
2012/10/23	15.49	15.56	15.22	15.30	2403212	36929016.00
2012/10/24	15.25	15.35	15.04	15.08	2043046	31042242.00
2012/10/25	15.08	15.20	14.96	15.12	1698636	25678772.00
2012/10/26	15.16	15.16	14.19	14.26	3751308	54637796.00
2012/10/29	14.30	14.42	14.19	14.29	1413376	20218006.00
2012/10/30	14.28	14.51	14.26	14.35	1527303	22010302.00
2012/10/31	14.48	14.65	14.32	14.61	2044855	29635200.00
2012/11/01	14.60	14.96	14.53	14.92	2795677	41320428.00
2012/11/02	14.87	14.93	14.68	14.80	1962103	29018656.00
2012/11/05	14.80	14.81	14.50	14.65	1573374	23011148.00
2012/11/06	14.60	14.65	14.28	14.51	1339810	19364236.00
2012/11/07	14.51	14.68	14.42	14.63	1001991	14605279.00
2012/11/08	14.56	14.56	14.01	14.06	1714654	24423690.00
2012/11/09	14.04	14.17	14.00	14.05	1186253	16703578.00
2012/11/12	14.06	14.28	14.06	14.28	944455	13398958.00
2012/11/13	14.25	14.25	13.75	13.82	1491780	20818320.00
2012/11/14	13.80	14.63	13.80	14.41	4174486	60022140.00
2012/11/15	14.28	15.08	14.22	14.90	7937175	117857064.00
2012/11/16	14.78	15.38	14.66	14.91	6222265	93537744.00
2012/11/19	14.87	15.06	14.68	14.99	3180933	47220312.00
2012/11/20	15.00	15.07	14.57	14.70	2922535	43304664.00
2012/11/21	14.69	15.30	14.65	15.27	5765486	86647888.00
2012/11/22	15.10	15.22	14.88	15.00	3190863	47903924.00
2012/11/23	15.05	15.05	14.83	14.95	2113553	31535938.00
2012/11/26	14.90	15.19	14.75	14.75	2937911	44063844.00
2012/11/27	14.75	14.75	13.38	13.38	4794726	65773420.00
2012/11/28	13.37	13.37	13.03	13.08	1885144	24748672.00
2012/11/29	13.13	13.28	12.76	12.90	1634400	21324224.00
2012/11/30	12.90	13.11	12.81	13.04	1298914	16888270.00
2012/12/03	13.02	13.03	12.39	12.39	2014652	25547054.00
2012/12/04	12.29	12.53	11.95	12.45	2883298	35144460.00
2012/12/05	12.37	13.13	12.32	13.00	3556578	45707436.00
2012/12/06	12.90	13.13	12.83	12.87	2114234	27364934.00
2012/12/07	12.89	13.32	12.75	13.27	3080384	40424136.00
2012/12/10	13.70	14.60	13.48	14.31	6547231	92519752.00
2012/12/11	14.00	14.25	13.92	14.03	3660214	51473172.00
2012/12/12	14.02	14.65	14.02	14.39	4414884	63306724.00
2012/12/13	14.31	14.37	13.85	13.88	3065741	43138020.00
2012/12/14	13.71	14.59	13.71	14.40	5033304	71928600.00
2012/12/17	14.40	14.85	14.32	14.52	4165211	60709748.00
2012/12/18	14.50	14.74	14.17	14.30	3487194	50521660.00
2012/12/19	14.33	14.56	14.30	14.47	2283218	32970858.00
2012/12/20	14.39	15.28	14.28	15.18	6548622	97842544.00
2012/12/21	15.09	16.70	15.06	16.57	13401867	215645152.00
2012/12/24	16.26	16.93	16.08	16.64	11586195	190650144.00
2012/12/25	16.52	17.42	16.32	16.90	9801784	164883712.00
2012/12/26	16.79	18.10	16.73	17.75	8388356	147236432.00
2012/12/27	17.75	17.95	16.97	16.98	7193831	124471352.00
2012/12/28	16.75	18.15	16.55	17.97	9508128	166249232.00
2012/12/31	17.81	18.00	17.35	17.81	6055434	106863568.00
2013/01/04	18.57	18.79	17.90	18.20	8862849	162595216.00
2013/01/07	18.05	19.40	18.05	19.20	8024939	151788880.00
2013/01/08	19.10	19.55	18.81	19.05	7553715	144501200.00
2013/01/09	18.56	19.13	18.11	18.46	6402498	119215656.00
2013/01/10	18.35	18.82	18.14	18.50	4568443	84273224.00
2013/01/11	18.72	19.00	18.35	18.59	5694263	106392680.00
2013/01/14	18.35	20.14	18.35	19.70	9026361	174854752.00
2013/01/15	19.60	19.93	19.55	19.57	5585256	110079496.00
2013/01/16	19.54	19.56	18.66	18.92	5423200	103377240.00
2013/01/17	18.87	18.87	18.15	18.22	4052178	74578320.00
2013/01/18	18.20	18.55	18.11	18.52	2834142	52163244.00
2013/01/21	18.60	19.49	18.45	19.13	5062102	96380352.00
2013/01/22	19.19	19.25	18.06	18.29	3486696	64701096.00
2013/01/23	18.11	18.48	17.60	18.34	3250360	58565536.00
2013/01/24	18.06	18.45	17.37	17.48	3210147	57573572.00
2013/01/25	17.31	17.78	17.31	17.48	1803751	31577844.00
2013/01/28	17.58	18.37	17.50	18.37	3040010	55148596.00
2013/01/29	18.32	19.18	18.32	18.89	4200471	79275160.00
2013/01/30	18.98	19.25	18.60	18.88	3029529	57138748.00
2013/01/31	18.91	19.18	18.45	18.64	2514787	46830816.00
2013/02/01	18.55	18.86	18.45	18.84	2242166	41908100.00
2013/02/04	18.90	19.68	18.90	18.96	5202427	100104648.00
2013/02/05	18.82	19.24	17.63	19.20	6754307	124786560.00
2013/02/06	17.90	19.09	17.35	18.52	13236671	239514784.00
2013/02/07	18.39	18.39	17.80	17.87	7475246	135257264.00
2013/02/08	17.77	18.06	17.60	17.92	5649897	100784672.00
2013/02/18	17.93	18.18	17.36	18.08	6224316	111061712.00
2013/02/19	18.05	18.05	17.62	17.67	4654039	82921312.00
2013/02/20	17.68	17.69	17.26	17.56	3471217	60632524.00
2013/02/21	17.50	17.50	17.03	17.03	3771540	65079072.00
2013/02/22	17.10	17.37	17.10	17.20	2447311	42126324.00
2013/02/25	17.28	17.53	17.22	17.30	2205815	38329768.00
2013/02/26	17.27	17.45	17.10	17.12	2123723	36627968.00
2013/02/27	17.13	17.36	17.11	17.35	1978663	34122396.00
2013/02/28	17.45	17.59	17.22	17.58	2819848	49132344.00
2013/03/01	17.60	17.88	17.47	17.61	3020087	53345636.00
2013/03/04	17.59	17.59	16.66	16.82	3299367	56323676.00
2013/03/05	16.82	17.09	16.60	17.09	1811019	30538508.00
2013/03/06	17.10	17.37	17.00	17.22	2355542	40537264.00
2013/03/07	17.32	17.33	16.90	17.12	2283566	39171772.00
2013/03/08	17.11	17.18	16.94	17.02	1189684	20300620.00
2013/03/11	17.05	17.11	16.86	17.07	983522	16740430.00
2013/03/12	17.07	17.08	16.11	16.24	2420570	39957052.00
2013/03/13	16.20	16.30	15.65	15.70	1465141	23275532.00
2013/03/14	15.69	15.89	15.63	15.68	932506	14693754.00
2013/03/15	15.57	15.99	15.51	15.76	1375343	21733944.00
2013/03/18	15.76	15.82	15.40	15.40	1119194	17432540.00
2013/03/19	15.41	15.63	15.10	15.63	1055899	16264855.00
2013/03/20	15.56	16.07	15.56	16.05	1475239	23479174.00
2013/03/21	16.03	16.38	16.01	16.25	1632991	26452936.00
2013/03/22	16.25	16.25	16.02	16.10	1333361	21468278.00
2013/03/25	16.18	16.18	15.80	15.82	1344904	21427700.00
2013/03/26	15.85	16.15	15.48	16.14	1631652	25767828.00
2013/03/27	16.10	16.20	15.75	15.91	1386451	22221140.00
2013/03/28	15.85	15.85	15.21	15.32	1762905	27159338.00
2013/03/29	15.39	15.44	15.26	15.33	729981	11221966.00
2013/04/01	15.20	15.49	15.20	15.31	899279	13814938.00
2013/04/02	15.35	15.57	15.25	15.49	1190601	18422220.00
2013/04/03	15.59	15.59	15.24	15.28	873328	13404397.00
2013/04/08	15.12	15.30	15.00	15.27	725015	10994556.00
