002738 中矿资源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/30	9.08	10.90	9.08	10.90	29300	318005.00
2014/12/31	11.99	11.99	11.99	11.99	10000	119900.00
2015/01/05	13.19	13.19	13.19	13.19	14900	196531.00
2015/01/06	14.51	14.51	14.51	14.51	28100	407731.00
2015/01/07	15.96	15.96	15.96	15.96	55200	880992.00
2015/01/08	17.56	17.56	17.56	17.56	116400	2043984.00
2015/01/09	19.32	19.32	19.32	19.32	375100	7246932.00
2015/01/12	21.20	21.25	20.02	21.25	16682944	345300576.00
2015/01/13	21.46	23.38	20.61	23.38	11793151	261423776.00
2015/01/14	24.50	25.72	24.03	25.72	9613421	241820752.00
2015/01/15	26.60	28.29	26.36	28.29	11310031	312623264.00
2015/01/16	30.21	31.12	30.14	31.12	5630590	173884464.00
2015/01/19	33.33	34.23	30.50	34.23	16965576	560273024.00
2015/01/20	33.60	37.65	33.58	37.65	9465091	344109952.00
2015/01/21	41.38	41.42	38.28	38.30	18984398	761455552.00
2015/01/22	37.23	41.38	37.23	40.20	15375876	605020096.00
2015/01/23	39.35	39.88	37.30	37.37	11688840	446407680.00
2015/01/26	36.98	38.38	36.38	37.89	10387324	387137152.00
2015/01/27	37.11	38.54	37.01	37.62	8087900	305179168.00
2015/01/28	37.12	41.38	37.12	41.38	14576160	589029504.00
2015/01/29	40.00	44.49	39.11	40.01	20332385	857960448.00
2015/01/30	38.61	38.71	36.01	36.01	13794033	513237088.00
2015/02/02	35.00	35.50	33.58	33.90	8962778	307292096.00
2015/02/03	34.30	36.68	34.05	35.13	9068788	318512160.00
2015/02/04	34.48	35.08	33.80	34.78	7417953	254835472.00
2015/02/05	34.74	36.65	33.87	34.72	10102119	357881344.00
2015/02/06	33.00	33.28	31.25	31.47	8760306	280090816.00
2015/02/09	31.30	32.15	31.00	31.67	4108175	129881840.00
2015/02/10	31.68	32.14	31.00	32.04	3799394	120368968.00
2015/02/11	32.28	33.00	31.80	31.91	4903743	159094528.00
2015/02/12	31.49	34.23	31.40	32.40	7800281	254855024.00
2015/02/13	31.98	34.96	31.80	33.80	9750767	326204256.00
2015/02/16	32.99	33.59	32.39	32.90	6101015	200722912.00
2015/02/17	33.00	34.12	32.30	32.51	4297719	142062864.00
2015/02/25	32.65	34.69	32.16	33.62	6679427	223956832.00
2015/02/26	33.16	33.39	32.20	32.90	5174087	169565136.00
2015/02/27	32.90	34.35	32.61	33.54	6290168	211174944.00
2015/03/02	33.74	34.08	33.10	33.99	4887697	164970032.00
2015/03/03	33.60	37.38	33.05	35.20	10386104	364473344.00
2015/03/04	34.28	36.21	34.28	35.23	6639760	234500928.00
2015/03/05	34.82	35.00	33.31	33.58	5295110	179747456.00
2015/03/06	33.00	33.46	32.38	32.39	3711928	121648792.00
2015/03/09	31.88	32.43	31.56	32.21	2111001	67617992.00
2015/03/10	32.50	32.90	32.26	32.56	2208316	71913544.00
2015/03/11	32.37	32.72	31.98	32.13	2426077	78305928.00
2015/03/12	31.82	32.10	30.00	30.87	3406722	105956432.00
2015/03/13	30.87	31.69	30.70	31.59	1725335	53928584.00
2015/03/16	31.88	32.82	31.67	32.60	2867182	92937688.00
2015/03/17	32.99	33.08	32.35	32.95	3673234	120343360.00
2015/03/18	32.99	33.49	32.98	33.28	3898539	129275808.00
2015/03/19	33.25	36.61	32.82	36.61	7186931	253345184.00
2015/03/20	37.50	38.20	35.50	35.80	10719088	391545152.00
2015/03/23	36.02	36.28	34.84	36.10	6121513	218046000.00
2015/03/24	36.15	36.62	34.50	35.62	5015930	178363920.00
2015/03/25	35.01	35.99	35.01	35.69	3891587	138307712.00
2015/03/26	35.65	38.00	35.00	36.77	7022339	255348672.00
2015/03/27	36.40	36.40	35.20	35.56	3855610	137705792.00
2015/03/30	35.65	36.56	35.21	35.71	3384794	121498168.00
2015/03/31	35.71	35.90	34.88	35.00	3410133	120043864.00
2015/04/01	35.10	35.49	34.80	35.28	2210620	77679728.00
2015/04/02	35.32	36.29	35.07	36.05	4247157	152188352.00
2015/04/03	36.00	36.55	35.50	36.32	4201680	151243104.00
2015/04/07	36.32	38.58	36.16	38.02	7052096	266491776.00
2015/04/08	37.78	38.01	35.85	36.63	5441377	200248256.00
2015/04/09	36.50	36.50	34.31	35.31	3454474	122155480.00
2015/04/10	35.00	35.85	34.50	35.80	3116879	110523792.00
2015/04/13	35.83	37.86	35.65	37.55	5404988	200654848.00
2015/04/14	36.98	40.95	36.82	39.64	8590086	337360032.00
2015/04/15	39.00	39.69	36.90	37.15	4907527	186687712.00
2015/04/16	36.68	38.65	35.33	38.52	4309616	159600992.00
2015/04/17	38.18	40.50	37.85	39.84	6961399	276176928.00
2015/04/20	39.60	41.80	37.60	38.08	6853538	272680128.00
2015/04/21	37.00	40.00	36.85	39.96	4566759	175913504.00
2015/04/22	39.89	41.79	39.60	40.00	5179492	209630320.00
2015/04/23	39.97	44.00	39.61	44.00	6616468	278242432.00
2015/04/24	45.98	47.90	42.34	43.98	10079098	454572864.00
2015/04/27	42.82	44.58	42.51	42.90	5470055	236824800.00
2015/04/28	42.00	42.30	38.70	38.80	5551326	222776112.00
2015/04/29	38.50	40.10	38.20	39.79	2878534	114035520.00
2015/04/30	40.41	40.70	38.80	38.83	2944144	115986712.00
2015/05/04	38.83	38.83	37.00	38.36	2519884	95487136.00
2015/05/05	38.00	40.26	37.60	38.38	2908243	113734728.00
2015/05/06	38.50	38.90	36.12	36.78	2474053	93750736.00
2015/05/07	36.67	37.19	33.50	33.90	2595208	90920384.00
2015/05/08	34.67	36.00	34.12	35.73	2398186	83490808.00
2015/05/11	36.39	38.40	35.70	38.19	4822319	179925984.00
2015/05/12	38.25	40.58	38.25	40.09	8439640	334803872.00
2015/05/13	39.00	39.90	37.99	39.05	5255118	203283696.00
2015/05/14	38.71	42.50	38.51	41.69	8078243	328126304.00
2015/05/15	41.77	43.64	39.50	42.46	8833794	367975776.00
2015/05/18	41.70	46.00	41.70	45.80	9384325	418126688.00
2015/05/19	46.50	47.85	43.58	44.20	7554049	340868256.00
2015/05/20	44.00	45.88	43.10	44.23	7009975	314089312.00
2015/05/21	43.35	45.75	42.09	45.20	7333910	319361568.00
2015/05/22	45.55	45.98	43.44	44.90	6299995	281352032.00
2015/05/25	43.90	49.39	43.55	49.39	4848931	228633920.00
2015/05/26	53.44	54.33	51.89	54.33	3703411	199016560.00
2015/05/27	58.99	59.76	54.92	59.76	12384303	720213632.00
2015/05/28	63.00	65.74	59.00	59.80	14843383	958073344.00
2015/05/29	54.00	60.55	53.82	54.99	10557224	592135488.00
2015/06/01	54.30	56.94	53.00	55.85	7415978	407289824.00
2015/06/02	55.61	60.98	54.00	60.02	7408105	421074496.00
2015/06/03	58.99	62.00	56.10	57.09	5561136	328491200.00
2015/06/04	56.13	56.15	51.38	52.80	5629024	298248064.00
2015/06/05	52.84	55.80	52.80	53.52	4059374	219140592.00
2015/06/08	53.95	53.95	49.80	50.87	4159013	213256512.00
2015/06/09	50.84	53.65	50.53	52.90	3507222	184419888.00
2015/06/10	52.89	54.80	51.30	53.65	3918459	210809328.00
2015/06/11	54.00	54.26	53.01	54.09	3298262	177217088.00
2015/06/12	53.68	55.08	53.21	55.08	4095124	222396976.00
2015/06/15	55.18	58.17	52.25	53.10	4485548	248659872.00
2015/06/16	51.39	51.39	48.03	48.17	3499153	173531632.00
2015/06/17	47.18	49.60	45.85	49.12	2592294	123503080.00
2015/06/18	49.10	49.95	45.50	45.73	2117220	102183128.00
2015/06/19	44.80	44.87	41.02	41.02	2711930	114893792.00
