002796 世嘉科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/05/10	15.54	18.65	15.54	18.65	15073	280201.41
2016/05/11	20.52	20.52	20.52	20.52	3800	77976.00
2016/05/12	22.57	22.57	22.57	22.57	4000	90280.00
2016/05/13	24.83	24.83	24.83	24.83	2400	59592.00
2016/05/16	27.31	27.31	27.31	27.31	6900	188439.00
2016/05/17	30.04	30.04	30.04	30.04	13600	408544.00
2016/05/18	33.04	33.04	33.04	33.04	50727	1676020.13
2016/05/19	36.34	36.34	36.34	36.34	51127	1857955.13
2016/05/20	39.97	39.97	39.97	39.97	126093	5039937.00
2016/05/23	43.97	43.97	43.97	43.97	126690	5570559.50
2016/05/24	48.37	48.37	48.37	48.37	239952	11606478.00
2016/05/25	53.21	53.21	49.38	52.99	13482684	697533120.00
2016/05/26	50.13	55.79	50.05	54.48	10813548	561035392.00
2016/05/27	54.00	59.03	53.51	55.09	11143592	625594624.00
2016/05/30	53.91	55.55	50.66	53.98	6682284	356707712.00
2016/05/31	53.98	57.98	53.00	56.31	8648567	484711968.00
2016/06/01	56.40	61.00	56.21	57.21	9537950	555216192.00
2016/06/02	56.45	62.93	55.66	62.93	10279999	608822336.00
2016/06/03	62.90	65.56	60.30	61.00	11031830	683708864.00
2016/06/06	60.00	61.30	58.01	59.98	6354287	378979520.00
2016/06/07	60.32	63.95	59.41	63.70	8345947	516736640.00
2016/06/08	62.00	62.68	59.13	60.52	6393651	391774112.00
2016/06/13	58.00	58.40	54.47	54.47	4868534	273320576.00
2016/06/14	53.00	55.50	52.07	54.61	3246120	175276080.00
2016/06/15	53.33	58.50	53.31	56.98	4303774	243985024.00
2016/06/16	56.98	57.87	56.26	56.50	3103157	176867120.00
2016/06/17	56.79	60.19	56.79	60.19	6018831	354802624.00
2016/06/20	60.00	63.30	57.80	60.92	6364079	386614688.00
2016/06/21	60.95	66.89	60.20	64.30	8658128	549464640.00
2016/06/22	63.01	65.50	61.80	63.30	5629984	357960192.00
2016/06/23	63.11	64.53	61.10	63.98	5179832	328191360.00
2016/06/24	64.01	69.00	59.88	67.40	7871065	506848448.00
