002865 钧达股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/25	10.86	13.03	10.86	13.03	8909	115861.08
2017/04/26	14.33	14.33	14.33	14.33	6673	95624.09
2017/04/27	15.76	15.76	15.76	15.76	4400	69344.00
2017/04/28	17.34	17.34	17.34	17.34	8000	138720.00
2017/05/02	19.07	19.07	19.07	19.07	10000	190700.00
2017/05/03	20.98	20.98	20.98	20.98	7523	157832.55
2017/05/04	23.08	23.08	23.08	23.08	16504	380912.31
2017/05/05	25.39	25.39	25.39	25.39	58966	1497146.75
2017/05/08	27.93	27.93	26.65	27.93	10509448	289604512.00
2017/05/09	27.50	30.72	26.95	30.72	12791387	380521216.00
2017/05/10	32.00	33.79	32.00	33.79	13329509	444013056.00
2017/05/11	32.00	37.17	31.50	37.17	18743646	642001344.00
2017/05/12	38.94	39.00	35.20	38.00	18733085	701640320.00
2017/05/15	38.00	41.80	35.91	39.18	20416263	796940992.00
2017/05/16	36.90	39.76	36.00	39.76	17435424	660975744.00
2017/05/17	38.90	41.71	38.01	38.01	19266000	770100672.00
2017/05/18	35.00	36.60	34.21	34.21	11765723	415938816.00
2017/05/19	34.53	34.88	31.88	32.41	10438075	344134880.00
2017/05/22	32.25	32.96	29.17	29.50	10133969	311938432.00
2017/05/23	29.60	31.99	28.80	30.57	11476688	349322016.00
2017/05/24	29.80	33.50	29.70	32.52	13002023	411118368.00
2017/05/25	31.54	32.28	29.72	31.80	11066043	344371840.00
2017/05/26	32.03	33.20	30.80	32.31	11422435	365971008.00
2017/05/31	34.00	34.94	31.63	32.00	11783544	393574688.00
2017/06/01	30.29	30.64	28.80	28.80	8128971	238680672.00
2017/06/02	27.10	29.11	26.14	27.85	7889210	216513712.00
2017/06/05	28.33	28.89	27.21	27.23	6554404	184240112.00
2017/06/06	26.45	26.90	25.88	26.62	6489446	171081488.00
2017/06/07	26.62	28.00	26.48	28.00	7915552	217250416.00
2017/06/08	27.80	27.80	26.71	26.90	6262358	170610688.00
2017/06/09	26.25	27.90	26.24	27.35	5271042	142327344.00
2017/06/12	26.00	26.66	25.21	25.29	4882362	127057720.00
2017/06/13	25.35	26.19	25.35	25.81	3791605	97852392.00
2017/06/14	25.93	26.49	25.48	25.95	4647955	120931480.00
2017/06/15	26.70	28.55	26.20	28.55	7043804	197413504.00
2017/06/16	28.99	29.37	27.92	27.98	11066399	316631008.00
2017/06/19	27.56	27.92	27.08	27.81	5405997	148213488.00
2017/06/20	27.70	28.30	27.32	27.50	5646561	156554480.00
2017/06/21	27.38	27.46	26.68	27.11	4299508	116079384.00
2017/06/22	27.15	27.80	26.82	27.26	5517468	150723648.00
2017/06/23	26.98	27.09	25.85	26.48	4671232	123403928.00
2017/06/26	26.30	27.49	25.91	27.04	4026784	107713064.00
2017/06/27	26.72	29.54	26.62	27.83	7631174	214158880.00
2017/06/28	27.85	29.07	27.50	28.64	9965174	283646656.00
2017/06/29	28.00	28.64	27.64	28.38	6268041	176189264.00
2017/06/30	28.11	30.20	27.70	29.60	10800687	315980480.00
2017/07/03	29.25	29.78	28.80	29.75	6828393	199933936.00
2017/07/04	29.50	29.73	28.90	28.92	5904877	172659376.00
2017/07/05	29.50	29.50	28.43	29.17	6034326	174794016.00
2017/07/06	28.90	31.00	28.36	30.11	9472353	280586592.00
2017/07/07	29.71	30.97	29.42	29.52	9610423	289682144.00
2017/07/10	28.51	28.51	26.57	26.59	8635121	236750832.00
2017/07/11	26.39	27.00	26.05	26.22	3608535	95890128.00
2017/07/12	26.33	26.96	25.65	26.89	3706550	97346768.00
2017/07/13	26.60	26.70	25.83	26.01	2699846	70886288.00
2017/07/14	25.81	26.27	25.71	25.92	1774304	46092888.00
2017/07/17	25.80	25.80	23.33	23.33	3547225	84793216.00
2017/07/18	22.69	23.24	21.80	22.81	3019614	68359912.00
2017/07/19	22.53	22.75	21.83	22.56	2550455	57280968.00
2017/07/20	22.61	23.07	22.10	22.13	2724373	61562240.00
2017/07/21	22.01	22.45	21.13	21.22	2857653	62206264.00
2017/07/24	21.00	21.72	20.60	21.44	2621244	55385588.00
2017/07/25	21.42	22.68	21.25	22.02	3260085	71559760.00
2017/07/26	22.10	22.10	21.22	21.38	2482516	53582504.00
2017/07/27	21.40	22.35	21.35	22.17	3261857	71618792.00
2017/07/28	22.21	22.45	21.65	21.77	2319501	51038500.00
2017/07/31	21.80	22.10	21.70	21.86	1520806	33248610.00
2017/08/01	21.88	22.40	21.32	22.26	2689889	58640068.00
2017/08/02	22.10	22.20	21.60	21.60	1918540	41828596.00
2017/08/03	21.55	22.15	21.38	21.82	2035552	44410024.00
2017/08/04	21.81	21.85	21.21	21.26	1867364	40215020.00
2017/08/07	21.20	21.62	21.18	21.34	1101112	23596046.00
2017/08/08	21.30	21.50	21.06	21.35	1295148	27629202.00
2017/08/09	21.36	21.65	21.23	21.40	1240907	26565884.00
2017/08/10	21.40	21.57	20.50	20.55	1905740	39909784.00
2017/08/11	20.40	20.71	20.12	20.17	1466348	29989290.00
2017/08/14	20.18	20.60	20.18	20.57	1283690	26303558.00
2017/08/15	20.77	21.48	20.75	21.08	2147657	45362088.00
2017/08/16	21.30	21.89	21.08	21.56	2828827	60953396.00
2017/08/17	21.44	21.78	21.30	21.66	1979783	42559996.00
2017/08/18	21.51	22.31	21.46	22.02	3037706	66695860.00
2017/08/21	22.40	22.40	21.70	22.11	2824545	62164360.00
2017/08/22	22.10	22.92	21.81	22.33	3258203	73282848.00
2017/08/23	22.30	22.38	21.55	22.17	3331764	73115376.00
2017/08/24	22.10	22.90	21.81	22.15	3502308	78221232.00
2017/08/25	21.81	23.99	21.81	23.52	7326394	168951024.00
2017/08/28	23.38	24.19	22.90	24.15	7463952	175774704.00
2017/08/29	23.81	25.00	23.53	24.06	7242723	175337056.00
2017/08/30	23.74	24.28	23.14	23.32	3700699	87498248.00
2017/08/31	23.32	24.22	23.32	24.12	3951081	94523320.00
2017/09/01	24.25	24.36	23.68	23.82	2556953	61066704.00
2017/09/04	23.81	23.88	23.16	23.39	2580945	60656844.00
2017/09/05	23.30	23.74	23.30	23.41	1581900	37207896.00
2017/09/06	23.00	23.44	22.75	23.10	2313585	53348964.00
2017/09/07	23.07	23.78	23.07	23.30	2607400	61238688.00
2017/09/08	23.33	23.65	22.79	23.06	2461187	57047536.00
2017/09/11	23.08	24.27	23.08	24.27	4934631	117542432.00
2017/09/12	24.24	25.66	23.75	25.00	8019199	196746032.00
2017/09/13	24.70	24.89	24.25	24.48	3692626	90458536.00
2017/09/14	24.39	24.43	23.85	23.92	2882805	69460416.00
2017/09/15	23.91	24.25	23.60	23.67	1841990	44031668.00
2017/09/18	23.48	23.76	23.25	23.66	2016042	47393008.00
2017/09/19	23.76	24.63	23.51	24.41	4176786	101117176.00
2017/09/20	24.35	24.79	24.03	24.51	3718428	90684728.00
2017/09/21	24.41	24.75	24.12	24.18	2878256	70299488.00
2017/09/22	24.00	25.26	23.70	25.07	6887434	170063504.00
2017/09/25	24.99	24.99	23.88	24.00	3812904	93758304.00
2017/09/26	23.83	24.14	22.11	22.86	3694800	85426064.00
2017/09/27	22.76	23.30	22.60	23.00	1841502	42172316.00
2017/09/28	23.09	23.29	22.71	22.71	1655698	38045304.00
2017/09/29	23.05	23.17	22.71	23.14	1487016	34191024.00
2017/10/09	23.61	24.11	23.26	24.11	2772310	66039956.00
2017/10/10	23.94	24.77	23.84	24.36	2829245	68758504.00
2017/10/11	24.30	26.80	24.10	26.00	11059364	285827008.00
2017/10/12	25.42	25.79	24.80	25.60	6235880	157735504.00
2017/10/13	25.23	26.80	25.23	25.98	7345912	192061456.00
