002896 中大力德 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/29	15.51	16.92	15.51	16.92	7500	126618.00
2017/08/30	18.61	18.61	18.61	18.61	2600	48386.00
2017/08/31	20.47	20.47	20.47	20.47	3600	73692.00
2017/09/01	22.52	22.52	22.52	22.52	5400	121608.00
2017/09/04	24.77	24.77	24.77	24.77	7400	183298.00
2017/09/05	27.25	27.25	27.25	27.25	11400	310650.00
2017/09/06	29.98	29.98	29.98	29.98	11800	353764.00
2017/09/07	32.98	32.98	32.98	32.98	46970	1549070.63
2017/09/08	36.28	36.28	36.28	36.28	92471	3354848.00
2017/09/13	39.91	39.91	39.91	39.91	158615	6330324.50
2017/09/14	43.90	43.90	43.90	43.90	82600	3626140.00
2017/09/15	48.29	48.29	48.29	48.29	297700	14375933.00
2017/09/18	53.12	53.12	51.51	53.12	13792799	727246528.00
2017/09/19	52.00	57.94	51.38	56.02	13532337	737127296.00
2017/09/20	53.27	59.99	51.02	56.71	11908668	663028096.00
2017/09/21	56.10	57.90	52.00	52.29	9112979	498833024.00
2017/09/22	50.88	54.15	49.17	51.60	6955679	361695456.00
2017/09/25	51.60	56.76	50.67	56.76	7456927	414415744.00
2017/09/26	57.50	59.40	51.51	52.81	9250727	511630624.00
2017/09/27	49.99	50.51	48.10	49.28	6653211	328803936.00
2017/09/28	49.46	50.50	47.73	47.75	5172121	254291376.00
2017/09/29	48.01	49.00	46.88	47.17	3605724	172241792.00
2017/10/09	48.21	48.58	47.18	48.28	2106046	101134416.00
2017/10/10	48.02	49.49	47.90	49.33	2879688	140909712.00
2017/10/11	49.20	49.43	47.22	49.00	3268883	158429248.00
2017/10/12	48.79	50.50	48.40	49.83	3821354	190050608.00
2017/10/13	49.70	49.92	48.50	49.31	2352951	115701432.00
2017/10/16	49.23	49.23	46.60	46.90	2970900	141397520.00
2017/10/17	47.00	47.58	46.20	47.11	1499646	70520208.00
2017/10/18	47.11	48.19	45.80	45.81	2029800	95949584.00
2017/10/19	45.38	45.50	44.04	44.80	2542856	114078888.00
