300101 振芯科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/08/06	63.00	70.15	63.00	69.91	12296180	813468928.00
2010/08/09	75.08	76.90	74.66	75.00	7149176	543895744.00
2010/08/10	73.88	82.40	73.88	80.00	4945844	384824000.00
2010/08/11	78.00	79.58	76.05	77.60	2817619	219381040.00
2010/08/12	75.50	76.50	69.84	69.84	4043631	293558208.00
2010/08/13	70.62	72.77	69.89	71.89	2253966	160841376.00
2010/08/16	70.51	73.65	69.51	72.80	2275102	163091824.00
2010/08/17	72.00	78.75	71.80	75.13	2579502	196507472.00
2010/08/18	74.28	78.25	74.28	77.15	2008219	154509600.00
2010/08/19	76.81	77.95	74.58	75.30	1545052	117060360.00
2010/08/20	74.69	75.30	70.46	71.24	2102748	151721232.00
2010/08/23	70.58	72.20	69.00	71.10	1300219	92008208.00
2010/08/24	71.44	72.52	70.00	72.12	1044000	74565584.00
2010/08/25	71.22	71.78	69.80	70.39	1488116	105002760.00
2010/08/26	70.03	72.80	70.00	71.70	924062	66215448.00
2010/08/27	71.15	74.24	71.01	72.74	946492	69188488.00
2010/08/30	72.75	76.14	72.41	76.14	1535313	114264872.00
2010/08/31	75.05	76.31	74.30	75.78	1196075	89967448.00
2010/09/01	75.99	76.60	71.90	73.00	1165688	86510248.00
2010/09/02	72.83	74.25	72.63	73.04	922104	67591096.00
2010/09/03	78.63	80.34	76.30	78.10	3559161	279240608.00
2010/09/06	78.10	81.50	74.27	74.50	2026990	156791216.00
2010/09/07	74.00	76.50	72.50	74.74	1239753	92601104.00
2010/09/08	73.68	76.11	73.60	75.30	984215	73832424.00
2010/09/09	75.01	75.20	72.17	72.43	1029257	75832360.00
2010/09/10	72.99	74.10	72.00	74.00	606601	44332612.00
2010/09/14	74.60	77.70	74.60	76.95	1352963	103826096.00
2010/09/15	76.01	76.56	72.50	73.06	881523	65193840.00
2010/09/16	72.51	75.88	72.51	74.26	944303	70216760.00
2010/09/17	74.13	75.48	73.03	73.55	425217	31415884.00
2010/09/20	73.55	75.80	73.00	75.70	738665	55429180.00
2010/09/21	75.59	76.75	73.70	75.30	415980	31216828.00
2010/09/27	75.20	75.20	73.37	74.90	461353	34347684.00
2010/09/28	74.90	74.90	72.34	72.34	754235	55408632.00
2010/09/29	72.14	72.90	69.00	69.28	1088255	76530576.00
2010/09/30	68.00	72.35	68.00	71.38	427841	30059158.00
2010/10/08	71.71	72.75	70.00	72.51	803490	57287592.00
2010/10/11	71.79	72.75	71.58	71.62	572699	41344088.00
2010/10/12	72.00	72.50	70.50	70.50	473311	33814528.00
2010/10/13	70.50	71.00	68.47	69.46	476031	32949968.00
2010/10/14	69.50	70.43	69.05	70.16	476972	33326862.00
2010/10/15	69.50	70.13	69.29	69.39	361643	25136080.00
2010/10/18	69.51	70.87	68.08	68.74	340521	23601142.00
2010/10/19	69.10	73.50	69.10	71.80	575529	41440220.00
2010/10/20	70.00	76.60	70.00	73.78	621954	45913740.00
2010/10/21	72.00	76.50	72.00	75.87	689396	51490788.00
2010/10/22	75.99	77.20	74.80	74.88	470222	35885952.00
2010/10/25	75.12	82.37	74.43	82.37	611855	48397652.00
2010/10/26	85.58	90.61	84.00	88.00	797480	70323912.00
2010/10/27	86.01	90.60	86.01	89.79	474119	41978904.00
2010/10/28	89.79	90.97	86.10	86.41	460090	40523120.00
2010/10/29	86.87	89.50	85.01	89.00	487067	42823420.00
2010/11/01	91.00	91.50	87.02	89.50	748204	66851768.00
2010/11/02	89.00	89.00	85.30	86.00	569449	49455924.00
