300154 瑞凌股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/29	40.00	45.08	39.30	39.70	14168087	577662592.00
2010/12/30	39.81	41.59	38.52	41.38	8386790	339231840.00
2010/12/31	40.28	41.15	39.97	40.65	5397810	218832816.00
2011/01/04	41.99	42.68	40.82	42.40	5423845	227154064.00
2011/01/05	41.51	43.40	41.28	43.20	4599745	196196256.00
2011/01/06	43.68	46.21	43.40	44.50	5300603	236817968.00
2011/01/07	43.80	44.48	42.02	42.35	4286360	185274992.00
2011/01/10	42.20	43.15	40.70	41.90	3069757	128591968.00
2011/01/11	41.54	42.49	40.05	40.35	2106847	87017600.00
2011/01/12	40.35	40.74	39.27	39.96	2022675	81097016.00
2011/01/13	39.99	40.77	39.62	40.65	1450468	58245764.00
2011/01/14	40.90	41.42	38.01	38.06	2878667	113172232.00
2011/01/17	37.56	37.80	34.90	34.98	2949350	105936312.00
2011/01/18	34.99	35.77	34.82	35.42	1619618	57453312.00
2011/01/19	35.20	36.59	35.00	36.36	1294718	46612904.00
2011/01/20	36.02	36.80	35.66	36.19	1427616	51589492.00
2011/01/21	36.00	37.44	35.71	36.20	950302	34624964.00
2011/01/24	36.00	36.28	34.25	34.30	1128356	39515376.00
2011/01/25	34.00	34.80	33.90	34.68	751743	25850052.00
2011/01/26	34.68	36.03	34.68	35.50	895414	31873630.00
2011/01/27	35.20	35.90	34.90	35.41	872454	30926112.00
2011/01/31	35.49	36.60	35.40	36.17	831749	30080676.00
2011/02/01	36.20	37.18	36.01	36.60	723034	26451978.00
2011/02/09	36.47	36.86	35.70	35.89	649021	23532436.00
2011/02/10	35.62	37.59	35.50	37.33	966118	35585456.00
2011/02/11	37.20	38.10	37.14	38.01	948020	35706120.00
2011/02/14	38.00	38.30	37.55	38.14	982296	37261404.00
2011/02/15	37.93	38.55	37.60	37.88	1069852	40734732.00
2011/02/16	37.80	38.96	37.70	38.75	979268	37674592.00
2011/02/17	38.84	38.96	37.70	38.19	1042655	39847052.00
2011/02/18	37.96	38.78	37.90	38.49	885801	33937872.00
2011/02/21	38.18	39.15	38.15	39.07	965543	37395324.00
2011/02/22	39.06	39.10	37.86	38.03	1666581	63912788.00
2011/02/23	38.00	38.35	37.80	37.99	1078736	41018604.00
2011/02/24	37.77	39.03	37.70	38.56	1531082	59047652.00
2011/02/25	38.68	38.68	37.81	38.27	989356	37782400.00
2011/02/28	38.15	39.78	38.15	39.61	1420588	55885676.00
2011/03/01	39.50	39.70	38.92	39.39	1087242	42692396.00
2011/03/02	39.39	39.47	37.89	38.47	868678	33569708.00
2011/03/03	38.15	38.58	36.61	37.03	1569808	58898460.00
2011/03/04	36.93	37.63	36.88	37.26	409581	15245560.00
2011/03/07	37.48	37.90	37.33	37.51	571518	21474332.00
2011/03/08	37.51	37.96	37.46	37.62	644199	24280424.00
2011/03/09	37.68	38.69	37.52	38.53	890277	33935996.00
2011/03/10	38.47	38.80	38.37	38.50	820760	31648446.00
2011/03/11	38.50	39.44	38.40	39.00	1204811	47162412.00
2011/03/14	39.09	39.09	38.56	39.06	794554	30834738.00
2011/03/15	39.21	39.21	38.30	38.35	831720	32087042.00
2011/03/16	38.36	38.87	38.18	38.49	604800	23311660.00
2011/03/17	38.20	38.45	37.26	37.44	561611	21315540.00
2011/03/18	37.57	38.40	37.40	38.40	945870	35726472.00
2011/03/21	38.50	39.38	38.43	39.15	850107	33104008.00
2011/03/22	39.15	39.18	38.38	38.55	466264	18011656.00
2011/03/23	38.42	38.70	38.36	38.39	494956	19051248.00
2011/03/24	38.27	38.58	37.76	38.10	559128	21302028.00
2011/03/25	38.30	41.50	38.12	41.05	2632542	105624216.00
2011/03/30	39.00	39.00	37.61	37.80	2613137	100069456.00
2011/03/31	37.86	38.40	37.60	38.00	1285878	48902604.00
2011/04/01	37.95	39.40	37.73	38.64	1152061	44576368.00
2011/04/06	38.21	39.20	37.70	37.79	1145244	43686196.00
2011/04/07	37.90	38.38	37.79	38.25	610928	23243710.00
2011/04/08	38.30	39.30	38.30	39.20	1610360	62604356.00
2011/04/11	39.15	39.20	38.41	38.60	1172758	45542652.00
2011/04/12	38.38	38.88	38.20	38.60	838481	32281550.00
2011/04/13	38.42	39.65	38.42	39.00	1850164	72599584.00
2011/04/14	39.01	39.87	38.68	39.08	1221755	47970480.00
2011/04/15	38.91	39.10	38.12	38.51	1124524	43337808.00
2011/04/18	38.40	38.67	38.16	38.60	605446	23262566.00
2011/04/20	38.15	38.15	37.23	37.90	1693395	63650120.00
2011/04/21	37.96	38.25	37.70	37.79	782421	29613622.00
2011/04/22	37.70	38.25	37.21	37.66	919396	34679116.00
2011/04/25	37.38	37.62	35.90	35.98	1234519	44834276.00
2011/04/26	35.93	35.95	34.70	34.91	1253716	44187068.00
2011/04/27	35.09	35.50	34.40	34.53	397679	13895671.00
2011/04/28	34.60	35.15	34.41	34.51	479195	16664868.00
2011/04/29	34.80	35.99	34.63	35.20	928063	32800794.00
2011/05/03	35.28	36.07	35.26	35.80	599548	21379646.00
2011/05/04	35.51	35.85	35.21	35.23	481400	17115566.00
2011/05/05	35.18	36.18	35.18	36.01	702698	25127216.00
2011/05/06	36.00	36.02	35.56	35.88	533798	19125792.00
2011/05/09	35.99	36.34	35.77	35.96	712679	25685770.00
2011/05/10	17.72	17.72	17.03	17.30	1409220	24314068.00
2011/05/11	17.30	17.35	16.70	17.00	1318694	22335796.00
2011/05/12	16.90	16.92	16.30	16.30	1515128	25204316.00
2011/05/13	16.30	16.47	15.93	16.29	1683413	27262990.00
2011/05/16	16.27	16.46	16.00	16.26	940622	15166849.00
2011/05/17	16.09	16.49	16.00	16.27	798632	12981082.00
2011/05/18	16.22	16.26	15.91	15.95	965807	15499839.00
2011/05/19	15.95	16.19	15.91	16.05	688172	11037213.00
2011/05/20	16.05	16.11	15.26	15.35	1945493	30173834.00
2011/05/23	15.20	15.28	14.41	14.42	1370045	20253046.00
2011/05/24	14.43	15.50	14.29	15.00	1617142	23954740.00
2011/05/25	14.88	15.05	13.88	13.95	1139963	16411698.00
2011/05/26	14.12	14.48	14.12	14.26	1465603	20930562.00
2011/05/27	14.26	14.66	14.15	14.31	831718	11984921.00
2011/05/30	14.30	14.89	14.06	14.54	1217937	17813974.00
2011/05/31	14.55	14.97	14.54	14.95	1494055	22063350.00
2011/06/01	14.93	14.97	14.68	14.94	868711	12887865.00
2011/06/02	14.60	14.80	14.30	14.60	997340	14458994.00
2011/06/03	14.60	15.21	14.51	15.09	1258182	18735548.00
2011/06/07	15.08	15.16	14.86	15.01	630684	9470737.00
2011/06/08	14.81	14.98	14.70	14.87	813769	12057352.00
2011/06/09	14.88	15.16	14.80	14.99	1139157	17049544.00
2011/06/10	14.88	14.90	14.57	14.81	608875	8970328.00
2011/06/13	14.81	14.88	14.36	14.66	557699	8154785.00
2011/06/14	14.65	14.79	14.58	14.78	1513066	22231642.00
2011/06/15	14.60	14.69	14.42	14.49	773640	11244072.00
2011/06/16	14.41	14.47	13.90	14.09	881125	12427918.00
2011/06/17	14.09	14.09	13.80	13.95	507892	7052215.00
2011/06/20	13.94	13.95	13.50	13.50	573325	7838473.50
2011/06/21	13.67	13.75	13.32	13.62	433764	5861031.50
2011/06/22	13.63	13.63	13.34	13.41	732248	9849092.00
2011/06/23	13.44	14.10	13.23	13.95	1295869	17889776.00
2011/06/24	13.96	14.29	13.81	14.15	1399076	19713054.00
2011/06/27	14.24	14.50	14.08	14.30	904990	12949826.00
2011/06/28	14.25	14.60	14.16	14.58	1510367	21747662.00
2011/06/29	14.50	15.20	14.46	14.61	2485591	37041176.00
2011/06/30	14.64	14.88	14.50	14.68	1176320	17298834.00
2011/07/01	14.78	14.96	14.68	14.82	1296127	19248132.00
