300167 ST迪威迅 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/01/25	48.00	48.00	43.25	44.00	2094372	94150184.00
2011/01/26	44.30	47.28	44.01	45.70	1273948	58454500.00
2011/01/27	45.00	46.27	43.81	45.80	886654	40027016.00
2011/01/28	45.80	46.55	45.32	45.96	497474	22906896.00
2011/01/31	45.83	46.96	45.55	46.55	473615	22018884.00
2011/02/01	46.32	46.64	46.28	46.48	291422	13534673.00
2011/02/09	46.47	46.83	45.50	45.55	320426	14821002.00
2011/02/10	45.46	49.40	45.38	48.97	747581	35737668.00
2011/02/11	48.32	49.20	48.30	48.99	429234	20952014.00
2011/02/14	49.20	51.20	49.01	50.98	750378	37744180.00
2011/02/15	51.08	51.18	50.10	50.15	508680	25710256.00
2011/02/16	50.01	51.55	50.01	51.45	720342	36830172.00
2011/02/17	51.41	51.77	50.73	51.40	484250	24829616.00
2011/02/18	51.10	51.27	50.26	51.10	422050	21416910.00
2011/02/21	51.08	51.41	50.70	51.41	398710	20419766.00
2011/02/22	51.30	51.40	48.74	48.75	587326	29388198.00
2011/02/23	49.39	51.28	49.03	50.50	536298	26982792.00
2011/02/24	50.40	50.89	49.75	50.12	341670	17165646.00
2011/02/25	50.00	50.00	49.26	49.80	173101	8589153.00
2011/02/28	49.53	50.30	49.53	49.98	204246	10210821.00
2011/03/01	50.01	50.66	49.90	50.31	257720	12945291.00
2011/03/02	50.08	50.30	49.80	50.10	231240	11573164.00
2011/03/03	50.10	50.27	48.79	48.90	261426	12925604.00
2011/03/04	48.88	49.39	48.48	49.39	99596	4887274.00
2011/03/07	49.45	50.43	49.45	49.84	212722	10635506.00
2011/03/08	49.82	50.33	49.70	50.31	239998	12011127.00
2011/03/09	50.58	50.58	49.80	50.12	194498	9737343.00
2011/03/10	49.88	50.80	49.84	49.95	320546	16130381.00
2011/03/11	50.14	50.97	49.90	50.15	520028	26216726.00
2011/03/14	50.46	51.28	50.20	51.23	504985	25684902.00
2011/03/15	51.20	51.48	50.01	50.63	467771	23660182.00
2011/03/16	50.56	51.19	50.29	50.79	289411	14652554.00
2011/03/17	50.42	50.77	49.75	49.78	376573	18924652.00
2011/03/18	49.74	50.40	49.74	49.99	127747	6396987.50
2011/03/21	49.76	50.20	49.39	49.69	164718	8197157.00
2011/03/23	49.50	50.18	49.50	50.08	127264	6348925.50
2011/03/24	50.04	50.22	49.60	49.78	128535	6408461.00
2011/03/25	49.78	49.84	49.35	49.51	210669	10434016.00
2011/03/28	49.55	49.75	48.53	48.67	252087	12357542.00
2011/03/29	48.75	48.78	46.90	47.07	313826	15018978.00
2011/03/30	46.51	47.27	45.65	46.39	290774	13487810.00
2011/03/31	46.48	46.91	46.30	46.48	103435	4824142.50
2011/04/01	46.74	47.08	46.48	47.02	81769	3824934.25
2011/04/06	46.90	47.44	46.89	47.02	108220	5093964.00
2011/04/07	47.02	47.28	46.90	47.20	110498	5195063.50
2011/04/08	47.20	47.78	47.01	47.67	100610	4782607.50
2011/04/11	47.58	47.67	46.80	47.03	129567	6120641.50
2011/04/12	46.80	47.16	46.60	46.76	82832	3873062.75
2011/04/13	46.54	47.87	46.54	47.80	124726	5898721.00
2011/04/14	47.50	47.80	43.10	47.23	155645	7312426.50
2011/04/15	46.77	46.98	45.65	45.95	249341	11473461.00
2011/04/18	45.95	46.07	45.51	45.74	84846	3875282.50
2011/04/19	45.75	45.75	45.00	45.49	115214	5216834.50
2011/04/20	45.70	45.84	45.38	45.70	51422	2346875.25
2011/04/21	45.67	46.01	45.65	45.90	67958	3117401.00
2011/04/22	45.80	45.80	44.16	44.41	302359	13456150.00
2011/04/25	44.41	44.42	43.60	43.60	145807	6411260.50
2011/04/26	43.25	43.65	41.83	42.26	208282	8871697.00
2011/04/27	42.11	42.79	41.51	41.60	121933	5133535.50
2011/04/28	42.77	42.78	39.61	39.63	221219	8932435.00
2011/04/29	39.62	39.82	39.22	39.69	72810	2881822.00
2011/05/03	39.70	40.00	39.38	39.99	93408	3714882.00
2011/05/04	39.58	39.88	39.37	39.37	112900	4474178.00
2011/05/06	39.52	39.94	39.05	39.87	77912	3082878.00
2011/05/09	39.98	40.99	39.98	40.67	167399	6789208.00
2011/05/10	41.00	41.00	40.46	40.68	84103	3422551.00
2011/05/11	40.51	40.88	40.46	40.72	89457	3632550.25
2011/05/12	40.90	41.37	40.63	40.67	132954	5457942.50
2011/05/13	40.65	40.81	40.40	40.68	73700	2993355.50
2011/05/16	40.42	40.68	40.20	40.56	69228	2803803.75
2011/05/17	40.35	40.95	40.35	40.90	123589	5028692.50
2011/05/18	27.35	27.68	27.13	27.50	210486	5761642.50
2011/05/19	27.50	27.70	27.35	27.53	150017	4127091.50
2011/05/20	27.30	27.50	27.22	27.30	154115	4209357.50
2011/05/23	27.30	27.47	26.17	26.27	298557	7903692.50
2011/05/24	26.01	26.79	24.95	26.28	280061	7187324.00
2011/05/25	26.01	26.01	25.00	25.01	186000	4732551.50
2011/05/26	25.01	25.32	24.06	24.20	122161	3007071.50
2011/05/27	24.20	24.21	23.46	23.53	250741	5945470.00
2011/05/30	23.53	23.78	23.07	23.40	177107	4177555.75
2011/05/31	23.60	23.74	23.40	23.66	106427	2510369.50
2011/06/01	23.67	23.88	23.66	23.80	72110	1714577.63
2011/06/02	23.60	23.61	23.00	23.10	113928	2650885.50
2011/06/03	23.13	23.85	23.13	23.70	93611	2210960.00
2011/06/07	23.70	24.28	23.70	24.24	112109	2709781.75
2011/06/08	24.01	24.33	23.84	24.28	142911	3440744.25
2011/06/09	24.05	24.15	23.20	23.20	67900	1614680.00
2011/06/10	23.11	23.45	22.92	23.45	101815	2350200.50
2011/06/13	23.09	23.61	22.95	23.61	103427	2406783.25
2011/06/14	23.26	23.88	23.26	23.63	104137	2461364.25
2011/06/15	23.56	23.65	23.00	23.14	178196	4141162.00
2011/06/16	23.09	23.18	22.01	22.78	163819	3739740.50
2011/06/17	22.90	22.90	22.20	22.34	185390	4143517.00
2011/06/20	22.20	22.22	21.60	21.63	155090	3388738.75
2011/06/21	21.65	21.77	21.13	21.70	148053	3177990.50
2011/06/22	21.71	21.87	21.32	21.60	113239	2444488.75
2011/06/23	21.34	22.36	21.23	22.24	150599	3283660.25
2011/06/24	22.02	23.50	22.00	23.05	359643	8200683.00
2011/06/27	23.06	23.80	23.06	23.22	347429	8146399.00
2011/06/28	23.48	23.48	23.02	23.22	377610	8727241.00
2011/06/29	23.03	23.27	22.95	23.05	249050	5757173.00
2011/06/30	23.05	23.44	22.83	23.44	88562	2050856.75
2011/07/01	23.26	23.58	23.13	23.38	211835	4955007.50
2011/07/04	23.30	23.87	23.29	23.87	148067	3500347.50
2011/07/05	23.88	24.38	23.82	24.37	171914	4137102.50
2011/07/06	24.30	25.56	24.00	25.47	404907	10085687.00
2011/07/07	25.50	26.59	25.50	26.59	528901	13914004.00
2011/07/08	26.21	26.98	26.20	26.83	328854	8751838.00
2011/07/11	26.35	26.80	26.33	26.59	137260	3642415.50
2011/07/12	26.33	26.47	25.81	26.45	234321	6105225.00
