300192 科德教育 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/22	27.00	29.80	26.58	27.90	12099272	340068224.00
2011/03/23	26.89	27.36	26.39	27.21	6437491	173170864.00
2011/03/24	26.76	27.97	26.69	27.04	5066586	138849024.00
2011/03/25	26.20	26.30	25.58	25.61	5275011	136256112.00
2011/03/28	25.60	25.66	24.66	24.91	3104033	77711960.00
2011/03/29	24.90	24.90	23.75	23.83	2590882	62483092.00
2011/03/30	23.78	24.09	23.60	23.70	1062131	25354518.00
2011/03/31	23.62	24.08	23.53	23.72	1120181	26673620.00
2011/04/01	23.60	23.70	23.05	23.36	1660892	38572512.00
2011/04/06	23.40	23.57	23.21	23.43	967306	22624214.00
2011/04/07	23.47	23.49	22.90	23.37	1013402	23481166.00
2011/04/08	23.27	23.49	23.20	23.41	830787	19429404.00
2011/04/11	23.26	23.37	22.40	22.42	1943364	44310584.00
2011/04/12	21.65	22.35	21.65	21.87	1373371	30046382.00
2011/04/13	21.85	22.18	21.60	22.15	668822	14718283.00
2011/04/14	22.15	22.15	21.85	21.95	514035	11281802.00
2011/04/15	21.80	21.98	21.62	21.74	600610	13051297.00
2011/04/18	21.69	21.80	21.55	21.76	503525	10917669.00
2011/04/19	21.66	21.74	21.21	21.35	687007	14713204.00
2011/04/20	21.35	21.74	21.35	21.70	489722	10555371.00
2011/04/21	21.71	21.86	21.65	21.75	497570	10808926.00
2011/04/22	21.80	21.86	21.51	21.55	426468	9231277.00
2011/04/25	21.21	21.40	20.66	20.71	769271	16121310.00
2011/04/26	20.30	20.95	20.30	20.50	345079	7088477.50
2011/04/27	20.57	20.79	20.04	20.07	320638	6538052.50
2011/04/28	20.20	20.40	19.33	19.45	476851	9426857.00
2011/04/29	19.15	19.53	19.15	19.47	329676	6389707.00
2011/05/03	19.44	19.46	19.18	19.40	440194	8501774.00
2011/05/04	19.40	19.54	19.10	19.23	395035	7624845.50
2011/05/05	19.05	19.40	19.03	19.38	232867	4494714.50
2011/05/06	19.31	19.31	19.08	19.24	278935	5353861.00
2011/05/09	19.18	19.55	19.18	19.47	363997	7079532.50
2011/05/10	19.52	19.63	19.40	19.49	215780	4204517.00
2011/05/11	19.51	19.58	19.31	19.44	221620	4309569.00
