300280 紫天科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/29	10.20	10.45	9.73	9.88	11917438	119894408.00
2011/12/30	9.99	10.79	9.90	10.28	9117695	93883376.00
2012/01/04	10.33	10.42	9.76	9.78	6221283	62919712.00
2012/01/05	9.58	9.58	8.90	9.00	4757075	43755072.00
2012/01/06	8.98	9.18	8.78	9.09	2663418	23855552.00
2012/01/09	8.99	9.52	8.91	9.47	3698708	34432544.00
2012/01/10	9.43	9.92	9.37	9.80	4662949	44909564.00
2012/01/11	9.73	9.88	9.61	9.71	3151731	30740590.00
2012/01/12	9.66	9.81	9.51	9.51	2440687	23529880.00
2012/01/13	9.48	9.57	8.95	9.05	2683764	24597642.00
2012/01/16	8.87	9.13	8.87	8.90	1281093	11526811.00
2012/01/17	8.91	9.48	8.88	9.40	2203310	20284944.00
2012/01/18	9.35	9.43	8.94	8.98	2008065	18498380.00
2012/01/19	9.00	9.34	8.95	9.26	1371767	12600437.00
2012/01/20	9.28	9.53	9.26	9.43	1940537	18310116.00
2012/01/30	9.40	9.62	9.32	9.41	1882031	17834172.00
2012/01/31	9.40	9.43	9.21	9.33	1106152	10286204.00
2012/02/01	9.30	9.52	9.26	9.32	1008186	9470888.00
2012/02/02	9.30	9.49	9.30	9.48	1245296	11713229.00
2012/02/03	9.44	9.64	9.42	9.59	1824860	17396694.00
2012/02/06	9.60	9.65	9.49	9.60	1604831	15380920.00
2012/02/07	9.58	9.59	9.31	9.38	1391248	13129003.00
2012/02/08	9.40	9.66	9.37	9.65	1670434	15986584.00
2012/02/09	9.62	9.78	9.60	9.64	2127313	20630768.00
2012/02/10	9.60	9.72	9.59	9.66	1460995	14104242.00
2012/02/13	9.61	9.86	9.53	9.84	2156436	21084810.00
2012/02/14	9.80	9.90	9.71	9.80	1419800	13906334.00
2012/02/15	9.82	9.94	9.73	9.90	1654059	16324090.00
2012/02/16	9.95	10.07	9.84	9.94	1871036	18589192.00
2012/02/17	9.95	10.05	9.83	9.91	1951394	19447676.00
2012/02/20	9.99	10.03	9.81	9.82	2100397	20835702.00
2012/02/21	9.80	9.96	9.73	9.96	1368778	13494036.00
2012/02/22	9.96	10.26	9.95	10.23	2581796	26189776.00
2012/02/23	10.25	10.68	10.21	10.37	3295341	34273784.00
2012/02/24	10.32	10.58	10.32	10.46	2120282	22158496.00
2012/02/27	10.47	11.07	10.46	10.71	3651268	39566180.00
2012/02/28	10.65	10.91	10.50	10.80	2760412	29476684.00
2012/02/29	10.69	10.99	10.53	10.57	2865501	30857430.00
2012/03/01	10.43	10.78	10.43	10.63	1535853	16307545.00
2012/03/02	10.63	11.08	10.63	11.03	2833404	30943570.00
2012/03/06	10.93	11.20	10.80	10.94	3095743	34081948.00
2012/03/07	10.80	11.00	10.71	10.75	2043987	22172370.00
2012/03/08	10.78	10.97	10.78	10.88	1299202	14143271.00
2012/03/09	10.91	11.26	10.91	11.17	2582470	28671864.00
2012/03/12	11.23	11.38	11.08	11.20	2175432	24388040.00
2012/03/13	11.18	11.30	11.07	11.24	1805508	20180140.00
2012/03/14	11.28	11.36	10.51	10.63	3683442	40736868.00
