300326 凯利泰 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/06/13	44.00	47.50	43.83	47.19	9274791	414691264.00
2012/06/14	46.41	48.15	45.60	46.10	5867645	274489728.00
2012/06/15	46.00	48.96	46.00	47.75	3773390	179378752.00
2012/06/18	48.03	48.49	46.98	47.58	2644534	126036112.00
2012/06/19	47.58	49.23	47.11	47.62	2731665	131252640.00
2012/06/20	47.58	47.93	46.34	47.90	2365781	111657560.00
2012/06/21	47.81	52.69	47.80	52.69	4396789	221500416.00
2012/06/25	52.99	55.20	51.80	54.12	3727553	198970528.00
2012/06/26	53.42	53.67	48.72	50.00	3617720	185233424.00
2012/06/27	50.19	52.85	49.50	51.06	2789536	143305328.00
2012/06/28	50.50	53.48	50.20	51.60	2447287	127348608.00
2012/06/29	51.01	52.50	49.21	51.71	2331848	118628080.00
2012/07/02	52.17	55.10	51.60	54.49	2630180	139859040.00
2012/07/03	54.01	55.37	53.61	54.05	2195229	119382704.00
2012/07/04	53.85	54.98	52.58	52.60	1880598	100904104.00
2012/07/05	52.13	53.70	52.00	52.40	1504308	79418936.00
2012/07/06	52.60	52.60	50.00	51.88	2332331	118871184.00
2012/07/09	51.60	51.79	50.50	50.63	1553569	79321824.00
2012/07/10	50.60	51.50	48.35	48.61	1545106	77369776.00
2012/07/11	48.17	48.36	46.52	48.23	1655870	78761304.00
2012/07/12	48.05	49.58	47.60	49.20	1476127	72143064.00
2012/07/13	47.90	47.90	44.28	44.28	3240504	145890528.00
2012/07/16	42.70	43.40	40.61	40.73	2031672	84606232.00
2012/07/17	40.80	41.50	40.31	41.25	1022461	42012068.00
2012/07/18	40.88	41.75	40.48	41.60	933751	38462528.00
2012/07/19	41.60	43.50	41.20	42.99	1599788	68365440.00
2012/07/20	42.90	43.65	42.30	42.99	1027309	44365860.00
2012/07/23	42.55	43.37	42.02	43.03	552839	23580108.00
2012/07/24	42.46	43.30	42.39	43.05	571460	24536728.00
2012/07/25	43.30	44.85	42.61	43.68	1204442	53020296.00
2012/07/26	43.40	44.25	41.88	41.88	889983	38369804.00
2012/07/27	42.38	42.38	41.15	41.50	710652	29567656.00
2012/07/30	40.95	42.33	40.92	41.50	439581	18319738.00
2012/07/31	41.50	41.78	39.31	39.53	1054621	42160836.00
2012/08/01	39.39	40.84	39.11	40.05	575487	23084276.00
2012/08/02	39.84	40.50	39.60	40.20	429991	17236826.00
2012/08/03	40.21	42.32	40.18	42.32	903776	37590352.00
2012/08/06	41.70	43.46	41.68	43.18	763869	32663016.00
2012/08/07	42.80	43.56	42.43	42.86	650474	27907458.00
2012/08/08	42.72	43.54	42.63	43.02	544364	23422176.00
2012/08/09	42.89	44.47	42.67	44.00	835178	36579244.00
2012/08/10	43.83	44.43	43.21	43.51	674069	29514130.00
2012/08/13	43.12	43.88	42.00	42.02	745131	31815520.00
2012/08/14	41.52	42.80	41.51	42.69	481069	20207480.00
2012/08/15	42.51	42.65	41.20	41.51	517497	21636426.00
2012/08/16	41.31	43.38	41.31	43.00	796926	33912552.00
2012/08/17	42.29	44.03	42.26	43.39	1052184	45395296.00
2012/08/20	42.80	44.95	42.50	44.78	937427	41271288.00
2012/08/21	44.80	45.48	44.55	45.06	1024889	46141772.00
2012/08/22	45.00	47.95	44.80	46.49	1433421	66903272.00
2012/08/23	46.10	47.67	46.04	46.49	866581	40528152.00
2012/08/24	46.21	46.40	44.90	45.53	765929	34831792.00
2012/08/27	45.01	46.88	44.83	46.81	860694	39694096.00
2012/08/28	46.86	49.44	46.50	47.80	1352978	64906432.00
2012/08/29	47.80	49.34	47.43	48.04	982249	47575556.00
2012/08/30	47.90	48.35	45.13	46.85	1000498	46554028.00
2012/08/31	46.39	49.50	46.18	49.42	1039795	50259472.00
2012/09/03	49.05	49.99	48.88	49.45	1045973	51747460.00
2012/09/04	49.45	50.49	48.60	49.04	803571	39631368.00
2012/09/05	48.99	49.88	48.15	48.98	557820	27319960.00
2012/09/06	49.00	49.76	48.20	49.76	699023	34470156.00
2012/09/07	49.79	50.54	49.08	49.25	1077696	53574540.00
2012/09/10	48.75	49.37	48.45	48.90	581180	28369592.00
2012/09/11	48.91	50.00	47.21	48.00	1036514	50338048.00
2012/09/12	48.10	48.42	47.33	48.18	685197	32810286.00
2012/09/13	47.84	48.88	47.60	48.10	701616	33809704.00
2012/09/14	48.10	49.30	47.68	48.80	700908	34047620.00
2012/09/17	48.80	49.16	46.30	46.30	662737	31428970.00
2012/09/18	45.75	46.24	45.33	45.68	481188	21992822.00
2012/09/19	45.60	46.25	45.45	45.58	219323	10042966.00
2012/09/20	45.61	45.96	43.70	44.00	514943	23055198.00
2012/09/21	44.83	46.25	44.52	44.53	831694	37636380.00
2012/09/24	43.50	43.69	42.10	43.25	416803	17848782.00
2012/09/25	43.00	43.71	42.70	42.70	287511	12453693.00
2012/09/26	42.30	42.68	41.11	41.40	378686	15796697.00
2012/09/27	41.26	43.00	41.26	42.61	373376	15824632.00
2012/09/28	42.67	43.60	42.30	43.35	266642	11488937.00
2012/10/08	43.35	43.70	43.00	43.26	168640	7299236.00
2012/10/09	43.26	44.88	43.26	44.75	356504	15831789.00
2012/10/10	44.30	45.25	44.30	44.77	343504	15388227.00
2012/10/11	44.78	45.23	43.61	44.00	302222	13449737.00
2012/10/12	44.00	44.49	42.62	43.09	263754	11422570.00
2012/10/15	42.00	43.95	41.80	43.56	444441	19121874.00
2012/10/16	43.50	44.34	43.20	43.60	188850	8289173.50
2012/10/17	43.85	45.25	43.59	45.09	552590	24781110.00
2012/10/18	45.09	45.30	44.72	45.05	341243	15387819.00
2012/10/19	45.07	45.36	44.42	44.80	213395	9541157.00
2012/10/22	44.50	45.94	44.39	45.86	546046	24960680.00
2012/10/23	45.86	46.01	44.50	44.56	462842	20999892.00
2012/10/24	44.00	45.23	43.89	44.82	205141	9163132.00
2012/10/25	44.90	45.90	44.52	45.80	424526	19255200.00
2012/10/26	45.60	46.55	45.12	45.29	343645	15744346.00
2012/10/29	45.20	47.25	44.70	46.50	441813	20530900.00
2012/10/30	46.30	47.20	46.01	46.39	309275	14393458.00
2012/10/31	46.10	46.50	45.70	46.21	247539	11407223.00
2012/11/01	46.03	47.15	46.03	46.88	302394	14128625.00
2012/11/02	46.88	47.87	46.61	47.47	424479	20126652.00
2012/11/05	47.80	47.80	46.22	46.32	299956	13984481.00
2012/11/06	46.14	46.73	45.89	46.16	173590	8004334.50
2012/11/07	46.39	46.49	45.62	45.80	150902	6954259.00
2012/11/08	45.58	45.60	43.60	43.74	347773	15574731.00
2012/11/09	43.32	43.96	43.00	43.96	338471	14756550.00
2012/11/12	44.00	44.48	43.60	44.10	138051	6069343.50
2012/11/13	44.10	44.27	43.20	43.20	205980	8971760.00
2012/11/14	43.54	43.60	43.02	43.55	200694	8699783.00
2012/11/15	43.21	43.52	42.68	43.00	224750	9659701.00
2012/11/16	42.87	42.99	41.77	42.16	303749	12775768.00
2012/11/19	42.30	42.36	40.41	41.21	552124	22633208.00
2012/11/20	41.29	41.40	40.48	40.77	196098	8032413.50
2012/11/21	40.90	41.33	40.33	41.28	219230	8977664.00
2012/11/22	41.05	41.05	40.41	40.67	91946	3743894.75
2012/11/23	40.67	41.20	40.67	41.03	229905	9426517.00
2012/11/26	41.00	41.18	40.47	40.51	170727	6964577.50
2012/11/27	40.21	40.25	38.80	39.00	631398	24679732.00
2012/11/28	38.61	39.25	38.21	38.83	140280	5425992.00
2012/11/29	39.69	39.69	37.01	37.93	292080	11111798.00
2012/11/30	37.60	38.00	37.35	37.88	182801	6887995.00
2012/12/03	37.88	38.44	37.73	38.00	296128	11249227.00
2012/12/04	38.00	38.20	37.10	38.10	219351	8248427.50
2012/12/05	37.70	39.99	37.70	39.40	404622	15883607.00
2012/12/06	39.05	39.78	38.79	39.00	142923	5597486.50
2012/12/07	39.00	39.90	39.00	39.88	247644	9789016.00
2012/12/10	40.05	40.35	39.30	40.20	193551	7728807.00
2012/12/11	40.50	41.50	40.10	40.56	203397	8290726.00
2012/12/12	40.18	41.19	40.18	41.00	266819	10841935.00
2012/12/13	41.00	41.00	39.55	39.56	117761	4727926.00
2012/12/14	39.56	41.06	39.18	40.99	264839	10789897.00
2012/12/17	41.00	41.50	40.73	40.90	215606	8835694.00
2012/12/18	40.55	41.15	40.50	40.82	144756	5926252.00
2012/12/19	40.59	41.41	40.59	41.20	153580	6305997.50
2012/12/20	40.97	42.77	40.71	41.90	441816	18608572.00
2012/12/21	41.95	43.66	41.50	43.15	690120	29562450.00
2012/12/24	42.97	44.84	42.81	44.10	761393	33522392.00
2012/12/25	44.00	45.10	43.72	44.40	519747	23080064.00
2012/12/26	44.70	46.13	44.11	46.08	894951	40777832.00
2012/12/27	46.30	46.30	44.10	44.20	588770	26518288.00
2012/12/28	43.95	45.50	43.87	45.01	449593	20079458.00
2012/12/31	44.60	45.46	43.49	44.05	524735	23116462.00
2013/01/04	44.49	46.23	44.03	46.23	1258159	57073752.00
2013/01/07	46.55	47.75	45.80	47.30	1177206	55204628.00
2013/01/08	47.00	48.18	46.30	47.50	804366	37985924.00
2013/01/09	46.52	47.28	45.53	46.14	629353	29145046.00
2013/01/10	46.00	47.16	45.96	46.65	377700	17602952.00
2013/01/11	46.68	48.65	46.68	47.49	1026562	49121436.00
2013/01/14	47.88	49.14	47.16	48.90	915238	44417700.00
2013/01/15	49.06	49.52	47.68	48.61	741653	36007964.00
2013/01/16	48.81	48.98	47.56	48.09	593472	28681322.00
2013/01/17	48.07	48.29	46.90	47.08	381188	18105388.00
2013/01/18	47.00	47.76	46.40	47.50	555783	26238336.00
2013/01/21	47.42	49.34	47.30	48.70	960853	46622820.00
2013/01/22	48.23	48.60	45.30	45.74	833207	38831136.00
2013/01/23	45.41	46.30	44.95	45.80	511603	23286830.00
2013/01/24	45.80	46.08	44.20	44.70	407355	18387830.00
2013/01/25	44.78	46.69	44.30	45.92	586638	26833274.00
2013/01/28	45.89	47.41	45.58	47.19	679748	31722922.00
2013/01/29	48.19	48.99	47.43	47.85	1332852	64026832.00
2013/01/30	47.82	47.82	46.06	46.82	644353	30265268.00
2013/01/31	46.86	47.54	46.06	47.08	575812	27002820.00
2013/02/01	47.06	47.85	46.58	47.07	483791	22850852.00
2013/02/04	46.95	47.45	45.71	45.85	645340	29992232.00
2013/02/05	46.00	47.40	46.00	47.29	568768	26541002.00
2013/02/06	47.28	48.10	46.76	47.80	470575	22448742.00
2013/02/07	47.96	48.90	47.64	48.79	571921	27756978.00
2013/02/08	48.58	50.29	48.58	49.99	760770	37771324.00
2013/02/18	51.00	53.00	50.88	52.50	1185210	61947368.00
2013/02/19	52.20	52.45	50.24	50.88	796839	40701616.00
2013/02/20	50.60	52.74	50.60	52.65	713024	36873908.00
2013/02/21	52.50	52.59	50.10	50.60	1052621	54059528.00
2013/02/22	50.10	51.60	50.10	50.35	583204	29692768.00
2013/02/25	50.28	51.68	50.28	51.29	519749	26580672.00
2013/02/26	51.08	53.69	50.57	52.01	1215189	63663040.00
2013/02/27	52.16	53.39	50.12	50.78	885550	45677832.00
2013/02/28	51.20	51.40	50.10	51.22	803816	40813208.00
2013/03/01	51.30	52.60	50.91	52.54	888118	45883176.00
2013/03/04	52.26	53.90	51.55	52.13	1110822	58652236.00
2013/03/05	52.13	54.68	50.68	54.32	1296479	68532536.00
2013/03/06	52.21	54.50	51.81	54.50	2205589	116971552.00
2013/03/07	54.10	54.47	51.50	52.05	1014864	53786584.00
2013/03/08	51.65	51.68	48.21	48.23	1741146	85852536.00
2013/03/11	47.54	49.15	47.45	48.75	1122896	54466992.00
2013/03/12	48.40	48.94	46.55	46.92	679237	32091624.00
2013/03/13	46.84	47.44	46.40	46.99	355906	16707559.00
2013/03/14	46.96	47.67	46.81	47.22	314681	14897202.00
2013/03/15	47.45	49.11	46.70	48.05	570368	27418750.00
2013/03/18	48.00	48.98	47.60	48.40	380504	18461446.00
2013/03/19	48.30	49.18	47.33	48.82	386400	18660726.00
2013/03/20	48.85	49.68	48.75	49.32	411632	20305300.00
2013/03/21	49.57	49.95	48.95	49.00	641809	31750304.00
2013/03/22	49.09	49.28	48.61	48.89	367069	17968086.00
2013/03/25	48.89	49.56	48.71	48.91	344553	16936136.00
2013/03/26	48.88	49.24	47.57	47.72	334950	16107913.00
2013/03/27	47.72	48.50	47.50	47.82	215887	10344403.00
2013/03/28	47.50	47.50	46.20	46.30	341171	15926111.00
2013/03/29	46.35	46.78	45.80	46.40	212721	9837332.00
2013/04/01	46.40	48.66	46.40	47.85	368801	17646886.00
2013/04/02	47.85	48.28	46.45	46.45	229810	10873721.00
2013/04/03	46.76	46.77	45.82	46.30	178239	8231666.50
2013/04/08	45.50	47.40	45.36	47.22	189016	8825503.00
2013/04/09	47.20	47.47	46.98	47.08	146884	6927676.00
2013/04/10	47.25	47.50	45.85	46.14	189184	8765154.00
2013/04/11	46.25	46.50	46.12	46.26	85463	3954672.75
2013/04/12	46.02	46.54	46.00	46.30	85482	3951239.50
2013/04/15	45.96	46.95	45.91	46.80	158112	7367531.00
2013/04/16	46.90	48.15	46.60	48.03	290853	13853114.00
2013/04/17	48.04	48.45	47.68	48.27	224218	10789527.00
2013/04/18	48.20	48.27	47.55	47.89	263954	12661458.00
2013/04/19	47.89	49.97	47.89	49.41	529900	26144128.00
2013/04/22	49.43	51.58	49.43	50.90	522404	26562704.00
2013/04/23	50.78	51.71	49.20	49.20	871915	44138296.00
2013/04/24	49.31	52.55	49.31	51.80	997005	51268524.00
2013/04/25	51.55	56.46	51.55	52.88	1586335	85202576.00
2013/04/26	52.95	55.59	52.25	53.27	1201452	64607724.00
2013/05/02	53.00	54.64	51.40	52.97	827920	43939664.00
2013/05/03	52.81	55.99	52.36	55.68	1630492	87639504.00
2013/05/06	55.50	57.85	54.90	56.42	1427546	80831672.00
2013/05/07	56.58	59.48	56.11	57.55	915351	52714272.00
2013/05/08	57.65	58.58	57.01	57.60	692886	39875640.00
2013/05/09	57.45	57.45	55.15	56.81	1002766	56472496.00
2013/05/10	56.67	56.67	55.18	55.61	754615	42053096.00
2013/05/13	37.43	38.20	36.66	38.00	1005994	37747008.00
2013/05/14	37.58	37.90	34.20	34.20	1784184	63204280.00
2013/05/15	33.88	34.59	33.54	34.30	1285752	43834624.00
2013/05/16	33.99	36.87	33.91	34.58	1552560	53904996.00
2013/05/17	34.37	35.30	33.75	34.60	942735	32543048.00
2013/05/20	34.59	35.15	33.52	35.08	1603588	54899828.00
2013/05/21	34.82	35.92	34.37	35.89	1843013	64878372.00
2013/05/22	35.70	36.01	34.80	34.80	1285789	45502112.00
2013/05/23	34.40	36.33	33.91	35.57	1505950	52923048.00
2013/05/24	35.39	37.36	35.15	37.35	1944710	71323704.00
2013/05/27	37.17	37.80	36.60	37.47	1409674	52398624.00
2013/05/28	37.30	37.30	35.76	35.87	1324951	48187044.00
2013/05/29	35.50	36.46	35.30	35.97	791313	28360072.00
2013/05/30	35.80	37.94	35.35	37.36	1947704	72024296.00
2013/05/31	37.40	38.27	36.91	37.01	1594260	59960948.00
2013/06/03	36.80	37.28	35.35	35.56	1209660	43632560.00
2013/06/04	35.21	35.56	33.60	34.45	929738	32086524.00
2013/06/05	34.42	34.86	33.89	34.36	397389	13663271.00
2013/06/06	34.28	34.38	33.55	33.65	474503	16101665.00
2013/06/07	33.60	34.02	33.40	33.64	489830	16526307.00
2013/06/13	32.95	34.74	32.70	34.29	949443	32082924.00
2013/06/14	34.06	35.70	34.06	35.55	1026425	36208604.00
2013/07/29	39.11	39.11	39.11	39.11	147762	5778972.00
