300353 东土科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/09/27	20.01	22.05	20.00	22.00	9125916	192604976.00
2012/09/28	21.80	22.25	20.68	20.91	7474410	159138560.00
2012/10/08	20.54	22.58	20.33	21.25	6641306	141573440.00
2012/10/09	20.90	23.38	20.70	23.38	5996157	131770648.00
2012/10/10	23.17	23.80	22.41	22.85	5936710	136704896.00
2012/10/11	22.51	23.37	21.99	22.38	3764497	84835376.00
2012/10/12	22.80	24.00	22.65	23.60	5182044	121203456.00
2012/10/15	24.02	24.67	22.85	23.42	4630027	110199776.00
2012/10/16	23.33	24.40	22.60	24.22	4136839	97473592.00
2012/10/17	23.92	24.85	23.51	23.70	3208523	77450048.00
2012/10/18	23.65	24.35	23.35	23.71	3345344	79622672.00
2012/10/19	23.81	24.20	23.51	23.60	2073036	49348556.00
2012/10/22	23.40	23.72	23.05	23.50	1840276	42992464.00
2012/10/23	23.29	23.55	22.40	22.44	1997197	45677808.00
2012/10/24	22.28	22.40	21.60	21.82	2003624	44023124.00
2012/10/25	22.22	24.00	22.10	22.68	4180292	96684016.00
2012/10/26	22.58	23.85	22.56	22.83	3432869	79555136.00
2012/10/29	22.88	25.11	22.77	24.40	6102080	149070928.00
2012/10/30	24.10	24.65	23.75	24.52	3352676	81126008.00
2012/10/31	24.39	25.67	24.29	25.00	4056565	101587536.00
2012/11/01	24.98	25.29	24.61	25.24	2562011	63909308.00
2012/11/02	25.09	25.22	24.40	24.78	2718190	67291600.00
2012/11/05	24.80	25.27	24.19	24.77	2471692	61140812.00
2012/11/06	24.60	25.88	24.38	25.85	3715789	93272384.00
2012/11/07	25.64	25.99	24.10	24.13	3251964	81757512.00
2012/11/08	23.74	23.96	23.15	23.26	2237151	52766912.00
2012/11/09	23.44	24.70	23.36	24.10	2550636	61397444.00
2012/11/12	24.10	25.50	23.83	25.12	2639920	65624236.00
2012/11/13	24.99	25.66	24.00	24.44	2842662	70298944.00
2012/11/14	24.50	26.48	24.30	25.95	3931835	100682704.00
2012/11/15	25.50	25.86	25.01	25.26	2065358	52434372.00
2012/11/16	25.02	25.80	24.53	24.88	2003438	50503300.00
2012/11/19	24.88	25.62	24.55	25.62	1490023	37281240.00
2012/11/20	25.49	25.90	24.46	24.75	2439536	61378120.00
2012/11/21	24.75	26.66	24.61	26.20	3746357	96647440.00
2012/11/22	25.85	25.95	25.31	25.83	2050660	52593316.00
2012/11/23	25.83	27.48	25.75	26.24	3656406	97517976.00
2012/11/26	26.06	26.85	25.78	26.30	2393982	62764876.00
2012/11/27	26.18	26.19	23.95	23.95	2951046	73457584.00
2012/11/28	23.37	24.47	23.35	24.07	1596670	38414564.00
2012/11/29	24.16	24.98	22.32	22.65	2830095	67748856.00
2012/11/30	22.45	23.05	21.89	22.74	2130093	47933520.00
2012/12/03	22.58	22.80	22.11	22.14	1418531	31880110.00
2012/12/04	22.25	22.58	20.50	21.81	2503824	53932752.00
2012/12/05	21.80	23.79	21.50	23.20	2722952	62256184.00
2012/12/06	23.25	24.13	23.25	23.53	2363747	55878964.00
2012/12/07	23.45	24.17	23.45	23.94	2238391	53389472.00
2012/12/10	23.98	24.25	23.68	24.17	1911371	45843288.00
2012/12/11	24.00	25.30	23.88	24.50	2182006	53921496.00
2012/12/12	24.35	26.51	24.25	25.74	3204772	81768104.00
2012/12/13	25.55	26.30	25.01	26.04	2512516	64425672.00
2012/12/14	26.18	27.83	26.06	27.30	3524972	94892848.00
2012/12/17	27.80	28.23	27.06	27.53	2562606	70655856.00
2012/12/18	27.35	28.18	27.22	27.54	2160240	59628004.00
2012/12/19	27.51	27.65	26.90	27.40	1630249	44443556.00
2012/12/20	27.05	30.10	27.04	29.20	3282768	94968504.00
2012/12/21	29.20	32.12	29.15	32.12	2904897	89508112.00
2012/12/24	33.00	35.00	32.20	34.49	3709769	123795480.00
2012/12/25	33.01	34.38	31.56	33.61	6521930	212769104.00
2012/12/26	32.58	34.88	31.94	33.46	5934211	197481488.00
2012/12/27	33.17	33.27	31.12	31.18	4496692	144465536.00
2012/12/28	31.35	32.43	31.04	31.57	3419729	108801968.00
2012/12/31	31.65	32.02	30.58	31.28	2440637	75771872.00
2013/01/04	31.13	33.08	30.85	32.45	4083383	131245312.00
2013/01/07	32.86	33.55	32.28	32.85	3004174	98584448.00
2013/01/08	32.55	32.84	31.50	31.99	3050941	98060456.00
2013/01/09	31.00	31.46	30.65	31.27	2135716	66394792.00
2013/01/10	31.16	31.80	30.50	31.21	1688820	52792952.00
2013/01/11	31.71	33.59	31.40	32.50	4171586	135952864.00
2013/01/14	32.55	33.97	31.80	33.62	2950815	97070256.00
2013/01/15	33.35	33.60	32.62	33.05	2568039	84772152.00
2013/01/16	32.74	32.74	31.52	32.04	2092649	66948876.00
2013/01/17	32.15	32.28	30.90	30.90	1459551	45767588.00
2013/01/18	30.90	31.43	30.67	31.05	1108654	34454796.00
2013/01/21	31.05	31.67	30.70	31.48	1299497	40516288.00
2013/01/22	31.49	31.49	28.37	28.61	2222033	66327748.00
2013/01/23	28.42	29.50	28.20	29.30	1464315	42060564.00
2013/01/24	29.30	29.45	27.80	28.43	1321908	37784628.00
2013/01/25	28.30	29.17	28.27	28.65	921929	26492322.00
2013/01/28	28.68	29.28	28.53	29.20	1052365	30526512.00
2013/01/29	29.20	30.20	29.20	29.60	1343923	40031208.00
2013/01/30	29.70	29.99	28.40	28.99	1155196	33404552.00
2013/01/31	28.90	28.90	27.88	28.41	859230	24279388.00
2013/02/01	28.02	28.88	28.02	28.40	778682	22268504.00
2013/02/04	28.80	28.80	27.80	28.00	808439	22801914.00
2013/02/05	28.00	29.69	27.95	29.59	1739876	50728884.00
2013/02/06	29.83	29.83	29.11	29.35	932167	27362604.00
2013/02/07	29.24	29.80	29.15	29.80	815400	24056150.00
2013/02/08	29.68	30.35	29.54	30.19	945294	28381762.00
2013/02/18	30.22	30.45	29.65	30.17	929513	27866898.00
2013/02/19	30.09	30.09	28.94	29.20	875750	25598106.00
2013/02/20	29.00	29.79	28.84	29.68	789102	23207742.00
2013/02/21	29.40	30.50	29.18	30.50	1804442	54031388.00
2013/02/22	30.30	31.44	30.10	30.50	1983491	61274276.00
2013/02/25	30.10	30.40	29.31	29.93	1191532	35389908.00
2013/02/26	29.70	30.54	29.41	29.49	1122929	33793304.00
2013/02/27	29.50	29.70	28.60	29.08	994733	28919572.00
2013/02/28	29.06	29.62	28.80	29.58	830219	24287400.00
2013/03/01	29.65	30.40	29.50	30.21	1083022	32599134.00
2013/03/04	30.00	30.00	28.70	28.86	1132148	33168430.00
2013/03/05	28.70	29.43	28.70	29.33	717990	20948676.00
2013/03/06	29.47	30.79	29.32	30.74	1771165	53600160.00
2013/03/07	30.73	30.73	29.51	29.77	1372278	41363912.00
2013/03/08	29.73	30.05	29.22	29.37	781925	23166502.00
2013/03/11	29.30	29.31	28.68	28.79	699098	20219710.00
2013/03/12	28.82	29.14	26.18	26.90	1133068	31134152.00
2013/03/13	26.90	27.59	26.68	27.15	603958	16372910.00
2013/03/14	27.00	27.37	26.73	26.96	363110	9802388.00
2013/03/15	26.81	27.67	26.60	27.19	637007	17354870.00
2013/03/18	27.04	27.60	27.01	27.52	516308	14137375.00
2013/03/19	27.28	29.30	27.28	28.15	784496	22113382.00
2013/03/20	28.25	28.51	27.00	28.51	817809	22890596.00
2013/03/21	28.49	29.00	28.38	28.80	674930	19379278.00
2013/03/22	28.71	28.96	28.28	28.57	473460	13543899.00
2013/03/25	28.50	28.85	28.32	28.61	344102	9834822.00
2013/03/26	28.35	28.55	27.96	28.16	381789	10741890.00
2013/03/27	28.02	28.78	28.02	28.36	298893	8517559.00
2013/03/28	28.20	28.20	26.78	26.91	532254	14530241.00
2013/03/29	27.04	27.45	26.70	27.32	327111	8901428.00
2013/04/01	27.16	28.09	27.16	27.88	326780	9104880.00
2013/04/02	27.88	28.05	26.85	26.96	713649	19458052.00
2013/04/03	26.88	27.27	26.40	26.50	326340	8716083.00
2013/04/08	26.20	28.29	26.00	28.02	946716	26070024.00
2013/04/09	27.91	29.09	27.91	28.64	1188587	34197044.00
2013/04/10	28.38	28.85	27.85	28.38	651671	18462712.00
2013/04/11	28.46	28.68	28.10	28.33	337356	9569005.00
2013/04/12	28.60	29.33	28.32	28.78	848345	24582538.00
2013/04/15	28.97	29.00	28.40	28.89	575768	16542267.00
2013/04/16	28.65	28.65	27.18	27.88	739935	20503462.00
2013/04/17	27.93	28.75	27.77	28.73	676022	19078716.00
2013/04/18	28.26	30.15	28.18	29.79	1722484	50386504.00
2013/04/19	29.38	30.30	29.18	30.12	1828848	54510192.00
2013/04/22	29.85	30.59	29.41	30.41	1498543	45057120.00
2013/04/23	30.20	30.79	29.06	29.25	1067892	31829100.00
2013/04/24	29.00	30.58	28.90	30.36	1284922	38584608.00
2013/04/25	30.64	31.30	29.70	29.72	2069706	63718280.00
2013/04/26	28.51	29.50	27.20	27.22	1464051	41183916.00
2013/05/02	27.23	27.45	26.50	27.18	695800	18747314.00
2013/05/03	27.57	28.05	27.29	27.83	563985	15703260.00
2013/05/06	27.59	29.10	27.59	28.88	992754	28401460.00
2013/05/07	28.79	29.45	28.79	28.87	892115	25999296.00
2013/05/08	28.88	29.67	28.67	29.65	867240	25342068.00
2013/05/09	29.66	30.08	29.00	29.61	1164555	34346572.00
2013/05/10	29.71	30.99	29.71	30.13	1452393	44285268.00
2013/05/13	30.14	30.48	29.40	30.12	956056	28536584.00
2013/05/14	29.80	30.07	28.40	28.58	1059652	30687456.00
2013/05/15	28.58	29.56	28.40	29.40	941762	27359960.00
2013/05/16	29.35	30.80	29.05	29.24	1564532	46867768.00
2013/05/17	29.05	30.50	29.04	30.40	1338871	40188972.00
2013/05/20	30.60	31.26	30.60	31.02	1599069	49397908.00
2013/05/21	30.98	32.47	30.82	32.25	1876936	59805292.00
2013/05/22	32.10	32.10	30.20	30.65	1878675	58340140.00
2013/05/23	30.35	31.75	30.30	30.80	1195196	37184712.00
2013/05/24	30.94	32.16	30.70	31.98	1790113	56521728.00
2013/05/27	32.26	32.75	31.00	32.30	1363994	43704844.00
2013/05/28	32.45	32.45	30.28	30.71	1627622	50532040.00
2013/05/29	30.71	31.70	30.55	31.16	990889	30938588.00
2013/05/30	31.13	31.62	30.40	31.23	955492	29698066.00
2013/05/31	30.90	31.30	30.70	30.72	730014	22558132.00
2013/06/03	30.68	31.17	30.03	30.16	732998	22434710.00
