300403 汉宇集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/30	23.16	27.79	23.16	27.79	47300	1309318.00
2014/10/31	30.57	30.57	30.57	30.57	12800	391296.00
2014/11/03	33.63	33.63	33.63	33.63	9811	329943.94
2014/11/04	36.99	36.99	36.99	36.99	27200	1006128.00
2014/11/05	40.69	40.69	40.69	40.69	83800	3409822.00
2014/11/06	44.76	44.76	44.76	44.76	113010	5058327.50
2014/11/07	49.24	49.24	49.24	49.24	144925	7136107.00
2014/11/10	54.16	54.16	54.16	54.16	302561	16386704.00
2014/11/11	59.58	59.58	58.58	59.58	8067797	480094592.00
2014/11/12	64.00	65.54	59.63	65.54	9600117	619296704.00
2014/11/13	70.00	72.09	68.09	72.09	5712750	404717024.00
2014/11/14	79.30	79.30	66.66	69.00	19418689	1440001408.00
2014/11/17	64.97	65.55	62.10	62.14	11426395	720983936.00
2014/11/18	61.01	63.32	59.50	62.52	7972591	487321760.00
2014/11/19	61.01	63.20	60.30	61.03	5055434	310802144.00
2014/11/20	60.20	65.48	59.60	63.54	8660355	545416384.00
2014/11/21	62.80	63.04	61.20	61.38	5701780	353141024.00
2014/11/24	61.50	62.00	60.10	60.31	4928277	299022720.00
2014/11/25	60.07	60.21	54.71	56.37	7719256	442345984.00
2014/11/26	55.79	57.74	55.65	56.99	3316988	188359648.00
2014/11/27	57.89	59.50	57.02	58.45	4916560	286700480.00
2014/11/28	58.00	58.33	57.10	57.41	3184077	183507536.00
2014/12/01	57.39	58.88	57.01	57.92	3032556	175844688.00
2014/12/02	57.60	62.12	57.42	60.17	5720488	345045088.00
2014/12/03	60.18	60.39	57.48	58.45	4215238	245976032.00
2014/12/04	57.76	58.38	57.31	57.52	3909291	225631248.00
2014/12/05	57.37	57.37	53.50	54.16	4388382	241764960.00
2014/12/08	53.60	54.16	52.06	52.24	3251131	171795872.00
2014/12/09	52.35	53.20	49.26	49.56	3304406	170736240.00
2014/12/10	49.46	50.98	49.00	50.70	2275751	114371312.00
2014/12/11	50.48	52.58	49.60	51.53	2472954	126831792.00
2014/12/12	51.40	51.80	50.46	51.10	1750952	89373096.00
2014/12/15	51.02	51.99	50.76	51.84	1557880	80401416.00
2014/12/16	51.84	52.10	50.21	50.31	1983373	100730576.00
2014/12/17	50.10	50.21	48.31	48.55	2446283	120206616.00
2014/12/18	48.40	49.30	47.72	47.78	1647249	79587240.00
