300471 厚普股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/11	71.29	77.77	71.29	77.77	5500	424495.00
2015/06/12	85.55	85.55	85.55	85.55	1600	136880.00
2015/06/15	94.11	94.11	94.11	94.11	1796	169021.56
2015/06/16	103.52	103.52	103.52	103.52	4100	424432.00
2015/06/17	113.87	113.87	113.87	113.87	6257	712484.56
2015/06/18	125.26	125.26	125.26	125.26	21300	2668038.00
2015/06/19	137.79	137.79	137.79	137.79	54126	7458021.50
2015/06/23	151.57	151.57	148.00	151.57	1516063	229633728.00
2015/06/24	166.73	166.73	166.00	166.73	1454463	242496688.00
2015/06/25	175.00	175.00	152.11	153.74	7463101	1231880320.00
2015/06/26	145.00	148.00	138.37	138.37	3327849	467241024.00
2015/06/29	134.00	134.00	124.53	124.53	3338476	422543136.00
2015/06/30	116.97	130.00	112.08	126.41	3634921	433345344.00
2015/07/01	122.00	133.10	113.77	115.00	3551332	445233376.00
2015/07/02	114.11	117.75	106.01	107.47	2642595	294308000.00
2015/07/03	104.80	118.00	103.11	109.00	2544763	282358784.00
2015/07/06	119.90	119.90	110.00	117.00	4355878	513222400.00
2015/07/07	109.86	109.99	105.30	105.30	1135500	120270040.00
2015/07/08	94.77	96.97	94.77	94.77	2769558	262945728.00
2015/07/09	95.10	104.25	95.10	104.25	2120159	216194416.00
2015/07/10	111.99	114.68	109.01	114.68	902789	102364104.00
2015/07/13	125.80	126.15	120.01	126.15	3082568	385133984.00
2015/07/14	129.00	138.00	125.00	131.88	4609740	606125888.00
2015/07/15	126.32	126.34	118.69	118.69	1971802	238262272.00
2015/07/16	106.92	122.00	106.82	114.00	2470852	280930688.00
2015/07/17	115.00	122.86	113.02	120.30	2117999	250611984.00
2015/07/20	117.51	123.20	114.90	118.11	1984951	235776512.00
2015/07/21	116.85	127.78	115.20	125.52	2266892	278019488.00
2015/07/22	125.00	129.10	122.34	127.05	2237348	281712224.00
2015/07/23	128.00	139.76	126.88	139.76	2167929	290331264.00
2015/07/24	146.00	147.66	134.30	135.23	3594080	511779328.00
2015/07/27	130.50	139.80	121.71	121.71	2580420	338131232.00
2015/07/28	111.81	124.16	110.02	122.28	2248154	263381184.00
2015/07/29	123.99	134.51	115.15	133.50	2211234	275450112.00
2015/07/30	129.90	138.45	125.00	125.40	2283466	301778112.00
2015/07/31	122.00	132.18	121.20	125.76	1941068	245052464.00
2015/08/03	124.47	126.46	115.18	118.35	1834602	220901232.00
2015/08/04	120.00	130.19	119.00	130.18	2171791	270784672.00
2015/08/05	129.17	136.35	127.10	132.19	2702172	356883744.00
2015/08/06	128.28	131.90	124.00	127.69	1845914	236699632.00
2015/08/07	128.50	133.23	128.20	131.82	1593066	208634528.00
2015/08/10	132.00	139.77	132.00	137.74	2222366	305138784.00
2015/08/11	138.39	142.72	134.50	136.90	2012845	278412864.00
2015/08/12	134.01	137.10	130.50	130.96	1508563	201457552.00
2015/08/13	131.00	135.50	129.15	135.30	1069896	142105920.00
2015/08/14	136.06	137.87	133.80	133.97	1312557	177279424.00
2015/08/17	132.95	133.50	123.48	126.01	1647253	209964512.00
2015/08/18	125.89	128.79	113.41	113.41	1685741	203890608.00
2015/08/19	111.30	115.81	105.00	114.86	1506561	167153568.00
2015/08/20	113.06	114.50	107.22	107.53	1082013	120005384.00
2015/08/21	105.50	106.95	101.20	102.05	911182	95201288.00
2015/08/24	97.10	98.97	91.85	91.85	1374856	128230056.00
2015/08/25	83.50	94.49	82.67	83.11	1772332	152975056.00
2015/08/26	86.12	91.37	83.32	86.63	1889143	165687344.00
2015/08/27	88.60	90.44	85.00	90.20	1348417	119647528.00
2015/08/28	91.68	95.00	88.80	94.90	1505032	137710240.00
2015/08/31	93.08	93.16	87.00	87.04	966470	87176088.00
