300577 开润股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/21	23.50	28.20	23.50	28.20	9500	263905.00
2016/12/22	31.02	31.02	31.02	31.02	2100	65142.00
2016/12/23	34.12	34.12	34.12	34.12	1500	51180.00
2016/12/26	37.53	37.53	37.53	37.53	2000	75060.00
2016/12/27	41.28	41.28	41.28	41.28	2000	82560.00
2016/12/28	45.41	45.41	45.41	45.41	8504	386166.63
2016/12/29	49.95	49.95	49.95	49.95	12400	619380.00
2016/12/30	54.95	54.95	54.95	54.95	15900	873705.00
2017/01/03	60.45	60.45	60.45	60.45	23900	1444755.00
2017/01/04	66.50	66.50	66.50	66.50	42100	2799650.00
2017/01/05	72.55	72.88	67.15	69.65	10489629	731413696.00
2017/01/06	70.10	75.64	69.77	72.90	9214475	668042176.00
2017/01/09	74.99	77.50	72.80	76.06	5681650	428587360.00
2017/01/10	73.58	77.25	73.30	73.50	3973637	297660064.00
2017/01/11	76.51	77.90	74.58	75.09	2973709	226596112.00
2017/01/12	75.27	79.00	72.51	74.61	3566177	272660544.00
2017/01/13	73.71	75.50	71.30	72.66	2194680	162052496.00
2017/01/16	71.11	73.22	65.90	71.30	2648331	187979824.00
2017/01/17	70.06	75.50	69.69	74.88	2603674	188306304.00
2017/01/18	74.26	76.45	73.23	75.65	1967573	147696816.00
2017/01/19	75.08	77.65	73.60	74.03	1595076	120841528.00
2017/01/20	72.80	78.88	71.72	77.26	2367372	179862640.00
2017/01/23	77.00	80.77	76.50	76.70	2116297	165434128.00
2017/01/24	76.30	76.72	72.18	73.50	1645094	123060256.00
2017/01/25	73.01	76.67	72.06	74.10	1529054	114211240.00
2017/01/26	74.00	76.33	73.95	75.76	1112863	83881680.00
2017/02/03	75.80	77.60	75.00	75.89	1124719	86027736.00
2017/02/06	75.61	78.30	74.10	77.20	1992513	151607376.00
2017/02/07	76.65	81.36	76.30	78.06	2051376	162164624.00
2017/02/08	78.08	80.90	76.03	80.84	1961610	153618464.00
2017/02/09	80.25	82.48	78.78	80.15	2180561	175935440.00
2017/02/10	79.54	80.80	76.97	76.99	2145337	167843968.00
2017/02/13	75.80	79.56	75.80	78.57	1714116	133165296.00
2017/02/14	78.37	82.00	78.00	80.62	1097462	87914712.00
2017/02/15	80.01	86.88	79.51	83.60	1847357	153241888.00
2017/02/16	82.90	84.16	81.20	83.92	1120791	92633136.00
2017/02/17	83.12	85.36	78.00	79.71	1110959	90182888.00
2017/02/20	78.77	79.00	71.74	73.20	2086329	155331040.00
2017/02/21	74.16	75.89	73.01	75.21	802400	60169504.00
2017/02/22	75.11	77.68	74.00	76.20	882790	67211160.00
2017/02/23	76.30	77.90	75.77	76.71	665700	51304700.00
2017/02/24	77.00	78.20	76.47	77.77	509274	39404764.00
2017/02/27	77.80	77.80	75.50	75.89	514961	39422916.00
2017/02/28	76.20	77.12	74.02	76.32	661717	49964660.00
2017/03/01	76.28	78.07	74.00	75.59	635366	48612584.00
2017/03/02	75.90	76.00	74.05	74.50	706736	53056644.00
2017/03/03	74.00	75.20	73.58	74.85	459530	34230792.00
2017/03/06	75.33	78.78	74.69	78.78	825514	63747488.00
2017/03/07	79.68	79.94	77.10	78.54	676085	53009636.00
2017/03/08	79.11	85.28	79.00	81.54	1251061	102751024.00
2017/03/09	81.52	82.25	78.21	78.30	959692	76066952.00
2017/03/10	78.60	81.98	78.60	79.13	954909	76399280.00
2017/03/13	78.66	84.28	76.36	83.38	1372428	110816184.00
2017/03/14	83.88	83.93	81.75	82.05	1185197	97985800.00
2017/03/15	82.00	86.00	81.02	82.65	775434	64518152.00
2017/03/16	85.60	85.63	82.65	84.50	1448366	121815328.00
2017/03/17	84.00	84.55	79.20	79.61	1588927	130468248.00
2017/03/20	79.70	81.76	79.30	81.01	730899	58888284.00
2017/03/21	81.03	83.40	80.70	83.15	967498	79540912.00
2017/03/22	82.80	86.40	81.40	85.48	1264298	106257600.00
2017/03/23	85.13	87.50	82.60	84.52	1491372	127630144.00
2017/03/24	84.52	86.51	82.80	84.08	1148006	97223472.00
2017/03/27	84.39	87.47	82.88	86.92	1189816	101900632.00
2017/03/28	86.06	86.86	82.81	83.28	1294673	109710208.00
2017/03/29	83.01	83.39	78.67	79.68	1138453	91604816.00
2017/03/30	79.00	79.58	76.90	77.25	602977	46980180.00
2017/03/31	77.26	78.29	76.51	77.15	576579	44533724.00
2017/04/05	76.49	77.98	75.07	77.88	533679	40871708.00
2017/04/06	77.88	79.88	77.87	79.05	545977	43181624.00
2017/04/07	83.00	85.62	82.61	83.55	2077716	174817952.00
2017/04/10	83.65	83.80	81.53	82.26	839640	69319288.00
2017/04/11	81.20	89.00	81.13	88.00	1211940	102163416.00
2017/04/12	87.30	89.76	85.12	86.16	853618	74685760.00
2017/04/13	87.61	88.85	82.00	84.10	724199	62404508.00
2017/04/14	83.47	86.80	81.51	85.81	635200	53284348.00
2017/04/17	84.00	86.95	81.02	82.08	661247	55534600.00
2017/04/18	82.08	83.28	80.61	81.87	297347	24424600.00
2017/04/19	81.80	83.01	81.04	81.82	769199	62972760.00
2017/04/20	81.90	82.20	77.50	78.63	1071274	85298904.00
2017/04/21	77.99	80.28	77.99	80.00	460900	36596940.00
2017/04/24	80.58	81.58	78.00	80.50	508900	40917752.00
2017/04/25	80.75	83.63	80.50	83.63	638826	52484824.00
2017/04/26	85.00	85.00	83.01	84.21	685300	57565516.00
2017/04/27	83.99	92.00	82.66	91.03	1771863	155549776.00
2017/04/28	91.03	92.77	88.71	90.26	1054376	95835840.00
2017/05/02	90.26	96.30	89.27	92.31	1285584	120484176.00
2017/05/03	92.79	96.90	90.41	93.40	1225402	114736792.00
2017/05/04	92.80	95.00	92.14	93.28	655437	61495712.00
2017/05/05	92.32	100.00	90.51	97.49	1179732	112690440.00
2017/05/08	97.00	100.00	94.68	98.50	997788	97315592.00
2017/05/09	97.50	99.00	93.35	94.35	1069000	102220408.00
2017/05/10	94.35	103.79	94.03	101.00	1454744	145735648.00
2017/05/11	99.87	103.00	97.50	101.72	939529	94319680.00
2017/05/12	100.50	104.00	97.95	99.00	792606	79838656.00
2017/05/15	99.02	102.28	97.84	99.68	669288	66959492.00
2017/05/16	99.05	102.00	99.05	100.46	758400	76484056.00
