300649 杭州园林 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/05	11.94	13.02	11.94	13.02	4100	53274.00
2017/05/08	14.32	14.32	14.32	14.32	600	8592.00
2017/05/09	15.75	15.75	15.75	15.75	1600	25200.00
2017/05/10	17.33	17.33	17.33	17.33	2100	36393.00
2017/05/11	19.06	19.06	19.06	19.06	5300	101018.00
2017/05/12	20.97	20.97	20.97	20.97	6000	125820.00
2017/05/15	23.07	23.07	23.07	23.07	4900	113043.00
2017/05/16	25.38	25.38	25.38	25.38	6800	172584.00
2017/05/17	27.92	27.92	27.92	27.92	16200	452304.00
2017/05/18	30.71	30.71	30.71	30.71	37700	1157767.00
2017/05/19	33.78	33.78	33.78	33.78	73858	2494923.25
2017/05/22	37.16	37.16	37.16	37.16	124500	4626420.00
2017/05/23	40.88	40.88	40.88	40.88	474484	19396906.00
2017/05/24	44.80	44.97	42.18	44.97	5573101	249419440.00
2017/05/25	49.47	49.47	49.47	49.47	3961100	195955616.00
2017/05/26	54.42	54.42	54.42	54.42	357600	19460592.00
2017/05/31	59.86	59.86	54.00	56.00	5794801	337015840.00
2017/06/01	53.99	61.60	52.91	61.60	13721721	784997440.00
2017/06/02	55.44	58.23	55.44	55.45	10718475	600446976.00
2017/06/05	56.28	60.00	54.02	54.02	9825901	564953792.00
2017/06/06	50.00	56.50	50.00	55.86	8917776	473528032.00
2017/06/07	55.37	61.45	54.98	61.45	8290388	483095744.00
2017/06/08	63.13	66.88	59.05	62.00	11448367	710365440.00
2017/06/09	59.31	62.30	58.64	59.40	7571517	454405600.00
2017/06/12	57.11	61.50	55.00	56.47	6909714	408534816.00
2017/06/13	57.66	60.00	56.20	58.15	5627512	324947552.00
2017/06/14	57.80	60.58	56.51	58.56	6355466	374302912.00
2017/06/15	57.50	61.60	57.05	60.45	7132974	423794400.00
2017/06/16	59.58	62.98	58.31	58.80	6944753	420206144.00
2017/06/19	57.11	57.79	54.70	55.00	5756866	322319680.00
2017/06/20	55.55	57.00	54.70	54.96	4305756	240354992.00
2017/06/21	55.01	55.59	52.80	53.09	4204854	225407840.00
2017/06/22	53.10	53.46	50.57	50.93	4242023	219628208.00
2017/06/23	50.97	51.49	48.61	50.25	3509226	175595840.00
2017/06/26	49.82	51.47	49.69	50.74	2904249	147225312.00
2017/06/27	50.66	52.29	50.40	50.79	3012711	154640704.00
2017/06/28	49.74	49.74	47.50	47.80	3672270	177472048.00
2017/06/29	47.41	49.42	47.32	48.04	2728581	131992520.00
2017/06/30	46.80	48.67	46.80	47.49	2449900	117110816.00
2017/07/03	48.10	48.66	47.50	48.21	2161636	104168072.00
2017/07/04	49.00	52.48	49.00	50.70	4571712	230817456.00
2017/07/05	50.71	51.00	49.20	50.81	3584435	179737104.00
2017/07/06	50.31	51.30	49.10	49.53	2950700	147507408.00
2017/07/07	49.40	52.00	49.20	50.09	3730501	189344608.00
2017/07/10	48.77	48.77	46.85	46.98	3425332	163255360.00
2017/07/11	46.97	47.17	43.51	43.95	3001179	135930528.00
2017/07/12	44.27	45.49	42.94	45.20	2631969	116665464.00
2017/07/13	44.40	44.80	43.08	43.21	2045066	89439928.00
2017/07/14	47.53	47.53	47.53	47.53	933466	44367640.00
2017/07/17	52.28	52.28	52.28	52.28	5289168	276517696.00
2017/07/18	52.50	57.00	51.66	55.44	9608534	524756832.00
2017/07/19	55.15	57.50	54.45	57.34	7265028	408038336.00
2017/07/20	56.11	58.98	55.78	56.21	5691079	324851264.00
2017/07/21	54.81	55.97	53.41	53.80	4776477	260976528.00
2017/07/24	53.28	59.18	53.00	59.18	5915746	332228992.00
2017/07/25	58.00	63.99	57.62	61.02	7576518	454877824.00
2017/07/26	61.00	63.16	59.49	63.13	5503767	336505504.00
2017/07/27	63.13	69.44	62.50	69.44	6751500	452370592.00
2017/07/28	72.00	73.44	69.56	70.50	6141459	438111392.00
2017/07/31	68.77	70.90	67.55	69.60	4897398	336849664.00
2017/08/01	68.72	73.00	68.62	69.07	4533665	321592928.00
2017/08/02	67.80	72.94	65.20	72.67	5215962	357402368.00
2017/08/03	71.00	78.45	71.00	71.28	4883641	363251840.00
2017/08/04	71.18	75.56	70.06	74.43	4530311	329966240.00
2017/08/07	75.86	75.87	66.99	66.99	4335700	305178752.00
2017/08/08	62.00	65.76	60.80	63.25	6402767	404828384.00
2017/08/09	63.40	63.97	61.24	61.49	3965452	248072864.00
2017/08/10	61.00	61.98	58.08	59.52	4295007	256267008.00
2017/08/11	59.12	62.88	58.99	61.97	4777445	292637312.00
2017/08/14	62.00	64.58	61.86	62.73	3619035	228583536.00
2017/08/15	62.74	64.50	61.41	62.75	3316450	208684880.00
2017/08/16	62.56	66.44	62.01	66.30	5205105	334337568.00
2017/08/17	65.55	66.48	64.10	64.93	4018445	262872064.00
2017/08/18	64.50	66.67	63.60	63.60	3558337	231273248.00
2017/08/21	63.25	64.60	62.10	64.60	3091241	195661328.00
2017/08/22	65.00	67.99	63.60	65.58	5526596	365556512.00
2017/08/23	64.69	65.53	61.89	62.00	4629600	293950624.00
2017/08/24	61.42	63.40	60.15	61.82	3299645	204879008.00
2017/08/25	61.99	64.50	61.51	63.53	3394129	213712592.00
2017/08/28	65.70	69.88	65.60	69.88	3122431	212830240.00
2017/08/29	76.87	76.87	76.87	76.87	814500	62610616.00
2017/08/30	84.08	84.56	79.21	81.50	9066625	748542080.00
2017/08/31	81.50	86.00	80.06	83.84	8065025	669939136.00
2017/09/01	81.83	83.83	80.00	82.44	6254545	511041568.00
2017/09/04	80.00	84.80	78.08	84.63	4636900	380088096.00
2017/09/05	84.63	91.49	82.01	86.86	6573940	570225920.00
2017/09/06	84.50	90.28	83.51	88.95	5823570	508809248.00
2017/09/07	87.50	97.85	87.00	94.30	8106530	768868032.00
2017/09/08	92.56	98.61	92.30	98.60	5992175	570602432.00
2017/09/11	96.93	108.46	96.22	108.46	4473569	459046944.00
2017/09/19	50.03	54.00	48.85	52.64	17388010	885309696.00
2017/09/20	51.50	52.48	48.70	50.88	13403282	680621568.00
2017/09/21	50.02	55.67	49.80	52.26	16644180	885619456.00
2017/09/22	49.50	49.85	47.03	47.03	14913612	717839040.00
2017/09/25	45.63	47.80	43.89	45.60	9302800	425113568.00
2017/09/26	44.86	47.40	44.83	46.05	8398732	388922176.00
2017/09/27	44.70	47.37	44.01	47.00	8822012	401877984.00
2017/09/28	45.90	47.18	44.05	44.27	7972832	365736032.00
2017/09/29	45.22	45.48	41.80	43.27	7545560	329944608.00
2017/10/09	45.50	47.60	44.95	47.60	6219332	290423968.00
2017/10/10	48.99	52.36	48.60	52.36	13758260	698773824.00
2017/10/11	54.00	57.60	51.03	53.77	18961952	1039193536.00
2017/10/12	52.57	56.70	52.06	55.05	14508350	794744640.00
2017/10/13	55.50	57.85	54.00	55.38	12451520	697654080.00
2017/10/16	53.10	53.51	50.75	51.86	9587660	499160288.00
2017/10/17	51.41	52.88	50.50	52.17	6430760	332911136.00
2017/10/18	51.88	52.49	47.41	48.02	8829300	438734304.00
2017/10/19	48.12	48.40	46.18	46.53	5563000	262055984.00
2017/10/20	46.64	48.23	45.51	48.08	5407682	252356560.00
2017/10/23	50.01	52.80	50.01	50.83	8774860	450138752.00
2017/10/24	49.85	52.36	48.70	51.90	8419960	427345792.00
2017/10/25	52.50	57.09	52.50	57.09	14375302	794092864.00
2017/10/26	57.50	57.50	54.35	55.00	10414682	579109184.00
2017/10/27	55.60	56.00	53.50	53.50	7738660	422504960.00
2017/10/30	52.01	56.71	52.00	55.60	10327742	567393536.00
2017/10/31	54.64	55.38	53.60	55.30	7242452	394805600.00
2017/11/01	54.80	57.50	54.75	55.02	8435010	474139168.00
2017/11/02	54.30	58.50	54.20	57.02	11539232	656425472.00
2017/11/03	56.80	57.54	54.32	55.08	8047852	447569792.00
2017/11/06	54.30	55.55	53.20	55.50	6288514	341738880.00
2017/11/07	55.80	55.80	53.63	54.18	5397400	293475616.00
2017/11/08	55.40	57.90	54.93	55.60	9537007	536060320.00
2017/11/09	54.20	54.85	53.50	53.60	6770991	364839744.00
2017/11/10	53.09	53.98	53.01	53.20	4173183	222893040.00
2017/11/13	53.20	53.79	52.30	53.70	4328800	230243936.00
2017/11/14	53.65	53.65	51.01	51.23	4928264	258353824.00
2017/11/15	50.40	50.40	47.80	48.35	5114300	249969552.00
2017/11/16	48.51	51.99	48.51	51.41	5983857	302619744.00
2017/11/17	51.24	51.26	48.00	49.22	4036900	199717584.00
2017/11/20	48.96	49.15	44.30	48.62	3367400	159884256.00
2017/11/21	48.38	50.28	47.69	49.05	3544894	174506016.00
2017/11/22	48.90	49.37	45.58	46.86	3750345	178715072.00
2017/11/23	46.59	46.59	43.76	43.77	3894909	174881952.00
2017/11/24	43.95	44.95	43.13	43.80	2568350	113646624.00
2017/11/27	43.90	46.50	43.60	44.50	3621832	162670512.00
2017/11/28	44.19	45.56	44.00	45.16	2578950	115661216.00
2017/11/29	46.30	47.00	45.31	45.97	4259440	197136864.00
2017/11/30	45.00	45.50	44.25	44.31	3006794	134026192.00
2017/12/01	44.31	45.10	43.40	44.54	2473650	109440640.00
2017/12/04	43.40	44.27	40.80	41.35	3460012	146957664.00
2017/12/05	41.00	41.56	37.35	37.99	3787091	148856016.00
2017/12/06	38.20	39.00	37.50	38.81	2740500	105006672.00
2017/12/07	38.80	38.95	38.01	38.27	1957862	75172432.00
2017/12/08	38.66	40.75	38.07	39.90	3878003	153461600.00
2017/12/11	39.30	40.29	39.30	40.20	2802800	111726240.00
2017/12/12	40.18	40.18	38.22	38.29	2833891	110418416.00
2017/12/13	38.68	38.97	38.25	38.78	1901000	73497008.00
2017/12/14	38.58	38.77	37.58	38.09	2350200	89166056.00
2017/12/15	38.14	39.75	37.83	39.16	3772263	146866768.00
2017/12/18	38.60	38.90	37.37	37.88	2542773	96556288.00
2017/12/19	37.60	38.30	37.60	38.02	1413336	53640396.00
2017/12/20	38.58	38.58	36.18	36.81	2729800	101307232.00
2017/12/21	36.70	38.15	35.31	37.20	3055636	111461840.00
2017/12/22	36.62	37.16	36.52	36.53	1859000	68388976.00
2017/12/25	36.70	37.10	35.55	35.76	1797300	65226856.00
2017/12/26	35.94	37.02	35.42	36.92	2783953	101841744.00
2017/12/27	37.12	37.99	36.82	36.96	3572800	133722440.00
2017/12/28	36.55	38.50	35.76	37.51	3845927	143280624.00
2017/12/29	37.70	38.00	37.11	37.50	2249800	84149048.00
2018/01/02	37.51	38.00	37.33	37.53	1974562	74278304.00
2018/01/03	37.81	40.86	37.53	39.52	6477862	254476400.00
2018/01/04	39.00	39.52	38.36	38.43	4118327	159270528.00
2018/01/05	37.80	38.30	37.51	37.65	2541362	96127664.00
2018/01/08	37.30	38.11	36.50	37.67	2935300	109179760.00
2018/01/09	37.50	37.76	36.70	36.83	1954400	72550256.00
2018/01/10	36.60	37.00	35.65	36.05	1970800	71402000.00
2018/01/11	36.05	36.79	35.96	36.48	1696900	61750020.00
2018/01/12	36.48	36.80	35.94	36.01	1519450	55006468.00
2018/01/15	35.39	36.45	34.81	34.83	2007600	71419200.00
2018/01/16	34.53	35.48	34.52	34.82	1593659	55659988.00
2018/01/17	34.68	38.30	34.68	36.70	5087077	188610656.00
2018/01/18	35.88	37.65	35.61	36.91	4422327	163165344.00
2018/01/19	36.75	39.88	36.75	38.49	6528682	249112912.00
2018/01/22	38.49	39.71	37.40	38.91	5449368	211055376.00
2018/01/23	38.31	40.69	38.00	38.58	5197909	204395808.00
2018/01/24	37.40	39.38	37.11	38.35	4409533	168591584.00
2018/01/25	38.00	38.79	37.50	37.50	3185574	121233832.00
2018/01/26	37.07	38.00	36.20	36.27	2757109	101858752.00
2018/01/29	36.28	36.70	35.58	35.61	1732109	62256200.00
2018/01/30	35.87	36.06	35.51	36.00	1321900	47318408.00
2018/01/31	36.32	38.69	36.17	37.31	4656193	174545600.00
2018/02/01	36.75	37.10	33.58	33.69	3944997	137685168.00
2018/02/02	33.64	33.64	30.32	31.66	2501250	79329672.00
2018/02/05	30.00	31.30	29.01	29.53	2447340	73839216.00
2018/02/06	29.30	29.30	26.58	26.58	2506688	69453496.00
2018/02/07	27.25	27.60	24.89	26.80	2325551	61724304.00
2018/02/08	26.72	27.48	26.05	27.03	1537440	41698512.00
