300657 弘信电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/23	9.32	11.19	9.32	11.19	7248	80447.12
2017/05/24	12.31	12.31	12.31	12.31	1522	18735.82
2017/05/25	13.54	13.54	13.54	13.54	1400	18956.00
2017/05/26	14.89	14.89	14.89	14.89	379	5643.31
2017/05/31	16.38	16.38	16.38	16.38	10324	169107.13
2017/06/01	18.02	18.02	18.02	18.02	15782	284391.63
2017/06/02	19.82	19.82	19.82	19.82	29424	583183.69
2017/06/05	21.80	21.80	21.80	21.80	17122	373259.59
2017/06/06	23.98	23.98	23.98	23.98	18905	453341.91
2017/06/07	26.38	26.38	26.38	26.38	47383	1249963.50
2017/06/08	29.02	29.02	29.02	29.02	108782	3156853.75
2017/06/09	31.92	31.92	31.92	31.92	301939	9637893.00
2017/06/12	35.11	35.11	35.11	35.11	1486309	52184308.00
2017/06/13	38.40	38.62	37.65	38.62	7732663	297023808.00
2017/06/14	38.68	38.80	34.85	35.03	16620433	612125376.00
2017/06/15	37.00	38.53	37.00	38.53	6986592	267265472.00
2017/06/16	40.00	41.77	39.21	39.39	16395786	661458368.00
2017/06/19	38.71	40.89	38.63	39.69	9254481	367457248.00
2017/06/20	39.70	42.86	39.50	40.48	10198365	419441632.00
2017/06/21	40.01	41.88	39.70	41.13	7968641	325984768.00
2017/06/22	41.49	42.26	39.96	40.07	8108546	331345600.00
2017/06/23	39.80	40.86	37.51	39.10	7429089	293557664.00
2017/06/26	38.87	40.80	37.70	40.80	6665091	262308016.00
2017/06/27	41.14	43.95	40.88	41.57	8882196	375032000.00
2017/06/28	41.20	43.10	41.00	42.07	6576198	276756768.00
2017/06/29	41.83	44.50	41.35	44.11	6493113	276875968.00
2017/06/30	44.11	48.52	44.11	47.10	11071495	517214816.00
2017/07/03	47.19	51.81	47.19	51.81	8838917	437363392.00
2017/07/04	54.00	55.30	52.12	54.97	8934658	480353408.00
2017/07/05	54.41	58.66	53.05	55.50	10402149	576770304.00
2017/07/06	55.52	61.05	55.52	61.05	10781301	637021376.00
2017/07/07	60.93	60.99	58.38	60.30	7615886	454704352.00
2017/07/10	58.50	59.50	54.41	56.00	8136811	460508960.00
2017/07/11	56.98	57.85	54.54	55.32	6590124	371600992.00
2017/07/12	55.80	57.97	54.09	57.24	7411063	416967168.00
2017/07/13	56.50	56.87	51.52	51.55	8587101	449564192.00
2017/07/14	51.60	52.55	49.53	50.35	5578059	285231200.00
2017/07/17	49.00	52.88	49.00	50.48	7823436	399629568.00
2017/07/18	50.50	54.35	49.40	53.40	8051255	420996736.00
2017/07/19	52.01	52.58	48.11	51.21	7675361	386386528.00
2017/07/20	50.50	52.20	48.60	48.95	5858074	295945600.00
2017/07/21	48.33	49.84	47.47	47.91	4296790	208962960.00
2017/07/24	47.10	50.34	46.50	49.75	4745767	231286480.00
2017/07/25	49.26	50.59	48.08	48.36	3973985	195696000.00
2017/07/26	48.72	51.79	48.70	50.52	4946144	248905440.00
2017/07/27	50.50	55.57	48.80	55.57	8055785	422855456.00
2017/07/28	55.50	56.00	53.01	53.06	6870423	372388320.00
2017/07/31	53.00	53.85	52.41	53.45	4428065	235319936.00
2017/08/01	53.47	53.85	50.50	51.55	4526255	234153744.00
2017/08/02	51.03	52.25	50.61	50.90	3123651	160192384.00
2017/08/03	50.18	51.80	48.90	48.90	4098112	205435520.00
2017/08/04	48.20	49.29	47.18	47.24	3144509	150779472.00
2017/08/07	47.98	50.55	47.98	49.50	3849696	190451312.00
2017/08/08	48.50	49.87	47.45	49.40	2857018	138955760.00
2017/08/09	48.99	51.50	48.86	49.81	3091143	156366272.00
2017/09/28	54.54	54.54	54.54	54.54	303322	16543182.00
2017/09/29	58.00	59.99	57.57	59.99	9411209	559805824.00
2017/10/09	60.00	62.50	58.85	60.70	8963961	539870400.00
2017/10/10	60.00	63.65	58.91	62.40	7987575	489637728.00
2017/10/11	61.58	62.00	56.30	56.85	6581606	391349696.00
2017/10/12	58.50	60.63	57.05	59.99	5587946	329954304.00
2017/10/13	59.43	60.90	57.00	58.70	4313811	255439328.00
2017/10/16	52.85	53.90	52.83	52.83	5949765	315711072.00
2017/10/17	52.11	53.85	52.11	52.65	2867514	152153344.00
2017/10/18	51.98	54.36	51.47	51.49	2990862	158872816.00
2017/10/19	51.09	52.37	50.15	51.95	2065588	106238576.00
2017/10/20	51.88	54.90	51.60	54.90	3346725	179219712.00
2017/10/23	54.80	55.50	53.88	55.04	2364802	129760184.00
