300677 英科医疗 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/21	26.92	29.36	26.92	29.36	7374	215280.64
2017/07/24	32.30	32.30	32.30	32.30	4678	151099.41
2017/07/25	35.53	35.53	35.53	35.53	4504	160027.13
2017/07/26	39.08	39.08	39.08	39.08	7239	282900.13
2017/07/27	42.99	42.99	42.99	42.99	107964	4641372.50
2017/07/28	46.99	46.99	42.62	43.04	12185095	541899072.00
2017/07/31	41.00	41.45	40.11	40.23	7973588	324000800.00
2017/08/01	40.21	40.98	39.05	40.80	6476474	257316368.00
2017/08/02	40.25	40.80	39.63	39.84	4066787	163192336.00
2017/08/03	39.27	40.46	38.62	40.01	4308528	170963840.00
2017/08/04	39.60	39.88	38.70	38.84	3208548	125405912.00
2017/08/07	38.90	39.54	38.25	38.30	2274956	88564168.00
2017/08/08	38.15	38.42	36.71	36.97	3028712	112842536.00
2017/08/09	36.50	37.37	36.50	36.98	1761821	65165032.00
2017/08/10	36.90	37.14	35.31	35.48	2616732	94333648.00
2017/08/11	35.01	35.29	34.52	34.61	2086785	72850432.00
2017/08/14	35.13	35.50	35.13	35.13	1945729	68716104.00
2017/08/15	35.25	35.98	35.13	35.89	3151780	112498392.00
2017/08/16	36.00	37.75	35.95	37.33	7068964	261504096.00
2017/08/17	37.15	37.21	36.67	36.80	3499494	129169128.00
2017/08/18	36.49	37.00	36.15	36.95	2280425	83582824.00
2017/08/21	37.22	38.46	37.07	38.42	3893046	147068688.00
2017/08/22	38.50	39.60	37.88	38.54	4749820	184156672.00
2017/08/23	38.28	39.48	37.71	39.16	4613116	178261584.00
2017/08/24	38.86	40.38	38.08	38.08	6246869	245382448.00
2017/08/25	37.74	39.99	37.70	39.80	5812038	226886528.00
2017/08/28	40.30	43.78	40.30	43.78	8426145	353604256.00
2017/08/29	44.00	48.10	42.80	44.10	11122597	502966464.00
2017/08/30	43.00	46.80	42.81	45.91	8966588	398733120.00
2017/08/31	45.33	47.79	45.33	46.56	7586993	354000960.00
2017/09/01	46.64	47.00	44.51	44.78	6050539	274696960.00
2017/09/04	44.50	44.53	42.80	43.45	4740873	206126384.00
2017/09/05	43.45	44.30	43.30	43.61	3461034	151611744.00
2017/09/06	42.88	42.89	41.43	42.44	4392404	185020080.00
2017/09/07	42.39	43.44	42.01	42.44	3561869	152890160.00
2017/09/08	42.15	44.46	42.05	43.39	4818605	209736064.00
2017/09/11	43.30	44.80	43.01	44.77	3945541	173942560.00
2017/09/12	44.39	44.75	42.52	42.52	4028035	174751360.00
2017/09/13	42.53	43.81	42.53	43.62	2422549	105086256.00
2017/09/14	43.61	45.08	43.01	44.95	4805153	212796848.00
2017/09/15	44.52	46.00	43.88	44.17	4677760	209514944.00
2017/09/18	43.00	45.00	42.12	44.84	3395786	147446688.00
2017/09/19	44.58	46.55	44.58	45.23	4651575	212258192.00
2017/09/20	45.00	46.88	44.30	46.88	4832199	221939456.00
2017/09/21	46.70	47.53	44.60	44.67	4454297	204385280.00
2017/09/22	44.29	47.47	44.10	47.38	5026094	231443728.00
2017/09/25	47.00	48.24	46.51	46.63	3881817	183320336.00
2017/09/26	46.31	46.76	43.11	43.78	4456873	197983872.00
2017/09/27	43.35	44.67	43.35	44.17	2068957	91168184.00
2017/09/28	44.01	45.31	44.01	44.28	2158396	96262296.00
2017/09/29	44.16	44.68	43.13	43.44	2640485	115357888.00
2017/10/09	44.00	44.17	43.34	43.86	1329112	58203772.00
2017/10/10	43.85	48.25	43.71	48.25	7950115	374616096.00
2017/10/11	50.00	52.58	48.75	50.29	13075928	664001344.00
