300787 海能实业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/08/15	36.08	39.36	36.08	39.36	38628	1518758.13
2019/08/16	43.30	43.30	43.30	43.30	15556	673574.81
2019/08/19	47.63	47.63	47.63	47.63	20100	957363.00
2019/08/20	52.39	52.39	52.39	52.39	71271	3733887.75
2019/08/21	57.63	57.63	57.63	57.63	114351	6590048.00
2019/08/22	63.39	63.39	63.39	63.39	84746	5372049.00
2019/08/23	69.73	69.73	69.73	69.73	65386	4559366.00
2019/08/26	64.00	66.08	62.76	62.76	8526562	542934464.00
2019/08/27	59.99	61.12	58.68	60.31	8254079	494487872.00
2019/08/28	59.00	61.56	58.80	60.65	6241635	376274688.00
2019/08/29	59.70	60.24	55.81	56.00	7721909	445871936.00
2019/08/30	55.39	57.02	53.86	55.70	5906998	326123168.00
2019/09/02	54.50	56.24	54.50	55.72	3874899	215030768.00
2019/09/03	55.90	57.38	55.02	56.99	4857622	274290176.00
2019/09/04	56.50	58.48	56.38	57.56	4893121	281850720.00
2019/09/05	58.00	58.30	56.81	57.65	4596542	264468336.00
2019/09/06	57.70	60.60	57.34	59.33	5568683	328884384.00
2019/09/09	58.90	60.60	58.20	60.52	5010065	298985728.00
2019/09/10	60.52	62.50	59.25	60.03	4709020	285384832.00
2019/09/11	60.87	62.63	60.22	61.11	4927030	302675904.00
2019/09/12	60.51	61.52	58.85	61.46	4458677	267759376.00
2019/09/16	61.14	62.26	60.60	61.48	4090029	251265648.00
2019/09/17	60.80	62.98	60.27	62.50	5629385	348494752.00
2019/09/18	62.50	65.20	61.36	63.91	6217861	393458496.00
2019/09/19	62.98	64.84	61.82	64.75	4565114	288755616.00
2019/09/20	64.63	67.90	61.80	61.95	6742161	437017888.00
2019/09/23	60.10	60.20	57.72	57.83	5119885	300163808.00
2019/09/24	58.06	58.50	57.50	58.20	2907578	168963136.00
2019/09/25	58.00	58.78	55.56	55.96	3700304	211654656.00
2019/09/26	56.02	56.40	53.03	53.11	3208322	174028464.00
2019/09/27	53.10	53.92	52.01	53.60	1821056	97221432.00
2019/09/30	53.62	54.18	52.14	52.15	1642530	87091688.00
2019/10/08	52.08	52.38	50.83	50.92	1915611	98346256.00
2019/10/09	50.75	51.27	50.26	51.23	1275685	64872244.00
2019/10/10	51.23	52.56	51.01	52.33	1742861	90509088.00
2019/10/11	52.02	52.48	51.51	51.88	1493922	77792368.00
2019/10/14	52.49	54.94	52.02	54.14	2706080	145197968.00
2019/10/15	52.99	54.11	52.73	53.64	1987372	106010056.00
2019/10/16	53.63	54.50	51.80	52.20	1770154	94154016.00
2019/10/17	52.20	52.95	51.38	51.90	1252473	65352212.00
2019/10/18	52.01	52.90	51.68	52.21	1370767	71596528.00
2019/10/21	51.78	51.82	46.99	47.37	3302163	157849696.00
2019/10/22	47.21	47.98	47.21	47.85	1710868	81463760.00
2019/10/23	47.70	47.74	47.00	47.48	1443516	68401880.00
2019/10/24	47.46	47.58	46.02	46.51	1485445	69508264.00
2019/10/25	46.51	47.10	46.05	46.95	1077120	50391912.00
2019/10/28	46.60	47.69	46.51	47.63	1395871	66005980.00
2019/10/29	47.75	47.76	45.78	46.09	1632806	75995480.00
2019/10/30	46.09	46.39	45.03	45.26	1053922	47887052.00
2019/10/31	45.22	45.62	42.75	43.02	2185156	95651904.00
2019/11/01	43.36	46.88	43.03	45.55	2280378	101839824.00
2019/11/04	45.50	45.84	44.51	45.20	1708599	77279264.00
2019/11/05	46.00	49.67	45.55	47.90	4129007	197509824.00
2019/11/06	48.77	50.58	48.22	48.75	4749457	234009024.00
2019/11/07	47.98	48.81	46.88	48.36	2993598	143346880.00
2019/11/08	47.78	51.68	47.73	50.57	4910318	245939040.00
2019/11/11	49.81	52.80	49.30	51.33	5135984	262774112.00
2019/11/12	50.40	51.19	48.01	50.49	3899662	193155456.00
2019/11/13	50.00	52.49	49.62	51.31	4234896	216424624.00
2019/11/14	51.59	53.33	51.46	53.25	5435604	285470784.00
2019/11/15	55.00	55.99	49.10	49.20	6338020	334000928.00
2019/11/18	48.00	49.43	47.86	49.28	3432195	166800336.00
2019/11/19	48.78	50.11	48.20	50.11	3216510	158366320.00
2019/11/20	50.02	50.20	48.64	48.69	2885226	142536064.00
2019/11/21	48.17	48.50	46.88	47.14	2514590	119537784.00
2019/11/22	47.40	47.93	45.10	45.75	2635253	122099672.00
2019/11/25	45.99	45.99	44.00	44.65	1605716	71705024.00
2019/11/26	44.65	45.44	44.48	44.90	1263983	56779076.00
2019/11/27	44.70	46.09	43.72	45.58	1817913	82219720.00
2019/11/28	45.60	47.09	45.60	46.93	2380575	110989920.00
2019/11/29	46.20	46.60	45.60	46.43	1703499	78467144.00
2019/12/02	46.43	47.64	46.32	46.86	1684580	79241608.00
2019/12/03	46.85	48.25	46.55	47.40	1842273	87502000.00
2019/12/04	46.51	46.82	45.80	46.41	1719950	79701264.00
2019/12/05	46.59	51.05	46.31	51.05	6382692	319200032.00
2019/12/06	51.06	53.20	50.54	51.30	7838272	404346528.00
2019/12/09	51.14	52.16	50.19	50.55	4415406	225271824.00
2019/12/10	50.16	52.25	50.04	51.89	4563512	234036528.00
2019/12/11	51.09	51.30	49.48	49.90	3819004	191751680.00
2019/12/12	49.72	50.60	49.25	50.48	2869781	143548384.00
2019/12/13	50.75	51.50	50.01	50.93	2983580	151259072.00
2019/12/16	51.74	53.58	51.69	53.14	4481161	236497664.00
2019/12/17	53.00	53.00	51.88	52.50	3626519	190216672.00
2019/12/18	52.30	55.05	52.20	54.75	5520568	296868832.00
2019/12/19	53.87	59.00	53.66	56.95	5529242	311883712.00
2019/12/20	56.45	62.65	56.30	62.65	6410312	385833408.00
2019/12/23	61.01	68.92	61.01	68.92	4712775	311512448.00
2019/12/24	75.00	75.81	65.97	67.90	8736756	625571456.00
2019/12/25	69.00	74.69	67.90	74.69	3997573	284736608.00
2019/12/26	76.81	82.16	76.50	82.16	3699436	296501280.00
2019/12/27	85.88	90.38	84.70	90.38	2580911	225290768.00
2019/12/30	92.48	99.42	82.00	85.72	5317091	485139712.00
2019/12/31	86.06	94.29	86.06	94.29	3501943	318643872.00
2020/01/02	96.00	103.72	93.09	103.72	3676475	361761472.00
2020/01/03	104.50	110.65	93.35	93.35	8213899	823470976.00
2020/01/06	84.02	88.80	84.02	84.02	8331830	705897472.00
2020/01/07	77.50	79.99	75.62	75.73	13045474	1001826816.00
2020/01/08	73.78	75.36	72.60	73.26	7121422	525122720.00
2020/01/09	73.88	74.74	73.50	74.31	4649789	344312544.00
2020/01/10	74.79	74.79	71.80	73.56	5322108	388329600.00
2020/01/13	73.02	73.71	72.05	73.71	3470400	253477456.00
2020/01/14	73.53	74.51	73.00	73.63	3985243	294137632.00
2020/01/15	73.59	76.71	73.10	73.98	5163066	386894976.00
2020/01/16	73.50	73.85	70.51	72.50	5415672	389994784.00
2020/01/17	72.43	72.43	70.10	70.10	3082233	219321376.00
2020/01/20	70.10	70.77	68.30	70.51	3206116	222225328.00
2020/01/21	70.51	70.53	67.50	67.86	2266180	155868896.00
2020/01/22	67.76	69.50	67.76	68.66	2049949	140943968.00
2020/01/23	67.50	68.85	63.17	64.44	2813691	185440304.00
2020/02/03	58.00	58.00	58.00	58.00	285600	16564800.00
2020/02/04	52.20	56.94	52.20	56.09	3162439	174551280.00
2020/02/05	56.30	58.35	56.30	57.89	2654599	152929376.00
2020/02/06	57.96	59.45	57.01	58.88	2524186	147801888.00
2020/02/07	58.88	62.00	58.52	60.24	3194100	192732576.00
2020/02/10	59.60	61.45	59.05	60.93	2298625	138573152.00
2020/02/11	61.00	63.35	59.57	62.82	3599816	222408480.00
