300802 矩子科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/11/14	26.45	31.74	26.45	31.74	79420	2511361.75
2019/11/15	34.91	34.91	34.91	34.91	30212	1054700.88
2019/11/18	38.40	38.40	38.40	38.40	49482	1900108.75
2019/11/19	42.24	42.24	42.24	42.24	48465	2047161.63
2019/11/20	46.46	46.46	46.46	46.46	79052	3672756.00
2019/11/21	51.11	51.11	51.11	51.11	104844	5358577.00
2019/11/22	56.22	56.22	56.22	56.22	123695	6954133.00
2019/11/25	61.84	61.84	61.84	61.84	254916	15764005.00
2019/11/26	68.02	68.02	68.02	68.02	208771	14200603.00
2019/11/27	74.82	74.82	73.00	74.82	6890167	515341696.00
2019/11/28	75.00	77.50	71.45	71.45	17519348	1293438464.00
2019/11/29	65.21	66.49	64.31	64.31	2954440	191762000.00
2019/12/02	59.85	63.50	59.85	61.12	11516088	703087616.00
2019/12/03	59.59	59.99	57.08	57.25	9766017	570055680.00
2019/12/04	56.50	58.37	56.36	57.76	7034160	405498368.00
2019/12/05	57.98	59.85	57.76	58.58	8935935	523460800.00
2019/12/06	57.65	60.37	56.80	59.24	8782398	514218784.00
2019/12/09	59.24	60.49	58.11	59.88	7924400	470210656.00
2019/12/10	59.08	62.44	58.86	60.70	9370698	570946368.00
2019/12/11	60.28	65.99	60.00	63.26	10305985	649161216.00
2019/12/12	62.68	62.68	57.26	57.80	8812244	521217472.00
2019/12/13	58.30	58.71	56.40	56.56	5906773	339668640.00
2019/12/16	57.00	58.36	56.65	58.20	4580235	263956176.00
2019/12/17	59.00	62.00	58.52	60.42	7202668	435882048.00
2019/12/18	60.20	60.37	58.78	59.18	5444211	323904832.00
2019/12/19	59.04	60.40	57.18	57.65	5019130	293799840.00
2019/12/20	57.38	60.38	56.60	59.77	6690317	394633312.00
2019/12/23	58.99	59.30	53.79	53.80	7769143	432605760.00
2019/12/24	53.00	54.18	52.36	53.47	3922445	208211168.00
2019/12/25	53.43	54.02	52.58	53.71	3137456	167323552.00
2019/12/26	53.40	54.50	53.10	53.90	3613276	194500864.00
2019/12/27	54.00	54.88	53.83	54.07	4040111	219504096.00
2019/12/30	52.50	52.94	49.50	50.07	4397019	222036304.00
2019/12/31	50.26	51.88	50.00	50.40	2611731	132916552.00
2020/01/02	50.79	51.94	50.15	51.47	3243000	166104704.00
2020/01/03	51.87	52.75	51.30	51.74	3531138	183871968.00
2020/01/06	50.35	51.74	50.15	51.46	3181904	162441792.00
2020/01/07	51.32	52.24	51.15	52.02	2827368	146397680.00
2020/01/08	51.20	51.79	50.40	50.58	2869303	146617840.00
2020/01/09	51.00	51.97	50.99	51.61	2315501	119272464.00
2020/01/10	51.99	52.23	51.20	51.65	2415552	124947336.00
2020/01/13	51.35	52.25	51.31	52.02	2320456	120509752.00
2020/01/14	52.00	54.20	51.71	53.46	4531454	240557712.00
2020/01/15	53.16	53.67	52.01	52.52	2770156	145539408.00
2020/01/16	52.67	52.70	51.51	51.85	2103916	109321712.00
2020/01/17	51.92	52.39	50.81	50.94	2209501	113992976.00
2020/01/20	50.20	51.40	50.18	51.38	1921442	97546648.00
2020/01/21	51.45	51.45	50.10	50.10	1797929	90908072.00
2020/01/22	49.60	50.99	49.03	50.34	1927040	96176560.00
2020/01/23	49.50	50.91	47.80	48.30	2101734	104055224.00
2020/02/03	43.47	43.47	43.47	43.47	195600	8502732.00
2020/02/04	39.12	41.50	39.12	41.20	2849484	116266160.00
2020/02/05	41.18	42.89	40.64	42.06	2329969	98026600.00
