300803 指南针 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/11/18	7.50	9.00	7.50	9.00	160044	1437021.00
2019/11/19	9.90	9.90	9.90	9.90	24864	246153.59
2019/11/20	10.89	10.89	10.89	10.89	42475	462552.75
2019/11/21	11.98	11.98	11.98	11.98	69286	830046.25
2019/11/22	13.18	13.18	13.18	13.18	156672	2064937.00
2019/11/25	14.50	14.50	14.50	14.50	117689	1706490.50
2019/11/26	15.95	15.95	15.95	15.95	242120	3861814.00
2019/11/27	17.55	17.55	17.55	17.55	198578	3485044.00
2019/11/28	19.31	19.31	19.31	19.31	300406	5800840.00
2019/11/29	21.24	21.24	21.24	21.24	613305	13026598.00
2019/12/02	23.36	23.36	23.36	23.36	264947	6189162.00
2019/12/03	25.70	25.70	25.70	25.70	304903	7836007.00
2019/12/04	28.27	28.27	28.27	28.27	526667	14888876.00
2019/12/05	31.10	31.10	31.10	31.10	3391061	105462000.00
2019/12/06	34.21	34.21	34.21	34.21	2742592	93824072.00
2019/12/09	36.97	37.63	36.04	37.63	31854767	1181112576.00
2019/12/10	38.71	41.39	36.51	39.90	44174976	1709736192.00
2019/12/11	38.85	43.80	38.85	40.30	35576392	1462269056.00
2019/12/12	39.81	41.88	39.11	40.58	27952581	1133938816.00
2019/12/13	42.70	44.20	40.70	41.46	34889061	1484103424.00
2019/12/16	39.47	41.66	38.51	41.45	26396356	1055605952.00
2019/12/17	41.10	45.60	40.76	42.83	33131806	1423550208.00
2019/12/18	43.95	45.46	43.40	44.80	28662349	1271921664.00
2019/12/19	43.49	43.82	41.20	41.50	22444981	955127488.00
2019/12/20	42.00	42.79	39.00	39.18	20689712	851984128.00
2019/12/23	38.78	43.10	38.78	43.10	24702127	1040458496.00
2019/12/24	42.27	43.00	39.10	41.00	23842066	961442496.00
2019/12/25	40.50	41.45	39.40	41.37	17777348	718947776.00
2019/12/26	40.99	42.39	39.90	42.10	18479290	760238592.00
2019/12/27	41.74	44.38	40.26	40.26	23816161	1002989440.00
2019/12/30	39.10	40.19	36.38	38.54	17072006	656460032.00
2019/12/31	38.47	39.20	37.61	37.88	12626857	483494272.00
2020/01/02	39.00	41.18	38.80	39.39	17106588	681249856.00
2020/01/03	39.80	43.00	39.78	41.91	21656490	899803264.00
2020/01/06	41.00	43.20	40.19	42.89	18434920	769328384.00
2020/01/07	43.52	47.18	43.52	47.18	25161956	1165875456.00
2020/01/08	45.88	46.74	44.20	44.90	19333153	877533248.00
2020/01/09	46.39	47.56	44.70	45.71	15730378	726057664.00
2020/01/10	45.68	45.68	42.96	43.51	13048020	572053504.00
2020/01/13	43.20	44.68	42.01	44.60	9525699	413127968.00
2020/01/14	44.70	44.77	43.50	43.52	8218773	361259328.00
2020/01/15	43.00	44.10	42.61	44.00	6373413	278383456.00
2020/01/16	44.00	44.37	43.30	43.90	6218177	272844864.00
2020/01/17	44.03	44.40	42.80	42.80	8152672	355817984.00
2020/01/20	42.03	42.47	41.21	42.35	6461657	271620928.00
2020/01/21	42.00	43.48	41.63	42.49	6968003	296544512.00
2020/01/22	42.43	44.23	41.80	44.22	8509373	368134048.00
2020/01/23	44.00	46.55	41.86	43.33	10490859	467816704.00
2020/02/03	39.00	39.00	39.00	39.00	469400	18306600.00
2020/02/04	35.10	37.50	35.10	36.80	11515299	418078848.00
2020/02/05	36.75	38.46	36.51	37.30	8844059	330784032.00
2020/02/06	37.02	38.56	36.50	37.98	10289749	386668256.00
2020/02/07	37.60	39.48	37.02	38.70	10388619	396529984.00
2020/02/10	39.10	41.50	38.20	41.10	10445003	421156064.00
2020/02/11	40.60	41.05	39.53	39.88	6278006	252026448.00
2020/02/12	39.60	40.88	39.03	40.33	6268245	251184704.00
2020/02/13	40.10	40.74	38.00	39.00	6752012	265135664.00
2020/02/14	39.20	42.90	39.20	41.52	14083217	587179392.00
2020/02/17	42.53	45.67	42.26	45.67	16575735	728658304.00
2020/02/18	45.67	49.75	45.00	47.38	17722749	835703424.00
2020/02/19	46.96	52.12	46.50	52.12	18078039	922567168.00
2020/02/20	52.13	57.33	49.50	57.33	21875905	1187183104.00
2020/02/21	60.00	63.06	58.15	63.06	12637247	780214336.00
2020/02/24	62.00	69.37	59.92	69.37	13309767	891892608.00
2020/02/25	67.34	74.74	62.43	69.29	25282458	1726506240.00
2020/02/26	64.08	65.79	62.36	62.36	12684857	802568064.00
2020/02/27	62.03	64.40	58.20	59.71	12865496	794026240.00
2020/02/28	55.73	56.76	53.74	53.74	12157122	669805888.00
2020/03/02	55.10	59.00	52.35	57.05	14569720	811368448.00
2020/03/03	57.44	62.50	57.44	58.52	13420197	803035712.00
2020/03/04	58.39	64.27	57.06	64.27	14811472	900242368.00
2020/03/05	65.00	69.99	63.88	66.47	16618390	1107584256.00
2020/03/06	64.05	64.33	59.82	59.90	14235969	879288960.00
2020/03/09	56.00	57.78	54.62	54.72	10560946	593350976.00
2020/03/10	54.96	60.19	54.96	60.19	11882239	686649408.00
2020/03/11	60.49	62.99	58.37	58.42	10444364	634617664.00
2020/03/12	58.00	63.85	57.41	62.80	11624739	702112576.00
2020/03/13	58.00	66.57	58.00	64.80	14426617	905684736.00
2020/03/16	64.90	64.92	58.32	58.59	11939653	733146368.00
2020/03/17	60.15	61.66	57.36	60.41	9127486	548929664.00
2020/03/18	61.25	61.87	55.70	55.90	10882245	640673216.00
2020/03/19	55.49	58.34	54.83	57.18	9353914	529300960.00
2020/03/20	57.59	57.90	54.60	55.35	7314635	409139232.00
2020/03/23	52.42	53.61	49.82	49.82	7415044	381088160.00
2020/03/24	51.01	51.80	46.50	51.00	7877702	392468992.00
2020/03/25	52.25	53.14	51.21	51.70	5957217	311153600.00
2020/03/26	51.00	52.50	50.55	50.71	4143620	212860912.00
2020/03/27	51.61	53.15	50.04	51.47	6604244	340905440.00
2020/03/30	49.30	50.19	47.00	48.92	5452032	265495056.00
2020/03/31	49.94	50.15	48.60	49.08	3976355	196781744.00
2020/04/01	48.44	50.60	48.44	49.30	4749721	235673552.00
2020/04/02	49.23	51.50	48.01	51.50	5995989	301146272.00
2020/04/03	51.00	51.28	49.11	49.16	5107823	255324896.00
2020/04/07	51.02	51.64	50.20	51.38	6041768	309222752.00
2020/04/08	50.50	52.17	50.38	50.86	4257296	218094336.00
2020/04/09	52.10	55.94	51.65	53.96	9475681	512781600.00
2020/04/10	54.81	57.00	53.80	54.00	10498220	578624192.00
2020/04/13	53.00	57.40	51.20	57.35	7894316	435280960.00
2020/04/14	57.78	59.88	57.36	58.21	9079413	532492896.00
2020/04/15	57.29	59.01	55.51	55.75	7068500	405608832.00
2020/04/16	54.59	57.17	53.94	56.09	6037327	336227296.00
2020/04/17	56.96	56.99	54.34	54.80	5476689	306284352.00
2020/04/20	54.28	56.06	54.18	54.95	3772335	207975600.00
2020/04/21	54.80	54.90	52.95	53.62	4201864	225856480.00
2020/04/22	53.10	54.22	52.91	54.20	3140114	168606112.00
2020/04/23	54.41	54.43	52.15	52.22	3835279	203262608.00
2020/04/24	52.00	52.79	49.80	50.22	4248520	216855200.00
2020/04/27	50.09	51.12	48.30	48.46	4852527	239752224.00
2020/04/28	48.90	50.96	47.90	49.99	5045034	250796736.00
2020/04/29	49.50	51.20	48.99	50.97	5197664	262391120.00
2020/04/30	52.00	53.98	50.97	53.15	6332299	332771552.00
2020/05/06	51.70	53.66	51.40	53.40	5561449	291725024.00
2020/05/07	53.41	54.75	53.08	53.61	5523131	297836544.00
2020/05/08	54.31	56.99	53.57	55.20	7624201	420578656.00
2020/05/11	55.13	55.85	52.71	53.15	5640776	305351136.00
2020/05/12	53.02	53.89	51.88	53.40	3714348	197017680.00
2020/05/13	52.82	54.58	52.55	54.23	3639244	195092160.00
2020/05/14	53.30	53.75	53.00	53.10	3290589	175394240.00
2020/05/15	53.39	53.89	52.88	52.89	3043203	162251200.00
2020/05/18	52.15	52.85	50.50	51.11	4204576	216735616.00
2020/05/19	51.70	52.30	51.27	51.49	2538373	131054000.00
2020/05/20	51.19	53.14	50.51	52.35	4692678	242903424.00
2020/05/21	52.00	52.79	49.96	50.07	4045725	206266800.00
2020/05/22	49.11	50.50	48.03	48.13	3305103	162421104.00
2020/05/25	48.13	48.64	47.43	47.92	2070862	99302120.00
2020/05/26	48.15	49.50	48.13	49.45	2568376	125718520.00
2020/05/27	49.39	50.70	48.13	49.63	3048219	150361712.00
2020/05/28	49.15	52.30	49.08	51.33	5054569	257696560.00
2020/05/29	50.35	51.18	50.02	50.20	3127142	157845216.00
2020/06/01	52.47	55.22	51.40	55.22	8922860	480794016.00
2020/06/02	55.22	56.40	54.00	54.20	8572972	471714560.00
2020/06/03	54.97	55.58	52.93	53.08	6105402	331592448.00
2020/06/04	52.88	53.89	51.74	52.06	4662273	245167168.00
2020/06/05	52.30	54.28	51.50	54.25	5772526	306861888.00
2020/06/08	54.00	54.45	52.40	52.73	4166714	222620832.00
2020/06/09	52.50	54.80	52.44	54.19	5100991	274997184.00
2020/06/10	53.49	54.53	52.80	53.97	3555299	191206192.00
2020/06/11	53.54	59.37	53.50	55.19	9815845	549150976.00
2020/06/12	53.26	56.50	53.26	55.08	7136144	394562016.00
2020/06/15	55.22	57.25	54.00	54.95	8354546	467504832.00
2020/06/16	56.03	56.72	54.18	55.25	5400268	298867200.00
2020/06/17	55.23	55.25	53.00	53.62	4946276	265802240.00
2020/06/18	53.01	54.69	53.01	53.95	3927510	211409136.00
2020/06/19	54.00	58.00	53.56	56.75	9112111	508822336.00
2020/06/22	56.61	60.36	55.75	57.59	9598965	559131200.00
2020/06/23	57.81	58.80	56.66	57.97	6114074	354387648.00
2020/06/24	58.30	58.69	55.70	55.92	6247268	354167008.00
2020/06/29	54.52	56.00	53.66	54.00	4371324	238784832.00
2020/06/30	54.50	57.81	54.28	56.43	6058334	338770080.00
2020/07/01	56.30	57.09	54.54	57.09	6626897	370047168.00
2020/07/02	56.79	62.25	56.42	61.34	12461265	740639040.00
2020/07/03	61.44	66.15	61.01	64.95	13997731	888994304.00
2020/07/06	67.00	71.10	65.00	70.70	12500852	855412672.00
2020/07/07	69.20	70.70	65.30	67.63	13717550	936235904.00
2020/07/08	67.23	73.66	67.22	71.52	11601160	810315072.00
2020/07/09	70.00	72.50	68.62	70.13	10756801	757294400.00
2020/07/10	68.80	68.80	66.66	66.68	9118225	616310912.00
2020/07/13	66.81	68.94	66.18	67.13	8666644	586700800.00
2020/07/14	66.50	68.16	66.01	67.40	7409050	497125344.00
2020/07/15	67.40	67.98	62.88	63.02	7075393	460771232.00
2020/07/16	63.00	65.17	57.02	58.45	6564541	407117056.00
2020/07/17	59.78	59.78	56.50	57.63	5151926	300708480.00
2020/07/20	58.80	59.63	56.80	58.36	5544457	323029984.00
2020/07/21	58.39	58.60	57.02	57.49	4762649	274447264.00
2020/07/22	57.48	59.34	57.03	57.96	5616607	327757760.00
2020/07/23	57.39	57.58	54.74	56.15	5384693	302416960.00
2020/07/24	56.13	56.95	51.52	51.80	6232284	334282720.00
2020/07/27	52.05	52.25	50.11	50.72	3759570	191881344.00
2020/07/28	51.30	51.80	50.45	50.90	2888550	147012480.00
2020/07/29	50.83	52.88	50.40	52.83	4297817	223907152.00
