300814 中富电路 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/12	29.00	33.19	28.00	30.70	28322819	838606464.00
2021/08/13	27.90	29.39	27.28	28.64	19368702	547230656.00
2021/08/16	28.15	28.35	26.91	27.14	12566942	346237984.00
2021/08/17	26.45	28.09	26.30	27.66	11503002	315325248.00
2021/08/18	27.03	27.36	26.30	26.60	9960934	266518912.00
2021/08/19	26.80	27.99	26.60	27.32	10245360	280965152.00
2021/08/20	26.60	26.68	25.20	25.23	9484408	244233184.00
2021/08/23	25.25	27.47	25.25	27.00	9991785	264063760.00
2021/08/24	26.58	28.80	26.28	27.36	11617088	319587712.00
2021/08/25	27.00	28.49	26.82	26.90	8783294	241601616.00
2021/08/26	27.20	27.46	25.82	25.95	6834089	180826464.00
2021/08/27	25.55	26.35	25.29	26.28	4988239	129131608.00
2021/08/30	26.60	26.63	25.28	25.34	5138639	132682512.00
2021/08/31	25.49	25.49	23.67	24.29	6197267	150587200.00
2021/09/01	23.98	24.77	23.56	24.61	4667053	112579960.00
2021/09/02	24.23	24.96	23.90	24.80	4052093	99474552.00
2021/09/03	24.55	28.70	24.50	26.16	8811296	233639440.00
2021/09/06	25.71	27.45	25.30	26.53	7653476	203240768.00
2021/09/07	26.29	27.10	25.81	26.28	5529498	146640800.00
2021/09/08	26.10	26.95	25.88	26.73	6032790	159821216.00
2021/09/09	26.30	26.30	24.94	25.02	6525042	166288592.00
2021/09/10	24.99	26.18	24.90	25.45	4544950	116011264.00
2021/09/13	25.40	25.55	24.80	24.89	3390710	84847688.00
2021/09/14	25.06	25.88	24.90	25.37	4201949	106978472.00
2021/09/15	24.90	25.24	24.41	25.16	3177343	78987088.00
2021/09/16	24.95	25.44	24.21	24.27	3134084	77475104.00
2021/09/17	24.28	24.74	23.66	24.55	2916990	70610048.00
2021/09/22	23.99	24.77	23.97	24.76	2222949	54539776.00
2021/09/23	24.80	25.40	24.56	24.61	2954697	73759984.00
2021/09/24	24.30	24.48	23.71	23.81	2510509	60250560.00
2021/09/27	24.21	25.25	24.10	24.81	4812949	118807008.00
2021/09/28	24.40	25.81	23.60	25.43	6022224	149598272.00
2021/09/29	24.70	24.97	23.89	23.91	3627044	88887216.00
2021/09/30	23.95	24.60	23.95	24.31	2051962	49846284.00
2021/10/08	24.68	24.87	24.36	24.47	2201064	54086292.00
2021/10/11	24.39	24.50	23.75	24.02	2129912	51119168.00
2021/10/12	23.92	24.00	22.24	22.54	3604935	82890288.00
2021/10/13	22.55	23.80	22.55	23.60	3509303	82281560.00
2021/10/14	23.47	24.60	23.06	23.83	3537684	83951872.00
2021/10/15	23.80	24.31	23.54	23.69	2543252	60844320.00
2021/10/18	23.52	23.75	23.13	23.40	2013890	47054364.00
2021/10/19	25.93	27.10	24.20	24.34	7027906	177427168.00
2021/10/20	23.81	26.80	23.81	25.89	9529206	247082432.00
2021/10/21	25.62	25.74	24.65	25.10	6382130	160019472.00
2021/10/22	24.98	25.57	24.33	24.33	4783845	119623856.00
2021/10/25	23.95	25.39	23.58	25.10	4416842	109730424.00
2021/10/26	24.91	25.31	24.36	24.79	3674745	90986976.00
2021/10/27	24.48	24.54	23.24	23.30	3681900	87271656.00
2021/10/28	23.02	23.64	22.50	22.59	2310368	53112352.00
2021/10/29	22.58	23.28	22.58	22.98	1790058	41237476.00
2021/11/01	22.99	25.22	22.96	24.80	5312532	128620664.00
2021/11/02	25.00	26.51	25.00	25.16	9681180	249875888.00
2021/11/03	25.16	25.69	24.36	24.77	5433554	134905936.00
2021/11/04	24.80	26.39	24.74	25.98	7189098	185351456.00
2021/11/05	27.69	31.18	27.69	28.76	21866411	652863744.00
2021/11/08	27.00	27.74	26.50	27.28	14408232	390721760.00
2021/11/09	27.15	27.95	26.56	27.14	10029399	272804608.00
2021/11/10	26.73	27.45	26.16	26.94	7887151	211717296.00
2021/11/11	26.78	28.45	26.68	28.06	11476779	317664800.00
2021/11/12	27.88	28.88	27.51	28.15	10601504	299179776.00
2021/11/15	28.25	29.25	27.98	28.52	8680511	247636576.00
2021/11/16	28.99	29.15	26.93	27.26	8248250	228946672.00
2021/11/17	26.82	29.28	26.82	28.91	8979616	253854064.00
2021/11/18	28.90	28.91	27.66	27.98	5521385	155480400.00
2021/11/19	27.97	28.44	27.25	27.67	5022181	139704416.00
2021/11/22	28.03	29.18	27.87	28.98	7315676	209196432.00
2021/11/23	28.92	29.20	28.39	28.74	5421609	155684448.00
2021/11/24	29.51	29.88	28.19	28.50	6156209	177199152.00
2021/11/25	29.44	29.49	27.99	28.00	5727763	163894912.00
2021/11/26	28.20	30.39	28.03	28.71	8558723	250193664.00
2021/11/29	28.40	29.60	28.13	29.38	6821818	198259632.00
2021/11/30	29.50	29.58	26.90	27.38	10016674	281598336.00
2021/12/01	27.40	31.40	27.25	29.15	11155426	328692096.00
2021/12/02	29.59	29.77	27.62	27.75	7280862	205792528.00
2021/12/03	27.76	27.87	27.06	27.19	4304204	117590960.00
2021/12/06	27.26	27.33	25.25	25.56	5582697	144191040.00
2021/12/07	25.67	25.72	24.71	25.28	3102464	77862560.00
2021/12/08	25.25	25.63	25.18	25.50	2560420	65122428.00
2021/12/09	25.32	25.65	25.20	25.30	2380272	60465188.00
2021/12/10	25.22	25.62	25.10	25.32	1990190	50471132.00
2021/12/13	25.36	25.65	24.78	25.38	2586555	65020480.00
2021/12/14	25.21	25.72	25.02	25.63	2602444	66410808.00
2021/12/15	25.55	26.17	25.48	25.92	3308382	85528928.00
2021/12/16	25.95	26.49	25.76	26.42	3867404	101227048.00
2021/12/17	26.31	26.32	25.65	25.69	2992703	77741688.00
2021/12/20	25.72	25.88	24.71	24.84	2457336	61524384.00
2021/12/21	24.78	25.23	24.70	24.94	1625455	40402156.00
2021/12/22	25.08	25.50	24.85	25.42	2217240	55951548.00
2021/12/23	25.43	25.53	25.02	25.02	1871056	47215260.00
2021/12/24	25.18	25.22	24.10	24.13	2675924	65404780.00
2021/12/27	24.12	24.35	23.95	24.04	1395032	33699896.00
2021/12/28	24.07	24.44	24.07	24.36	1210432	29320350.00
2021/12/29	24.15	24.57	24.04	24.34	1337446	32542394.00
2021/12/30	24.65	25.40	24.34	25.04	2879764	71589944.00
2021/12/31	25.16	25.19	24.70	24.74	1931978	48077740.00
2022/01/04	24.75	25.10	24.60	24.70	2100984	52131152.00
2022/01/05	24.77	24.80	23.87	23.91	2310204	55694228.00
2022/01/06	23.93	24.24	23.76	24.05	1343752	32252900.00
2022/01/07	23.90	24.18	23.47	23.47	1777604	42322640.00
2022/01/10	23.47	23.68	22.93	23.65	1323411	30934426.00
2022/01/11	23.55	23.97	23.45	23.61	1399005	33207692.00
2022/01/12	23.63	24.32	23.63	23.93	1653141	39508508.00
2022/01/13	23.95	24.00	23.53	23.53	1254696	29687300.00
2022/01/14	23.55	23.79	23.34	23.57	1037707	24511356.00
2022/01/17	23.69	24.11	23.57	24.01	1776312	42569856.00
2022/01/18	24.01	24.14	23.58	23.63	1440500	34215412.00
2022/01/19	23.63	23.74	23.29	23.42	1015344	23853316.00
2022/01/20	23.43	23.48	22.51	22.54	1617645	36931028.00
2022/01/21	22.55	22.73	22.23	22.28	946304	21210428.00
2022/01/24	22.05	22.39	22.04	22.37	682071	15220190.00
2022/01/25	22.20	22.50	20.84	20.84	1764816	38202140.00
2022/01/26	20.87	21.19	20.84	21.05	721700	15178067.00
2022/01/27	21.00	21.21	20.16	20.21	975972	20060808.00
2022/01/28	20.50	20.87	20.30	20.70	885833	18293886.00
2022/02/07	21.18	21.23	20.85	21.07	526800	11067187.00
2022/02/08	21.20	21.28	20.91	21.27	555684	11743375.00
2022/02/09	21.29	22.89	21.05	22.26	2070100	45645196.00
2022/02/10	22.26	22.64	21.84	21.93	1881173	41756792.00
2022/02/11	21.66	22.44	21.33	22.12	1899800	41538408.00
2022/02/14	21.22	21.62	20.95	21.24	2370387	50179940.00
2022/02/15	21.35	21.35	20.81	21.27	1788316	37767872.00
2022/02/16	21.25	21.54	21.20	21.49	1697981	36305724.00
2022/02/17	21.48	22.07	21.28	21.63	2169746	47111660.00
2022/02/18	21.64	21.64	20.90	21.44	1708862	36358800.00
2022/02/21	21.59	22.34	21.59	22.34	2642131	58206824.00
2022/02/22	22.01	23.35	21.89	23.03	5343494	121847720.00
2022/02/23	22.80	23.33	22.60	23.11	3887543	89404360.00
2022/02/24	22.95	23.10	21.80	22.28	3800177	85445080.00
2022/02/25	22.65	22.88	22.35	22.39	1784754	40359356.00
2022/02/28	22.41	22.65	21.99	22.46	1275711	28435312.00
2022/03/01	22.44	22.54	22.23	22.51	1132267	25352930.00
