300831 派瑞股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/05/07	4.78	5.73	4.78	5.73	208079	1188873.63
2020/05/08	6.30	6.30	6.30	6.30	58882	370956.59
2020/05/11	6.93	6.93	6.93	6.93	45548	315647.63
2020/05/12	7.62	7.62	7.62	7.62	71594	545546.25
2020/05/13	8.38	8.38	8.38	8.38	97610	817971.81
2020/05/14	9.22	9.22	9.22	9.22	111349	1026637.75
2020/05/15	10.14	10.14	10.14	10.14	186928	1895449.88
2020/05/18	11.15	11.15	11.15	11.15	472171	5264706.50
2020/05/19	12.27	12.27	12.27	12.27	274440	3367378.75
2020/05/20	13.50	13.50	13.50	13.50	134334	1813509.00
2020/05/21	14.85	14.85	14.85	14.85	176158	2615946.25
2020/05/22	16.34	16.34	16.34	16.34	761191	12437861.00
2020/05/25	17.97	17.97	17.97	17.97	1379560	24790694.00
2020/05/26	19.77	19.77	19.77	19.77	944017	18663216.00
2020/05/27	21.75	21.75	21.75	21.75	1051335	22866536.00
2020/05/28	23.93	23.93	23.93	23.93	616228	14746336.00
2020/05/29	26.32	26.32	26.32	26.32	567265	14930415.00
2020/06/01	28.95	28.95	24.80	26.88	60197301	1611096832.00
2020/06/02	26.26	29.57	26.26	28.28	53455383	1507281536.00
2020/06/03	27.45	28.55	25.55	27.50	44134457	1181126400.00
2020/06/04	27.09	27.13	25.43	25.59	29310624	769153344.00
2020/06/05	25.36	26.29	24.82	24.97	22263851	565417472.00
2020/06/08	24.83	24.85	23.88	23.91	22686896	549832320.00
2020/06/09	24.05	24.61	23.83	24.38	18406444	445273504.00
2020/06/10	23.91	25.20	23.11	24.65	22912631	555007872.00
2020/06/11	24.30	25.20	24.30	24.80	21638715	535968992.00
2020/06/12	24.46	26.97	24.27	26.30	32969789	852962304.00
2020/06/15	25.76	25.98	24.18	24.18	27532346	688121728.00
2020/06/16	24.39	24.82	23.85	23.96	18596288	450439872.00
2020/06/17	23.72	24.19	23.04	23.36	17465968	411907456.00
2020/06/18	23.15	23.85	22.82	23.50	12578280	295573024.00
2020/06/19	23.40	23.47	22.59	22.70	14432341	331092608.00
2020/06/22	22.73	23.79	22.73	23.51	15999032	372974464.00
2020/06/23	23.49	23.74	22.87	22.97	11457314	266154672.00
2020/06/24	22.88	24.65	22.88	23.78	21364829	510860544.00
2020/06/29	23.32	24.60	23.32	24.27	16337825	392949472.00
2020/06/30	24.30	24.58	23.75	24.11	16898500	408628608.00
2020/07/01	24.46	26.52	24.32	24.89	26403572	672363136.00
2020/07/02	24.78	27.38	24.60	27.38	37757410	1011151872.00
2020/07/03	28.05	28.21	25.43	26.13	36728036	973641664.00
2020/07/06	25.86	28.66	25.80	27.79	33751980	918660928.00
2020/07/07	28.98	29.55	27.89	28.05	34253451	983068672.00
2020/07/08	26.80	28.45	26.80	28.17	24822542	683026752.00
2020/07/09	28.00	29.85	27.66	29.45	28000406	805445888.00
2020/07/10	29.77	30.98	28.87	29.57	26311938	787448768.00
2020/07/13	29.51	30.10	29.15	29.87	19158094	567039040.00
2020/07/14	30.28	30.28	26.97	27.57	22559997	636896576.00
2020/07/15	27.00	27.29	25.06	25.27	16192097	424890880.00
2020/07/16	25.34	25.50	22.74	22.82	13477443	321766592.00
2020/07/17	22.80	23.31	22.55	22.98	7730711	177144144.00
2020/07/20	22.95	23.47	22.60	23.39	7059965	163288400.00
2020/07/21	23.57	24.28	23.21	23.63	8596192	203484416.00
2020/07/22	23.33	23.94	23.23	23.48	7085985	167356080.00
2020/07/23	23.13	23.90	22.62	23.35	9190458	214011120.00
2020/07/24	23.17	23.62	21.06	21.08	10506095	233004496.00
2020/07/27	21.10	21.36	20.62	21.08	5961890	125055544.00
2020/07/28	21.19	21.50	20.83	21.20	4416242	93589952.00
2020/07/29	21.26	22.25	20.96	22.15	6747114	145931536.00
2020/07/30	22.00	22.29	21.72	21.80	4943143	108239712.00
2020/07/31	21.90	22.18	21.58	22.05	4688209	102866520.00
2020/08/03	22.05	23.10	22.02	22.96	7696424	173707936.00
2020/08/04	22.90	22.90	22.32	22.55	6376567	144021696.00
2020/08/05	23.20	23.50	22.55	22.61	7510866	171752416.00
2020/08/06	22.25	22.99	22.15	22.26	6718840	150967872.00
2020/08/07	22.21	22.22	20.80	21.16	8125130	173344096.00
2020/08/10	21.03	21.36	20.88	21.27	3587297	75865096.00
2020/08/11	21.30	21.43	20.50	20.54	3952506	82938264.00
2020/08/12	20.47	20.58	19.61	20.08	4704681	94033544.00
2020/08/13	20.12	20.36	19.93	20.00	2537000	50996504.00
2020/08/14	20.00	20.13	19.69	20.03	2636097	52591432.00
2020/08/17	20.03	20.48	20.00	20.47	3073230	62397876.00
2020/08/18	20.40	20.83	20.23	20.28	4081660	83387088.00
2020/08/19	19.95	19.95	19.30	19.40	5397122	105759632.00
2020/08/20	19.27	19.30	18.88	18.90	3440991	65344608.00
2020/08/21	19.19	19.40	18.98	19.12	3278492	62813616.00
2020/08/24	18.93	19.26	17.86	19.18	4944024	92426648.00
2020/08/25	19.18	20.30	19.04	19.72	7628314	150406976.00
2020/08/26	19.50	20.16	19.25	19.31	5843341	114436992.00
2020/08/27	19.11	19.94	18.68	19.81	6176839	119962344.00
2020/08/28	19.81	20.19	19.61	20.01	5040936	100408864.00
2020/08/31	20.03	20.50	19.79	19.80	5976327	120108408.00
2020/09/01	19.54	20.12	19.28	20.05	4085612	81150440.00
2020/09/02	20.30	20.80	19.82	20.44	7932536	161505664.00
2020/09/03	20.26	20.79	20.00	20.28	6864008	139592384.00
2020/09/04	20.22	22.50	20.22	22.24	16419513	356625920.00
2020/09/07	23.76	25.57	22.37	22.57	21926120	526509440.00
2020/09/08	22.30	24.61	22.30	24.57	21760334	521991872.00
2020/09/09	23.42	23.90	22.50	22.50	16908555	391512224.00
2020/09/10	22.59	22.85	19.38	19.66	13681258	283543680.00
2020/09/11	19.11	20.18	18.78	19.67	8245690	160940160.00
2020/09/14	19.90	21.55	19.80	21.55	12646297	264092128.00
2020/09/15	21.60	22.06	20.73	21.55	10680776	228637296.00
2020/09/16	21.33	22.60	20.95	22.52	13398999	295390624.00
2020/09/17	21.90	24.10	21.60	23.23	17009884	388919808.00
2020/09/18	22.99	23.59	22.34	22.50	11348368	258775664.00
2020/09/21	22.49	22.97	21.67	21.71	9064517	200746720.00
2020/09/22	21.32	22.38	21.21	22.32	7972107	174129776.00
2020/09/23	22.28	23.38	22.05	22.93	13062920	298539968.00
2020/09/24	22.20	22.88	21.50	21.50	9316234	206485376.00
2020/09/25	21.91	22.37	20.97	21.06	7140752	153629952.00
2020/09/28	20.93	21.15	19.99	19.99	6275897	128210344.00
2020/09/29	20.26	20.58	20.06	20.41	4339339	88519752.00
2020/09/30	20.50	20.55	20.11	20.11	3587514	72914768.00
2020/10/09	20.62	20.98	20.40	20.75	4534356	93628640.00
2020/10/12	21.00	23.91	20.81	23.91	16756179	380392832.00
2020/10/13	23.40	23.77	22.92	23.35	13817758	322335968.00
2020/10/14	23.26	24.19	22.95	23.49	13534035	317186272.00
2020/10/15	23.15	24.24	23.01	23.14	12255216	290334656.00
2020/10/16	23.16	23.60	22.60	23.20	9588119	221329888.00
2020/10/19	23.02	23.58	22.75	22.84	8164750	188820944.00
2020/10/20	22.81	23.84	22.71	23.60	9837900	230496304.00
2020/10/21	23.67	23.73	22.35	22.46	9836687	225102288.00
2020/10/22	22.15	25.52	21.91	24.24	21604547	519763552.00
2020/10/23	24.10	24.52	23.31	23.34	14355795	343197536.00
2020/10/26	23.19	23.96	22.94	23.70	10907316	256604528.00
2020/10/27	23.60	24.20	22.62	22.91	9527338	220977792.00
2020/10/28	23.00	24.30	22.46	23.72	11724138	274276896.00
2020/10/29	23.01	23.58	22.72	23.00	7889286	182443216.00
