300835 龙磁科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/05/25	24.00	28.80	24.00	28.80	32200	925230.00
2020/05/26	31.68	31.68	31.68	31.68	10548	334160.63
2020/05/27	34.85	34.85	34.85	34.85	7200	250920.00
2020/05/28	38.34	38.34	38.34	38.34	11700	448578.00
2020/05/29	42.17	42.17	42.17	42.17	101200	4267604.00
2020/06/01	46.39	46.39	46.39	46.39	47200	2189608.00
2020/06/02	51.03	51.03	51.03	51.03	38127	1945620.75
2020/06/03	56.13	56.13	56.13	56.13	73300	4114329.00
2020/06/04	61.74	61.74	61.74	61.74	64225	3965251.50
2020/06/05	67.91	67.91	67.91	67.91	91662	6224766.50
2020/06/08	74.70	74.70	74.70	74.70	74271	5548043.50
2020/06/09	82.17	82.17	82.17	82.17	192350	15805400.00
2020/06/10	90.39	90.39	73.95	73.95	2242900	176624016.00
2020/06/11	67.02	73.60	67.02	71.14	8842912	620390720.00
2020/06/12	68.00	72.79	67.70	70.71	6806635	474885984.00
2020/06/15	69.11	72.18	68.31	71.31	6088821	429770560.00
2020/06/16	70.55	74.70	69.01	73.50	6786666	490454144.00
2020/06/17	72.06	72.94	67.01	68.22	6142798	428731808.00
2020/06/18	67.62	69.24	66.40	67.60	3656858	247367456.00
2020/06/19	66.58	67.59	64.01	64.07	4803140	312722656.00
2020/06/22	64.14	64.78	63.53	64.65	2690141	173003904.00
2020/06/23	65.00	67.70	64.51	65.65	3878370	257167792.00
2020/06/24	64.52	64.57	63.18	63.86	3034034	194040512.00
2020/06/29	63.02	63.55	61.04	61.38	2910202	180470240.00
2020/06/30	61.61	62.58	61.61	62.50	2094816	130362224.00
2020/07/01	62.50	67.80	62.01	66.50	5358842	347891872.00
2020/07/02	65.17	65.47	64.11	65.10	3441126	223136256.00
2020/07/03	64.50	66.60	64.50	64.87	3209190	210179744.00
2020/07/06	64.88	66.70	64.18	66.62	3868445	254455888.00
2020/07/07	67.25	73.20	65.53	69.52	5926557	407105344.00
2020/07/08	69.48	75.40	68.99	73.06	6052064	437702816.00
2020/07/09	71.02	75.00	71.02	73.81	5914370	430092032.00
2020/07/10	73.69	76.27	72.78	74.42	5113631	381882816.00
2020/07/13	74.32	75.79	71.61	75.79	4500764	332454880.00
2020/07/14	75.10	81.85	74.50	80.27	5482722	421375648.00
2020/07/15	79.00	79.56	72.24	72.24	4562458	344207488.00
2020/07/16	73.22	77.38	68.68	68.75	4048537	297555264.00
2020/07/17	66.89	68.17	62.57	64.06	3450150	223328272.00
2020/07/20	64.20	66.66	63.00	66.00	2503682	163655568.00
2020/07/21	65.80	66.28	63.65	64.10	2207867	143210944.00
2020/07/22	64.00	64.85	63.55	64.02	1871040	120191040.00
2020/07/23	65.49	70.42	64.12	70.42	3259779	222113280.00
2020/07/24	72.53	77.30	70.11	70.20	7674720	566493696.00
2020/07/27	66.88	68.80	64.02	64.73	4071203	268248976.00
2020/07/28	65.14	71.00	65.03	67.22	4074675	276096512.00
2020/07/29	66.33	68.50	65.00	68.06	3195107	213974160.00
2020/07/30	68.10	72.48	66.66	71.91	4267357	297945696.00
2020/07/31	70.58	71.38	69.20	70.88	3117503	219959824.00
2020/08/03	70.98	72.95	69.70	72.27	3450353	246914240.00
2020/08/04	72.10	74.40	70.25	74.26	4614354	332777888.00
2020/08/05	73.05	79.60	72.60	76.35	5736296	436126208.00
2020/08/06	74.12	75.40	72.00	72.10	4334975	318897024.00
2020/08/07	71.00	75.48	70.51	73.56	4077691	299180832.00
2020/08/10	72.01	72.85	66.80	67.19	3923703	271005792.00
2020/08/11	66.90	68.69	66.13	66.40	2025466	136505280.00
2020/08/12	66.00	67.40	64.55	67.38	1985332	130800456.00
2020/08/13	66.79	67.78	66.40	67.73	1453634	97607880.00
2020/08/14	67.80	68.38	66.70	67.33	1081174	73069416.00
2020/08/17	66.90	68.33	66.03	68.26	1409624	95015168.00
2020/08/18	68.25	68.88	67.38	67.78	1537000	104676056.00
2020/08/19	67.68	68.98	66.22	66.41	1445883	98217320.00
2020/08/20	65.39	65.40	59.77	60.22	2549783	156243904.00
2020/08/21	60.68	60.85	58.60	58.87	1957983	116795736.00
2020/08/24	58.35	58.35	53.85	57.95	1874081	106033216.00
2020/08/25	57.79	62.94	57.35	60.72	2360283	142348864.00
2020/08/26	60.52	60.74	56.60	57.16	1668900	97783408.00
2020/08/27	57.10	58.67	56.78	57.96	1187300	68425408.00
2020/08/28	57.88	61.28	56.85	59.53	1765700	104738752.00
2020/08/31	59.20	60.58	58.83	58.92	1176600	70012168.00
2020/09/01	59.24	61.99	59.00	60.92	1815810	110543960.00
2020/09/02	60.92	61.67	59.69	61.14	1547010	93966016.00
2020/09/03	61.10	61.10	58.28	59.00	1343911	79659376.00
2020/09/04	57.00	59.28	57.00	59.12	752100	44087520.00
2020/09/07	59.99	61.88	58.80	59.91	1498000	91011160.00
2020/09/08	60.10	64.10	60.09	61.95	2023411	125530128.00
2020/09/09	61.88	62.20	58.40	60.10	1734300	104350960.00
2020/09/10	60.21	62.00	55.19	55.19	1652100	95527024.00
2020/09/11	54.51	56.70	54.01	55.65	951200	52409132.00
2020/09/14	55.80	57.66	55.60	56.94	933200	52878860.00
2020/09/15	57.20	59.36	56.48	57.52	1154400	66617512.00
2020/09/16	56.67	58.70	56.06	58.39	1280600	73651592.00
2020/09/17	57.80	60.02	57.61	59.80	1741500	103317888.00
2020/09/18	59.02	59.63	58.35	58.95	1169200	68797696.00
2020/09/21	59.00	60.30	58.09	58.98	1176600	69622000.00
2020/09/22	58.00	58.00	55.98	56.06	1251703	71217600.00
2020/09/23	57.55	60.20	57.50	58.19	1929300	113595720.00
2020/09/24	57.00	60.48	57.00	57.20	1880400	110893368.00
2020/09/25	56.78	57.21	54.03	54.25	1782800	98244960.00
2020/09/28	54.01	54.79	52.21	52.77	932100	49381628.00
2020/09/29	53.00	53.27	52.31	52.47	665900	35087584.00
2020/09/30	53.00	53.07	51.40	51.71	597700	31156724.00
2020/10/09	52.01	53.48	52.01	53.47	720110	38200112.00
2020/10/12	54.00	54.88	53.58	54.82	1009400	54888008.00
2020/10/13	54.83	55.38	54.00	54.76	926242	50635964.00
2020/10/14	54.60	55.69	54.10	55.13	871400	47893472.00
2020/10/15	55.35	56.20	54.00	54.41	1117642	61522152.00
2020/10/16	54.41	54.42	52.99	53.50	879000	47024980.00
2020/10/19	53.70	54.80	53.25	53.70	700800	37834824.00
2020/10/20	53.75	54.91	52.80	54.89	803442	43477620.00
2020/10/21	54.64	58.87	54.41	56.62	1928700	108830392.00
2020/10/22	56.00	57.64	55.50	57.21	1337500	76193440.00
2020/10/23	57.29	59.50	56.84	58.13	2262342	131815472.00
2020/10/26	57.86	58.77	55.50	56.80	1731200	99131696.00
2020/10/27	56.80	59.45	56.50	56.84	1712742	98984480.00
2020/10/28	56.98	59.77	56.85	59.20	2664700	155780640.00
2020/10/29	57.70	58.10	56.52	56.86	1842400	105255400.00
2020/10/30	56.75	57.66	54.03	54.18	1599300	89245408.00
2020/11/02	53.68	54.15	51.80	52.76	1064242	56051096.00
2020/11/03	53.00	63.31	52.68	63.31	3720997	222678160.00
2020/11/04	69.06	69.88	63.38	64.50	7354669	486876544.00
2020/11/05	61.66	65.60	61.38	62.03	4495880	282348512.00
2020/11/06	63.60	68.37	61.90	64.85	6038124	394653024.00
2020/11/09	63.22	69.70	63.22	67.00	5339494	353853216.00
2020/11/10	66.99	67.00	61.66	63.82	3729112	236049344.00
2020/11/11	62.80	67.99	62.50	65.96	4502579	294336704.00
2020/11/12	64.67	66.18	62.88	66.12	3391559	217847216.00
2020/11/13	64.96	76.58	64.64	69.97	6650720	469795744.00
2020/11/16	67.26	73.48	66.00	70.91	5708171	400476544.00
2020/11/17	68.40	69.19	64.00	64.91	4756448	316840224.00
2020/11/18	64.07	70.87	63.40	69.00	4218519	279765472.00
2020/11/19	67.38	69.30	65.20	66.15	3045448	203573776.00
2020/11/20	65.70	69.66	64.66	67.99	3416400	230290160.00
2020/11/23	68.02	72.53	68.01	68.81	4832000	339711936.00
2020/11/24	67.52	77.00	67.51	74.35	6880006	501377312.00
2020/11/25	72.10	75.63	70.60	70.86	5551509	404091712.00
2020/11/26	71.00	74.10	68.30	73.00	4359778	311354752.00
2020/11/27	71.55	72.17	68.63	69.00	2924309	204869008.00
2020/11/30	68.00	70.55	64.79	64.79	3130119	212613888.00
2020/12/01	64.22	66.60	62.23	65.08	2888303	184876688.00
2020/12/02	64.00	65.30	62.71	62.78	2404600	153289072.00
2020/12/03	62.70	62.90	60.88	62.27	1826400	113009344.00
2020/12/04	62.27	64.15	61.93	63.31	1719999	108548464.00
