300862 蓝盾光电 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/08/24	70.00	70.00	55.55	64.68	15919797	998215104.00
2020/08/25	62.00	88.18	60.00	79.37	17916704	1251601408.00
2020/08/26	76.00	93.60	73.11	82.91	18602042	1535427968.00
2020/08/27	87.73	92.00	71.15	72.90	17024679	1415195392.00
2020/08/28	67.91	68.80	59.20	59.35	14293118	908772736.00
2020/08/31	58.80	59.88	56.44	57.51	8573054	497729376.00
2020/09/01	56.60	59.60	55.56	56.56	7917643	453470880.00
2020/09/02	56.84	56.84	54.00	55.28	6635607	365672032.00
2020/09/03	55.28	55.45	51.22	51.37	7195913	382974304.00
2020/09/04	49.99	53.50	49.52	52.20	5393462	278735648.00
2020/09/07	51.66	52.35	50.27	50.48	4640128	237466160.00
2020/09/08	50.76	51.97	50.20	50.34	3565106	181392416.00
2020/09/09	49.88	49.88	47.03	47.58	5368412	258963616.00
2020/09/10	48.03	48.44	41.96	41.96	5877938	263471680.00
2020/09/11	41.06	45.99	40.50	44.77	5548187	241543184.00
2020/09/14	44.79	46.80	44.16	46.47	5228233	238638272.00
2020/09/15	46.11	49.60	45.20	47.21	6787128	322480544.00
2020/09/16	46.60	56.65	45.44	56.65	12186968	628143936.00
2020/09/17	58.50	66.30	54.01	57.53	17158413	1045070208.00
2020/09/18	55.02	65.96	55.02	60.37	12817752	772884160.00
2020/09/21	58.02	62.00	56.65	60.43	10099309	594120128.00
2020/09/22	57.00	58.83	52.70	54.10	8692991	489726656.00
2020/09/23	54.01	56.79	53.52	54.79	6252792	346157440.00
2020/09/24	54.48	60.60	53.65	57.21	10168210	584098112.00
2020/09/25	56.00	58.48	53.00	54.43	6923582	384423552.00
2020/09/28	54.09	54.86	50.20	51.00	5292284	275357536.00
2020/09/29	51.38	54.87	50.18	52.84	6047358	320860096.00
2020/09/30	52.00	53.44	50.30	50.50	5078816	262599664.00
2020/10/09	51.59	54.19	50.59	53.51	5061750	267101936.00
2020/10/12	53.98	57.48	53.52	56.40	6777937	375453312.00
2020/10/13	56.00	56.39	54.15	55.23	5801974	320089856.00
2020/10/14	55.91	59.43	55.49	58.31	9858238	566140352.00
2020/10/15	56.82	59.40	54.13	59.29	7667523	433717824.00
2020/10/16	57.96	60.56	56.24	56.52	6715748	392270432.00
2020/10/19	58.00	58.66	55.35	55.55	4518793	257005200.00
2020/10/20	54.05	59.66	53.53	58.80	7609078	436055968.00
2020/10/21	58.30	61.98	57.30	60.15	10335400	615217152.00
2020/10/22	58.01	61.44	56.36	56.60	7977669	468870944.00
2020/10/23	56.06	58.36	55.58	56.30	5444850	309623936.00
