300877 金春股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/08/24	48.00	61.24	48.00	58.80	16462397	884717632.00
2020/08/25	65.00	104.00	65.00	104.00	19668112	1493557376.00
2020/08/26	90.61	103.00	85.00	85.40	17190295	1578803200.00
2020/08/27	81.60	84.99	71.12	71.41	11639283	886891840.00
2020/08/28	69.97	73.99	63.41	68.00	10138248	695365568.00
2020/08/31	68.00	69.98	65.46	68.20	7128871	485560064.00
2020/09/01	66.90	67.29	61.82	62.15	8454597	545404416.00
2020/09/02	61.30	63.20	60.01	61.06	5910475	364052320.00
2020/09/03	62.00	63.78	58.28	58.58	6218572	380131328.00
2020/09/04	56.60	59.65	56.13	57.88	5326465	305915968.00
2020/09/07	56.80	57.54	55.30	55.80	4958672	279283648.00
2020/09/08	55.50	56.78	53.73	53.81	4510413	247717664.00
2020/09/09	52.98	53.86	49.71	49.75	4963565	255848864.00
2020/09/10	50.59	50.88	48.02	48.22	3947842	195960816.00
2020/09/11	48.05	55.59	47.07	55.18	7955694	413691584.00
2020/09/14	54.00	57.99	53.81	57.20	8481591	477465152.00
2020/09/15	56.15	62.77	54.50	57.93	9726558	568757120.00
2020/09/16	56.61	64.97	55.51	62.86	11141240	670951360.00
2020/09/17	60.98	66.30	58.70	59.72	12511484	784621760.00
2020/09/18	58.00	60.50	56.03	57.07	6316911	365025472.00
2020/09/21	57.25	61.30	56.35	60.30	6328236	374658464.00
2020/09/22	58.70	63.50	58.48	61.42	7635553	471602048.00
2020/09/23	61.43	64.00	60.28	62.00	7022930	438129984.00
2020/09/24	62.35	74.40	61.85	74.40	11950514	817680704.00
2020/09/25	76.92	78.90	66.90	67.99	13482208	956906944.00
2020/09/28	66.01	66.88	60.10	61.85	8580768	546396672.00
2020/09/29	62.56	63.06	58.22	58.39	6393134	381248704.00
2020/09/30	57.81	60.95	57.81	58.29	5365607	318783552.00
2020/10/09	59.84	66.41	59.21	64.34	7849764	493948288.00
2020/10/12	65.06	67.95	65.01	66.50	7822641	517091904.00
2020/10/13	66.33	68.95	65.16	67.30	7058600	474250208.00
2020/10/14	66.50	80.01	66.46	73.08	12566442	943980288.00
2020/10/15	71.50	85.85	69.00	79.25	13877258	1053535040.00
2020/10/16	76.28	78.99	73.81	75.70	9956884	761085312.00
2020/10/19	76.01	83.00	74.00	74.09	9410085	732382208.00
2020/10/20	71.09	77.56	71.07	76.81	8276259	616422080.00
2020/10/21	76.66	79.30	73.00	75.50	8762282	668745536.00
2020/10/22	73.01	75.38	70.51	70.95	6513816	476035744.00
2020/10/23	71.85	73.50	68.70	70.10	5424009	385035360.00
2020/10/26	70.18	74.98	69.19	73.89	5933126	431085312.00
2020/10/27	72.80	73.88	70.58	73.01	4435927	321008480.00
2020/10/28	73.10	74.10	71.85	72.76	4193571	306260640.00
2020/10/29	71.50	74.86	70.85	71.10	5631635	410043392.00
2020/10/30	70.92	70.92	61.05	62.67	7063630	462941856.00
2020/11/02	62.99	64.20	62.35	64.02	3097204	195995104.00
2020/11/03	64.02	64.87	63.04	64.07	2800557	179476688.00
2020/11/04	64.08	65.18	61.50	63.15	3474224	219158784.00
2020/11/05	63.88	65.49	63.21	65.29	3948004	254764208.00
2020/11/06	65.45	65.66	62.23	63.14	3157942	200717888.00
2020/11/09	63.54	65.35	62.92	64.71	3211957	206319888.00
2020/11/10	64.50	65.01	62.21	62.76	2959890	186847840.00
2020/11/11	62.72	63.18	60.41	60.73	2532299	156113280.00
2020/11/12	60.61	61.00	58.58	59.63	2492117	148633536.00
2020/11/13	59.64	61.88	59.64	61.33	2309553	141049264.00
2020/11/16	62.53	65.00	62.06	63.20	4354439	276789344.00
2020/11/17	63.01	63.35	60.50	61.66	3021583	185989840.00
2020/11/18	61.03	61.44	59.80	60.19	2291400	138370464.00
2020/11/19	60.20	61.78	59.01	61.08	2466177	149586176.00
2020/11/20	60.23	60.60	59.01	59.21	2344619	139804976.00
2020/11/23	59.56	62.24	59.28	61.05	3614335	221064000.00
2020/11/24	60.49	60.88	59.30	59.39	2439696	146177808.00
2020/11/25	59.70	59.90	57.01	58.65	2770560	161336448.00
2020/11/26	57.99	59.27	57.50	57.67	1453564	84678816.00
