300919 中伟股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/12/23	76.10	88.88	75.00	85.00	28741766	2347355648.00
2020/12/24	86.00	93.88	82.10	82.88	21542962	1877846272.00
2020/12/25	78.50	87.30	78.00	86.12	15745749	1308116608.00
2020/12/28	85.00	85.00	75.80	76.93	14551810	1161524608.00
2020/12/29	75.90	75.96	68.79	73.25	11928953	860984640.00
2020/12/30	72.00	79.68	71.80	75.18	9750420	749942656.00
2020/12/31	72.93	82.40	72.25	81.72	10393645	810563904.00
2021/01/04	86.88	97.00	85.88	93.60	12145353	1098702720.00
2021/01/05	91.00	92.77	86.01	88.15	11487173	1027268288.00
2021/01/06	88.15	94.53	84.82	90.37	10433787	934695552.00
2021/01/07	90.10	96.50	87.58	93.65	10165029	941475392.00
2021/01/08	99.90	103.80	94.58	95.86	9957202	973363328.00
2021/01/11	97.00	97.00	84.50	84.50	10928863	981175488.00
2021/01/12	82.90	89.12	82.30	86.69	6966674	603837696.00
2021/01/13	87.05	92.26	86.58	88.01	7833197	703356224.00
2021/01/14	85.00	91.37	83.62	86.14	5488983	478735840.00
2021/01/15	85.20	92.88	84.80	91.10	6930385	616161664.00
2021/01/18	89.88	91.94	88.10	91.94	5372173	481756736.00
2021/01/19	91.01	95.50	86.80	87.00	6541650	599122112.00
2021/01/20	86.54	91.40	86.36	90.57	5532648	494581696.00
2021/01/21	96.00	97.48	89.88	90.33	6567200	609823680.00
2021/01/22	88.58	94.80	87.20	94.68	7382885	668200064.00
2021/01/25	93.00	101.00	92.00	96.00	8092140	783818816.00
2021/01/26	96.08	99.01	93.38	96.20	4789764	458535168.00
2021/01/27	98.39	99.95	91.00	92.40	6344669	599242176.00
2021/01/28	89.70	89.88	83.13	83.58	6057778	527297472.00
2021/01/29	84.00	85.50	78.18	81.52	5022232	410783936.00
2021/02/01	81.54	85.28	80.00	85.00	3831673	318533824.00
2021/02/02	84.03	86.50	82.65	84.22	3907453	330653184.00
2021/02/03	84.26	86.20	80.17	81.00	3639908	304190496.00
2021/02/04	80.01	80.55	72.00	73.65	6259402	467726624.00
2021/02/05	74.08	74.88	70.15	70.27	3955348	285336800.00
2021/02/08	70.51	71.60	68.68	69.67	2913902	205284960.00
2021/02/09	70.03	82.90	69.16	78.88	6464520	496157760.00
2021/02/10	78.70	80.50	77.21	79.36	3201101	252223504.00
2021/02/18	81.71	82.00	74.45	74.82	5806795	446538240.00
2021/02/19	73.37	75.66	72.38	75.26	3401178	251795552.00
2021/02/22	75.90	78.30	73.50	75.74	4918109	374949120.00
2021/02/23	73.93	74.10	71.50	72.15	3582138	259957104.00
2021/02/24	72.00	73.69	71.00	72.13	2576784	186262608.00
2021/02/25	72.27	72.98	69.76	70.30	2703425	192848192.00
2021/02/26	68.00	68.69	66.00	67.60	3572509	240335472.00
2021/03/01	68.88	73.00	68.34	71.10	2912761	207046864.00
2021/03/02	71.13	71.68	69.58	70.43	1829659	128410872.00
2021/03/03	70.22	73.50	70.01	73.42	2952909	213599840.00
2021/03/04	71.99	71.99	70.50	71.00	2373971	168947056.00
2021/03/05	70.37	71.87	69.07	71.13	1449649	102485184.00
2021/03/08	71.83	72.20	68.60	69.50	2399681	168442912.00
2021/03/09	69.00	71.56	66.03	69.79	2726441	189323056.00
2021/03/10	72.22	72.88	68.30	68.79	1983788	140579504.00
2021/03/11	67.31	70.00	67.23	69.82	2167783	149426512.00
2021/03/12	70.01	71.00	67.32	67.45	2414104	165897792.00
2021/03/15	66.54	68.80	66.06	66.88	1867303	126145664.00
2021/03/16	67.25	68.19	66.73	67.75	1922837	130074568.00
2021/03/17	67.62	72.45	67.02	71.20	4048065	286910848.00
2021/03/18	70.99	74.10	70.16	73.30	3600275	259941968.00
2021/03/19	71.68	75.00	71.16	72.89	2058623	150571424.00
2021/03/22	73.55	79.97	73.55	77.30	3937387	299966944.00
2021/03/23	81.39	82.50	78.00	78.01	4870074	391203520.00
2021/03/24	76.51	82.00	76.44	78.87	4319379	344447808.00
2021/03/25	78.02	81.68	77.60	77.90	2902988	230819776.00
2021/03/26	77.01	82.86	77.00	81.68	3771088	303343328.00
