300991 创益通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/05/20	56.00	57.00	50.10	51.69	15250164	820594752.00
2021/05/21	45.47	51.18	44.12	44.24	11799723	547193152.00
2021/05/24	42.22	44.80	41.15	42.70	8000162	342398080.00
2021/05/25	42.36	42.78	39.58	39.92	8783398	355162592.00
2021/05/26	39.80	40.98	39.07	39.65	6698031	266549856.00
2021/05/27	39.27	39.50	38.45	38.61	5864527	227741136.00
2021/05/28	38.55	38.96	36.87	37.36	4838148	185310624.00
2021/05/31	37.10	37.95	37.10	37.81	3456745	129653448.00
2021/06/01	37.65	38.42	37.26	38.26	3428023	130209608.00
2021/06/02	38.30	38.31	37.27	37.45	3409443	128474848.00
2021/06/03	37.64	39.48	37.27	39.41	6663468	259324400.00
2021/06/04	39.09	39.38	37.66	37.90	4169588	159020912.00
2021/06/07	37.60	37.88	36.87	37.05	2815303	104559464.00
2021/06/08	36.86	37.33	36.67	37.30	2350626	86972016.00
2021/06/09	37.10	37.58	36.80	37.42	2034779	75725408.00
2021/06/10	37.21	37.30	36.85	36.85	2319460	85820024.00
2021/06/11	36.75	38.00	36.73	37.99	3565257	133788536.00
2021/06/15	38.70	42.00	38.69	39.01	6808691	273600928.00
2021/06/16	37.78	37.99	36.78	36.95	4159135	154414624.00
2021/06/17	37.04	37.04	35.23	35.69	3485829	124294464.00
2021/06/18	35.60	36.55	35.35	35.97	2229253	80406496.00
2021/06/21	35.58	36.46	35.30	36.24	2026610	73022400.00
2021/06/22	36.11	36.86	36.11	36.60	2195377	80070408.00
2021/06/23	36.58	36.90	36.10	36.43	2000878	73022224.00
2021/06/24	36.25	36.38	35.42	35.75	2053236	73286544.00
2021/06/25	35.75	36.49	35.60	36.13	1682028	60705568.00
2021/06/28	35.80	36.77	35.80	36.28	1691636	61396932.00
2021/06/29	36.00	36.44	35.29	35.35	1727464	61881384.00
2021/06/30	35.66	36.27	35.50	36.16	1487323	53492020.00
2021/07/01	36.70	37.97	35.51	35.56	2629222	96750616.00
2021/07/02	35.06	35.56	33.78	33.98	2482281	85043304.00
2021/07/05	34.06	34.30	33.73	34.25	1197185	40642804.00
2021/07/06	34.31	34.67	33.73	34.53	1385322	47405152.00
2021/07/07	34.50	35.18	34.07	35.00	1639359	57198896.00
2021/07/08	35.18	35.38	34.13	34.13	1594190	55090792.00
2021/07/09	34.21	34.49	33.97	34.40	962458	32976198.00
2021/07/12	34.45	34.96	34.40	34.68	1116571	38755820.00
2021/07/13	34.41	35.10	33.82	34.95	2067274	71012568.00
2021/07/14	34.60	35.25	34.40	35.16	1858015	64720880.00
2021/07/15	34.72	34.97	33.93	34.06	1483098	50772700.00
2021/07/16	34.10	34.42	33.73	33.78	1035645	35205916.00
2021/07/19	33.88	33.88	32.41	33.16	1531105	50444704.00
2021/07/20	33.26	34.10	33.12	33.45	1062011	35659436.00
2021/07/21	33.43	33.69	33.21	33.34	937128	31324022.00
2021/07/22	33.49	33.52	32.88	32.98	944780	31248942.00
2021/07/23	33.58	33.95	32.97	32.98	1211981	40486748.00
2021/07/26	32.45	32.95	31.26	31.45	1470545	46801032.00
2021/07/27	31.49	32.95	31.41	32.28	1642260	52854752.00
2021/07/28	32.16	36.66	31.90	34.50	4264085	146182832.00
2021/07/29	34.40	35.50	33.50	35.13	4129825	143472608.00
2021/07/30	34.18	34.65	33.16	33.70	2787112	93922272.00
2021/08/02	33.50	34.53	33.46	34.53	1955908	66370412.00
2021/08/03	35.00	35.44	34.42	34.88	1970335	68576640.00
2021/08/04	34.35	35.39	34.35	35.12	2028346	71075336.00
2021/08/05	34.88	34.97	34.07	34.67	1494199	51402952.00
2021/08/06	35.13	36.55	34.86	34.86	2775861	98967784.00
2021/08/09	34.06	34.25	33.20	34.22	1700485	57413544.00
2021/08/10	33.96	34.47	33.61	34.17	1244270	42428592.00
2021/08/11	34.21	34.38	33.64	34.10	1143290	38751608.00
2021/08/12	34.18	36.32	34.16	36.27	4123657	146685456.00
2021/08/13	36.25	37.50	35.33	36.72	3625042	131616288.00
2021/08/16	36.85	38.83	35.82	38.14	4654504	174414032.00
2021/08/17	37.79	39.79	37.40	38.48	4866901	188653808.00
2021/08/18	37.79	39.43	36.16	37.09	3638682	136722336.00
2021/08/19	37.09	37.81	36.35	36.81	2274340	83933448.00
2021/08/20	37.00	37.08	35.28	35.98	1946243	69615680.00
2021/08/23	36.10	37.85	36.08	37.82	2663461	98904016.00
2021/08/24	37.82	38.00	37.04	37.50	2198566	82317296.00
2021/08/25	37.49	38.45	37.08	38.41	2573347	97705456.00
2021/08/26	38.00	38.38	36.22	36.38	2765257	102046952.00
2021/08/27	36.27	38.95	35.66	38.28	3483409	130306312.00
2021/08/30	38.20	39.77	37.01	37.10	3401183	130443232.00
2021/08/31	37.16	39.33	36.27	39.00	3699400	141054224.00
2021/09/01	38.18	40.35	37.66	38.23	3170262	122398768.00
2021/09/02	37.96	39.20	37.50	39.08	2878482	110690152.00
2021/09/03	39.10	40.99	38.31	38.40	3653191	143914336.00
2021/09/06	37.73	38.44	37.05	38.25	2143842	81203632.00
2021/09/07	38.25	38.37	37.53	37.83	2122688	80332016.00
2021/09/08	37.83	38.15	36.59	36.62	2249344	83347840.00
2021/09/09	36.52	37.07	35.84	35.93	1560390	56730588.00
2021/09/10	35.92	36.26	35.03	35.20	1733863	61476724.00
2021/09/13	35.31	35.33	34.36	34.64	1164853	40344608.00
2021/09/14	34.84	35.35	34.52	34.73	994697	34743632.00
2021/09/15	34.63	35.50	34.60	35.20	1003049	35341276.00
2021/09/16	35.00	35.17	33.71	33.76	1372025	47151368.00
2021/09/17	33.80	34.39	33.14	33.85	692765	23309316.00
2021/09/22	33.34	34.29	33.34	33.97	481047	16340474.00
2021/09/23	33.86	34.31	33.86	34.08	542013	18496374.00
2021/09/24	34.20	34.20	33.00	33.05	713869	23904562.00
2021/09/27	33.01	33.25	31.52	32.23	755197	24470760.00
2021/09/28	32.47	32.47	31.74	31.87	414225	13244088.00
2021/09/29	31.93	32.30	31.51	31.56	448918	14283971.00
2021/09/30	31.56	32.28	31.56	32.04	352562	11285904.00
2021/10/08	32.58	32.59	32.00	32.38	353837	11437201.00
2021/10/11	32.75	33.55	32.55	33.16	629181	20846650.00
2021/10/12	33.01	33.56	32.05	32.26	447946	14534955.00
2021/10/13	32.26	33.29	32.16	33.09	490318	16147928.00
2021/10/14	33.09	33.29	32.78	33.29	402579	13312521.00
2021/10/15	33.28	33.29	32.50	32.56	467966	15328834.00
2021/10/18	32.77	32.78	32.41	32.50	243508	7917842.50
2021/10/19	32.52	32.52	32.12	32.40	338998	10944142.00
