300993 玉马遮阳 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/05/24	33.20	36.68	33.00	34.74	21615370	755520128.00
2021/05/25	30.50	31.26	28.08	28.76	17827661	523815616.00
2021/05/26	27.50	29.90	27.17	28.55	13386492	380140896.00
2021/05/27	27.75	28.30	27.19	27.27	10861315	298740320.00
2021/05/28	27.14	27.86	26.40	26.47	9173013	248808800.00
2021/05/31	26.08	26.36	25.50	25.73	7366531	189327856.00
2021/06/01	25.55	26.23	25.55	25.98	5896791	152753520.00
2021/06/02	25.81	26.40	25.40	25.92	6147175	159239952.00
2021/06/03	25.70	27.49	25.55	27.02	9665541	255746208.00
2021/06/04	26.62	26.68	25.81	25.83	6095695	159407728.00
2021/06/07	25.60	25.62	24.70	24.82	5028267	125648824.00
2021/06/08	24.97	25.25	24.84	25.08	3132376	78432384.00
2021/06/09	24.95	25.61	24.78	25.37	3828092	96400480.00
2021/06/10	25.24	25.24	24.77	24.81	3446468	86068120.00
2021/06/11	24.79	25.35	24.76	25.08	3050574	76488424.00
2021/06/15	25.19	25.23	24.34	24.45	3333489	82217920.00
2021/06/16	24.45	24.97	24.40	24.69	2624712	64761244.00
2021/06/17	24.50	24.70	24.20	24.41	2276348	55731180.00
2021/06/18	24.33	24.97	24.32	24.78	2713512	67194352.00
2021/06/21	24.66	25.17	24.39	25.10	2701977	67012532.00
2021/06/22	25.00	25.28	24.89	25.09	2584718	64811208.00
2021/06/23	25.09	25.15	24.42	24.46	3392109	83519752.00
2021/06/24	24.46	28.98	24.45	27.66	13051218	344870656.00
2021/06/25	26.60	26.79	25.41	25.58	8265992	214676064.00
2021/06/28	25.40	25.89	25.05	25.22	4578923	115709264.00
2021/06/29	25.16	25.23	24.51	24.55	3622431	89549040.00
2021/06/30	24.66	25.05	24.51	24.95	3021148	74781576.00
2021/07/01	25.00	25.08	24.50	24.55	2354387	57986024.00
2021/07/02	24.65	25.56	24.44	25.00	3515384	87856272.00
2021/07/05	25.97	26.84	25.55	25.79	5924949	154685360.00
2021/07/06	25.89	26.86	25.23	26.48	6439096	168093008.00
2021/07/07	25.90	28.80	25.80	27.06	9562311	262126320.00
2021/07/08	27.00	27.37	25.62	25.89	6343890	167355904.00
2021/07/09	25.70	26.38	25.55	25.88	3205315	83355072.00
2021/07/12	25.90	26.50	25.66	26.17	3072259	80036272.00
2021/07/13	26.00	26.00	25.46	25.67	3010338	77226400.00
2021/07/14	25.60	26.10	25.50	25.70	2336774	60285652.00
2021/07/15	25.86	25.86	24.66	24.86	3132387	78351904.00
2021/07/16	24.89	24.89	24.45	24.46	2457193	60498992.00
2021/07/19	24.39	24.44	23.71	23.71	2559735	61177860.00
2021/07/20	23.60	23.90	23.43	23.87	1461637	34675140.00
2021/07/21	23.61	24.54	23.61	24.26	2091383	50719128.00
2021/07/22	24.18	24.44	24.05	24.23	1483110	35878604.00
2021/07/23	24.28	24.40	23.75	23.75	1462097	35196384.00
2021/07/26	23.95	23.95	22.50	22.77	2191595	50365580.00
2021/07/27	22.88	23.10	22.03	22.09	1708740	38654868.00
2021/07/28	22.09	22.99	21.22	22.56	2402658	53426216.00
2021/07/29	22.60	22.96	22.41	22.51	1879512	42525796.00
2021/07/30	22.51	22.66	21.92	22.03	1664224	36756728.00
2021/08/02	21.85	22.75	21.85	22.58	1943868	43508424.00
2021/08/03	22.50	22.90	22.50	22.57	1761450	39968236.00
2021/08/04	22.51	23.07	22.51	22.79	1781076	40603764.00
2021/08/05	22.86	23.13	22.12	22.54	2174295	49136668.00
2021/08/06	22.61	22.61	22.20	22.36	1165915	26089044.00
2021/08/09	22.50	22.89	22.03	22.83	1756267	39870284.00
2021/08/10	22.90	23.02	22.73	22.98	1674091	38311792.00
2021/08/11	23.04	23.08	22.79	22.81	1406381	32187306.00
2021/08/12	22.82	23.38	22.57	23.32	2586889	59697168.00
2021/08/13	23.33	23.45	22.90	23.32	1725630	40030100.00
2021/08/16	23.26	23.91	23.13	23.83	2641689	62417972.00
2021/08/17	23.65	24.40	23.18	23.38	2995225	71417240.00
2021/08/18	23.30	24.20	23.07	24.14	2799883	66443780.00
2021/08/19	24.23	26.00	24.23	24.29	5106766	127176568.00
2021/08/20	23.70	23.70	22.68	23.01	3338659	77086104.00
2021/08/23	22.86	23.46	22.86	23.27	1889908	43959872.00
2021/08/24	23.27	23.56	23.22	23.32	1528047	35686460.00
2021/08/25	23.41	24.22	22.96	24.05	2573814	61040144.00
2021/08/26	23.79	24.10	23.50	23.68	1667734	39613480.00
2021/08/27	23.67	24.12	23.00	23.02	2089725	48930816.00
2021/08/30	22.96	23.85	22.70	23.43	2214477	51367292.00
2021/08/31	23.42	23.43	22.73	22.83	1772776	40717788.00
2021/09/01	22.73	23.24	22.61	22.93	1294351	29598316.00
2021/09/02	22.94	23.26	22.74	23.24	1493162	34384692.00
2021/09/03	23.23	23.60	23.10	23.37	1645985	38377352.00
2021/09/06	23.41	23.85	23.16	23.72	2002261	47072048.00
2021/09/07	23.80	23.81	23.50	23.71	1355190	32099106.00
2021/09/08	23.73	23.76	23.53	23.64	1167021	27576498.00
2021/09/09	23.60	23.83	23.38	23.40	1714640	40470656.00
2021/09/10	23.35	23.42	22.80	23.09	1535064	35564960.00
2021/09/13	23.00	23.23	22.85	23.21	1092158	25154998.00
2021/09/14	23.20	23.20	22.40	22.52	1843669	41920756.00
2021/09/15	22.52	22.78	22.28	22.77	965693	21763792.00
2021/09/16	22.97	23.11	22.52	22.55	1215324	27760036.00
2021/09/17	22.42	22.80	22.22	22.35	861400	19315804.00
2021/09/22	22.11	22.42	21.89	22.12	664300	14711568.00
2021/09/23	22.34	22.90	22.34	22.89	1535398	34823084.00
2021/09/24	23.01	23.01	22.22	22.30	1326639	29944838.00
2021/09/27	22.20	22.41	21.27	21.45	1263699	27492350.00
2021/09/28	21.45	21.65	21.00	21.21	768377	16424045.00
2021/09/29	21.05	21.35	20.16	20.29	1001294	20754856.00
2021/09/30	20.43	20.74	20.40	20.58	549283	11296910.00
2021/10/08	20.69	21.10	20.69	20.97	422078	8845821.00
2021/10/11	21.24	21.24	20.89	20.94	346874	7272721.00
2021/10/12	20.92	20.94	20.35	20.64	527531	10880047.00
2021/10/13	20.75	21.12	20.59	21.05	689731	14443978.00
2021/10/14	21.05	21.14	20.83	21.11	467237	9809769.00
2021/10/15	21.08	21.08	20.73	20.76	471537	9838027.00
2021/10/18	20.76	20.96	20.62	20.84	278564	5781850.50
2021/10/19	20.83	21.68	20.70	21.65	1589361	34127244.00
2021/10/20	21.50	21.80	21.12	21.80	1022601	21950196.00
2021/10/21	21.65	21.82	21.35	21.44	610996	13220923.00
2021/10/22	21.39	22.00	21.38	21.79	954664	20812266.00
2021/10/25	21.65	23.46	21.60	23.36	3973692	91077760.00
2021/10/26	23.09	23.87	22.83	23.23	2422577	56239120.00
2021/10/27	23.70	23.78	21.50	22.04	3102166	68999280.00
2021/10/28	21.50	22.00	20.60	20.76	2445714	51684828.00
2021/10/29	21.16	21.40	20.40	20.95	1237080	25723892.00
2021/11/01	20.96	22.50	20.82	21.57	1680200	36161064.00
2021/11/02	21.75	22.13	21.28	21.60	1389438	30172972.00
2021/11/03	21.44	22.07	21.34	21.76	1315988	28461274.00
2021/11/04	21.76	22.00	21.58	21.91	963359	21021558.00
2021/11/05	22.00	22.34	21.81	22.12	1349477	29829000.00
2021/11/08	22.28	24.68	21.78	24.53	7595946	180309872.00
2021/11/09	24.77	25.59	24.51	24.60	6566075	164287376.00
2021/11/10	24.60	24.88	23.75	24.32	3394988	81940408.00
2021/11/11	24.15	25.30	24.00	25.08	3241500	80935008.00
2021/11/12	24.85	26.86	24.51	26.25	5637683	146029760.00
2021/11/15	26.04	26.65	26.00	26.52	3684653	97103912.00
2021/11/16	26.47	28.10	26.41	26.58	5401087	147339440.00
2021/11/17	26.59	27.63	26.16	27.60	3564187	96389112.00
2021/11/18	27.96	29.55	27.20	28.18	5570939	157702944.00
2021/11/19	28.38	28.68	27.70	27.92	3676987	103776816.00
2021/11/22	28.01	28.58	27.35	28.28	4417982	123969200.00
2021/11/23	27.86	29.16	27.67	28.63	2709489	77135048.00
2021/11/24	29.07	29.14	28.20	28.61	1842879	52593484.00
2021/11/25	28.61	30.50	28.21	29.45	3033869	89331888.00
2021/11/26	29.32	29.99	29.00	29.19	2541133	74687032.00
2021/11/29	28.77	30.15	28.77	29.62	2650520	78403696.00
2021/11/30	29.66	31.00	28.91	30.14	3314711	100105640.00
2021/12/01	29.92	31.30	29.86	31.16	2312385	71346328.00
2021/12/02	31.29	31.29	30.10	30.80	2191218	67245144.00
2021/12/03	30.52	32.19	30.52	31.97	2870426	90418256.00
2021/12/06	32.05	32.54	30.72	30.90	2878590	90922672.00
2021/12/07	30.89	31.59	30.11	30.86	2509421	77393728.00
2021/12/08	30.60	31.23	29.80	30.50	2393685	72600240.00
2021/12/09	30.49	31.98	30.49	31.20	1743409	54873412.00
2021/12/10	31.24	31.55	30.18	30.32	1449366	44514844.00
2021/12/13	30.20	30.63	28.86	29.51	2386843	70349432.00
2021/12/14	30.30	30.30	28.73	29.44	1758945	51244880.00
2021/12/15	29.16	29.80	29.05	29.15	837794	24542924.00
2021/12/16	29.18	29.61	29.02	29.22	926496	27097674.00
2021/12/17	29.59	29.62	28.79	29.13	1192634	34777880.00
2021/12/20	29.00	29.38	27.66	27.90	2186510	61777376.00
2021/12/21	28.03	29.48	27.63	28.93	1727739	49938008.00
2021/12/22	28.74	29.85	28.73	29.30	1567419	46189784.00
2021/12/23	29.22	29.30	28.64	28.83	1143610	33054588.00
2021/12/24	29.29	29.66	27.71	27.83	1625572	46215728.00
2021/12/27	28.03	29.40	27.66	28.91	1422289	40858064.00
2021/12/28	29.01	29.24	28.39	28.50	944855	27094026.00
2021/12/29	28.95	28.95	27.78	27.94	1357446	38027832.00
2021/12/30	27.78	28.48	27.78	28.07	727478	20559072.00
2021/12/31	28.40	29.27	27.88	28.71	1484874	42700364.00
2022/01/04	28.71	30.75	28.48	30.28	2706595	80559400.00
2022/01/05	31.00	31.32	28.93	29.13	1971992	58285712.00
2022/01/06	29.15	29.90	28.50	29.62	1901069	55368544.00
2022/01/07	29.70	31.68	29.70	29.80	2788667	85381064.00
2022/01/10	29.66	30.51	28.88	29.10	1897456	55581972.00
