301003 江苏博云 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/01	82.00	82.00	73.88	74.09	6804882	527438336.00
2021/06/02	72.04	80.75	70.51	75.85	5577484	427868864.00
2021/06/03	74.00	74.00	67.22	67.67	4674832	324456416.00
2021/06/04	68.00	70.22	66.22	66.80	2684811	182934544.00
2021/06/07	67.00	67.00	63.20	63.49	2390428	152822752.00
2021/06/08	63.01	63.86	62.60	62.95	1528096	96435800.00
2021/06/09	63.00	65.06	62.51	63.82	1732305	110214272.00
2021/06/10	63.45	63.55	62.56	62.83	1373906	86404928.00
2021/06/11	62.98	64.43	62.80	63.55	1440001	91771824.00
2021/06/15	63.50	63.50	60.20	60.30	1759907	107679336.00
2021/06/16	60.40	60.60	58.79	58.85	1205242	71616160.00
2021/06/17	58.50	60.36	58.50	59.47	977500	58268640.00
2021/06/18	58.90	59.66	58.28	59.39	864361	51037248.00
2021/06/21	59.15	60.38	59.05	60.04	850923	51026704.00
2021/06/22	60.09	62.66	60.09	61.43	1429621	87617240.00
2021/06/23	61.42	61.61	60.12	60.17	1085806	65767568.00
2021/06/24	60.00	60.00	59.12	59.30	655581	38980356.00
2021/06/25	59.00	60.40	59.00	59.90	603515	36071988.00
2021/06/28	59.38	60.15	59.38	59.82	602200	35955828.00
2021/06/29	60.49	62.35	60.00	60.94	1742961	107410592.00
2021/06/30	59.74	60.60	59.59	60.35	926270	55605260.00
2021/07/01	60.00	61.20	59.48	60.23	947481	57027824.00
2021/07/02	59.86	59.92	58.68	58.82	786680	46575116.00
2021/07/05	58.32	59.88	58.32	59.60	568004	33638128.00
2021/07/06	58.94	60.33	58.45	60.27	1143307	67906808.00
2021/07/07	59.72	61.25	59.69	60.00	890313	53692132.00
2021/07/08	60.01	60.10	58.93	58.98	792707	47004720.00
2021/07/09	58.84	59.76	58.79	59.66	557802	33143100.00
2021/07/12	59.60	60.20	58.93	59.40	819466	48681104.00
2021/07/13	59.56	59.57	58.92	59.25	625652	37079048.00
2021/07/14	59.30	59.78	58.98	59.55	692612	41098284.00
2021/07/15	59.50	59.50	57.62	58.06	818442	47801176.00
2021/07/16	58.07	58.45	56.90	56.95	810200	46422052.00
2021/07/19	56.95	57.48	56.55	57.10	386705	22059828.00
2021/07/20	56.79	56.80	55.99	56.15	624300	35110000.00
2021/07/21	56.50	56.99	56.10	56.51	480267	27199124.00
2021/07/22	56.37	57.80	56.30	56.95	651600	37312824.00
2021/07/23	56.91	57.09	55.55	55.81	756300	42369984.00
2021/07/26	55.81	56.47	54.69	55.89	726400	40296584.00
2021/07/27	56.69	57.30	55.72	55.77	752100	42618808.00
2021/07/28	54.88	55.44	52.55	53.88	642318	34757696.00
2021/07/29	54.37	54.69	54.05	54.48	420000	22870588.00
2021/07/30	54.50	54.50	53.53	54.05	469362	25298092.00
2021/08/02	54.05	56.50	53.56	56.17	700395	38707020.00
2021/08/03	55.80	56.56	55.80	56.23	635019	35740620.00
2021/08/04	56.23	56.98	56.00	56.66	501701	28413082.00
2021/08/05	56.30	58.70	56.16	58.20	1131100	65505944.00
2021/08/06	58.44	58.44	57.27	57.98	637501	36805888.00
2021/08/09	58.05	59.61	58.05	59.37	951139	56285756.00
2021/08/10	59.38	59.72	58.62	59.34	874031	51747852.00
2021/08/11	59.49	59.49	57.50	57.79	1457821	84646024.00
2021/08/12	57.44	57.98	56.85	57.00	997300	57131272.00
2021/08/13	56.72	57.37	56.63	56.86	619047	35203232.00
2021/08/16	57.31	58.78	56.78	58.75	1361450	79341656.00
2021/08/17	58.75	60.80	57.83	59.20	1695985	100198240.00
2021/08/18	58.79	60.18	58.31	59.30	1296372	76924552.00
2021/08/19	58.85	60.39	58.60	60.01	1336854	79976640.00
2021/08/20	59.80	60.50	57.62	58.35	1070900	62997620.00
2021/08/23	58.30	61.89	58.00	61.54	2078396	125938400.00
2021/08/24	61.40	61.72	60.30	60.65	1213263	73813800.00
2021/08/25	60.40	60.65	59.27	60.58	1037000	62126280.00
2021/08/26	60.58	61.16	58.50	58.65	1209300	72075048.00
2021/08/27	58.66	59.35	58.00	59.32	787423	46157152.00
2021/08/30	59.32	59.50	57.67	57.70	809100	47343124.00
2021/08/31	57.73	58.23	57.18	57.69	547954	31602190.00
2021/09/01	57.69	57.79	56.01	56.70	730267	41393288.00
2021/09/02	56.59	57.35	56.50	56.90	399800	22774798.00
2021/09/03	56.65	57.67	56.64	57.38	433054	24734548.00
2021/09/06	57.38	58.00	57.25	57.89	461125	26623266.00
2021/09/07	57.90	58.18	57.67	58.11	507800	29456420.00
2021/09/08	58.10	58.18	57.68	57.81	454800	26297046.00
2021/09/09	57.81	57.98	56.92	57.16	647201	37072400.00
2021/09/10	57.14	57.98	57.14	57.96	545321	31449036.00
2021/09/13	57.63	58.50	57.33	58.50	506000	29299968.00
2021/09/14	58.49	59.10	57.80	58.00	589294	34456628.00
2021/09/15	58.28	58.28	57.28	57.80	301818	17424460.00
2021/09/16	58.17	59.12	56.82	56.86	705607	40902524.00
2021/09/17	55.56	55.56	54.07	54.35	671840	36662064.00
2021/09/22	54.01	54.47	53.61	54.15	286076	15460258.00
2021/09/23	54.15	54.55	54.01	54.34	292804	15914414.00
2021/09/24	54.48	54.56	54.06	54.35	193810	10530645.00
2021/09/27	54.60	54.80	52.60	52.68	479608	25497796.00
2021/09/28	52.61	52.97	52.57	52.91	171117	9040945.00
2021/09/29	53.72	53.72	51.66	51.75	250300	13103302.00
2021/09/30	51.91	52.39	51.85	52.21	149000	7770582.00
2021/10/08	52.75	53.48	52.59	53.36	184999	9806635.00
2021/10/11	53.35	53.58	52.91	53.20	144100	7665357.00
2021/10/12	53.10	53.10	52.06	52.33	208800	10956322.00
2021/10/13	52.20	53.28	52.20	53.09	182800	9673936.00
2021/10/14	52.96	53.85	52.63	53.60	247300	13250952.00
2021/10/15	53.50	53.59	53.05	53.13	155690	8287664.00
2021/10/18	53.13	53.38	52.25	52.85	173200	9106776.00
2021/10/19	52.77	53.24	52.35	53.23	121400	6420992.00
2021/10/20	53.23	53.80	52.55	53.80	198000	10481590.00
2021/10/21	53.70	53.70	52.70	52.84	186200	9903376.00
2021/10/22	52.99	53.34	52.72	52.81	139800	7406538.00
2021/10/25	52.60	53.17	52.35	53.05	130700	6905452.00
