301016 雷尔伟 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/30	35.00	45.50	31.50	43.14	18633608	635639424.00
2021/07/01	35.48	38.59	33.45	33.74	13806700	491289568.00
2021/07/02	33.68	33.68	30.30	30.32	9436376	297047072.00
2021/07/05	29.85	31.73	29.20	29.87	6358882	192601952.00
2021/07/06	29.96	31.96	29.22	31.35	7749460	237919168.00
2021/07/07	30.50	32.07	30.08	30.70	6302148	195654720.00
2021/07/08	30.50	31.32	30.06	30.69	5585326	172044480.00
2021/07/09	30.42	30.87	29.54	29.59	5072267	152214848.00
2021/07/12	29.68	29.88	29.10	29.26	3790629	111397136.00
2021/07/13	29.32	29.36	28.57	28.79	3448366	99238096.00
2021/07/14	28.80	29.13	28.61	28.96	2766182	79882544.00
2021/07/15	28.79	28.98	27.72	27.95	3242092	91333296.00
2021/07/16	27.94	28.10	27.46	27.47	2319337	64389632.00
2021/07/19	27.10	27.71	27.08	27.71	1773576	48607224.00
2021/07/20	27.55	27.77	27.22	27.68	1707354	46974412.00
2021/07/21	27.60	27.94	27.53	27.81	1837450	51015996.00
2021/07/22	27.93	27.93	27.13	27.35	2381437	65086956.00
2021/07/23	27.05	27.30	26.10	26.19	2476781	66353064.00
2021/07/26	26.35	26.57	25.00	25.47	2332021	59808576.00
2021/07/27	25.38	26.05	25.00	25.24	2168646	55246136.00
2021/07/28	25.26	25.94	24.59	25.80	2377218	60424392.00
2021/07/29	25.80	26.48	25.57	26.18	2442232	63605196.00
2021/07/30	26.14	26.14	25.61	25.80	1645248	42498432.00
2021/08/02	25.68	26.50	25.30	26.48	1788066	46630112.00
2021/08/03	26.48	27.19	26.20	26.50	2273266	60633856.00
2021/08/04	26.30	26.77	26.20	26.51	1514209	40067540.00
2021/08/05	26.35	27.77	26.28	27.52	3511464	95365000.00
2021/08/06	27.26	27.37	26.85	27.05	2150200	58166628.00
2021/08/09	27.25	27.88	27.11	27.39	2178613	60002516.00
2021/08/10	27.43	27.87	27.15	27.55	2760975	75981888.00
2021/08/11	27.75	27.85	27.18	27.29	2474864	67805736.00
2021/08/12	27.36	27.54	26.91	27.35	2140406	58173116.00
2021/08/13	27.63	27.68	26.57	26.68	2163178	58370224.00
2021/08/16	26.88	30.08	26.60	29.51	7796516	223010048.00
2021/08/17	29.27	35.00	29.15	32.87	13131130	422710112.00
2021/08/18	30.94	32.14	30.36	31.51	8417732	262776608.00
2021/08/19	31.06	31.40	28.80	29.17	6293748	186094736.00
2021/08/20	29.60	30.25	29.03	29.75	4884048	144683744.00
2021/08/23	29.61	30.58	29.16	30.16	4907459	147239280.00
2021/08/24	30.19	31.96	29.62	31.58	6036031	187819744.00
2021/08/25	31.30	31.35	30.64	31.06	3747537	116035104.00
2021/08/26	30.66	33.40	30.53	32.65	6849025	220060592.00
2021/08/27	32.19	35.80	31.66	33.79	7917611	270157696.00
2021/08/30	33.10	34.98	32.31	34.13	5919045	199546544.00
2021/08/31	33.72	33.72	31.20	31.60	5261486	169894160.00
2021/09/01	31.70	37.01	31.11	35.25	8606626	297182784.00
2021/09/02	34.70	36.44	33.96	35.55	6676793	232818496.00
2021/09/03	34.68	34.90	33.00	34.08	5888004	199644624.00
2021/09/06	33.87	35.13	33.33	33.96	3463319	117667368.00
2021/09/07	34.00	34.34	32.20	32.60	4866854	160243024.00
2021/09/08	32.60	32.99	31.77	32.48	3366046	108676968.00
2021/09/09	32.30	32.86	30.39	30.50	5063639	157741040.00
2021/09/10	30.49	30.99	30.02	30.70	2569372	78600720.00
2021/09/13	30.68	30.68	28.88	29.79	3373215	99378552.00
2021/09/14	29.52	29.70	28.92	29.30	1845710	54095164.00
2021/09/15	29.43	29.43	28.37	28.70	2052466	59220736.00
2021/09/16	28.67	29.43	28.50	28.73	1843246	53356288.00
2021/09/17	28.71	29.04	27.59	27.70	1907024	53517164.00
2021/09/22	27.35	27.98	27.33	27.80	842461	23387676.00
2021/09/23	28.11	28.96	27.99	28.72	1682495	47949316.00
2021/09/24	29.09	29.97	28.66	28.89	2312177	68058312.00
2021/09/27	28.89	29.00	26.90	27.04	1948492	53461272.00
2021/09/28	27.00	27.18	26.36	26.37	1270262	33864368.00
2021/09/29	26.39	26.60	25.80	25.81	1143934	30098394.00
2021/09/30	25.80	26.70	25.80	26.56	796785	21018738.00
2021/10/08	26.98	27.86	26.92	27.12	973940	26589638.00
2021/10/11	27.28	27.30	26.57	26.69	801660	21485636.00
2021/10/12	26.70	28.19	26.69	27.59	1689236	46435808.00
2021/10/13	27.66	28.46	27.31	28.15	1603556	44973688.00
2021/10/14	28.13	28.80	27.59	28.31	1462966	41238236.00
2021/10/15	28.28	28.28	27.13	27.14	1313272	36217800.00
2021/10/18	27.08	28.00	27.00	27.88	1036851	28661746.00
2021/10/19	27.75	28.25	27.37	27.60	881569	24476224.00
2021/10/20	27.50	27.70	26.85	26.87	1096499	29645878.00
2021/10/21	27.20	27.20	26.31	26.37	730069	19429282.00
2021/10/22	26.30	26.77	26.30	26.63	574317	15241984.00
2021/10/25	26.70	27.19	26.28	26.98	763463	20435868.00
2021/10/26	26.48	26.89	25.92	26.20	1391900	36383660.00
2021/10/27	26.06	26.27	24.61	24.93	1652659	41565360.00
2021/10/28	24.92	25.07	23.58	23.73	1503062	36352816.00
2021/10/29	23.96	24.24	23.65	23.90	912058	21810840.00
2021/11/01	23.95	24.45	23.56	24.36	1051196	25377060.00
2021/11/02	24.36	24.50	23.56	23.70	1071535	25714250.00
2021/11/03	23.63	24.05	23.60	24.02	711365	16938550.00
2021/11/04	23.98	24.65	23.86	24.49	1007756	24583590.00
2021/11/05	24.46	24.72	24.20	24.51	841856	20619444.00
2021/11/08	24.55	24.98	24.38	24.94	852339	21089548.00
2021/11/09	24.77	26.53	24.77	26.15	2474678	64005812.00
2021/11/10	25.89	26.29	25.78	26.18	1144110	29800574.00
2021/11/11	25.90	26.69	25.90	26.57	1259658	33333830.00
2021/11/12	26.67	26.80	26.15	26.65	1328399	35171916.00
2021/11/15	26.73	27.63	26.65	27.23	1837724	49859764.00
2021/11/16	27.21	27.23	26.24	26.39	1339257	35682464.00
2021/11/17	26.89	28.49	26.54	27.75	2958646	82287608.00
2021/11/18	27.31	27.95	27.10	27.23	1611637	44130932.00
2021/11/19	26.97	27.68	26.97	27.40	1126697	30822718.00
2021/11/22	27.45	27.62	27.12	27.56	1164782	31923874.00
2021/11/23	27.55	28.03	27.30	27.97	1393796	38750272.00
2021/11/24	28.00	28.44	27.55	28.30	1589759	44697764.00
2021/11/25	29.00	29.69	28.20	28.31	2668198	76905992.00
2021/11/26	28.13	28.75	27.83	28.45	1727549	48970296.00
2021/11/29	27.92	28.33	27.29	27.64	1663060	46312248.00
2021/11/30	27.86	28.80	27.38	28.10	1909296	54195960.00
2021/12/01	28.40	28.59	28.03	28.47	1227600	34824496.00
2021/12/02	28.39	29.68	27.72	29.00	3754949	108406760.00
2021/12/03	28.70	28.85	27.60	27.80	2603815	72968816.00
2021/12/06	27.70	27.97	26.09	26.18	2051500	54830328.00
2021/12/07	26.35	26.40	25.56	25.92	1193572	30932996.00
2021/12/08	25.89	26.48	25.88	26.24	910385	23898832.00
2021/12/09	26.21	26.69	26.00	26.43	1044187	27600354.00
2021/12/10	26.42	26.95	26.20	26.70	1072179	28619398.00
2021/12/13	26.60	26.92	26.46	26.73	807334	21523644.00
2021/12/14	26.61	26.85	26.52	26.80	721305	19272608.00
2021/12/15	26.88	27.36	26.79	27.19	1324444	35999692.00
2021/12/16	27.19	27.56	27.01	27.50	1304103	35654748.00
2021/12/17	27.50	27.59	26.70	26.77	1133976	30617278.00
2021/12/20	26.77	27.65	26.50	26.63	1196583	32301664.00
2021/12/21	26.52	26.94	26.31	26.75	859123	22905912.00
2021/12/22	26.77	27.56	26.60	27.17	1528390	41576728.00
2021/12/23	27.11	27.23	26.10	26.67	1667195	44215948.00
2021/12/24	26.50	26.96	25.65	25.67	1371000	35756372.00
2021/12/27	25.51	25.55	24.92	25.31	680900	17203896.00
2021/12/28	25.35	25.67	25.35	25.61	510187	13013620.00
2021/12/29	25.61	25.70	25.22	25.45	504256	12852821.00
2021/12/30	25.25	25.53	24.61	25.50	1510900	38069980.00
2021/12/31	25.49	25.96	25.25	25.92	1134600	29253716.00
2022/01/04	26.23	27.00	25.81	26.68	1469705	38818556.00
2022/01/05	26.68	26.98	26.18	26.50	947628	25082302.00
2022/01/06	26.40	26.85	26.23	26.75	1034914	27583184.00
2022/01/07	26.71	26.90	26.30	26.33	806194	21438560.00
2022/01/10	26.00	27.18	26.00	26.88	1054606	28195244.00
2022/01/11	26.73	27.40	26.73	26.91	865319	23339460.00
2022/01/12	27.00	27.38	26.86	27.14	1174631	31837882.00
2022/01/13	27.17	27.17	26.71	26.84	945935	25460818.00
2022/01/14	26.62	26.95	26.34	26.42	879881	23391476.00
2022/01/17	26.42	27.23	26.20	27.11	1224563	32966084.00
2022/01/18	27.12	27.13	26.49	26.67	1067892	28555452.00
2022/01/19	26.60	27.26	26.53	27.18	1382816	37377296.00
2022/01/20	27.18	27.18	25.80	25.88	1963748	51727772.00
2022/01/21	25.88	26.09	25.41	25.61	645599	16574647.00
2022/01/24	25.63	25.69	25.18	25.30	549039	13970214.00
2022/01/25	25.15	25.70	24.01	24.16	1082945	26625582.00
2022/01/26	24.51	24.56	24.11	24.29	483906	11731935.00
2022/01/27	24.29	24.47	23.20	23.27	892027	21008330.00
2022/01/28	23.41	23.96	23.30	23.65	607068	14363916.00
2022/02/07	23.96	24.58	23.81	24.45	730098	17736026.00
2022/02/08	24.45	24.82	24.13	24.79	617720	15212099.00
2022/02/09	24.68	25.06	24.52	24.87	520355	12935023.00
2022/02/10	24.87	24.87	24.50	24.61	543490	13397172.00
2022/02/11	24.60	24.80	24.05	24.56	786063	19191908.00
2022/02/14	24.58	24.76	24.11	24.25	544402	13269836.00
2022/02/15	24.15	24.50	24.06	24.16	390772	9460046.00
2022/02/16	24.19	24.76	24.19	24.72	675741	16610073.00
2022/02/17	24.72	25.00	24.50	24.56	785229	19452874.00
2022/02/18	24.43	25.58	24.10	25.40	1602273	40176532.00
2022/02/21	25.02	25.40	25.02	25.19	1099886	27673320.00
2022/02/22	25.00	25.11	24.37	24.63	950003	23440678.00
2022/02/23	24.54	25.25	24.42	25.00	918537	22841858.00
2022/02/24	25.26	25.26	23.85	24.04	1163337	28470892.00
2022/02/25	24.24	24.90	24.24	24.41	792970	19510284.00
2022/02/28	24.45	24.45	23.66	24.05	799877	19181110.00
2022/03/01	24.14	24.38	24.02	24.23	462194	11176433.00
2022/03/02	24.17	24.33	23.98	24.28	446597	10803149.00
2022/03/03	24.37	24.66	24.25	24.35	727206	17766578.00
2022/03/04	24.25	24.50	23.90	23.94	705466	17029350.00
2022/03/07	23.89	23.98	23.58	23.62	507322	12058155.00
2022/03/08	23.66	23.76	23.08	23.11	661538	15417774.00
2022/03/09	23.11	23.30	21.34	22.38	857716	19260624.00
2022/03/10	22.90	23.09	22.59	22.59	579268	13261646.00
2022/03/11	22.59	23.20	22.04	23.09	698550	15739816.00
2022/03/14	22.98	23.03	22.46	22.49	460735	10480767.00
2022/03/15	22.38	22.45	21.01	21.09	667577	14529233.00
2022/03/16	21.30	21.89	20.78	21.64	574719	12257680.00
2022/03/17	21.98	22.57	21.73	22.16	712333	15808801.00
2022/03/18	22.44	22.77	22.13	22.65	556525	12540054.00
2022/03/21	22.83	23.06	22.59	23.06	702581	16078875.00
2022/03/22	23.26	24.68	23.11	23.72	2320479	55886236.00
2022/03/23	23.65	23.80	23.15	23.25	1306337	30559956.00
2022/03/24	23.11	23.43	22.73	22.85	615612	14138792.00
2022/03/25	22.98	23.20	22.80	23.03	495579	11395109.00
2022/03/28	22.81	23.10	22.21	22.95	695993	15804501.00
2022/03/29	23.00	23.29	22.65	22.84	626194	14384786.00
2022/03/30	23.33	23.46	22.71	23.46	796287	18409840.00
2022/03/31	22.50	22.56	21.95	22.24	1610497	35944764.00
2022/04/01	22.12	22.13	21.62	21.77	875195	19111858.00
2022/04/06	21.68	22.24	21.68	22.10	572582	12618038.00
2022/04/07	22.01	22.08	21.47	21.50	510191	11087982.00
2022/04/08	21.82	21.92	21.23	21.66	367024	7895004.50
2022/04/11	21.80	22.05	21.21	21.25	649823	14091037.00
2022/04/12	21.35	21.57	20.80	21.50	388827	8240234.00
2022/04/13	21.56	21.56	20.62	20.70	653043	13609988.00
2022/04/14	20.79	20.84	20.51	20.58	354828	7333508.50
2022/04/15	20.60	20.60	19.93	20.00	628435	12668956.00
2022/04/18	20.00	20.38	19.42	20.12	322463	6442039.50
