301050 雷电微力 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/24	270.00	292.80	255.00	282.09	13794027	3745148672.00
2021/08/25	287.99	298.80	277.50	287.90	7616499	2194427904.00
2021/08/26	286.89	292.74	259.50	264.97	6104488	1668652800.00
2021/08/27	260.00	283.00	258.50	271.30	4594464	1251092480.00
2021/08/30	264.00	296.99	257.50	292.59	4335828	1223512448.00
2021/08/31	288.82	295.40	272.12	276.60	3068119	867866432.00
2021/09/01	279.90	290.97	264.11	279.00	3005575	833938496.00
2021/09/02	279.18	307.50	275.00	296.40	2750818	798325184.00
2021/09/03	294.80	303.08	275.15	280.98	2196681	631687552.00
2021/09/06	275.88	285.78	274.01	281.20	1390908	389711040.00
2021/09/07	278.18	282.88	270.10	272.81	1579276	434104384.00
2021/09/08	269.05	274.00	263.00	272.70	1442278	388131360.00
2021/09/09	270.18	271.86	250.00	257.00	2176412	564442048.00
2021/09/10	255.02	259.59	249.00	255.02	1305688	332773568.00
2021/09/13	252.13	254.79	242.50	244.03	1210316	298355360.00
2021/09/14	244.52	254.00	241.01	246.89	1161130	288900192.00
2021/09/15	244.90	253.98	240.51	253.28	950854	237084544.00
2021/09/16	252.52	253.00	241.00	241.27	787275	194169680.00
2021/09/17	240.52	255.74	240.52	243.24	1379827	342968064.00
2021/09/22	241.98	244.96	228.19	240.00	1181685	279082912.00
2021/09/23	237.66	240.99	231.65	231.70	799727	187960192.00
2021/09/24	231.76	236.88	229.23	229.34	599308	139595792.00
2021/09/27	225.01	229.34	203.00	214.66	1295878	280299168.00
2021/09/28	213.91	238.00	208.39	233.01	1461453	326270432.00
2021/09/29	229.00	234.76	221.70	223.58	897725	204967744.00
2021/09/30	222.04	228.00	222.04	224.35	652332	146340560.00
2021/10/08	224.35	225.97	210.88	216.72	697741	151364112.00
2021/10/11	215.38	234.50	215.05	229.35	935472	211794848.00
2021/10/12	225.04	231.67	217.30	221.00	745947	166229920.00
2021/10/13	220.00	230.50	218.01	226.91	538653	121236376.00
2021/10/14	224.99	242.86	224.50	238.56	837692	198279296.00
2021/10/15	238.00	243.00	233.42	241.78	679876	162641376.00
2021/10/18	242.00	244.00	232.68	236.00	859179	203737792.00
2021/10/19	233.00	236.95	231.00	233.05	480997	111938296.00
2021/10/20	231.01	243.10	231.01	239.62	663658	158874640.00
2021/10/21	238.00	241.41	232.00	237.68	735992	174251520.00
2021/10/22	236.98	250.00	236.97	244.64	769111	188854496.00
2021/10/25	244.95	253.48	242.10	246.81	518252	128342304.00
2021/10/26	246.50	247.32	233.35	237.70	817456	195970400.00
2021/10/27	245.00	264.00	244.29	244.29	1238173	313947712.00
2021/10/28	241.11	262.49	241.11	250.69	1195441	303111616.00
2021/10/29	250.12	265.00	247.01	261.00	1019001	263677104.00
2021/11/01	263.21	268.72	258.05	259.80	691545	181403680.00
2021/11/02	262.98	269.00	254.81	258.00	1026539	269442752.00
2021/11/03	256.06	259.90	247.16	252.49	1016376	256405248.00
2021/11/04	254.00	260.20	252.52	255.00	784638	200772928.00
2021/11/05	260.00	260.00	248.50	250.80	772975	195746384.00
2021/11/08	248.00	252.00	246.90	248.00	496632	123737768.00
2021/11/09	247.51	265.00	245.05	262.20	1133295	289956032.00
2021/11/10	265.00	271.99	258.80	264.99	1015045	269967328.00
2021/11/11	262.90	264.90	258.50	260.75	701820	182676784.00
2021/11/12	259.38	268.71	259.07	267.25	665253	176530320.00
2021/11/15	267.58	274.43	263.56	263.90	829767	222583136.00
2021/11/16	261.04	267.37	256.75	257.00	640988	167643728.00
2021/11/17	256.02	262.32	254.06	262.32	525710	135719616.00
2021/11/18	262.32	269.50	257.49	267.80	623697	165222944.00
2021/11/19	265.00	294.82	264.00	288.00	1598749	450841120.00
2021/11/22	288.08	289.97	284.00	287.30	1027856	295100832.00
2021/11/23	288.00	289.90	277.60	278.62	949174	266670752.00
2021/11/24	278.11	283.97	274.88	279.19	590930	164606928.00
2021/11/25	279.10	281.83	275.68	278.63	419069	116406624.00
2021/11/26	279.15	284.68	275.90	277.98	542393	151753184.00
2021/11/29	274.60	285.00	274.18	283.00	574456	161287968.00
2021/11/30	281.57	293.60	269.00	270.29	1398288	390644288.00
2021/12/01	271.01	273.00	265.07	266.71	819746	219574288.00
2021/12/02	266.17	269.23	253.90	254.87	1041490	270372416.00
2021/12/03	255.01	260.50	255.00	258.37	457480	118083704.00
2021/12/06	258.09	259.00	247.08	248.14	1018559	256432400.00
2021/12/07	249.88	252.26	234.80	237.88	1151685	276433152.00
2021/12/08	240.00	245.49	238.85	242.89	621176	150787136.00
2021/12/09	243.43	246.48	240.28	245.20	514027	125359760.00
2021/12/10	244.50	246.20	241.28	244.33	366733	89595264.00
2021/12/13	245.88	250.58	239.02	247.72	560949	137556432.00
2021/12/14	246.10	252.77	245.28	248.85	414417	103295512.00
2021/12/15	248.55	248.63	236.20	236.38	886040	213454096.00
2021/12/16	237.01	239.28	233.81	238.50	596490	141362032.00
2021/12/17	238.37	238.37	228.67	230.93	832491	191787456.00
2021/12/20	230.00	234.60	227.60	230.93	443028	102980280.00
2021/12/21	233.30	235.33	229.63	233.68	282452	65744876.00
2021/12/22	233.00	233.98	229.86	229.90	399257	92199288.00
2021/12/23	229.00	235.96	228.62	235.80	441427	103051976.00
2021/12/24	235.30	235.88	231.54	231.96	373812	86901256.00
2021/12/27	230.20	235.38	230.20	233.21	271976	63495356.00
2021/12/28	233.21	237.72	230.21	234.00	455984	107006872.00
2021/12/29	234.87	235.91	229.86	229.94	397129	92067920.00
2021/12/30	229.50	236.78	224.14	235.18	1127417	260501392.00
2021/12/31	236.95	247.55	235.01	243.81	795461	193470096.00
2022/01/04	243.01	248.00	238.56	243.39	776735	189350144.00
2022/01/05	243.51	245.00	228.02	232.00	716653	167733760.00
2022/01/06	229.79	236.53	227.47	235.00	428056	99757032.00
2022/01/07	233.06	235.94	222.50	222.53	752858	170626752.00
2022/01/10	222.57	226.00	218.18	224.01	304419	67903416.00
2022/01/11	224.98	226.80	214.90	216.35	553856	121446424.00
2022/01/12	217.29	221.48	215.13	220.94	382472	83355888.00
2022/01/13	219.62	220.89	211.55	211.90	549883	118064072.00
2022/01/14	210.94	214.98	208.95	210.37	474837	100375192.00
2022/01/17	210.41	221.38	210.39	221.00	574656	124712016.00
2022/01/18	221.08	222.58	217.48	218.76	285245	62656320.00
2022/01/19	218.70	218.91	208.99	210.51	406043	86131312.00
2022/01/20	210.56	211.00	197.59	197.59	1030867	210026848.00
2022/01/21	197.66	199.00	188.90	190.00	831813	159816960.00
2022/01/24	190.10	202.00	189.18	197.43	493444	96957544.00
2022/01/25	197.50	204.48	196.00	197.60	546753	109466472.00
2022/01/26	196.60	199.53	193.80	198.71	323308	63798664.00
2022/01/27	199.93	199.93	190.91	192.16	462500	90593856.00
2022/01/28	175.34	180.13	166.06	179.96	1497402	261634832.00
2022/02/07	180.00	186.38	176.95	181.27	674181	123063616.00
2022/02/08	179.45	183.86	173.53	179.06	686094	122032288.00
2022/02/09	178.96	180.83	174.88	176.00	570714	101090608.00
2022/02/10	211.20	211.20	202.80	211.20	2317608	488100192.00
2022/02/11	209.00	209.00	191.58	198.55	2925754	575803072.00
2022/02/14	193.17	206.79	193.17	196.89	1443924	287661760.00
2022/02/15	196.00	205.25	194.62	201.40	1279760	255532176.00
2022/02/16	198.00	200.99	193.88	194.99	1206381	238521168.00
