301056 森赫股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/09/07	15.50	16.66	14.70	14.82	42573778	645449152.00
2021/09/08	13.55	14.39	13.41	13.85	30898939	423894368.00
2021/09/09	13.41	13.71	13.05	13.13	22313332	297764224.00
2021/09/10	13.01	13.50	12.77	13.10	17007520	222703440.00
2021/09/13	12.91	13.03	12.61	12.74	12352692	157747264.00
2021/09/14	12.65	13.14	12.64	13.14	14643255	189607568.00
2021/09/15	12.86	12.99	12.66	12.80	11576044	147958480.00
2021/09/16	12.71	13.17	12.63	12.78	11293145	145754944.00
2021/09/17	12.80	13.24	12.80	12.95	10407122	135001536.00
2021/09/22	12.40	12.69	12.03	12.19	10734744	131593896.00
2021/09/23	12.19	12.48	12.10	12.23	6852242	83926152.00
2021/09/24	12.16	12.22	11.61	11.70	8971101	106087880.00
2021/09/27	11.70	11.90	11.44	11.74	6695352	78201136.00
2021/09/28	11.73	11.73	11.48	11.60	3921503	45441860.00
2021/09/29	11.50	11.64	11.05	11.10	6032202	68369448.00
2021/09/30	11.12	11.30	11.08	11.12	4088457	45623932.00
2021/10/08	11.22	11.37	11.16	11.37	4237675	47837804.00
2021/10/11	11.57	11.70	11.38	11.45	5126390	59179384.00
2021/10/12	11.50	11.89	11.31	11.72	6991894	81149544.00
2021/10/13	11.64	12.25	11.56	12.10	10211762	122665784.00
2021/10/14	11.95	12.06	11.76	11.86	6027337	71447816.00
2021/10/15	11.80	11.98	11.37	11.80	6669964	77735000.00
2021/10/18	11.65	11.86	11.62	11.71	3542263	41540456.00
2021/10/19	11.63	11.77	11.43	11.46	4684230	54093532.00
2021/10/20	11.44	11.62	11.36	11.43	3348628	38422504.00
2021/10/21	11.38	11.44	11.16	11.27	4060575	45794608.00
2021/10/22	11.29	11.53	11.22	11.41	3748815	42659288.00
2021/10/25	11.33	11.50	11.25	11.44	3588057	40762452.00
2021/10/26	11.38	11.66	11.27	11.63	5504695	63206708.00
2021/10/27	11.60	11.70	10.81	11.36	7227284	81084016.00
2021/10/28	11.36	11.36	10.68	10.69	4562988	50299888.00
2021/10/29	10.72	10.97	10.70	10.84	2844502	30796340.00
2021/11/01	10.79	10.96	10.55	10.86	3531156	37929940.00
2021/11/02	10.74	10.97	10.28	10.37	4689632	49729280.00
2021/11/03	10.38	10.47	10.32	10.44	2728732	28374622.00
2021/11/04	10.45	10.60	10.43	10.54	2710277	28499114.00
2021/11/05	10.55	10.77	10.47	10.62	3238042	34465276.00
2021/11/08	10.62	10.82	10.58	10.75	2436386	26162464.00
2021/11/09	10.82	10.94	10.74	10.93	2829229	30765396.00
2021/11/10	10.87	10.93	10.71	10.91	3304714	35679924.00
2021/11/11	10.84	11.25	10.84	11.11	5280952	58615672.00
2021/11/12	11.07	11.55	11.01	11.45	7514746	84838888.00
2021/11/15	11.36	11.84	11.35	11.83	8749405	102186336.00
2021/11/16	11.95	12.18	11.33	11.39	7810786	90574336.00
2021/11/17	11.33	11.58	11.33	11.42	4327847	49649608.00
2021/11/18	11.45	11.64	11.30	11.31	4368698	50065664.00
2021/11/19	11.40	11.68	11.27	11.57	4692121	54068976.00
2021/11/22	11.69	11.69	11.45	11.50	3035488	34994992.00
2021/11/23	11.48	11.59	11.38	11.43	3189067	36561572.00
