301061 匠心家居 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/09/13	103.98	103.99	85.43	86.15	8319007	758033344.00
2021/09/14	82.00	82.30	78.37	79.67	5498600	440888736.00
2021/09/15	78.50	78.50	74.58	74.75	4634092	352369632.00
2021/09/16	74.01	76.50	74.00	75.50	2991898	225614368.00
2021/09/17	75.15	75.29	72.09	72.15	2733227	199618048.00
2021/09/22	71.15	71.15	68.53	68.63	2329976	161913632.00
2021/09/23	69.01	69.55	68.68	69.01	1310403	90485024.00
2021/09/24	68.83	74.32	68.83	70.86	2135884	152943216.00
2021/09/27	70.00	70.66	67.50	67.54	1655233	113643656.00
2021/09/28	67.07	67.71	65.85	66.70	1009893	67252744.00
2021/09/29	66.58	66.59	63.99	63.99	1068822	69467256.00
2021/09/30	64.40	65.25	64.08	64.49	588577	38130120.00
2021/10/08	65.49	66.87	65.00	66.63	825793	54526584.00
2021/10/11	66.96	66.99	65.60	65.99	494903	32715962.00
2021/10/12	66.41	66.41	64.04	66.30	664257	43305972.00
2021/10/13	66.01	67.91	65.60	67.81	972642	65379600.00
2021/10/14	67.32	67.73	66.30	66.66	559747	37373388.00
2021/10/15	66.55	67.25	65.24	65.28	551100	36392540.00
2021/10/18	65.51	65.56	63.24	63.80	674597	43009312.00
2021/10/19	63.50	64.24	63.47	64.15	464795	29717286.00
2021/10/20	64.15	64.26	63.63	63.63	405147	25835970.00
2021/10/21	63.36	70.21	63.36	68.98	2663486	180364896.00
2021/10/22	68.00	70.88	67.34	69.39	2197474	152226448.00
2021/10/25	69.78	69.90	67.33	67.73	1562721	106586744.00
2021/10/26	67.73	68.30	66.36	66.73	932200	62438660.00
2021/10/27	68.30	69.91	67.00	69.64	2152753	148350160.00
2021/10/28	69.49	69.50	66.50	67.44	1356086	92021936.00
2021/10/29	67.38	68.66	66.78	67.96	811644	55000152.00
2021/11/01	67.69	71.49	67.55	70.70	1797065	125789232.00
2021/11/02	70.57	71.97	69.20	69.41	1740220	122826192.00
2021/11/03	69.99	70.00	67.58	69.36	1003339	68642960.00
2021/11/04	68.74	70.06	68.00	69.85	951355	65613116.00
2021/11/05	69.25	70.15	68.19	68.19	862940	59706028.00
2021/11/08	68.07	68.34	65.74	65.85	1172384	77782576.00
2021/11/09	65.52	67.86	65.52	67.37	822700	55160584.00
2021/11/10	67.02	68.68	66.50	67.95	637976	42808132.00
2021/11/11	68.03	72.49	68.03	70.69	1846142	130685224.00
2021/11/12	70.68	73.60	69.80	73.37	2454942	177114240.00
2021/11/15	74.86	78.00	73.08	76.28	3175701	240319888.00
2021/11/16	78.33	81.85	76.60	76.78	4874939	387582688.00
2021/11/17	74.89	78.58	74.01	75.52	3152624	240365424.00
2021/11/18	74.80	76.52	73.76	73.76	1481170	111009080.00
2021/11/19	73.55	75.93	72.53	75.40	1273734	94537320.00
2021/11/22	74.75	76.10	74.40	75.62	1018696	76963728.00
2021/11/23	75.29	77.50	73.50	76.82	1562581	118542392.00
2021/11/24	76.72	77.48	75.52	75.69	966708	73804456.00
2021/11/25	75.81	76.40	74.43	75.45	879400	66158544.00
2021/11/26	75.01	76.19	74.62	75.23	732200	55264612.00
2021/11/29	73.01	74.39	70.81	71.00	1563901	113324408.00
2021/11/30	71.20	72.58	69.70	70.22	784800	55798008.00
2021/12/01	70.05	70.90	69.50	70.78	850300	59635896.00
2021/12/02	70.24	72.62	69.89	71.22	1622693	115498440.00
2021/12/03	71.72	75.30	71.11	74.95	1840031	135693264.00
2021/12/06	75.46	75.58	73.05	73.21	1174642	87279648.00
2021/12/07	73.68	77.60	73.68	74.35	1951052	147594992.00
2021/12/08	73.52	76.10	72.55	75.66	1811342	134636064.00
2021/12/09	77.51	79.50	75.58	75.86	2900375	223882384.00
2021/12/10	73.60	77.80	73.60	77.42	2138759	163805888.00
2021/12/13	77.87	78.00	75.00	75.98	1505171	114211048.00
2021/12/14	75.43	75.60	74.61	74.74	888272	66571500.00
2021/12/15	74.59	75.06	73.86	74.29	599300	44609572.00
2021/12/16	74.06	75.50	74.06	75.17	675001	50633988.00
2021/12/17	74.83	75.16	72.76	73.03	863100	63497136.00
2021/12/20	73.03	74.40	72.00	73.09	598800	43818064.00
2021/12/21	73.10	76.25	73.08	76.07	982929	73735024.00
2021/12/22	76.31	76.78	74.96	76.38	938408	71296712.00
2021/12/23	76.01	80.00	75.90	77.89	1578340	123653808.00
2021/12/24	80.44	81.40	76.64	77.03	1546901	121782408.00
2021/12/27	77.00	77.52	75.50	77.03	790527	60594820.00
2021/12/28	77.30	79.50	76.90	78.41	905100	70961456.00
2021/12/29	78.38	79.55	77.07	79.35	899884	70998416.00
2021/12/30	79.28	79.83	78.15	79.31	722559	57092424.00
2021/12/31	79.31	79.31	77.50	78.80	769208	60010628.00
2022/01/04	78.58	78.86	77.66	78.15	495441	38659764.00
2022/01/05	78.15	79.53	76.00	77.55	757444	58840332.00
2022/01/06	77.15	80.82	76.90	79.78	951239	75473264.00
2022/01/07	79.69	80.59	78.52	79.10	519359	41186756.00
2022/01/10	78.35	80.38	78.35	79.40	636305	50597756.00
2022/01/11	79.99	79.99	77.12	77.15	528412	41368568.00
2022/01/12	77.30	78.18	77.09	77.67	350492	27180986.00
2022/01/13	77.28	78.31	76.52	76.52	436088	33643600.00
2022/01/14	76.33	76.75	75.01	75.05	407598	30877518.00
2022/01/17	75.00	77.25	75.00	76.20	329298	25105258.00
2022/01/18	76.39	76.54	74.81	74.81	383340	28890312.00
2022/01/19	74.98	75.87	73.65	75.08	485600	36265128.00
2022/01/20	75.08	75.78	70.90	71.19	797344	58124540.00
2022/01/21	71.50	71.50	68.09	68.81	733500	50803348.00
2022/01/24	68.81	69.40	67.90	67.93	317510	21704076.00
2022/01/25	67.80	67.88	65.91	66.70	414200	27613936.00
2022/01/26	67.09	67.50	66.71	67.26	191022	12824273.00
2022/01/27	67.00	67.66	66.46	67.25	276596	18565014.00
2022/01/28	67.79	68.50	67.01	67.40	374293	25392662.00
2022/02/07	69.50	69.50	66.18	67.30	445300	30133418.00
2022/02/08	66.55	67.62	66.20	67.50	225122	15066830.00
2022/02/09	67.67	67.87	67.22	67.78	297086	20082694.00
2022/02/10	67.93	68.07	67.45	67.82	204000	13817180.00
2022/02/11	67.60	67.62	66.08	66.15	284496	18945024.00
2022/02/14	65.94	66.20	61.66	62.00	1066878	67485296.00
2022/02/15	62.20	62.38	61.49	62.00	539900	33427776.00
2022/02/16	62.00	63.80	62.00	62.87	474378	29909742.00
2022/02/17	62.12	63.18	61.69	61.77	554776	34524372.00
2022/02/18	61.77	62.62	60.61	62.62	395821	24463608.00
2022/02/21	62.75	63.20	62.26	63.17	367341	23099176.00
2022/02/22	62.87	62.87	61.13	61.36	487786	30130138.00
2022/02/23	61.46	62.59	61.46	62.52	378465	23545414.00
2022/02/24	62.26	63.85	60.90	61.80	736300	45923372.00
