301157 华塑科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/09	77.00	89.89	76.36	84.77	9572768	788159232.00
2023/03/10	76.90	80.27	72.01	72.22	7471233	570013888.00
2023/03/13	67.50	69.50	65.90	68.60	5614379	380147328.00
2023/03/14	68.13	71.50	65.91	66.16	4892480	336073760.00
2023/03/15	64.19	67.86	64.18	64.98	4072937	266366576.00
2023/03/16	64.13	64.51	60.44	60.53	4356118	271328608.00
2023/03/17	60.70	61.74	60.06	61.02	3516769	214097136.00
2023/03/20	60.16	62.13	58.50	60.40	3470341	208896432.00
2023/03/21	60.10	62.68	58.88	61.84	3566326	217645920.00
2023/03/22	61.79	62.72	60.00	60.35	3028691	185505792.00
2023/03/23	59.68	61.53	59.66	60.58	2055093	124150928.00
2023/03/24	60.60	69.88	60.60	65.30	5987456	386462432.00
2023/03/27	63.88	67.25	63.80	65.15	4766570	312710720.00
2023/03/28	67.50	68.88	65.51	66.30	4464018	299304160.00
2023/03/29	64.80	67.96	63.88	65.45	3703533	244275856.00
2023/03/30	64.60	67.64	62.98	67.31	3380951	222815344.00
2023/03/31	68.00	68.00	64.83	65.06	3045252	200360944.00
2023/04/03	64.00	64.44	62.00	63.10	3041129	191553488.00
2023/04/04	64.08	64.84	60.16	60.67	3105079	193327648.00
2023/04/06	59.80	63.09	58.67	62.47	2770002	169737920.00
2023/04/07	62.50	65.25	62.13	63.19	3166934	202808544.00
2023/04/10	64.00	67.18	61.50	66.46	4466679	289165120.00
2023/04/11	65.28	65.90	63.96	64.47	2742165	177667856.00
2023/04/12	64.01	64.50	62.22	63.85	2215896	140062560.00
2023/04/13	64.43	66.40	63.22	63.79	2951121	191581568.00
2023/04/14	63.63	66.30	62.82	64.22	2869790	185427056.00
2023/04/17	63.46	63.72	60.50	60.70	2994167	185779616.00
2023/04/18	60.50	61.76	59.88	61.56	1683313	102922128.00
2023/04/19	61.53	63.30	60.67	61.60	2077454	128959920.00
2023/04/20	62.00	63.55	60.00	63.36	2665918	164760288.00
2023/04/21	63.00	64.97	61.68	62.09	2659945	167741568.00
2023/04/24	61.00	61.80	57.00	57.00	2657405	156461504.00
2023/04/25	56.00	56.49	49.87	50.38	2661129	139360848.00
2023/04/26	50.00	53.40	50.00	52.01	2121443	110239864.00
2023/04/27	51.48	52.98	50.68	51.11	1466624	75344456.00
2023/04/28	50.89	51.65	50.70	51.48	1124219	57621604.00
2023/05/05	51.18	51.18	51.18	51.18	0	0.00
数据来源:通达信
